SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2019-07-25,0.6102,0.5983,0.6148,0.586,4750000.0,1.95
2,2019-07-26,0.6503,0.6103,0.7111,0.594,8950000.0,6.57
3,2019-07-27,0.5788,0.6501,0.6673,0.5728,9090000.0,-10.99
4,2019-07-28,0.5759,0.5788,0.5992,0.5584,11050000.0,-0.50
5,2019-07-29,0.571,0.577,0.5934,0.5546,11030000.0,-0.85
6,2019-07-30,0.5667,0.5708,0.5893,0.5566,11210000.0,-0.75
7,2019-07-31,0.5668,0.5668,0.5777,0.5589,11260000.0,0.02
8,2019-08-01,0.5602,0.5668,0.5694,0.5093,12100000.0,-1.16
9,2019-08-02,0.8094,0.5618,0.8824,0.5536,27460000.0,44.48
10,2019-08-03,0.7438,0.8094,0.8568,0.7391,12220000.0,-8.10
11,2019-08-04,0.7019,0.7438,0.7611,0.6963,9370000.0,-5.63
12,2019-08-05,0.791,0.7019,0.8026,0.6628,9670000.0,12.69
13,2019-08-06,0.7027,0.791,0.8013,0.6908,9260000.0,-11.16
14,2019-08-07,0.691,0.7028,0.7259,0.6815,9380000.0,-1.67
15,2019-08-08,0.7278,0.691,0.774,0.6584,9700000.0,5.33
16,2019-08-09,0.7933,0.7273,0.8333,0.7162,5780000.0,9.00
17,2019-08-10,0.8104,0.7933,0.8611,0.7613,3420000.0,2.16
18,2019-08-11,0.8258,0.8107,0.8765,0.8104,2110000.0,1.90
19,2019-08-12,0.8039,0.8258,0.842,0.7701,1610000.0,-2.65
20,2019-08-13,0.8102,0.804,0.8433,0.7842,1070000.0,0.78
21,2019-08-14,0.7187,0.8102,0.8484,0.7121,1820000.0,-11.29
22,2019-08-15,0.7084,0.7185,0.7746,0.6451,2100000.0,-1.43
23,2019-08-16,0.6773,0.7084,0.7288,0.6764,1510000.0,-4.39
24,2019-08-17,0.6841,0.6773,0.7148,0.6709,859880.0,1.00
25,2019-08-18,0.6776,0.6841,0.6953,0.6649,1270000.0,-0.95
26,2019-08-19,0.6549,0.6776,0.6779,0.6496,1240000.0,-3.35
27,2019-08-20,0.6259,0.6549,0.6674,0.6033,1470000.0,-4.43
28,2019-08-21,0.568,0.6259,0.6273,0.5601,1580000.0,-9.25
29,2019-08-22,0.573,0.5679,0.5911,0.5327,1490000.0,0.88
30,2019-08-23,0.5748,0.573,0.589,0.5475,1550000.0,0.31
31,2019-08-24,0.5782,0.5747,0.5787,0.5432,1220000.0,0.59
32,2019-08-25,0.5387,0.5784,0.5809,0.5304,1060000.0,-6.83
33,2019-08-26,0.5207,0.5387,0.5592,0.5206,1360000.0,-3.34
34,2019-08-27,0.5231,0.5206,0.5538,0.5096,1380000.0,0.46
35,2019-08-28,0.4392,0.5231,0.535,0.4306,1570000.0,-16.04
36,2019-08-29,0.3998,0.4375,0.4462,0.3935,1800000.0,-8.97
37,2019-08-30,0.4168,0.3999,0.4253,0.3974,1530000.0,4.25
38,2019-08-31,0.4083,0.4168,0.4322,0.3924,1280000.0,-2.04
39,2019-09-01,0.3891,0.4083,0.418,0.3793,1330000.0,-4.70
40,2019-09-02,0.3935,0.3891,0.394,0.3726,1620000.0,1.13
41,2019-09-03,0.3684,0.3935,0.4047,0.3657,1230000.0,-6.38
42,2019-09-04,0.3466,0.3681,0.3819,0.3433,1400000.0,-5.92
43,2019-09-05,0.3894,0.3465,0.3944,0.3381,1640000.0,12.35
44,2019-09-06,0.3458,0.3872,0.4185,0.3416,1940000.0,-11.20
45,2019-09-07,0.3689,0.3458,0.3872,0.3391,1600000.0,6.68
46,2019-09-08,0.3853,0.3688,0.3854,0.3512,1370000.0,4.45
47,2019-09-09,0.3686,0.3853,0.3892,0.3533,1650000.0,-4.33
48,2019-09-10,0.365,0.3685,0.3941,0.3577,1400000.0,-0.98
49,2019-09-11,0.3487,0.365,0.3924,0.3422,1500000.0,-4.47
50,2019-09-12,0.3191,0.3487,0.3503,0.3097,1530000.0,-8.49
51,2019-09-13,0.3181,0.319,0.3674,0.3024,1380000.0,-0.31
52,2019-09-14,0.3205,0.3181,0.3415,0.3019,1280000.0,0.75
53,2019-09-15,0.3279,0.3206,0.3409,0.3063,1490000.0,2.31
54,2019-09-16,0.3219,0.328,0.3397,0.3141,1190000.0,-1.83
55,2019-09-17,0.3193,0.3218,0.3389,0.3099,1250000.0,-0.81
