SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-12-25,2.95,3.12,3.12,2.9,870250.0,-4.80
2,2020-12-26,2.92,2.95,2.95,2.87,476020.0,-1.15
3,2020-12-27,2.9,2.92,3.03,2.9,566730.0,-0.52
4,2020-12-28,2.96,2.9,3.02,2.89,932710.0,1.90
5,2020-12-29,2.92,2.96,2.96,2.87,831350.0,-1.11
6,2020-12-30,2.92,2.92,2.92,2.86,443750.0,-0.29
7,2020-12-31,3.17,2.92,3.17,2.82,859070.0,8.84
8,2021-01-01,3.65,3.17,3.69,3.06,3820000.0,15.09
9,2021-01-02,3.5,3.67,3.75,3.41,1770000.0,-4.30
10,2021-01-03,3.47,3.5,3.75,3.47,989320.0,-0.69
11,2021-01-04,3.6,3.48,3.83,3.29,1240000.0,3.80
12,2021-01-05,4.25,3.61,4.32,3.57,2400000.0,17.94
13,2021-01-06,4.57,4.25,4.88,4.25,2930000.0,7.58
14,2021-01-07,4.47,4.6,4.78,4.47,1470000.0,-2.21
15,2021-01-08,5.79,4.48,5.79,4.32,3030000.0,29.56
16,2021-01-09,7.19,5.71,7.21,5.71,4070000.0000000005,24.08
17,2021-01-10,6.55,7.3,7.32,6.24,1870000.0,-8.84
18,2021-01-11,6.47,6.5,6.63,5.88,2069999.9999999998,-1.24
19,2021-01-12,7.74,6.44,7.83,6.44,3140000.0,19.68
20,2021-01-13,8.45,7.71,8.45,7.28,1710000.0,9.15
21,2021-01-14,9.37,8.49,9.37,8.27,2550000.0,10.80
22,2021-01-15,9.39,9.34,9.64,9.14,1990000.0,0.28
23,2021-01-16,12.82,9.38,12.91,9.28,3900000.0,36.45
24,2021-01-17,13.16,12.77,13.97,12.72,3570000.0,2.72
25,2021-01-18,12.7,13.07,13.73,12.7,1320000.0,-3.50
26,2021-01-19,11.77,12.71,13.32,11.77,1850000.0,-7.38
27,2021-01-20,12.38,11.73,12.58,11.33,1520000.0,5.19
28,2021-01-21,11.31,12.42,12.57,11.25,1720000.0,-8.61
29,2021-01-22,12.73,11.3,13.07,11.3,2250000.0,12.55
30,2021-01-23,12.88,12.77,13.21,12.77,1220000.0,1.14
31,2021-01-24,12.47,12.87,13.15,12.42,907140.0,-3.19
32,2021-01-25,12.15,12.49,12.86,12.15,613590.0,-2.56
33,2021-01-26,12.21,12.18,12.44,11.64,873800.0,0.54
34,2021-01-27,11.17,12.21,12.21,11.17,740310.0,-8.56
35,2021-01-28,11.94,11.13,12.44,11.13,1090000.0,6.92
36,2021-01-29,11.62,11.95,12.06,11.52,1470000.0,-2.71
37,2021-01-30,12.01,11.62,12.14,11.59,1120000.0,3.39
38,2021-01-31,13.47,12.03,14.32,12.03,5020000.0,12.16
39,2021-02-01,13.23,13.41,13.41,12.7,1820000.0,-1.82
40,2021-02-02,13.48,13.21,13.48,12.94,748710.0,1.94
41,2021-02-03,14.84,13.5,14.84,13.35,1270000.0,10.07
42,2021-02-04,15.29,14.85,15.74,14.7,1650000.0,3.06
43,2021-02-05,17.91,15.29,17.91,15.29,1650000.0,17.13
44,2021-02-06,18.1,17.97,18.1,16.58,1550000.0,1.06
45,2021-02-07,23.75,18.08,23.75,18.08,4880000.0,31.18
46,2021-02-08,30.12,23.77,32.74,23.77,5780000.0,26.82
47,2021-02-09,31.54,30.16,31.69,28.46,2660000.0,4.74
48,2021-02-10,54.98,31.9,56.92,31.9,9720000.0,74.32
49,2021-02-11,47.07,55.18,56.02,45.46,4300000.0,-14.38
50,2021-02-12,48.3,47.27,51.05,44.91,3210000.0,2.59
51,2021-02-13,44.15,48.67,50.49,44.15,1890000.0,-8.58
52,2021-02-14,39.13,44.24,44.24,38.91,2830000.0,-11.37
53,2021-02-15,38.2,39.35,43.06,35.31,3930000.0,-2.39
54,2021-02-16,36.49,38.41,38.54,35.78,2560000.0,-4.45
55,2021-02-17,37.36,36.54,39.15,34.57,3080000.0,2.37
56,2021-02-18,40.96,37.33,43.28,36.97,3100000.0,9.63
57,2021-02-19,38.76,41.05,41.05,38.43,2049999.9999999998,-5.36
58,2021-02-20,35.82,38.89,41.6,35.82,3400000.0,-7.59
59,2021-02-21,36.16,35.91,37.54,35.53,1520000.0,0.96
60,2021-02-22,32.22,36.24,36.24,30.9,2970000.0,-10.90
61,2021-02-23,27.54,32.22,32.22,25.12,3660000.0,-14.54
62,2021-02-24,29.86,27.59,31.3,26.94,3230000.0,8.43
63,2021-02-25,26.58,29.71,30.44,26.58,2430000.0,-11.00
64,2021-02-26,25.94,26.74,27.48,25.2,1800000.0,-2.42
65,2021-02-27,25.76,26.11,26.98,25.76,1690000.0,-0.67
66,2021-02-28,23.94,25.63,25.84,22.78,1820000.0,-7.07
67,2021-03-01,27.45,24.07,27.45,24.07,2250000.0,14.68
68,2021-03-02,27.08,27.51,29.67,26.16,5220000.0,-1.35
69,2021-03-03,27.24,27.12,28.52,26.95,2840000.0,0.57
70,2021-03-04,25.78,26.88,28.16,25.2,3090000.0,-5.35
71,2021-03-05,24.35,25.67,25.67,23.79,2370000.0,-5.56
72,2021-03-06,24.9,24.3,25.12,24.14,1480000.0,2.29
73,2021-03-07,26.74,24.98,27.86,24.98,3010000.0,7.37
74,2021-03-08,25.6,26.75,26.96,25.51,2190000.0,-4.25
75,2021-03-09,34.35,25.7,34.35,23.88,10510000.0,34.18
