SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-07-22,24.8001,22.3979,25.8978,22.023,27740000.0,11.71
2,2021-07-23,42.5999,24.9587,48.464,24.297,47000000.0,71.77
3,2021-07-24,44.6661,42.3589,47.5652,38.4593,48370000.0,4.85
4,2021-07-25,43.8368,42.9522,43.9611,38.8051,18210000.0,-1.86
5,2021-07-26,40.9036,43.5624,45.361,35.0425,20830000.0,-6.69
6,2021-07-27,47.0722,40.8718,53.3735,36.2195,36740000.0,15.08
7,2021-07-28,45.627,46.8069,50.4348,44.5233,15680000.0,-3.07
8,2021-07-29,44.3301,45.5847,46.8448,41.6336,12430000.0,-2.84
9,2021-07-30,43.2713,44.1759,45.2711,41.4086,10030000.0,-2.39
10,2021-07-31,42.4886,43.3109,45.6544,41.8692,8279999.999999999,-1.81
11,2021-08-01,37.7532,42.7204,42.8208,37.4256,6640000.0,-11.15
12,2021-08-02,40.2683,38.0784,42.7667,37.98,8770000.0,6.66
13,2021-08-03,38.4281,40.1981,40.237,37.6612,4370000.0,-4.57
14,2021-08-04,43.7793,38.4052,45.9396,37.8238,12650000.0,13.93
15,2021-08-05,42.5522,43.6978,44.9632,41.0612,5900000.0,-2.80
16,2021-08-06,42.5619,42.58,43.9998,41.4628,4139999.9999999995,0.02
17,2021-08-07,41.2951,42.6244,43.5878,40.228,4560000.0,-2.98
18,2021-08-08,42.244,41.2537,47.2586,40.1052,7770000.0,2.30
19,2021-08-09,43.5562,42.0745,45.05,40.6894,5280000.0,3.11
20,2021-08-10,63.9779,43.6975,64.6025,43.2908,16059999.999999998,46.89
21,2021-08-11,66.5134,63.8774,77.1493,63.4412,18360000.0,3.96
22,2021-08-12,65.9429,66.2608,73.8275,63.3714,12270000.0,-0.86
23,2021-08-13,70.513,65.9463,73.7225,65.9463,5880000.0,6.93
24,2021-08-14,67.6815,70.5301,70.6098,65.1234,4110000.0000000005,-4.02
25,2021-08-15,67.8758,67.7366,67.9618,63.375,2920000.0,0.29
26,2021-08-16,66.3136,67.6434,70.748,65.8428,3480000.0,-2.30
27,2021-08-17,71.8706,66.3289,81.9687,65.259,11950000.0,8.38
28,2021-08-18,69.3545,72.5028,74.739,65.6808,6730000.0,-3.50
29,2021-08-19,71.9481,69.3867,73.03,67.3059,3660000.0,3.74
30,2021-08-20,73.6396,71.8944,74.1903,71.482,2880000.0,2.35
31,2021-08-21,76.8243,73.7001,83.3909,73.7001,5470000.0,4.32
32,2021-08-22,77.1244,76.8847,79.4832,73.0726,2460000.0,0.39
33,2021-08-23,77.3631,77.12,78.733,75.2789,2210000.0,0.31
34,2021-08-24,75.0122,77.3601,77.5097,74.6951,1740000.0,-3.04
