SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-08-24,0.9995,0.9997,0.9998,0.9994,883990000.0,-0.02
2,2021-08-23,0.9997,0.9993,0.9998,0.9992,1060000000.0,0.05
3,2021-08-22,0.9992,0.9993,0.9994,0.9992,641500000.0,-0.02
4,2021-08-21,0.9994,0.9997,0.9998,0.9991,849490000.0,-0.03
5,2021-08-20,0.9997,1.0,1.0001,0.9997,1090000000.0,-0.03
6,2021-08-19,1.0,0.9998,1.0002,0.9997,1140000000.0,0.03
7,2021-08-18,0.9997,1.0,1.0001,0.9996,1100000000.0,-0.03
8,2021-08-17,1.0,0.9997,1.0001,0.9996,1210000000.0,0.03
9,2021-08-16,0.9997,0.9992,0.9999,0.9992,1100000000.0,0.04
10,2021-08-15,0.9993,0.9993,0.9995,0.9991,661560000.0,0.00
11,2021-08-14,0.9993,0.9996,0.9996,0.9991,817070000.0,-0.02
12,2021-08-13,0.9995,0.9996,0.9998,0.9995,673870000.0,-0.01
13,2021-08-12,0.9996,0.9995,0.9998,0.9994,865330000.0,0.00
14,2021-08-11,0.9996,0.9996,0.9999,0.9994,964100000.0,0.00
15,2021-08-10,0.9996,0.9997,0.9998,0.9994,747690000.0,-0.01
16,2021-08-09,0.9997,0.9994,0.9999,0.9993,846800000.0,0.04
17,2021-08-08,0.9993,0.9992,0.9996,0.999,934200000.0,0.01
18,2021-08-07,0.9992,0.9995,0.9996,0.9992,1070000000.0000001,-0.03
19,2021-08-06,0.9995,0.9996,1.0,0.9995,941760000.0,-0.01
20,2021-08-05,0.9996,1.0,1.0003,0.9995,1030000000.0,-0.04
21,2021-08-04,1.0,1.0,1.0002,0.9999,581870000.0,0.00
22,2021-08-03,1.0,0.9998,1.0001,0.9997,630270000.0,0.03
23,2021-08-02,0.9997,0.9997,1.0,0.9997,584910000.0,0.01
24,2021-08-01,0.9996,0.9993,0.9998,0.9992,706190000.0,0.03
25,2021-07-31,0.9993,0.9995,0.9997,0.9992,726600000.0,-0.02
26,2021-07-30,0.9995,0.9998,0.9998,0.9994,847370000.0,-0.03
27,2021-07-29,0.9998,0.9999,0.9999,0.9996,615620000.0,-0.01
28,2021-07-28,0.9999,0.9997,1.0,0.9995,995070000.0,0.01
29,2021-07-27,0.9998,0.9997,1.0,0.9995,1240000000.0,0.00
