SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-08-24,46528.56,46735.66,47108.43,46142.33,0.0,-0.54
2,2021-08-23,46781.93,46556.38,47755.55,46323.29,0.0,0.43
3,2021-08-22,46579.31,46169.92,46763.6,45525.28,0.0,0.84
4,2021-08-21,46192.48,48842.63,49206.76,46192.48,0.0,-5.38
5,2021-08-20,48817.55,46285.18,48841.64,46198.79,0.0,5.47
6,2021-08-19,46284.71,42094.45,46523.96,41354.0,0.0,10.00
7,2021-08-18,42075.62,43789.1,45784.17,39862.36,0.0,-3.91
8,2021-08-17,43789.1,46091.33,46628.13,36265.9,0.0,-5.13
9,2021-08-16,46154.87,32910.44,47498.57,32771.77,0.0,40.24
10,2021-08-15,32910.44,32956.92,33144.18,31919.97,0.0,-0.09
11,2021-08-14,32941.41,33461.04,33654.09,32288.05,0.0,-1.55
12,2021-08-13,33461.04,31097.51,33477.04,30973.67,0.0,7.65
13,2021-08-12,31083.7,31890.89,32347.74,30688.51,0.0,-2.62
14,2021-08-11,31919.97,31905.42,32710.51,31760.66,0.0,0.09
15,2021-08-10,31890.89,32407.64,32649.49,31278.15,0.0,-1.73
16,2021-08-09,32452.71,30675.07,32513.0,29965.97,0.0,5.89
17,2021-08-08,30648.21,31194.52,31688.77,30316.37,0.0,-1.75
18,2021-08-07,31194.52,29940.33,31278.15,29762.12,0.0,4.10
19,2021-08-06,29965.97,28606.66,30342.65,27955.47,0.0,4.79
20,2021-08-05,28594.97,27822.14,28937.78,26197.79,0.0,2.78
21,2021-08-04,27822.14,26748.38,27966.64,26296.21,0.0,4.21
22,2021-08-03,26697.37,32422.9,32938.57,26365.54,0.0,-17.72
23,2021-08-02,32448.29,33017.34,33511.53,32071.43,0.0,-2.00
24,2021-08-01,33109.71,34694.03,35596.42,32756.23,0.0,-4.67
25,2021-07-31,34733.08,34912.23,35695.75,34105.6,0.0,-0.69
26,2021-07-30,34973.58,35907.49,36080.89,30245.33,0.0,-2.44
27,2021-07-29,35850.06,35850.66,36418.56,35272.42,0.0,-0.08
28,2021-07-28,35879.35,35355.88,36596.94,34847.45,0.0,1.64
29,2021-07-27,35300.2,33418.75,35300.2,32663.94,0.0,5.55
30,2021-07-26,33443.68,31088.32,36285.92,30970.03,0.0,7.69
31,2021-07-25,31054.28,29658.19,31074.49,29361.45,0.0,7.00
32,2021-07-24,29021.98,28411.63,29061.29,28237.89,0.0,2.25
33,2021-07-23,28382.01,26339.96,28382.01,26132.97,0.0,7.76
34,2021-07-22,26338.66,25798.01,26517.55,25618.94,0.0,2.17
35,2021-07-21,25780.33,24573.62,26511.36,24389.76,0.0,4.95
36,2021-07-20,24565.55,24685.48,24846.37,23642.94,0.0,-0.39
37,2021-07-19,24662.66,24944.23,26295.58,23984.27,0.0,-1.10
38,2021-07-18,24936.31,25623.31,26361.47,21986.55,0.0,-2.68
39,2021-07-17,25623.31,25535.46,25972.39,25391.89,0.0,0.22
40,2021-07-16,25567.55,26235.44,26558.83,25511.6,0.0,-2.33
41,2021-07-15,26177.1,27051.53,27329.24,25697.69,0.0,-3.23
42,2021-07-14,27051.53,26649.21,27212.28,25737.36,0.0,1.58
43,2021-07-13,26631.79,26955.49,27132.41,26280.57,0.0,-1.33
44,2021-07-12,26991.22,28227.23,28528.9,26787.73,0.0,-4.31
45,2021-07-11,28207.91,27628.35,28501.04,27461.53,0.0,2.13
46,2021-07-10,27619.1,28522.64,28883.64,27481.67,0.0,-3.27
47,2021-07-09,28551.59,27433.95,28776.0,26972.54,0.0,4.07
48,2021-07-08,27434.11,28111.32,29057.78,27184.3,0.0,-2.60
49,2021-07-07,28167.57,28481.01,29145.53,28127.79,0.0,-0.99
50,2021-07-06,28450.43,28022.4,29161.76,27945.77,0.0,1.53
51,2021-07-05,28022.4,28611.52,31669.19,27613.18,0.0,-2.27
52,2021-07-04,28672.14,28651.15,29231.69,28611.52,0.0,0.07
53,2021-07-03,28651.15,26476.67,29137.64,25560.97,0.0,8.13
54,2021-07-02,26496.96,27376.84,27711.16,26390.68,0.0,-3.18
55,2021-07-01,27367.67,28623.82,28623.82,26830.21,0.0,-4.42
56,2021-06-30,28633.85,29342.96,29501.44,27846.85,0.0,-2.35
57,2021-06-29,29321.92,28196.38,29986.85,28047.95,0.0,3.80
58,2021-06-28,28248.71,30569.49,30804.3,27707.32,0.0,-7.36
59,2021-06-27,30494.63,27319.37,30533.84,27131.18,0.0,12.02
60,2021-06-26,27221.72,26187.78,27221.72,25177.34,0.0,3.82
61,2021-06-25,26219.64,29845.29,30694.0,25750.16,0.0,-12.24
62,2021-06-24,29875.48,28527.76,30044.57,27475.71,0.0,4.66
63,2021-06-23,28545.79,27344.29,29116.15,26735.13,0.0,4.43
64,2021-06-22,27335.39,27306.53,29549.18,25737.35,0.0,-0.21
65,2021-06-21,27392.46,29982.19,30067.88,26935.13,0.0,-8.80
66,2021-06-20,30035.69,28900.53,30396.71,27857.41,0.0,3.78
67,2021-06-19,28940.84,32379.74,32874.23,28826.35,0.0,-10.52
68,2021-06-18,32345.01,34436.29,34528.22,31848.64,0.0,-6.07
69,2021-06-17,34436.29,34736.39,35782.7,33911.05,0.0,-0.83
70,2021-06-16,34723.07,36392.61,36665.05,34564.86,0.0,-4.70
