SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-08-03,327.4,399.0,435.0,302.1,187930.0,-17.94
2,2017-08-04,220.61,327.4,354.0,220.5,355740.0,-32.62
3,2017-08-05,210.0,220.61,277.45,194.66,330680.0,-4.81
4,2017-08-06,217.75,210.0,222.99,190.1,292110.0,3.69
5,2017-08-07,320.0,217.75,370.0,215.0,934700.0,46.96
6,2017-08-08,342.23,320.0,387.2,307.5,588840.0,6.95
7,2017-08-09,301.0,342.23,348.0,287.0,285680.0,-12.05
8,2017-08-10,273.11,301.0,312.0,265.0,254200.0,-9.27
9,2017-08-11,325.54,273.11,351.47,270.01,331840.0,19.20
10,2017-08-12,315.09,325.54,345.25,308.0,116080.0,-3.21
11,2017-08-13,296.26,315.09,318.99,292.14,128370.0,-5.98
12,2017-08-14,299.3,296.26,331.0,290.45,147900.0,1.03
13,2017-08-15,297.01,299.3,307.35,290.0,88220.0,-0.77
14,2017-08-16,299.99,297.01,311.0,282.0,87790.0,1.00
15,2017-08-17,444.0,299.99,451.62,291.1,417330.0,48.00
16,2017-08-18,686.28,444.0,774.98,437.1,1530000.0,54.57
17,2017-08-19,746.58,686.28,972.0,602.02,1150000.0,8.79
18,2017-08-20,716.4,746.58,851.79,677.0,569660.0,-4.04
19,2017-08-21,606.04,716.4,749.9,558.16,531560.0,-15.40
20,2017-08-22,686.12,606.04,736.0,565.89,465910.0,13.21
21,2017-08-23,674.0,686.12,711.77,651.0,141910.0,-1.77
22,2017-08-24,618.8,674.0,704.37,601.0,175610.0,-8.19
23,2017-08-25,632.2,618.8,664.0,614.39,115760.0,2.17
24,2017-08-26,622.0,632.2,638.99,611.1,72560.0,-1.61
25,2017-08-27,615.0,622.0,653.04,581.23,148570.0,-1.13
26,2017-08-28,590.7,615.0,628.28,574.25,68920.0,-3.95
27,2017-08-29,544.12,590.7,597.51,523.06,187760.0,-7.89
28,2017-08-30,579.61,544.12,618.0,528.97,203260.0,6.52
29,2017-08-31,593.32,579.61,609.93,567.0,102620.0,2.37
30,2017-09-01,628.01,593.32,656.99,586.0,147260.0,5.85
31,2017-09-02,572.0,628.01,646.53,561.6,139450.0,-8.92
32,2017-09-03,610.71,572.0,623.31,555.24,100020.0,6.77
33,2017-09-04,518.98,610.71,612.43,497.14,176360.0,-15.02
34,2017-09-05,545.0,518.98,559.98,470.1,154410.0,5.01
35,2017-09-06,644.51,545.0,657.7,532.08,211900.0,18.26
36,2017-09-07,665.94,644.51,719.0,599.35,225710.0,3.33
37,2017-09-08,604.0,665.94,698.25,571.31,218660.0,-9.30
38,2017-09-09,586.99,604.0,610.47,565.53,77300.0,-2.82
39,2017-09-10,557.8,586.99,587.24,523.3,98510.0,-4.97
40,2017-09-11,555.0,557.8,589.0,550.0,56980.0,-0.50
41,2017-09-12,538.98,555.0,578.43,528.8,63250.0,-2.89
42,2017-09-13,505.96,538.98,538.98,470.5,148490.0,-6.13
43,2017-09-14,386.77,505.96,517.42,385.5,234950.0,-23.56
44,2017-09-15,429.77,386.77,455.28,300.01,539900.0,11.12
45,2017-09-16,443.29,429.77,470.77,409.71,181600.0,3.15
46,2017-09-17,438.34,443.29,451.0,407.06,72780.0,-1.12
47,2017-09-18,487.65,438.34,494.7,438.34,148200.0,11.25
48,2017-09-19,531.49,487.65,549.0,454.22,195670.0,8.99
49,2017-09-20,477.9,531.49,531.49,472.7,211700.0,-10.08
50,2017-09-21,415.8,477.9,484.9,412.0,140490.0,-12.99
51,2017-09-22,409.5,415.8,435.39,392.25,142250.0,-1.52
52,2017-09-23,429.92,409.5,436.42,403.01,69100.0,4.99
53,2017-09-24,421.0,429.92,435.99,415.0,81820.0,-2.07
54,2017-09-25,451.3,421.0,458.35,420.2,125270.0,7.20
55,2017-09-26,450.0,451.3,466.21,448.99,71710.0,-0.29
56,2017-09-27,463.0,450.0,470.0,435.96,169930.0,2.89
57,2017-09-28,458.0,463.0,484.9,439.18,167890.0,-1.08
58,2017-09-29,441.67,458.0,459.96,430.33,103610.0,-3.57
59,2017-09-30,437.43,441.67,455.89,433.4,139510.0,-0.96
60,2017-10-01,417.8,437.43,441.1,416.5,144270.0,-4.49
61,2017-10-02,420.0,417.8,432.45,409.98,174480.0,0.53
62,2017-10-03,401.01,420.0,421.49,393.02,88700.0,-4.52
63,2017-10-04,355.85,401.01,404.04,350.69,323820.0,-11.26
64,2017-10-05,354.49,355.85,368.3,343.53,285930.0,-0.38
65,2017-10-06,363.62,354.49,374.98,352.42,125640.0,2.58
66,2017-10-07,360.0,363.62,372.0,354.63,78380.0,-1.00
67,2017-10-08,343.67,360.0,365.0,334.04,155380.0,-4.54
68,2017-10-09,312.3,343.67,343.99,280.1,326150.0,-9.13
