SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-11-19,71.97,107.67,110.42,70.41,413760.0,-33.16
2,2018-11-20,55.92,71.97,74.13,51.17,552350.0,-22.30
3,2018-11-21,54.4,55.92,59.62,51.87,263680.0,-2.72
4,2018-11-22,43.02,54.4,55.49,42.67,230570.0,-20.92
5,2018-11-23,56.87,43.38,63.58,37.59,672780.0,32.19
6,2018-11-24,59.78,55.4,71.82,52.64,757290.0,5.11
7,2018-11-25,92.59,59.78,99.91,56.68,1240000.0,54.90
8,2018-11-26,119.52,92.59,135.3,89.79,1620000.0,29.08
9,2018-11-27,98.75,119.52,129.01,86.83,899210.0,-17.38
10,2018-11-28,100.27,98.75,111.34,83.74,958060.0,1.54
11,2018-11-29,98.93,100.28,102.47,91.63,469390.0,-1.34
12,2018-11-30,95.52,98.94,107.0,92.97,520840.00000000006,-3.45
13,2018-12-01,93.56,95.52,96.97,88.12,348680.0,-2.05
14,2018-12-02,100.36,93.79,104.04,92.34,516549.99999999994,7.27
15,2018-12-03,94.92,100.36,100.84,91.53,404850.0,-5.42
16,2018-12-04,90.17,94.8,95.19,89.67,240810.0,-5.00
17,2018-12-05,86.64,90.17,93.8,84.97,292890.0,-3.92
18,2018-12-06,103.47,86.64,110.19,86.58,655770.0,19.43
19,2018-12-07,103.35,103.45,115.46,94.1,704150.0,-0.11
20,2018-12-08,97.43,103.39,103.92,96.49,259800.0,-5.73
21,2018-12-09,96.11,97.18,99.28,91.46,268400.0,-1.36
22,2018-12-10,94.13,96.1,100.73,93.72,203490.0,-2.06
23,2018-12-11,90.35,94.14,94.29,86.37,212250.0,-4.02
24,2018-12-12,88.19,89.07,95.78,87.32,167780.0,-2.39
25,2018-12-13,78.26,88.13,88.38,76.92,236580.0,-11.25
26,2018-12-14,70.12,78.24,81.62,69.17,312030.0,-10.41
27,2018-12-15,67.82,70.12,73.76,64.15,301750.0,-3.27
28,2018-12-16,77.27,67.82,79.86,67.37,449110.0,13.94
29,2018-12-17,81.35,77.27,81.81,74.7,445050.0,5.28
30,2018-12-18,83.63,81.35,84.84,76.71,440550.0,2.80
31,2018-12-19,84.93,83.63,96.34,81.65,725470.0,1.55
32,2018-12-20,110.07,84.92,123.05,83.57,1360000.0,29.61
33,2018-12-21,107.2,110.09,129.11,101.5,1340000.0,-2.61
34,2018-12-22,107.82,107.18,113.1,101.09,583800.0,0.58
35,2018-12-23,105.83,107.82,112.74,103.14,480940.0,-1.84
36,2018-12-24,101.47,105.84,110.84,100.07,529390.0,-4.12
37,2018-12-25,92.2,101.49,101.49,88.16,501870.0,-9.13
38,2018-12-26,93.18,92.15,97.72,89.57,386760.0,1.05
39,2018-12-27,83.43,93.17,96.58,82.44,314210.0,-10.46
40,2018-12-28,91.73,83.64,92.79,81.02,395960.0,9.95
41,2018-12-29,86.69,91.73,92.31,86.35,266270.0,-5.50
42,2018-12-30,87.21,86.69,88.43,85.61,174450.0,0.61
43,2018-12-31,84.03,87.24,87.24,83.58,152900.0,-3.64
44,2019-01-01,90.67,84.1,94.33,83.66,320600.0,7.90
45,2019-01-02,92.97,90.88,94.18,88.73,271390.0,2.53
46,2019-01-03,87.4,92.97,94.09,85.65,244820.0,-5.99
47,2019-01-04,86.31,87.4,88.82,84.38,220520.0,-1.25
48,2019-01-05,87.17,86.25,90.48,85.38,187670.0,1.00
49,2019-01-06,88.44,87.16,89.77,85.7,170930.0,1.47
50,2019-01-07,87.72,88.42,88.42,86.61,120120.0,-0.82
51,2019-01-08,86.24,87.77,88.16,85.69,138960.0,-1.69
52,2019-01-09,85.77,86.25,86.61,85.45,106840.0,-0.54
53,2019-01-10,74.41,85.77,88.33,73.59,276920.0,-13.24
54,2019-01-11,73.5,74.4,75.25,72.38,192510.0,-1.23
55,2019-01-12,81.21,73.5,83.92,73.5,499460.0,10.50
56,2019-01-13,76.35,81.2,86.35,73.45,458950.0,-5.99
57,2019-01-14,79.02,76.35,80.91,75.01,279800.0,3.49
58,2019-01-15,76.02,79.02,80.66,75.01,208230.0,-3.79
59,2019-01-16,76.91,76.02,78.57,75.58,187220.0,1.17
60,2019-01-17,76.83,76.91,77.66,75.2,161000.0,-0.10
61,2019-01-18,74.97,76.83,77.55,74.38,159190.0,-2.43
62,2019-01-19,76.32,74.97,77.19,74.97,152950.0,1.80
63,2019-01-20,74.25,77.12,77.14,73.28,141440.0,-2.71
64,2019-01-21,74.26,74.25,76.42,73.85,143930.0,0.01
65,2019-01-22,75.34,74.22,76.28,72.09,169060.0,1.46
66,2019-01-23,75.0,75.34,76.89,74.46,157880.0,-0.45
67,2019-01-24,74.06,75.06,76.0,73.62,126640.0,-1.26
68,2019-01-25,74.15,74.03,76.74,73.42,148860.0,0.12
69,2019-01-26,73.43,74.15,76.31,73.29,128910.0,-0.96
70,2019-01-27,71.42,73.43,74.85,70.81,143340.0,-2.73
71,2019-01-28,64.5,71.42,71.46,62.12,242100.0,-9.70
72,2019-01-29,63.06,64.5,65.52,61.36,199000.0,-2.23
73,2019-01-30,65.94,63.06,67.75,62.52,205460.0,4.57
74,2019-01-31,63.47,65.94,67.08,62.65,168990.0,-3.75
75,2019-02-01,64.06,63.47,64.98,63.02,164850.0,0.94
76,2019-02-02,65.58,63.97,65.88,63.7,168870.0,2.38
77,2019-02-03,63.83,65.58,65.73,63.35,152660.0,-2.68
78,2019-02-04,63.08,63.85,64.23,62.94,143530.0,-1.18
79,2019-02-05,61.0,63.09,63.22,60.8,166240.0,-3.30
80,2019-02-06,62.81,61.01,69.56,57.6,416400.0,2.97
81,2019-02-07,62.5,62.81,65.98,61.06,256750.0,-0.48
82,2019-02-08,67.12,62.51,69.24,61.59,287930.0,7.38
83,2019-02-09,65.82,67.12,67.46,65.15,181950.0,-1.94
84,2019-02-10,66.59,65.81,66.59,63.47,170710.0,1.18
85,2019-02-11,65.05,66.6,66.89,64.82,165860.0,-2.31
86,2019-02-12,65.49,65.05,66.78,64.19,189810.0,0.67
87,2019-02-13,64.34,65.49,65.92,64.03,163530.0,-1.76
88,2019-02-14,62.34,64.38,64.55,62.34,156790.0,-3.11
89,2019-02-15,62.25,62.34,63.34,61.61,142190.0,-0.14
90,2019-02-16,62.13,62.24,62.97,61.79,134140.0,-0.20
91,2019-02-17,62.87,62.13,63.56,61.72,191060.0,1.20
92,2019-02-18,67.58,62.81,70.11,62.76,337370.0,7.49
93,2019-02-19,66.59,67.58,70.78,66.59,287230.0,-1.46
94,2019-02-20,67.1,66.59,67.64,64.8,211350.0,0.76
95,2019-02-21,65.19,67.1,67.56,64.62,182200.0,-2.84
96,2019-02-22,65.39,65.19,65.99,64.68,183860.0,0.30
97,2019-02-23,68.55,65.39,68.55,64.86,230000.0,4.83
98,2019-02-24,60.59,68.6,69.59,60.12,337160.0,-11.60
99,2019-02-25,67.63,60.59,71.75,60.5,453810.0,11.61
100,2019-02-26,73.82,67.63,75.14,67.6,4170000.0,9.16
101,2019-02-27,67.45,73.82,73.93,65.67,1710000.0,-8.64
102,2019-02-28,66.36,67.46,69.44,65.91,886020.0,-1.61
103,2019-03-01,66.41,66.36,67.96,66.01,476570.0,0.07
104,2019-03-02,66.23,66.41,66.93,65.52,322820.0,-0.27
105,2019-03-03,64.85,66.23,66.52,64.56,407830.0,-2.09
106,2019-03-04,62.71,64.83,64.91,62.07,504830.0,-3.30
107,2019-03-05,66.32,62.71,67.11,62.66,826960.0,5.76
108,2019-03-06,66.22,66.32,66.88,65.55,437550.0,-0.14
109,2019-03-07,66.19,66.22,66.63,65.71,371760.0,-0.05
110,2019-03-08,64.9,66.19,69.56,64.6,747870.0,-1.95
111,2019-03-09,66.41,64.9,68.26,64.84,489950.0,2.33
112,2019-03-10,66.33,66.41,68.27,65.66,338870.0,-0.12
113,2019-03-11,64.78,66.33,66.62,64.54,462790.0,-2.35
114,2019-03-12,65.41,64.78,65.68,63.74,357820.0,0.98
115,2019-03-13,64.28,65.41,65.63,63.98,363230.0,-1.72
116,2019-03-14,65.74,64.28,67.18,64.27,513549.99999999994,2.26
117,2019-03-15,67.05,65.74,68.01,65.26,503160.0,2.00
118,2019-03-16,68.19,67.05,71.61,67.0,1720000.0,1.70
119,2019-03-17,67.71,68.19,68.58,66.58,656010.0,-0.70
120,2019-03-18,66.58,67.72,69.9,65.7,1060000.0,-1.67
121,2019-03-19,66.22,66.58,66.8,65.41,599490.0,-0.54
122,2019-03-20,66.24,66.22,66.39,65.32,680650.0,0.04
123,2019-03-21,65.2,66.25,68.18,63.75,1010000.0,-1.57
124,2019-03-22,66.15,65.2,66.85,64.96,524270.0,1.46
125,2019-03-23,66.87,66.16,67.75,65.79,777010.0,1.08
126,2019-03-24,65.66,66.87,66.92,65.54,563540.0,-1.81
127,2019-03-25,64.16,65.66,65.69,63.28,733990.0,-2.29
128,2019-03-26,64.01,64.15,64.94,62.92,631500.0,-0.23
129,2019-03-27,65.24,64.01,65.34,63.89,553580.0,1.93
130,2019-03-28,63.89,65.24,65.25,63.83,544720.0,-2.07
131,2019-03-29,64.36,63.89,64.95,63.73,680050.0,0.73
132,2019-03-30,64.97,64.36,66.61,64.36,758990.0,0.95
133,2019-03-31,64.88,64.97,65.07,64.17,447540.0,-0.13
134,2019-04-01,65.86,64.88,66.57,64.47,814700.0,1.51
135,2019-04-02,78.7,65.86,80.75,65.85,3980000.0,19.49
136,2019-04-03,82.83,78.7,95.37,78.46,9730000.0,5.25
137,2019-04-04,82.65,82.83,92.64,80.29,996500.0,-0.22
138,2019-04-05,83.81,82.65,85.72,82.22,611870.0,1.41
139,2019-04-06,84.3,83.82,89.39,82.14,643640.0,0.59
140,2019-04-07,85.9,84.31,87.44,83.29,609910.0,1.90
141,2019-04-08,82.44,85.9,87.78,79.91,648900.0,-4.03
142,2019-04-09,78.04,82.44,82.45,76.57,547740.0,-5.33
143,2019-04-10,79.76,78.03,81.5,77.26,381650.0,2.20
144,2019-04-11,71.47,79.73,84.08,68.32,625230.0,-10.39
145,2019-04-12,70.92,71.46,74.63,68.49,535310.0,-0.77
146,2019-04-13,69.49,70.94,71.56,69.02,439190.0,-2.02
147,2019-04-14,70.9,69.49,70.96,68.77,388150.0,2.03
148,2019-04-15,59.04,70.92,74.17,58.61,1050000.0,-16.73
149,2019-04-16,56.83,59.04,61.45,53.81,812610.0,-3.74
150,2019-04-17,55.05,56.8,56.87,54.34,523299.99999999994,-3.14
151,2019-04-18,59.15,55.04,62.16,54.52,755400.0,7.46
152,2019-04-19,59.02,59.15,60.62,57.59,423840.0,-0.23
153,2019-04-20,58.41,59.02,59.27,58.18,432190.0,-1.02
154,2019-04-21,56.29,58.41,58.52,54.87,463530.0,-3.63
155,2019-04-22,57.48,56.33,59.27,55.16,333550.0,2.11
156,2019-04-23,55.89,57.48,58.48,55.86,398450.0,-2.77
157,2019-04-24,54.13,55.89,56.07,50.25,460200.0,-3.14
158,2019-04-25,52.25,54.13,55.89,51.5,432540.0,-3.47
159,2019-04-26,54.65,52.25,56.63,51.94,453180.0,4.58
160,2019-04-27,55.2,54.69,55.86,53.69,364300.0,1.01
161,2019-04-28,54.79,55.16,56.06,54.43,381290.0,-0.73
162,2019-04-29,53.26,54.79,54.94,52.71,429650.0,-2.79
163,2019-04-30,54.38,53.26,54.59,52.88,365400.0,2.11
164,2019-05-01,53.9,54.38,55.22,53.6,375940.0,-0.89
165,2019-05-02,53.52,53.82,54.27,52.96,414070.0,-0.70
166,2019-05-03,54.12,53.52,54.92,52.84,328800.0,1.11
167,2019-05-04,53.71,54.12,54.99,52.8,348820.0,-0.75
168,2019-05-05,53.73,53.71,54.76,53.25,304100.0,0.03
169,2019-05-06,52.79,53.73,53.74,51.82,309420.0,-1.75
170,2019-05-07,52.9,52.86,53.96,52.62,303770.0,0.21
171,2019-05-08,59.28,52.9,59.39,52.46,458610.0,12.06
172,2019-05-09,56.89,59.3,59.31,55.8,361330.0,-4.04
173,2019-05-10,57.71,56.89,58.72,55.69,316270.0,1.45
174,2019-05-11,60.54,57.71,63.22,57.13,462150.0,4.90
175,2019-05-12,57.91,60.52,64.37,56.21,379240.0,-4.35
176,2019-05-13,60.22,57.91,61.59,57.23,349530.0,3.99
177,2019-05-14,60.19,60.19,63.86,58.55,368480.0,-0.05
178,2019-05-15,72.03,60.16,74.36,59.93,543970.0,19.67
179,2019-05-16,64.66,71.91,75.2,63.44,1330000.0,-10.23
180,2019-05-17,60.59,64.66,65.45,55.91,1000000.0,-6.29
181,2019-05-18,59.67,60.59,61.19,59.07,481130.0,-1.52
182,2019-05-19,65.16,59.67,66.58,59.51,843780.0,9.19
183,2019-05-20,63.0,65.16,65.16,60.33,627720.0,-3.32
184,2019-05-21,105.73,63.01,139.08,61.52,2490000.0,67.84
185,2019-05-22,105.05,105.76,118.34,97.58,1470000.0,-0.65
186,2019-05-23,101.65,105.53,105.53,95.32,1020000.0,-3.24
187,2019-05-24,98.71,101.61,101.66,96.12,993230.0,-2.89
188,2019-05-25,91.96,98.71,99.22,87.63,907120.0,-6.84
189,2019-05-26,105.38,91.97,113.86,87.47,1260000.0,14.60
190,2019-05-27,115.44,105.38,122.14,103.61,1420000.0,9.54
191,2019-05-28,121.71,115.44,126.3,114.25,1060000.0,5.44
192,2019-05-29,204.83,121.72,206.59,114.27,37400000.0,68.29
193,2019-05-30,182.52,204.84,250.77,173.77,3260000.0,-10.89
194,2019-05-31,195.13,182.52,199.76,175.84,1510000.0,6.91
195,2019-06-01,188.71,195.12,195.45,185.47,831430.0,-3.29
