SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-01-30,0.15,0.17,0.17,0.14,530470.0,-7.95
2,2018-01-31,0.14,0.15,0.15,0.13,396050.0,-11.10
3,2018-02-01,0.11,0.14,0.14,0.11,987260.0,-17.46
4,2018-02-02,0.1,0.11,0.11,0.08,1810000.0,-8.32
5,2018-02-03,0.11,0.1,0.12,0.09,1200000.0,6.85
6,2018-02-04,0.09,0.11,0.12,0.09,1040000.0,-18.16
7,2018-02-05,0.07,0.09,0.09,0.06,756000.0,-24.39
8,2018-02-06,0.09,0.07,0.09,0.05,819460.0,26.28
9,2018-02-07,0.08,0.09,0.09,0.07,890850.0,-10.06
10,2018-02-08,0.09,0.08,0.09,0.08,211470.0,15.81
11,2018-02-09,0.1,0.09,0.1,0.09,746800.0,5.99
12,2018-02-10,0.08,0.1,0.1,0.08,684670.0,-13.93
13,2018-02-11,0.08,0.08,0.08,0.08,292770.0,0.00
14,2018-02-12,0.09,0.08,0.09,0.08,225650.0,0.00
15,2018-02-13,0.08,0.09,0.09,0.08,589310.0,-7.40
16,2018-02-14,0.1,0.08,0.11,0.08,1370000.0,26.47
17,2018-02-15,0.1,0.1,0.1,0.09,784380.0,0.00
18,2018-02-16,0.12,0.1,0.12,0.09,625950.0,16.37
19,2018-02-17,0.14,0.12,0.14,0.12,1070000.0,15.17
20,2018-02-18,0.12,0.14,0.14,0.11,888980.0,-14.57
21,2018-02-19,0.13,0.12,0.13,0.12,695270.0,10.59
22,2018-02-20,0.11,0.13,0.13,0.11,529890.0,-12.54
23,2018-02-21,0.11,0.11,0.12,0.1,478580.0,0.00
24,2018-02-22,0.1,0.11,0.11,0.09,279450.0,-10.21
25,2018-02-23,0.11,0.1,0.12,0.09,465840.0,13.75
26,2018-02-24,0.1,0.11,0.12,0.1,436380.0,-8.09
27,2018-02-25,0.1,0.1,0.1,0.09,280870.0,0.00
28,2018-02-26,0.1,0.1,0.1,0.09,293140.0,0.00
29,2018-02-27,0.11,0.1,0.11,0.1,599120.0,7.29
30,2018-02-28,0.1,0.11,0.11,0.1,210820.0,-8.29
31,2018-03-01,0.1,0.1,0.11,0.09,255020.0,0.00
32,2018-03-02,0.09,0.1,0.1,0.09,331740.0,-5.97
33,2018-03-03,0.09,0.09,0.09,0.09,347110.0,0.00
34,2018-03-04,0.09,0.09,0.09,0.09,566720.0,0.00
35,2018-03-05,0.09,0.09,0.09,0.09,446450.0,0.00
36,2018-03-06,0.07,0.09,0.09,0.07,589840.0,-13.95
37,2018-03-07,0.07,0.07,0.08,0.06,868030.0,-10.00
38,2018-03-08,0.06,0.07,0.07,0.06,638680.0,-10.21
39,2018-03-09,0.06,0.06,0.06,0.05,367040.0,0.00
40,2018-03-10,0.06,0.06,0.07,0.05,316360.0,0.00
41,2018-03-11,0.06,0.06,0.06,0.05,144080.0,0.00
42,2018-03-12,0.06,0.06,0.07,0.06,185570.0,0.00
43,2018-03-13,0.06,0.06,0.06,0.06,161220.0,0.00
44,2018-03-14,0.05,0.06,0.06,0.05,564040.0,-10.78
45,2018-03-15,0.05,0.05,0.05,0.05,366090.0,0.00
46,2018-03-16,0.05,0.05,0.06,0.05,388430.0,0.00
47,2018-03-17,0.05,0.05,0.06,0.05,293970.0,-14.71
48,2018-03-18,0.04,0.05,0.05,0.03,688590.0,0.00
49,2018-03-19,0.05,0.04,0.05,0.04,554030.0,0.00
50,2018-03-20,0.05,0.05,0.05,0.04,827130.0,0.00
51,2018-03-21,0.05,0.05,0.06,0.05,586570.0,0.00
52,2018-03-22,0.05,0.05,0.06,0.05,385110.0,0.00
53,2018-03-23,0.05,0.05,0.05,0.05,216150.0,0.00
54,2018-03-24,0.05,0.05,0.06,0.05,648720.0,0.00
55,2018-03-25,0.06,0.05,0.06,0.05,455740.0,0.00
56,2018-03-26,0.05,0.06,0.06,0.05,419710.0,-9.25
