SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-02-02,0.49,0.51,0.52,0.37,21740.0,-4.10
2,2018-02-03,0.51,0.49,0.54,0.47,12690.0,3.48
3,2018-02-04,0.44,0.51,0.52,0.42,19420.0,-14.26
4,2018-02-05,0.4,0.44,0.46,0.32,17420.0,-8.82
5,2018-02-06,0.42,0.4,0.45,0.28,42930.0,6.22
6,2018-02-07,0.38,0.42,0.46,0.36,16000.0,-10.36
7,2018-02-08,0.42,0.38,0.43,0.38,2660.0,10.90
8,2018-02-09,0.44,0.42,0.46,0.39,22350.0,5.49
9,2018-02-10,0.41,0.44,0.47,0.4,36730.0,-6.97
10,2018-02-11,0.42,0.41,0.43,0.38,9050.0,1.92
11,2018-02-12,0.49,0.42,0.53,0.4,16750.0,17.96
12,2018-02-13,0.57,0.49,0.62,0.45,27110.0,15.31
13,2018-02-14,0.57,0.57,0.58,0.52,14680.0,0.00
14,2018-02-15,0.56,0.57,0.58,0.53,15250.0,0.00
15,2018-02-16,0.67,0.56,0.68,0.56,10580.0,18.92
16,2018-02-17,0.68,0.67,0.69,0.59,15930.0,1.22
17,2018-02-18,0.7,0.68,0.8,0.58,18890.0,3.69
18,2018-02-19,0.78,0.7,0.87,0.69,61630.0,10.76
19,2018-02-20,0.75,0.78,0.82,0.73,21030.0,-3.83
20,2018-02-21,0.62,0.75,0.75,0.62,6590.0,-17.70
21,2018-02-22,0.62,0.62,0.7,0.56,3890.0,0.00
22,2018-02-23,0.67,0.62,0.68,0.58,2080.0,8.34
23,2018-02-24,0.65,0.67,0.72,0.59,14510.0,-3.32
24,2018-02-25,0.68,0.65,0.69,0.6,18020.0,4.68
25,2018-02-26,0.69,0.68,0.71,0.61,16690.0,2.04
26,2018-02-27,0.72,0.69,0.78,0.66,6130.0,4.21
27,2018-02-28,0.66,0.72,0.77,0.66,10240.0,-8.49
28,2018-03-01,0.68,0.66,0.68,0.65,9270.0,3.10
29,2018-03-02,0.65,0.68,0.71,0.62,3580.0,-5.41
30,2018-03-03,0.65,0.65,0.67,0.62,10750.0,0.87
31,2018-03-04,0.59,0.65,0.66,0.59,9710.0,-9.19
32,2018-03-05,0.57,0.59,0.63,0.57,10060.0,-2.69
33,2018-03-06,0.57,0.57,0.6,0.54,12690.0,0.00
34,2018-03-07,0.52,0.57,0.6,0.44,26490.0,-8.17
35,2018-03-08,0.53,0.52,0.53,0.47,8180.0,0.00
36,2018-03-09,0.45,0.53,0.53,0.44,3680.0,-15.23
37,2018-03-10,0.47,0.45,0.52,0.45,6630.0,4.58
38,2018-03-11,0.51,0.47,0.51,0.45,8380.0,9.43
39,2018-03-12,0.49,0.51,0.55,0.49,26240.0,-3.87
