SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2019-05-15,4.5473,4.0217,4.6744,4.0139,1520000.0,13.02
2,2019-05-16,4.2728,4.5473,4.7858,4.0073,1870000.0,-6.04
3,2019-05-17,4.4733,4.2728,4.7942,3.9808,1570000.0,4.69
4,2019-05-18,4.6999,4.4733,4.9659,4.3411,516110.0,5.07
5,2019-05-19,4.8683,4.6999,5.1632,4.6529,1080000.0,3.58
6,2019-05-20,4.6664,4.8694,4.8694,4.4533,952760.0,-4.15
7,2019-05-21,4.7393,4.6682,4.7991,4.4943,735270.0,1.56
8,2019-05-22,4.3078,4.7393,4.8087,4.3078,972240.0,-9.11
9,2019-05-23,4.336,4.3078,4.358,4.1208,798080.0,0.65
10,2019-05-24,4.4584,4.336,4.7616,4.2669,1310000.0,2.82
11,2019-05-25,4.3866,4.4584,4.5948,4.3049,945190.0,-1.61
12,2019-05-26,4.4868,4.3866,4.5436,4.2685,1320000.0,2.28
13,2019-05-27,4.6593,4.487,4.6877,4.4778,2830000.0,3.84
14,2019-05-28,4.7828,4.6594,4.8722,4.4849,1140000.0,2.65
15,2019-05-29,4.6945,4.7828,4.8625,4.5046,794520.0,-1.85
16,2019-05-30,5.8823,4.6937,6.5758,4.6838,1100000.0,25.30
17,2019-05-31,5.7951,5.9165,5.9553,5.2238,902340.0,-1.48
18,2019-06-01,5.769,5.7889,6.3197,5.6271,1100000.0,-0.45
19,2019-06-02,6.3899,5.7715,6.405,5.5919,715450.0,10.76
20,2019-06-03,6.5201,6.3899,7.2342,5.9938,973260.0,2.04
21,2019-06-04,5.9283,6.5193,6.8442,5.7894,873780.0,-9.08
22,2019-06-05,6.1447,5.9297,6.2576,5.6343,497240.0,3.65
23,2019-06-06,5.9882,6.1447,6.1447,5.6394,385450.0,-2.55
24,2019-06-07,6.2931,5.9828,6.55,5.8879,389440.0,5.09
25,2019-06-08,6.0912,6.2931,6.3115,5.9446,253620.0,-3.21
26,2019-06-09,5.8402,6.0912,6.1789,5.6958,305880.0,-4.12
27,2019-06-10,6.084,5.8343,6.084,5.7408,308160.0,4.17
28,2019-06-11,5.94,6.0836,6.1348,5.772,385760.0,-2.37
29,2019-06-12,6.1152,5.94,6.256,5.8548,374900.0,2.95
30,2019-06-13,6.2687,6.1152,6.5008,6.0282,361630.0,2.51
31,2019-06-14,6.2377,6.2683,6.2764,5.8843,432370.0,-0.50
32,2019-06-15,6.1625,6.2377,6.2656,6.1093,481440.0,-1.20
33,2019-06-16,6.7156,6.1647,6.7357,6.1351,551000.0,8.97
34,2019-06-17,7.0019,6.7156,7.0901,6.46,351880.0,4.26
35,2019-06-18,6.5869,7.0019,7.0244,6.4767,521789.99999999994,-5.93
36,2019-06-19,6.6257,6.5869,6.8013,6.5542,298870.0,0.59
37,2019-06-20,6.502,6.6259,6.6292,6.2993,359690.0,-1.87
38,2019-06-21,6.5207,6.502,6.5834,6.3425,553550.0,0.29
39,2019-06-22,6.7743,6.521,6.8971,6.4594,974480.0,3.89
40,2019-06-23,6.8314,6.7642,7.1856,6.7202,500280.0,0.84
41,2019-06-24,6.6664,6.8314,6.8343,6.5542,391470.0,-2.42
42,2019-06-25,6.5665,6.6676,6.7377,6.4799,674790.0,-1.50
43,2019-06-26,6.3381,6.5665,6.8327,6.1588,1640000.0,-3.48
44,2019-06-27,5.5461,6.3357,6.4042,5.3541,2000000.0,-12.50
45,2019-06-28,5.9242,5.5461,5.9655,5.4739,1520000.0,6.82
46,2019-06-29,6.0757,5.9242,6.1674,5.6457,750810.0,2.56
47,2019-06-30,5.4353,6.0635,6.1045,5.4284,750260.0,-10.54
48,2019-07-01,5.4787,5.4352,5.7115,5.1576,918760.0,0.80
49,2019-07-02,5.3315,5.4792,5.6558,5.1295,969340.0,-2.69
50,2019-07-03,5.5715,5.3315,5.6246,5.3062,868430.0,4.50
51,2019-07-04,5.4769,5.5802,5.7476,5.4692,666660.0,-1.70
52,2019-07-05,5.3961,5.4769,5.4976,5.3368,531800.0,-1.48
53,2019-07-06,5.2987,5.451,5.4837,5.2402,878150.0,-1.80
54,2019-07-07,5.386,5.2987,5.4146,5.2032,634660.0,1.65
55,2019-07-08,5.1769,5.386,5.4195,5.108,722410.0,-3.88
56,2019-07-09,4.9846,5.1769,5.1865,4.8771,845360.0,-3.71
57,2019-07-10,4.4845,4.9846,4.9899,4.199,2190000.0,-10.03
58,2019-07-11,4.356,4.4854,4.6446,4.052,2200000.0,-2.87
59,2019-07-12,4.5191,4.356,4.6045,4.2692,994230.0,3.74
60,2019-07-13,4.2727,4.5191,4.5191,4.152,1050000.0,-5.45
61,2019-07-14,3.8234,4.2727,4.2788,3.7937,2110000.0,-10.52
62,2019-07-15,4.1535,3.8247,4.4563,3.5659,2420000.0,8.63
63,2019-07-16,3.6522,4.1535,4.2235,3.5499,2970000.0,-12.07
64,2019-07-17,3.8145,3.6522,4.0281,3.5686,2490000.0,4.44
65,2019-07-18,4.0845,3.8145,4.1715,3.6824,1850000.0,7.08
66,2019-07-19,3.9266,4.0845,4.1623,3.8021,1110000.0,-3.87
67,2019-07-20,4.0473,3.9261,4.1786,3.9172,1130000.0,3.07
68,2019-07-21,4.221,4.0473,4.3172,3.9768,1030000.0,4.29
69,2019-07-22,3.9886,4.221,4.3351,3.9015,1410000.0,-5.51
70,2019-07-23,3.7178,3.9886,3.9897,3.6874,1090000.0,-6.79
71,2019-07-24,3.9006,3.7178,4.074,3.6034,2390000.0,4.92
72,2019-07-25,3.8013,3.9007,4.029,3.7912,1240000.0,-2.55
73,2019-07-26,3.887,3.8013,3.9108,3.6903,769540.0,2.26
74,2019-07-27,3.6182,3.888,5.1,3.5553,1310000.0,-6.92
75,2019-07-28,3.6157,3.621,3.6725,3.4966,1530000.0,-0.07
76,2019-07-29,3.5951,3.6152,3.6864,3.5297,843360.0,-0.57
77,2019-07-30,3.5975,3.5951,3.6495,3.5086,642370.0,0.07
78,2019-07-31,3.65,3.5975,3.7484,3.5767,1400000.0,1.46
79,2019-08-01,3.539,3.6546,3.6552,3.4574,558910.0,-3.04
80,2019-08-02,3.6485,3.539,3.9097,3.5064,722820.0,3.10
81,2019-08-03,3.6882,3.6485,3.7654,3.6281,608410.0,1.09
82,2019-08-04,3.5967,3.6882,3.7557,3.5201,435840.0,-2.48
83,2019-08-05,3.7738,3.5967,3.8699,3.5967,1040000.0,4.92
84,2019-08-06,3.5652,3.7738,3.7799,3.522,1070000.0,-5.53
85,2019-08-07,3.4943,3.5652,3.6885,3.4715,1120000.0,-1.99
86,2019-08-08,3.2762,3.4943,3.5027,3.144,1090000.0,-6.24
87,2019-08-09,3.1456,3.276,3.3162,3.0761,1700000.0,-3.99
88,2019-08-10,3.3458,3.1456,3.3793,3.1388,2490000.0,6.37
89,2019-08-11,3.5434,3.3458,3.5458,3.29,2540000.0,5.91
90,2019-08-12,3.3377,3.542,3.6489,3.3331,1240000.0,-5.80
91,2019-08-13,3.2564,3.3374,3.3471,3.1496,2310000.0,-2.44
92,2019-08-14,2.8499,3.2564,3.2959,2.8483,3950000.0,-12.48
93,2019-08-15,2.894,2.8499,2.9883,2.7038,2590000.0,1.55
94,2019-08-16,2.8855,2.894,3.0138,2.8108,752460.0,-0.29
95,2019-08-17,2.9089,2.8855,2.9089,2.832,440240.0,0.81
96,2019-08-18,2.9719,2.9089,2.9831,2.8545,640940.0,2.16
97,2019-08-19,2.8938,2.9719,2.9739,2.7773,463190.0,-2.63
98,2019-08-20,2.8679,2.8946,2.9242,2.7575,510620.0,-0.90
99,2019-08-21,2.6654,2.868,2.87,2.5919,828590.0,-7.06
100,2019-08-22,2.7103,2.6654,2.7421,2.5758,675010.0,1.68
101,2019-08-23,2.714,2.7103,2.7632,2.6499,660200.0,0.14
102,2019-08-24,2.6917,2.7133,2.7263,2.6043,512450.00000000006,-0.82
103,2019-08-25,2.6221,2.6917,2.7327,2.6104,487250.0,-2.58
104,2019-08-26,2.6209,2.6221,2.6964,2.5896,596400.0,-0.05
105,2019-08-27,2.5677,2.6209,2.6377,2.5031,459600.0,-2.03
106,2019-08-28,2.3235,2.5673,2.6721,2.3178,724410.0,-9.51
107,2019-08-29,2.1589,2.3235,2.8346,2.1531,806590.0,-7.09
108,2019-08-30,2.1564,2.1586,2.2223,2.0892,543790.0,-0.12
109,2019-08-31,2.014,2.1559,2.1612,1.9822,1320000.0,-6.60
110,2019-09-01,2.1258,2.014,2.2303,2.0044,1960000.0,5.55
111,2019-09-02,2.1212,2.1254,2.1732,2.0643,2220000.0,-0.22
112,2019-09-03,2.1484,2.1208,2.2198,2.1205,3570000.0,1.28
113,2019-09-04,2.0376,2.1487,2.1496,2.0234,2920000.0,-5.15
114,2019-09-05,1.949,2.0375,2.0376,1.9012,2330000.0,-4.35
115,2019-09-06,2.0291,1.949,2.2354,1.9473,3060000.0,4.11
116,2019-09-07,2.1644,2.0298,2.2768,2.0293,4110000.0000000005,6.67
117,2019-09-08,2.7229,2.1634,2.7313,2.1509,3910000.0,25.81
118,2019-09-09,2.7364,2.7212,2.9535,2.4352,5560000.0,0.50
119,2019-09-10,2.5855,2.7358,2.9412,2.5109,3810000.0,-5.52
120,2019-09-11,2.5737,2.5855,2.7028,2.4041,2990000.0,-0.46
121,2019-09-12,3.0672,2.5734,3.1984,2.4997,2000000.0,19.17
122,2019-09-13,3.1705,3.0672,3.2784,2.9928,2790000.0,3.37
123,2019-09-14,3.1063,3.1798,3.2378,2.9896,3720000.0,-2.03
124,2019-09-15,3.4346,3.1035,3.5307,3.1035,2950000.0,10.57
125,2019-09-16,3.3329,3.436,3.5592,3.1472,4040000.0,-2.96
126,2019-09-17,3.2871,3.333,3.436,3.1895,3320000.0,-1.37
127,2019-09-18,3.3058,3.2818,3.3841,3.2404,3570000.0,0.57
128,2019-09-19,3.1277,3.3058,3.3058,2.9264,4280000.0,-5.39
129,2019-09-20,3.184,3.1305,3.2518,3.0527,2470000.0,1.80
130,2019-09-21,3.0705,3.1835,3.2874,3.025,2850000.0,-3.57
131,2019-09-22,2.9109,3.0706,3.0774,2.7811,3160000.0,-5.20
132,2019-09-23,2.5686,2.9057,2.9135,2.5686,2920000.0,-11.76
133,2019-09-24,2.2227,2.5626,2.6459,1.9207,9690000.0,-13.46
134,2019-09-25,2.2847,2.2157,2.4272,2.1599,8080000.0,2.79
135,2019-09-26,2.2178,2.2861,2.3451,2.0483,5000000.0,-2.93
136,2019-09-27,2.3118,2.217,2.3267,1.9802,3150000.0,4.24
137,2019-09-28,2.2124,2.3088,2.3266,2.0674,2640000.0,-4.30
138,2019-09-29,2.1188,2.2133,2.2251,2.0673,3600000.0,-4.23
139,2019-09-30,2.356,2.1232,2.3566,2.026,4400000.0,11.19
140,2019-10-01,2.5332,2.5434,2.6307,2.4827,3230000.0,7.52
141,2019-10-02,2.6034,2.5332,2.6203,2.4182,3430000.0,2.77
142,2019-10-03,2.5828,2.6029,2.6645,2.4899,3150000.0,-0.79
143,2019-10-04,2.5668,2.5826,2.6144,2.4586,3600000.0,-0.62
144,2019-10-05,2.7652,2.5668,2.7689,2.5398,3010000.0,7.73
145,2019-10-06,2.6411,2.7652,2.7853,2.5738,3480000.0,-4.49
146,2019-10-07,2.8923,2.6413,2.9512,2.5462,4940000.0,9.51
147,2019-10-08,2.898,2.8894,3.0585,2.8142,2940000.0,0.20
148,2019-10-09,2.8937,2.8972,3.0101,2.8182,4550000.0,-0.15
149,2019-10-10,2.8922,2.9035,2.9905,2.7248,3410000.0,-0.05
150,2019-10-11,2.8073,2.8914,2.9153,2.722,3400000.0,-2.94
151,2019-10-12,2.8253,2.8092,2.8532,2.7687,2330000.0,0.64
152,2019-10-13,2.8676,2.8253,2.9095,2.7103,1880000.0,1.50
153,2019-10-14,3.0868,2.8672,3.1168,2.8658,2440000.0,7.65
154,2019-10-15,2.9332,3.0868,3.1562,2.8929,3250000.0,-4.98
155,2019-10-16,2.838,2.9322,2.9483,2.6846,2920000.0,-3.24
156,2019-10-17,2.9108,2.838,2.9434,2.7375,1830000.0,2.56
157,2019-10-18,2.7425,2.9108,2.9175,2.6937,3230000.0,-5.78
158,2019-10-19,2.7423,2.7425,2.7921,2.6963,1980000.0,-0.01
159,2019-10-20,2.8878,2.7423,2.9298,2.6838,1760000.0,5.31
160,2019-10-21,2.9817,2.8712,2.9967,2.8352,2180000.0,3.25
161,2019-10-22,2.8698,2.9838,3.0088,2.8488,2720000.0,-3.75
162,2019-10-23,2.6799,2.8692,2.8952,2.5555,4950000.0,-6.62
163,2019-10-24,2.8184,2.6842,2.8469,2.6383,2820000.0,5.17
164,2019-10-25,3.0496,2.8184,3.1229,2.7692,7790000.0,8.21
165,2019-10-26,3.0824,3.0496,3.2598,2.9808,11350000.0,1.07
166,2019-10-27,3.1961,3.0819,3.2949,2.9625,5350000.0,3.69
167,2019-10-28,3.1056,3.1961,3.3318,3.0715,5150000.0,-2.83
