SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2019-01-11,0.0176,0.0179,0.018,0.0173,0.0,-1.56
2,2019-01-12,0.0172,0.0176,0.0178,0.017,0.0,-2.04
3,2019-01-13,0.0164,0.0172,0.0172,0.016,0.0,-4.49
4,2019-01-14,0.0159,0.0164,0.0164,0.0155,0.0,-3.60
5,2019-01-15,0.0153,0.0159,0.0165,0.0153,0.0,-3.41
6,2019-01-16,0.015,0.0153,0.0154,0.0147,0.0,-1.99
7,2019-01-17,0.0152,0.015,0.0157,0.0149,0.0,1.05
8,2019-01-18,0.0146,0.0152,0.0152,0.0146,0.0,-3.66
9,2019-01-19,0.0147,0.0146,0.0151,0.0146,0.0,0.61
10,2019-01-20,0.0142,0.0147,0.015,0.0138,0.0,-3.08
11,2019-01-21,0.0137,0.0142,0.0143,0.0133,0.0,-3.99
12,2019-01-22,0.0134,0.0137,0.0138,0.013,0.0,-2.07
13,2019-01-23,0.0134,0.0134,0.0136,0.0131,0.0,0.00
14,2019-01-24,0.0129,0.0134,0.0134,0.0128,0.0,-3.33
15,2019-01-25,0.0134,0.0129,0.0148,0.0129,0.0,3.22
16,2019-01-26,0.0137,0.0134,0.0146,0.0132,0.0,2.34
17,2019-01-27,0.0136,0.0137,0.0142,0.0135,0.0,-0.67
18,2019-01-28,0.0123,0.0136,0.0137,0.0121,0.0,-9.75
19,2019-01-29,0.0127,0.0123,0.0131,0.0123,0.0,3.99
20,2019-01-30,0.013,0.0127,0.0135,0.0126,0.0,2.09
21,2019-01-31,0.0128,0.013,0.0134,0.0126,0.0,-1.95
22,2019-02-01,0.0125,0.0128,0.0128,0.0121,0.0,-2.36
23,2019-02-02,0.0125,0.0125,0.013,0.0123,0.0,0.00
24,2019-02-03,0.0126,0.0125,0.0127,0.0124,0.0,1.46
25,2019-02-04,0.0124,0.0126,0.0127,0.0123,0.0,-2.06
26,2019-02-05,0.0124,0.0124,0.0128,0.0123,0.0,0.52
27,2019-02-06,0.0122,0.0124,0.0126,0.0121,0.0,-1.96
28,2019-02-07,0.0121,0.0122,0.0124,0.012,0.0,-0.60
29,2019-02-08,0.0128,0.0121,0.0133,0.0121,0.0,5.19
30,2019-02-09,0.0127,0.0128,0.0129,0.0125,0.0,0.00
31,2019-02-10,0.0125,0.0127,0.0129,0.0123,0.0,-2.04
32,2019-02-11,0.0125,0.0125,0.0127,0.0123,0.0,0.51
33,2019-02-12,0.0124,0.0125,0.0126,0.0123,0.0,-1.34
34,2019-02-13,0.0122,0.0124,0.0125,0.0122,0.0,-1.11
35,2019-02-14,0.0123,0.0122,0.0126,0.0122,0.0,0.00
36,2019-02-15,0.0123,0.0123,0.0125,0.0123,0.0,0.62
37,2019-02-16,0.0123,0.0123,0.0124,0.0123,0.0,0.00
38,2019-02-17,0.0122,0.0123,0.0124,0.0121,0.0,-1.09
39,2019-02-18,0.0128,0.0122,0.0128,0.0122,0.0,4.49
40,2019-02-19,0.0129,0.0128,0.0133,0.0127,0.0,1.28
41,2019-02-20,0.013,0.0129,0.0132,0.0129,0.0,0.00
42,2019-02-21,0.0128,0.013,0.0131,0.0126,0.0,-1.56
43,2019-02-22,0.0129,0.0128,0.013,0.0127,0.0,0.93
44,2019-02-23,0.0128,0.0129,0.0129,0.0126,0.0,-0.71
45,2019-02-24,0.0124,0.0128,0.013,0.0124,0.0,-2.88
46,2019-02-25,0.0127,0.0124,0.0127,0.0123,0.0,2.63
47,2019-02-26,0.0127,0.0127,0.0128,0.0126,0.0,-0.67
48,2019-02-27,0.0125,0.0127,0.0127,0.0124,0.0,-1.31
49,2019-02-28,0.0125,0.0125,0.0126,0.0124,0.0,0.00
50,2019-03-01,0.0124,0.0125,0.0125,0.0123,0.0,-0.58
51,2019-03-02,0.0124,0.0124,0.0124,0.0123,0.0,0.00
52,2019-03-03,0.0124,0.0124,0.0125,0.0124,0.0,0.00
53,2019-03-04,0.0121,0.0124,0.0124,0.012,0.0,-2.32
54,2019-03-05,0.0129,0.0121,0.014,0.0119,0.0,6.81
55,2019-03-06,0.0128,0.0129,0.0129,0.0127,0.0,-1.11
56,2019-03-07,0.0147,0.0128,0.015,0.0127,0.0,15.32
57,2019-03-08,0.0187,0.0147,0.0234,0.0143,0.0,26.67
58,2019-03-09,0.0205,0.0187,0.0218,0.0185,0.0,9.69
59,2019-03-10,0.0211,0.0205,0.0217,0.0205,0.0,3.37
60,2019-03-11,0.0234,0.0211,0.0241,0.0204,0.0,10.48
61,2019-03-12,0.0528,0.0234,0.0798,0.0234,0.0,126.10
62,2019-03-13,0.0582,0.0528,0.0768,0.0521,0.0,10.23
63,2019-03-14,0.0601,0.0582,0.0643,0.0582,0.0,3.22
64,2019-03-15,0.103,0.0601,0.1259,0.0601,0.0,71.31
65,2019-03-16,0.0818,0.103,0.1043,0.0759,0.0,-20.61
66,2019-03-17,0.0668,0.0818,0.0818,0.0655,0.0,-18.28
67,2019-03-18,0.0688,0.0668,0.0821,0.0662,0.0,3.04
68,2019-03-19,0.0784,0.0688,0.0784,0.0649,0.0,13.81
69,2019-03-20,0.0704,0.0784,0.0784,0.0681,0.0,-10.16
70,2019-03-21,0.0665,0.0704,0.0709,0.064,0.0,-5.48
71,2019-03-22,0.0663,0.0665,0.0677,0.0631,0.0,-0.39
72,2019-03-23,0.0665,0.0663,0.0699,0.0646,0.0,0.27
73,2019-03-24,0.0636,0.0665,0.0665,0.0635,0.0,-4.31
74,2019-03-25,0.0551,0.0636,0.0638,0.0533,0.0,-13.40
75,2019-03-26,0.0496,0.0551,0.0555,0.0495,0.0,-9.92
76,2019-03-27,0.0534,0.0496,0.0566,0.0496,0.0,7.74
77,2019-03-28,0.0503,0.0534,0.0547,0.0497,0.0,-5.98
78,2019-03-29,0.0465,0.0503,0.0536,0.0454,0.0,-7.53
79,2019-03-30,0.0462,0.0465,0.0475,0.0459,0.0,-0.66
80,2019-03-31,0.0447,0.0462,0.0462,0.0444,0.0,-3.26
81,2019-04-01,0.0444,0.0447,0.0462,0.0433,0.0,-0.54
82,2019-04-02,0.048,0.0444,0.0494,0.0444,0.0,8.19
83,2019-04-03,0.0473,0.048,0.051,0.0458,0.0,-1.59
84,2019-04-04,0.0451,0.0473,0.0481,0.0451,0.0,-4.62
85,2019-04-05,0.0508,0.0451,0.052,0.045,0.0,12.74
86,2019-04-06,0.0489,0.0508,0.0512,0.0483,0.0,-3.80
87,2019-04-07,0.0515,0.0489,0.0525,0.0489,0.0,5.30
88,2019-04-08,0.0549,0.0515,0.0554,0.0515,0.0,6.66
89,2019-04-09,0.0573,0.0549,0.0582,0.0536,0.0,4.32
90,2019-04-10,0.0759,0.0573,0.0759,0.0558,0.0,32.48
91,2019-04-11,0.0865,0.0759,0.0996,0.0649,0.0,13.88
92,2019-04-12,0.0788,0.0865,0.1043,0.0788,0.0,-8.89
93,2019-04-13,0.0833,0.0788,0.0862,0.0714,0.0,5.70
94,2019-04-14,0.0849,0.0833,0.0851,0.0808,0.0,1.98
95,2019-04-15,0.0798,0.0849,0.0862,0.0798,0.0,-6.03
96,2019-04-16,0.0847,0.0798,0.0893,0.0764,0.0,6.09
97,2019-04-17,0.084,0.0847,0.087,0.0815,0.0,-0.84
98,2019-04-18,0.0852,0.084,0.0875,0.082,0.0,1.45
99,2019-04-19,0.0837,0.0852,0.0859,0.0811,0.0,-1.74
100,2019-04-20,0.0937,0.0837,0.0971,0.0833,0.0,11.96
101,2019-04-21,0.0844,0.0937,0.0966,0.0831,0.0,-9.94
102,2019-04-22,0.0818,0.0844,0.0844,0.0766,0.0,-3.04
103,2019-04-23,0.0795,0.0818,0.0823,0.0781,0.0,-2.79
104,2019-04-24,0.0726,0.0795,0.0796,0.069,0.0,-8.78
105,2019-04-25,0.0772,0.0726,0.0829,0.07,0.0,6.39
106,2019-04-26,0.0715,0.0772,0.0773,0.0699,0.0,-7.37
107,2019-04-27,0.0724,0.0715,0.0742,0.0714,0.0,1.24
108,2019-04-28,0.0732,0.0724,0.0732,0.0724,0.0,1.10
109,2019-04-29,0.071,0.0732,0.0739,0.07,0.0,-2.96
110,2019-04-30,0.0675,0.071,0.0713,0.058,0.0,-5.01
111,2019-05-01,0.0695,0.0675,0.0711,0.0671,0.0,3.08
112,2019-05-02,0.0716,0.0695,0.0717,0.0686,0.0,3.00
113,2019-05-03,0.0753,0.0716,0.0753,0.0714,0.0,5.06
114,2019-05-04,0.07,0.0753,0.0753,0.07,0.0,-6.92
115,2019-05-05,0.0713,0.07,0.0713,0.07,0.0,1.78
116,2019-05-06,0.0667,0.0713,0.0713,0.061,0.0,-6.37
117,2019-05-07,0.0631,0.0667,0.0709,0.06,0.0,-5.42
118,2019-05-08,0.0583,0.0631,0.0635,0.0583,0.0,-7.56
119,2019-05-09,0.058,0.0583,0.0702,0.0577,0.0,-0.52
120,2019-05-10,0.0604,0.058,0.0608,0.0579,0.0,4.08
121,2019-05-11,0.0681,0.0604,0.0681,0.0562,0.0,12.68
122,2019-05-12,0.0598,0.0681,0.0681,0.0598,0.0,-12.12
123,2019-05-13,0.0631,0.0598,0.0647,0.0588,0.0,5.43
124,2019-05-14,0.064,0.0631,0.0684,0.0594,0.0,1.44
125,2019-05-15,0.0649,0.064,0.0671,0.0624,0.0,1.45
126,2019-05-16,0.065,0.0649,0.0693,0.061,0.0,0.15
127,2019-05-17,0.0737,0.065,0.0745,0.0617,0.0,13.31
128,2019-05-18,0.0692,0.0737,0.0739,0.0672,0.0,-6.02
129,2019-05-19,0.0638,0.0692,0.0692,0.062,0.0,-7.86
130,2019-05-20,0.0661,0.0638,0.0668,0.0629,0.0,3.58
131,2019-05-21,0.0673,0.0661,0.0681,0.0661,0.0,1.80
132,2019-05-22,0.0655,0.0673,0.0673,0.0648,0.0,-2.56
133,2019-05-23,0.0639,0.0655,0.0665,0.0639,0.0,-2.46
134,2019-05-24,0.0665,0.0639,0.0665,0.0638,0.0,3.97
135,2019-05-25,0.0656,0.0665,0.0665,0.0646,0.0,-1.27
136,2019-05-26,0.0672,0.0656,0.0681,0.0656,0.0,2.38
137,2019-05-27,0.0665,0.0672,0.0686,0.0665,0.0,-1.06
138,2019-05-28,0.0648,0.0665,0.0674,0.0623,0.0,-2.51
139,2019-05-29,0.0694,0.0648,0.0704,0.062,0.0,7.04
140,2019-05-30,0.0694,0.0694,0.0718,0.0684,0.0,0.09
141,2019-05-31,0.0691,0.0694,0.0694,0.0633,0.0,-0.39
142,2019-06-01,0.0683,0.0691,0.0697,0.0672,0.0,-1.28
143,2019-06-02,0.0757,0.0683,0.076,0.0683,0.0,10.94
144,2019-06-03,0.0791,0.0757,0.0792,0.0712,0.0,4.46
145,2019-06-04,0.079,0.0791,0.0791,0.0785,0.0,-0.19
146,2019-06-05,0.0732,0.079,0.079,0.0695,0.0,-7.31
147,2019-06-06,0.0722,0.0732,0.0732,0.0721,0.0,-1.28
148,2019-06-07,0.0719,0.0722,0.0729,0.0716,0.0,-0.42
149,2019-06-08,0.0694,0.0719,0.0719,0.0694,0.0,-3.57
150,2019-06-09,0.0708,0.0694,0.0708,0.0694,0.0,2.10
151,2019-06-10,0.0705,0.0708,0.0709,0.0695,0.0,-0.52
152,2019-06-11,0.0699,0.0705,0.0709,0.0697,0.0,-0.82
153,2019-06-12,0.069,0.0699,0.0699,0.0681,0.0,-1.28
154,2019-06-13,0.0689,0.069,0.0692,0.0688,0.0,-0.18
155,2019-06-14,0.0665,0.0689,0.0689,0.0653,0.0,-3.49
156,2019-06-15,0.0655,0.0665,0.0665,0.0655,0.0,-1.39
157,2019-06-16,0.0656,0.0655,0.0656,0.0655,0.0,0.10
158,2019-06-17,0.0656,0.0656,0.0657,0.0655,0.0,0.00
159,2019-06-18,0.0664,0.0656,0.0664,0.0655,0.0,1.14
160,2019-06-19,0.0651,0.0664,0.0665,0.0651,0.0,-1.85
161,2019-06-20,0.0651,0.0651,0.0672,0.065,0.0,-0.13
162,2019-06-21,0.0645,0.0651,0.0651,0.0643,0.0,-0.80
163,2019-06-22,0.0612,0.0645,0.0645,0.0612,0.0,-5.12
164,2019-06-23,0.0616,0.0612,0.0616,0.0611,0.0,0.56
165,2019-06-24,0.0614,0.0616,0.0618,0.0594,0.0,-0.31
166,2019-06-25,0.0741,0.0614,0.0808,0.0611,0.0,20.78
167,2019-06-26,0.0739,0.0741,0.0831,0.071,0.0,-0.34
168,2019-06-27,0.0645,0.0739,0.0739,0.0645,0.0,-12.72
169,2019-06-28,0.0698,0.0645,0.0715,0.0644,0.0,8.22
170,2019-06-29,0.0675,0.0698,0.0698,0.0674,0.0,-3.31
171,2019-06-30,0.0675,0.0675,0.0685,0.0638,0.0,0.09
172,2019-07-01,0.061,0.0675,0.068,0.0602,0.0,-9.69
173,2019-07-02,0.0602,0.061,0.0637,0.0562,0.0,-1.24
174,2019-07-03,0.0665,0.0602,0.0665,0.0596,0.0,10.32
175,2019-07-04,0.0698,0.0665,0.0725,0.0663,0.0,5.03
176,2019-07-05,0.0677,0.0698,0.0752,0.0667,0.0,-3.01
177,2019-07-06,0.07,0.0677,0.0701,0.0677,0.0,3.46
178,2019-07-07,0.0682,0.07,0.0778,0.0681,0.0,-2.61
179,2019-07-08,0.0771,0.0682,0.0878,0.0682,0.0,13.06
180,2019-07-09,0.074,0.0771,0.0831,0.0733,0.0,-3.99
181,2019-07-10,0.1013,0.074,0.1013,0.074,0.0,36.81
182,2019-07-11,0.0971,0.1013,0.1039,0.0929,0.0,-4.16
183,2019-07-12,0.0905,0.0971,0.1578,0.082,0.0,-6.83
184,2019-07-13,0.084,0.0905,0.1019,0.084,0.0,-7.09
185,2019-07-14,0.0828,0.084,0.0878,0.0777,0.0,-1.52
186,2019-07-15,0.0784,0.0828,0.0828,0.0729,0.0,-5.33
187,2019-07-16,0.0631,0.0784,0.0786,0.0607,0.0,-19.49
188,2019-07-17,0.0577,0.0631,0.0635,0.0575,0.0,-8.60
189,2019-07-18,0.0581,0.0577,0.0638,0.0514,0.0,0.74
190,2019-07-19,0.0574,0.0581,0.0604,0.0553,0.0,-1.27
191,2019-07-20,0.0589,0.0574,0.0589,0.0567,0.0,2.67
192,2019-07-21,0.0547,0.0589,0.0589,0.053,7480000.0,-7.18
193,2019-07-22,0.0654,0.0546,0.0667,0.0545,27400000.0,19.71
194,2019-07-23,0.0706,0.0656,0.0785,0.0656,45720000.0,7.91
195,2019-07-24,0.0618,0.0706,0.0771,0.0616,42350000.0,-12.47
196,2019-07-25,0.06,0.0618,0.0629,0.0589,13550000.0,-2.92
197,2019-07-26,0.0623,0.06,0.0627,0.0559,14410000.0,3.80
198,2019-07-27,0.0566,0.0623,0.0625,0.0545,9720000.0,-9.08
199,2019-07-28,0.0558,0.0566,0.0585,0.0538,8440000.0,-1.43
200,2019-07-29,0.054,0.0557,0.0562,0.0536,4660000.0,-3.25
201,2019-07-30,0.0569,0.054,0.0719,0.0538,27310000.0,5.40
202,2019-07-31,0.0576,0.0569,0.059,0.0556,5830000.0,1.25
203,2019-08-01,0.0557,0.0576,0.0582,0.0553,3000000.0,-3.38
204,2019-08-02,0.0554,0.0557,0.0562,0.0541,4000000.0,-0.53
205,2019-08-03,0.0549,0.0554,0.0559,0.054,2140000.0,-0.84
206,2019-08-04,0.0551,0.0549,0.0557,0.0537,3650000.0,0.37
207,2019-08-05,0.0533,0.0551,0.0555,0.0528,4600000.0,-3.27
208,2019-08-06,0.051,0.0533,0.0542,0.0507,21520000.0,-4.29
209,2019-08-07,0.0444,0.051,0.0528,0.044,139620000.0,-13.05
210,2019-08-08,0.0474,0.0444,0.0485,0.0441,122230000.0,6.73
211,2019-08-09,0.0508,0.0474,0.0576,0.0464,186930000.0,7.27
212,2019-08-10,0.051,0.0508,0.0568,0.0505,183740000.0,0.43
213,2019-08-11,0.0489,0.051,0.0524,0.0486,177180000.0,-4.15
214,2019-08-12,0.0472,0.0489,0.049,0.0468,132880000.0,-3.41
215,2019-08-13,0.0475,0.0472,0.0489,0.0468,143860000.0,0.48
216,2019-08-14,0.0466,0.0475,0.049,0.046,236320000.0,-1.75
217,2019-08-15,0.0449,0.0466,0.0483,0.0425,42210000.0,-3.77
218,2019-08-16,0.0437,0.0449,0.0461,0.0426,28240000.0,-2.53
219,2019-08-17,0.0444,0.0437,0.0445,0.0426,57580000.0,1.52
220,2019-08-18,0.0451,0.0444,0.0473,0.0442,75510000.0,1.58
221,2019-08-19,0.0464,0.0451,0.0466,0.0449,43780000.0,2.88
