SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-03-04,43.79,47.85,75.58,43.33,44060.0,-8.48
2,2017-03-05,42.77,43.79,44.97,40.0,23850.0,-2.33
3,2017-03-06,46.38,42.77,47.58,42.77,19300.0,8.44
4,2017-03-07,45.93,46.38,46.89,43.54,6510.0,-0.97
5,2017-03-08,42.5,45.93,45.93,42.0,5780.0,-7.47
6,2017-03-09,51.66,42.5,53.97,41.4,37390.0,21.55
7,2017-03-10,50.24,51.66,56.99,43.0,24510.0,-2.75
8,2017-03-11,72.0,50.24,74.18,50.0,80180.0,43.31
9,2017-03-12,78.0,72.0,80.99,64.5,37160.0,8.33
10,2017-03-13,75.0,78.0,82.1,69.23,57280.0,-3.85
11,2017-03-14,88.7,75.0,93.27,73.01,104010.0,18.27
12,2017-03-15,96.85,88.7,105.42,85.51,270150.0,9.19
13,2017-03-16,89.0,96.85,99.45,79.34,202690.0,-8.11
14,2017-03-17,96.0,89.0,99.1,79.6,142650.0,7.87
15,2017-03-18,107.91,96.0,115.0,91.63,308120.0,12.41
16,2017-03-19,104.99,107.91,112.13,96.0,143080.0,-2.71
17,2017-03-20,98.15,104.99,109.99,98.0,67120.0,-6.51
18,2017-03-21,95.0,98.15,103.0,89.45,165450.0,-3.21
19,2017-03-22,101.1,95.0,108.0,88.91,114700.0,6.42
20,2017-03-23,101.52,101.1,103.02,97.5,22780.0,0.42
21,2017-03-24,94.4,101.52,107.79,85.01,137830.0,-7.01
22,2017-03-25,93.15,94.4,99.84,86.1,64379.99999999999,-1.32
23,2017-03-26,93.93,93.15,95.71,90.0,35960.0,0.84
24,2017-03-27,84.32,93.93,93.93,76.26,183430.0,-10.23
25,2017-03-28,86.92,84.32,90.0,80.28,46400.0,3.08
26,2017-03-29,84.4,86.92,87.6,82.0,86950.0,-2.90
27,2017-03-30,78.78,84.4,85.0,75.6,106600.0,-6.66
28,2017-03-31,72.45,78.78,78.78,64.8,289710.0,-8.04
29,2017-04-01,68.23,72.45,72.8,66.5,62880.0,-5.82
30,2017-04-02,57.0,68.23,70.47,53.8,217500.0,-16.46
31,2017-04-03,63.87,57.0,68.2,47.53,339730.0,12.05
32,2017-04-04,69.49,63.87,72.22,56.51,176300.0,8.80
33,2017-04-05,75.39,69.49,79.0,65.48,127160.0,8.49
34,2017-04-06,67.09,75.39,75.5,65.2,88720.0,-11.01
35,2017-04-07,67.4,67.09,71.2,65.0,51620.0,0.46
36,2017-04-08,68.49,67.4,70.9,66.62,43780.0,1.62
37,2017-04-09,66.38,68.49,69.99,65.78,32090.000000000004,-3.08
38,2017-04-10,62.89,66.38,67.0,60.55,54700.0,-5.26
39,2017-04-11,62.0,62.89,64.29,60.45,57840.0,-1.42
40,2017-04-12,69.67,62.0,69.89,60.51,125210.0,12.37
41,2017-04-13,73.5,69.67,77.77,66.96,142690.0,5.50
42,2017-04-14,72.72,73.5,74.79,70.1,73140.0,-1.06
43,2017-04-15,76.79,72.72,80.0,71.02,67910.0,5.60
44,2017-04-16,77.06,76.79,78.77,75.81,29150.0,0.35
45,2017-04-17,78.2,77.06,79.31,75.53,26680.0,1.48
46,2017-04-18,75.66,78.2,78.9,73.11,37620.0,-3.25
47,2017-04-19,74.9,75.66,78.97,74.75,15160.0,-1.00
48,2017-04-20,75.7,74.9,76.5,74.05,17660.0,1.07
49,2017-04-21,76.15,75.7,77.96,74.86,32280.0,0.59
50,2017-04-22,77.3,76.15,78.0,75.51,16320.0,1.51
51,2017-04-23,76.83,77.3,78.4,76.4,9870.0,-0.61
52,2017-04-24,77.79,76.83,78.1,76.0,21690.0,1.25
53,2017-04-25,78.23,77.79,78.8,77.08,25660.0,0.57
54,2017-04-26,78.32,78.23,78.6,76.42,16320.0,0.12
55,2017-04-27,85.27,78.32,89.0,77.55,74890.0,8.87
56,2017-04-28,85.69,85.27,87.07,82.76,39870.0,0.49
57,2017-04-29,102.46,85.69,109.27,85.69,260310.0,19.57
58,2017-04-30,98.01,102.46,105.3,95.65,62500.0,-4.34
59,2017-05-01,94.82,98.01,103.5,90.01,124240.0,-3.25
60,2017-05-02,92.4,94.82,96.48,90.06,93950.0,-2.55
61,2017-05-03,97.57,92.4,97.8,91.01,89210.0,5.60
62,2017-05-04,97.36,97.57,101.97,92.75,133120.0,-0.22
63,2017-05-05,98.38,97.36,108.2,95.5,149580.0,1.05
64,2017-05-06,100.98,98.38,103.03,97.21,34820.0,2.64
65,2017-05-07,108.7,100.98,114.0,99.01,108210.0,7.65
66,2017-05-08,100.0,108.7,109.7,96.5,72060.0,-8.00
67,2017-05-09,92.78,100.0,102.96,82.0,149650.0,-7.22
68,2017-05-10,91.93,92.78,97.41,90.92,28950.0,-0.92
69,2017-05-11,92.29,91.93,95.09,90.3,28050.0,0.39
70,2017-05-12,88.0,92.29,93.95,87.13,22560.0,-4.65
71,2017-05-13,91.16,88.0,91.21,85.4,40150.0,3.59
72,2017-05-14,91.05,91.16,93.0,90.0,4660.0,-0.12
73,2017-05-15,94.0,91.05,94.0,83.03,44250.0,3.24
74,2017-05-16,87.37,94.0,94.0,86.52,15000.0,-7.05
75,2017-05-17,85.05,87.37,95.0,80.17,81880.0,-2.66
76,2017-05-18,92.45,85.05,92.98,84.63,33530.0,8.70
77,2017-05-19,98.35,92.45,102.5,90.0,90500.0,6.38
78,2017-05-20,100.64,98.35,106.0,98.35,62010.0,2.33
79,2017-05-21,100.81,100.64,102.14,97.5,28440.0,0.17
80,2017-05-22,116.6,100.81,143.93,95.0,362780.0,15.66
81,2017-05-23,133.73,116.6,139.0,114.0,120200.0,14.69
82,2017-05-24,142.13,133.73,166.84,133.73,187820.0,6.28
83,2017-05-25,117.98,142.13,144.02,116.0,127690.0,-16.99
84,2017-05-26,109.67,117.98,135.0,106.45,88820.0,-7.04
85,2017-05-27,96.5,109.67,113.8,84.0,139660.0,-12.01
86,2017-05-28,102.24,96.5,112.33,96.0,61230.0,5.95
87,2017-05-29,114.65,102.24,116.0,99.03,47390.0,12.14
88,2017-05-30,118.23,114.65,124.64,112.0,74220.0,3.12
89,2017-05-31,131.15,118.23,138.43,110.02,79050.0,10.93
90,2017-06-01,131.12,131.15,144.19,125.0,75180.0,-0.02
91,2017-06-02,141.93,131.12,141.97,130.01,36800.0,8.24
92,2017-06-03,140.17,141.93,145.0,138.0,29480.0,-1.24
93,2017-06-04,142.37,140.17,142.38,136.0,19920.0,1.57
94,2017-06-05,142.13,142.37,144.88,137.92,30140.0,-0.17
95,2017-06-06,144.69,142.13,146.6,129.0,98390.0,1.80
96,2017-06-07,137.22,144.69,152.6,133.44,79780.0,-5.16
97,2017-06-08,144.05,137.22,144.99,135.22,23350.0,4.98
98,2017-06-09,148.61,144.05,149.75,143.35,16460.0,3.17
99,2017-06-10,146.8,148.61,151.92,141.29,33390.0,-1.22
100,2017-06-11,186.0,146.8,199.0,146.8,265070.0,26.70
101,2017-06-12,165.33,186.0,194.65,150.0,91390.0,-11.11
102,2017-06-13,180.9,165.33,181.7,164.09,58880.0,9.42
103,2017-06-14,156.71,180.9,190.0,146.55,163360.0,-13.37
104,2017-06-15,157.0,156.71,160.9,132.03,63920.0,0.19
105,2017-06-16,159.72,157.0,162.0,149.26,18530.0,1.73
106,2017-06-17,178.0,159.72,185.6,153.0,73970.0,11.45
107,2017-06-18,188.0,178.0,188.0,169.0,40200.0,5.62
108,2017-06-19,195.31,188.0,198.0,185.93,69280.0,3.89
109,2017-06-20,188.53,195.31,199.0,180.0,42760.0,-3.47
110,2017-06-21,178.38,188.53,193.56,169.0,27780.0,-5.38
111,2017-06-22,181.05,178.38,186.5,173.5,17990.0,1.50
112,2017-06-23,185.0,181.05,189.78,179.73,10460.0,2.18
113,2017-06-24,175.03,185.0,185.9,170.5,13600.0,-5.39
114,2017-06-25,165.32,175.03,176.77,159.0,42270.0,-5.55
115,2017-06-26,161.16,165.32,167.45,141.15,66640.0,-2.52
116,2017-06-27,172.2,161.16,172.76,142.25,57180.0,6.85
117,2017-06-28,181.17,172.2,183.03,166.62,52980.0,5.21
118,2017-06-29,173.59,181.17,181.17,166.0,38470.0,-4.18
119,2017-06-30,173.82,173.59,181.19,173.02,22210.0,0.13
120,2017-07-01,158.69,173.82,177.0,157.0,25020.0,-8.70
121,2017-07-02,169.6,158.69,170.5,157.0,17060.0,6.88
122,2017-07-03,178.21,169.6,183.0,167.39,27370.0,5.08
123,2017-07-04,182.33,178.21,188.06,177.02,23520.0,2.31
124,2017-07-05,208.37,182.33,213.05,178.25,112020.0,14.28
125,2017-07-06,208.14,208.37,225.55,202.0,90120.0,-0.11
126,2017-07-07,190.34,208.14,210.37,185.62,49550.0,-8.55
127,2017-07-08,210.0,190.34,210.0,183.33,54030.0,10.33
128,2017-07-09,194.5,210.0,211.0,194.0,23070.0,-7.38
129,2017-07-10,170.0,194.5,198.11,165.0,58730.0,-12.60
130,2017-07-11,163.0,170.0,179.4,152.01,79630.0,-4.12
131,2017-07-12,178.5,163.0,179.12,152.32,36740.0,9.51
132,2017-07-13,169.32,178.5,181.99,163.53,35380.0,-5.14
133,2017-07-14,160.22,169.32,171.99,152.04,24760.0,-5.37
134,2017-07-15,138.53,160.22,161.97,136.84,72550.0,-13.54
135,2017-07-16,131.21,138.53,144.13,120.0,122750.0,-5.28
136,2017-07-17,152.94,131.21,153.8,131.21,51480.0,16.56
137,2017-07-18,156.16,152.94,166.6,145.0,40560.0,2.11
138,2017-07-19,154.54,156.16,170.49,152.18,28590.0,-1.04
139,2017-07-20,190.91,154.54,196.0,154.54,104230.0,23.53
140,2017-07-21,185.84,190.91,198.0,180.76,50420.0,-2.66
141,2017-07-22,198.46,185.84,198.72,185.18,27990.0,6.79
142,2017-07-23,193.22,198.46,199.0,186.36,18060.0,-2.64
143,2017-07-24,206.0,193.22,218.95,190.0,78430.0,6.61
144,2017-07-25,192.13,206.0,213.79,184.03,55420.0,-6.73
145,2017-07-26,194.15,192.13,202.24,183.51,35490.0,1.05
146,2017-07-27,193.4,194.15,199.66,190.89,38520.0,-0.39
147,2017-07-28,185.46,193.4,196.46,180.07,36810.0,-4.11
148,2017-07-29,185.57,185.46,187.99,168.67,53890.0,0.06
149,2017-07-30,171.52,185.57,188.0,169.78,28180.0,-7.57
150,2017-07-31,176.19,171.52,179.78,168.0,27280.0,2.72
151,2017-08-01,184.31,176.19,186.0,174.2,66620.0,4.61
152,2017-08-02,182.06,184.31,185.67,180.0,21400.0,-1.22
153,2017-08-03,187.8,182.06,191.67,178.21,25440.0,3.15
154,2017-08-04,187.19,187.8,191.17,185.7,23090.0,-0.32
155,2017-08-05,193.0,187.19,197.5,185.7,52870.0,3.10
156,2017-08-06,188.8,193.0,196.41,188.5,20080.0,-2.18
157,2017-08-07,196.58,188.8,199.06,186.83,46280.0,4.12
158,2017-08-08,204.66,196.58,206.43,191.57,26650.0,4.11
159,2017-08-09,199.01,204.66,206.66,191.35,29610.0,-2.76
160,2017-08-10,200.31,199.01,207.04,194.09,33060.0,0.65
161,2017-08-11,205.84,200.31,208.9,198.0,30110.0,2.76
162,2017-08-12,204.36,205.84,211.18,200.0,34920.0,-0.72
163,2017-08-13,197.72,204.36,208.56,190.72,51210.0,-3.25
164,2017-08-14,199.42,197.72,203.76,193.6,31150.0,0.86
165,2017-08-15,202.99,199.42,205.8,190.0,50430.0,1.79
166,2017-08-16,231.39,202.99,234.95,197.61,94400.0,13.99
167,2017-08-17,234.32,231.39,262.78,227.88,157970.0,1.27
168,2017-08-18,222.09,234.32,240.0,216.83,39150.0,-5.22
169,2017-08-19,285.0,222.09,318.99,222.09,228700.0,28.33
170,2017-08-20,291.11,285.0,323.99,282.01,98630.0,2.14
171,2017-08-21,281.46,291.11,299.0,275.01,36510.0,-3.31
172,2017-08-22,291.22,281.46,302.87,252.7,81100.0,3.47
173,2017-08-23,292.5,291.22,297.55,285.96,38340.0,0.44
174,2017-08-24,314.53,292.5,314.7,289.75,41490.0,7.53
175,2017-08-25,314.08,314.53,320.99,305.22,51200.0,-0.14
176,2017-08-26,396.2,314.08,412.77,313.75,210390.0,26.15
177,2017-08-27,361.68,396.2,398.94,355.14,77930.0,-8.71
178,2017-08-28,355.9,361.68,368.97,346.0,49170.0,-1.60
179,2017-08-29,358.89,355.9,369.5,351.8,46550.0,0.84
180,2017-08-30,372.14,358.89,376.91,358.76,29590.0,3.69
181,2017-08-31,379.8,372.14,383.99,369.06,30250.0,2.06
182,2017-09-01,395.92,379.8,396.78,375.11,62010.0,4.24
183,2017-09-02,348.84,395.92,401.01,328.01,101400.0,-11.89
184,2017-09-03,356.2,348.84,374.4,333.55,51120.0,2.11
185,2017-09-04,314.08,356.2,360.21,294.97,89170.0,-11.82
186,2017-09-05,325.88,314.08,333.73,279.84,153130.0,3.76
187,2017-09-06,349.01,325.88,353.62,323.32,44560.0,7.10
188,2017-09-07,346.21,349.01,352.97,333.14,25880.0,-0.80
189,2017-09-08,330.02,346.21,372.83,313.59,94040.0,-4.68
190,2017-09-09,324.86,330.02,334.23,312.63,49200.0,-1.56
191,2017-09-10,324.51,324.86,328.66,295.45,61120.0,-0.11
192,2017-09-11,317.96,324.51,333.4,315.0,51950.0,-2.02
193,2017-09-12,324.67,317.96,331.1,317.96,75020.0,2.11
194,2017-09-13,297.2,324.67,325.55,283.16,42210.0,-8.46
195,2017-09-14,240.21,297.2,302.78,238.0,95270.0,-19.18
196,2017-09-15,285.0,240.21,300.0,219.6,138850.0,18.65
197,2017-09-16,299.94,285.0,304.98,275.0,57820.0,5.24
198,2017-09-17,311.44,299.94,316.5,275.0,46360.0,3.83
199,2017-09-18,335.14,311.44,339.94,311.44,60380.0,7.61
200,2017-09-19,324.46,335.14,336.0,311.36,40720.0,-3.19
201,2017-09-20,342.81,324.46,350.0,315.98,84520.0,5.66
202,2017-09-21,329.28,342.81,370.0,320.67,200310.0,-3.95
203,2017-09-22,342.2,329.28,358.47,326.86,100910.0,3.92
204,2017-09-23,350.93,342.2,359.03,335.27,65510.00000000001,2.55
205,2017-09-24,329.88,350.93,359.13,327.0,88340.0,-6.00
206,2017-09-25,349.09,329.88,352.01,328.96,74350.0,5.82
207,2017-09-26,341.36,349.09,355.75,339.05,38470.0,-2.21
208,2017-09-27,351.27,341.36,355.0,335.7,55120.0,2.90
209,2017-09-28,341.37,351.27,352.21,335.67,46650.0,-2.82
210,2017-09-29,329.48,341.37,344.23,318.1,76180.0,-3.48
211,2017-09-30,329.64,329.48,335.47,328.0,33300.0,0.05
212,2017-10-01,316.04,329.64,330.62,313.09,36890.0,-4.13
213,2017-10-02,307.81,316.04,322.55,305.4,29390.0,-2.60
214,2017-10-03,295.68,307.81,310.39,289.1,44590.0,-3.94
215,2017-10-04,303.44,295.68,317.3,294.62,64610.0,2.62
216,2017-10-05,305.46,303.44,310.97,292.4,38470.0,0.67
217,2017-10-06,306.48,305.46,312.9,303.03,28240.0,0.33
218,2017-10-07,311.34,306.48,315.0,301.04,20560.0,1.59
219,2017-10-08,300.53,311.34,317.71,300.53,37050.0,-3.47
220,2017-10-09,282.8,300.53,302.3,270.1,97080.0,-5.90
221,2017-10-10,291.46,282.8,297.21,279.28,34600.0,3.06
