SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-07-02,2.91,1.14,3.3,0.9406,5340000.0,155.26
2,2017-07-03,4.02,2.91,5.48,2.41,6580000.0,38.14
3,2017-07-04,3.12,4.02,4.2,2.55,7560000.0,-22.39
4,2017-07-05,2.83,3.12,3.31,2.6,3910000.0,-9.29
5,2017-07-06,3.25,2.83,3.53,2.82,4590000.0,14.84
6,2017-07-07,2.66,3.25,3.32,2.6,4030000.0000000005,-18.15
7,2017-07-08,2.4,2.66,2.76,2.01,5980000.0,-9.77
8,2017-07-09,2.21,2.4,2.55,2.12,3710000.0,-7.92
9,2017-07-10,1.6,2.21,2.28,1.23,7100000.0,-27.60
10,2017-07-11,1.5,1.6,1.78,1.36,9770000.0,-6.25
11,2017-07-12,1.99,1.5,2.05,1.4,5790000.0,32.67
12,2017-07-13,1.64,1.99,1.99,1.6,3170000.0,-17.59
13,2017-07-14,1.52,1.64,1.7,1.45,3530000.0,-7.32
14,2017-07-15,1.3,1.52,1.53,1.29,5000000.0,-14.47
15,2017-07-16,1.24,1.3,1.33,1.13,4720000.0,-4.62
16,2017-07-17,1.56,1.24,1.58,1.22,5850000.0,25.81
17,2017-07-18,1.65,1.56,1.73,1.46,4930000.0,5.77
18,2017-07-19,1.49,1.65,1.77,1.45,4430000.0,-9.70
19,2017-07-20,1.72,1.49,1.75,1.49,3230000.0,15.44
20,2017-07-21,1.8,1.72,2.0,1.67,3920000.0,4.65
21,2017-07-22,2.03,1.8,2.1,1.77,3390000.0,12.78
22,2017-07-23,1.93,2.03,2.14,1.8,4260000.0,-4.93
23,2017-07-24,1.88,1.93,1.99,1.8,2750000.0,-2.59
24,2017-07-25,1.65,1.88,1.9,1.55,3730000.0,-12.23
25,2017-07-26,1.7,1.65,1.71,1.48,3610000.0,3.03
26,2017-07-27,1.92,1.7,1.98,1.69,3350000.0,12.94
27,2017-07-28,1.81,1.92,1.99,1.8,3120000.0,-5.73
28,2017-07-29,1.83,1.81,1.87,1.6,3460000.0,1.10
29,2017-07-30,1.78,1.83,1.85,1.67,1730000.0,-2.73
30,2017-07-31,1.7,1.78,1.78,1.63,2440000.0,-4.49
31,2017-08-01,1.78,1.7,1.81,1.65,3610000.0,4.71
32,2017-08-02,1.74,1.78,1.8,1.67,2430000.0,-2.25
33,2017-08-03,1.78,1.74,1.78,1.7,1470000.0,2.30
34,2017-08-04,1.76,1.78,1.84,1.74,2290000.0,-1.12
35,2017-08-05,1.85,1.76,2.0,1.73,4470000.0,5.11
36,2017-08-06,1.75,1.85,1.85,1.7,3160000.0,-5.41
37,2017-08-07,1.78,1.75,1.81,1.7,3560000.0,1.71
38,2017-08-08,1.87,1.78,1.98,1.78,5490000.0,5.06
39,2017-08-09,1.81,1.87,1.91,1.79,2950000.0,-3.21
40,2017-08-10,1.84,1.81,1.91,1.8,3120000.0,1.66
41,2017-08-11,1.76,1.84,1.88,1.66,4440000.0,-4.35
42,2017-08-12,1.65,1.76,1.83,1.61,3350000.0,-6.25
43,2017-08-13,1.6,1.65,1.69,1.52,4740000.0,-3.03
44,2017-08-14,1.6,1.6,1.68,1.51,3340000.0,0.00
45,2017-08-15,1.62,1.6,1.73,1.52,4350000.0,1.25
46,2017-08-16,1.6,1.62,1.65,1.55,3420000.0,-1.23
47,2017-08-17,1.51,1.6,1.62,1.48,3570000.0,-5.63
48,2017-08-18,1.4,1.51,1.53,1.33,3950000.0,-7.28
49,2017-08-19,1.39,1.4,1.43,1.28,3120000.0,-0.71
50,2017-08-20,1.36,1.39,1.42,1.32,2520000.0,-2.16
51,2017-08-21,1.33,1.36,1.41,1.3,3830000.0,-2.21
52,2017-08-22,1.27,1.33,1.33,1.24,4770000.0,-4.51
53,2017-08-23,1.42,1.27,1.55,1.26,10350000.0,11.81
54,2017-08-24,1.37,1.42,1.42,1.32,3850000.0,-3.52
55,2017-08-25,1.37,1.37,1.45,1.33,3590000.0,0.00
56,2017-08-26,1.37,1.37,1.39,1.33,2700000.0,0.00
57,2017-08-27,1.34,1.37,1.38,1.32,2660000.0,-2.19
58,2017-08-28,1.32,1.34,1.36,1.27,3050000.0,-1.49
59,2017-08-29,1.31,1.32,1.38,1.31,3140000.0,-0.76
60,2017-08-30,1.25,1.31,1.34,1.22,4590000.0,-4.58
61,2017-08-31,1.34,1.25,1.36,1.25,6280000.0,7.20
62,2017-09-01,1.32,1.34,1.35,1.27,5280000.0,-1.49
63,2017-09-02,1.24,1.32,1.44,1.19,6990000.0,-6.06
64,2017-09-03,1.3,1.24,1.33,1.21,5290000.0,4.84
65,2017-09-04,0.91,1.3,1.31,0.8216,21910000.0,-30.00
66,2017-09-05,0.923,0.91,0.9777,0.75,18280000.0,1.43
67,2017-09-06,0.915,0.923,1.16,0.856,24760000.0,-0.87
68,2017-09-07,0.9852,0.915,1.03,0.8513,19610000.0,7.67
69,2017-09-08,0.841,0.9852,0.9894,0.774,17450000.0,-14.64
70,2017-09-09,0.81,0.841,0.8487,0.756,6410000.0,-3.69
71,2017-09-10,0.7367,0.81,0.8154,0.6918,8580000.0,-9.05
72,2017-09-11,0.7324,0.7367,0.7608,0.71,5560000.0,-0.58
73,2017-09-12,0.8599,0.7324,0.8977,0.728,15070000.0,17.41
74,2017-09-13,0.725,0.8599,0.86,0.656,15030000.0,-15.69
75,2017-09-14,0.575,0.725,0.7649,0.51,18350000.0,-20.69
76,2017-09-15,0.6505,0.575,0.678,0.5033,13920000.0,13.13
77,2017-09-16,0.6191,0.6505,0.68,0.578,5430000.0,-4.83
78,2017-09-17,0.6252,0.6191,0.6564,0.56,5670000.0,0.99
79,2017-09-18,0.7037,0.6252,0.7074,0.6252,5890000.0,12.56
80,2017-09-19,0.6463,0.7037,0.7075,0.6414,3310000.0,-8.16
81,2017-09-20,0.6045,0.6463,0.6522,0.6011,4550000.0,-6.47
82,2017-09-21,0.5423,0.6045,0.6102,0.5325,6630000.0,-10.29
83,2017-09-22,0.5664,0.5423,0.5873,0.5321,4300000.0,4.44
84,2017-09-23,0.5739,0.5664,0.59,0.555,4760000.0,1.32
85,2017-09-24,0.543,0.5739,0.578,0.537,6350000.0,-5.38
86,2017-09-25,0.5654,0.543,0.58,0.5384,5950000.0,4.13
87,2017-09-26,0.554,0.5654,0.59,0.552,5960000.0,-2.02
88,2017-09-27,0.6323,0.554,0.6394,0.554,14720000.0,14.13
89,2017-09-28,0.8067,0.6323,0.824,0.63,24960000.0,27.58
90,2017-09-29,0.715,0.8067,0.8449,0.695,17220000.0,-11.37
91,2017-09-30,0.7233,0.715,0.76,0.7049,8130000.000000001,1.16
92,2017-10-01,0.7073,0.7233,0.7304,0.6714,6270000.0,-2.21
93,2017-10-02,0.6533,0.7073,0.7229,0.6301,5330000.0,-7.63
94,2017-10-03,0.6325,0.6533,0.6711,0.615,4520000.0,-3.18
95,2017-10-04,0.602,0.6325,0.6359,0.5806,4740000.0,-4.82
96,2017-10-05,0.6056,0.602,0.625,0.57,6800000.0,0.60
97,2017-10-06,0.599,0.6056,0.6127,0.585,3520000.0,-1.09
98,2017-10-07,0.5879,0.599,0.6081,0.57,3020000.0,-1.85
99,2017-10-08,0.6044,0.5879,0.61,0.574,5240000.0,2.81
100,2017-10-09,0.555,0.6044,0.6047,0.544,6020000.0,-8.17
101,2017-10-10,0.553,0.555,0.5832,0.549,6320000.0,-0.36
102,2017-10-11,0.6138,0.553,0.6321,0.549,9340000.0,10.99
103,2017-10-12,0.59,0.6138,0.6483,0.582,8740000.0,-3.88
104,2017-10-13,0.5817,0.59,0.6219,0.555,8060000.000000001,-1.41
105,2017-10-14,0.5808,0.5817,0.623,0.5781,5530000.0,-0.15
106,2017-10-15,0.5716,0.5808,0.5875,0.56,4850000.0,-1.58
107,2017-10-16,0.5586,0.5716,0.5788,0.554,4470000.0,-2.27
108,2017-10-17,0.5516,0.5586,0.5654,0.5417,4640000.0,-1.25
109,2017-10-18,0.5405,0.5516,0.555,0.511,7140000.0,-2.01
110,2017-10-19,0.5669,0.5405,0.5907,0.54,7510000.0,4.88
111,2017-10-20,0.5353,0.5669,0.6,0.535,5550000.0,-5.57
112,2017-10-21,0.524,0.5353,0.5419,0.506,7390000.0,-2.11
113,2017-10-22,0.5177,0.524,0.5375,0.5019,3330000.0,-1.20
114,2017-10-23,0.4941,0.5177,0.5235,0.476,6150000.0,-4.56
115,2017-10-24,0.5123,0.4941,0.5291,0.4777,5940000.0,3.68
116,2017-10-25,0.5054,0.5123,0.5219,0.492,3530000.0,-1.35
117,2017-10-26,0.5135,0.5054,0.528,0.5016,3050000.0,1.60
118,2017-10-27,0.5215,0.5135,0.5227,0.5,3070000.0,1.56
119,2017-10-28,0.5354,0.5215,0.5406,0.5163,3790000.0,2.67
120,2017-10-29,0.6651,0.5354,0.68,0.535,19230000.0,24.22
121,2017-10-30,0.713,0.6651,0.747,0.64,22060000.0,7.20
122,2017-10-31,0.7824,0.713,0.7834,0.667,17670000.0,9.73
123,2017-11-01,1.04,0.7824,1.33,0.752,70260000.0,32.92
124,2017-11-02,1.12,1.04,1.3,0.9151,58530000.0,7.69
125,2017-11-03,1.2,1.12,1.42,1.06,46050000.0,7.14
126,2017-11-04,1.11,1.2,1.3,1.04,31210000.0,-7.50
127,2017-11-05,1.09,1.11,1.18,0.97,25070000.0,-1.80
128,2017-11-06,0.9153,1.09,1.09,0.9,23230000.0,-16.03
129,2017-11-07,0.9528,0.9153,0.9958,0.9101,11580000.0,4.10
130,2017-11-08,1.13,0.9528,1.19,0.9406,29030000.0,18.60
131,2017-11-09,1.17,1.13,1.21,1.11,14870000.0,3.54
132,2017-11-10,1.03,1.17,1.19,0.9801,16450000.0,-11.97
133,2017-11-11,1.16,1.03,1.2,1.0,14010000.0,12.62
134,2017-11-12,1.09,1.16,1.19,1.02,13100000.0,-6.03
135,2017-11-13,1.18,1.09,1.19,1.08,9980000.0,8.26
136,2017-11-14,1.66,1.18,1.7,1.18,38180000.0,40.68
137,2017-11-15,1.67,1.66,1.73,1.51,29200000.0,0.60
138,2017-11-16,1.67,1.67,1.87,1.56,31170000.0,0.00
139,2017-11-17,1.74,1.67,1.82,1.58,21550000.0,4.19
140,2017-11-18,1.91,1.74,2.0,1.65,20260000.0,9.77
141,2017-11-19,1.88,1.91,2.07,1.75,19630000.0,-1.57
142,2017-11-20,1.99,1.88,2.05,1.83,16290000.0,5.85
143,2017-11-21,1.91,1.99,2.12,1.83,21870000.0,-4.02
144,2017-11-22,1.89,1.91,1.99,1.76,16180000.0,-1.05
145,2017-11-23,1.87,1.89,1.99,1.85,13080000.0,-1.06
146,2017-11-24,1.88,1.87,1.91,1.71,12990000.0,0.53
147,2017-11-25,2.05,1.88,2.07,1.78,13770000.0,9.04
148,2017-11-26,2.05,2.05,2.05,2.05,0.0,0.00
149,2017-11-27,2.86,2.05,2.96,2.05,24700000.0,39.51
150,2017-11-28,2.8,2.86,3.06,2.71,20710000.0,-2.10
151,2017-11-29,2.74,2.8,3.36,2.47,26520000.0,-2.14
152,2017-11-30,2.83,2.74,2.98,2.43,20730000.0,3.28
153,2017-12-01,3.22,2.83,3.25,2.68,13840000.0,13.78
154,2017-12-02,3.91,3.22,3.98,3.16,22280000.0,21.43
155,2017-12-03,3.58,3.91,4.12,3.4,17750000.0,-8.44
156,2017-12-04,4.04,3.58,4.21,3.4,19580000.0,12.85
157,2017-12-05,4.23,4.04,4.57,3.65,31820000.0,4.70
158,2017-12-06,4.45,4.23,5.12,4.16,28320000.0,5.20
159,2017-12-07,3.86,4.45,4.46,3.26,28240000.0,-13.26
160,2017-12-08,4.22,3.86,4.5,3.51,17980000.0,9.33
161,2017-12-09,4.01,4.22,4.64,3.68,17400000.0,-4.98
162,2017-12-10,3.7,4.01,4.01,3.4,12960000.0,-7.73
163,2017-12-11,4.35,3.7,4.48,3.65,19240000.0,17.57
164,2017-12-12,5.1,4.35,5.91,4.23,26290000.0,17.24
165,2017-12-13,7.28,5.1,7.28,4.68,65640000.0,42.75
166,2017-12-14,8.2,7.28,8.7,7.04,48570000.0,12.64
167,2017-12-15,7.93,8.2,8.37,6.51,29640000.0,-3.29
168,2017-12-16,8.35,7.93,9.3,7.89,23130000.0,5.30
169,2017-12-17,7.97,8.35,9.0,7.81,15020000.0,-4.55
170,2017-12-18,8.88,7.97,8.98,7.22,20580000.0,11.42
171,2017-12-19,11.49,8.88,12.5,8.65,56640000.0,29.39
172,2017-12-20,10.45,11.49,11.7,9.7,17730000.0,-9.05
173,2017-12-21,10.65,10.45,11.88,9.7,18060000.0,1.91
174,2017-12-22,7.67,10.65,10.66,3.0,59350000.0,-27.98
