SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-07-14,0.01,0.01,0.02,0.01,962910000.0,0.00
2,2020-07-15,0.02,0.01,0.02,0.01,989000000.0,0.00
3,2020-07-16,0.02,0.02,0.02,0.02,1010000000.0,0.00
4,2020-07-17,0.01,0.02,0.02,0.01,879520000.0,0.00
5,2020-07-18,0.02,0.01,0.02,0.01,626690000.0,0.00
6,2020-07-19,0.01,0.02,0.02,0.01,850050000.0,0.00
7,2020-07-20,0.01,0.01,0.01,0.01,779310000.0,0.00
8,2020-07-21,0.02,0.01,0.02,0.01,1700000000.0,0.00
9,2020-07-22,0.02,0.02,0.02,0.02,889110000.0,0.00
10,2020-07-23,0.02,0.02,0.02,0.02,540910000.0,0.00
11,2020-07-24,0.02,0.02,0.02,0.02,373790000.0,0.00
12,2020-07-25,0.02,0.02,0.02,0.02,765380000.0,0.00
13,2020-07-26,0.02,0.02,0.02,0.02,1900000000.0,0.00
14,2020-07-27,0.03,0.02,0.03,0.02,3090000000.0,0.00
15,2020-07-28,0.03,0.03,0.03,0.02,1110000000.0,0.00
16,2020-07-29,0.03,0.03,0.03,0.03,798940000.0,0.00
17,2020-07-30,0.02,0.03,0.03,0.02,1470000000.0,0.00
18,2020-07-31,0.02,0.02,0.02,0.02,804340000.0,0.00
19,2020-08-01,0.02,0.02,0.02,0.02,2029999999.9999998,0.00
20,2020-08-02,0.02,0.02,0.02,0.02,879590000.0,0.00
21,2020-08-03,0.02,0.02,0.02,0.02,486100000.0,0.00
22,2020-08-04,0.02,0.02,0.02,0.02,331720000.0,0.00
23,2020-08-05,0.02,0.02,0.02,0.02,393350000.0,0.00
24,2020-08-06,0.02,0.02,0.02,0.02,361940000.0,0.00
25,2020-08-07,0.02,0.02,0.02,0.02,1210000000.0,0.00
26,2020-08-08,0.02,0.02,0.02,0.02,497980000.0,0.00
27,2020-08-09,0.02,0.02,0.02,0.02,359770000.0,0.00
28,2020-08-10,0.02,0.02,0.02,0.02,767870000.0,0.00
29,2020-08-11,0.02,0.02,0.02,0.02,459850000.0,0.00
30,2020-08-12,0.02,0.02,0.02,0.02,442590000.0,0.00
31,2020-08-13,0.02,0.02,0.02,0.02,309860000.0,0.00
32,2020-08-14,0.02,0.02,0.02,0.02,366710000.0,0.00
33,2020-08-15,0.02,0.02,0.02,0.02,296660000.0,0.00
34,2020-08-16,0.02,0.02,0.02,0.02,231110000.0,0.00
35,2020-08-17,0.02,0.02,0.02,0.02,429490000.0,0.00
36,2020-08-18,0.02,0.02,0.02,0.02,429040000.0,0.00
37,2020-08-19,0.02,0.02,0.02,0.02,339100000.0,0.00
38,2020-08-20,0.02,0.02,0.02,0.02,343880000.0,0.00
39,2020-08-21,0.02,0.02,0.02,0.02,246270000.0,0.00
40,2020-08-22,0.02,0.02,0.02,0.02,253860000.0,0.00
41,2020-08-23,0.02,0.02,0.02,0.02,253640000.0,0.00
42,2020-08-24,0.02,0.02,0.02,0.02,257760000.0,0.00
43,2020-08-25,0.02,0.02,0.02,0.02,250900000.0,0.00
44,2020-08-26,0.02,0.02,0.02,0.02,146150000.0,0.00
45,2020-08-27,0.02,0.02,0.02,0.02,140520000.0,0.00
46,2020-08-28,0.02,0.02,0.02,0.02,1030000000.0,0.00
47,2020-08-29,0.02,0.02,0.02,0.02,339910000.0,0.00
48,2020-08-30,0.02,0.02,0.02,0.02,261079999.99999997,0.00
49,2020-08-31,0.02,0.02,0.02,0.02,239560000.0,0.00
50,2020-09-01,0.02,0.02,0.02,0.02,0.0,0.00
51,2020-09-02,0.02,0.02,0.02,0.02,0.0,0.00
52,2020-09-03,0.02,0.02,0.02,0.02,0.0,0.00
53,2020-09-04,0.02,0.02,0.02,0.02,0.0,0.00
54,2020-09-05,0.02,0.02,0.02,0.02,0.0,0.00
55,2020-09-06,0.02,0.02,0.02,0.02,0.0,0.00
56,2020-09-07,0.02,0.02,0.02,0.02,0.0,0.00
57,2020-09-08,0.02,0.02,0.02,0.02,0.0,0.00
58,2020-09-09,0.02,0.02,0.02,0.02,0.0,0.00
59,2020-09-10,0.02,0.02,0.02,0.02,0.0,0.00
60,2020-09-11,0.02,0.02,0.02,0.02,0.0,0.00
61,2020-09-12,0.02,0.02,0.02,0.02,0.0,0.00
62,2020-09-13,0.02,0.02,0.02,0.02,0.0,0.00
63,2020-09-14,0.02,0.02,0.02,0.02,0.0,0.00
64,2020-09-15,0.02,0.02,0.02,0.02,0.0,0.00
65,2020-09-16,0.02,0.02,0.02,0.02,0.0,0.00
66,2020-09-17,0.02,0.02,0.02,0.02,0.0,0.00
