SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2016-07-28,1.68,1.6,2.11,1.36,890280.0,5.00
2,2016-07-29,1.64,1.68,1.79,1.52,696560.0,-2.38
3,2016-07-30,1.57,1.64,1.7,1.55,290620.0,-4.27
4,2016-07-31,1.79,1.57,1.92,1.41,777390.0,14.01
5,2016-08-01,2.29,1.79,2.29,1.7,1410000.0,27.93
6,2016-08-02,2.6,2.29,3.64,2.07,3310000.0,13.54
7,2016-08-03,2.56,2.6,3.2,2.18,694250.0,-1.54
8,2016-08-04,2.28,2.56,2.77,2.1,325470.0,-10.94
9,2016-08-05,2.56,2.28,2.65,2.28,206960.0,12.28
10,2016-08-06,2.67,2.56,2.88,2.5,241590.0,4.30
11,2016-08-07,2.1,2.67,2.76,2.07,356910.0,-21.35
12,2016-08-08,2.13,2.1,2.4,1.95,315600.0,1.43
13,2016-08-09,1.93,2.13,2.3,1.72,362850.0,-9.39
14,2016-08-10,1.69,1.93,2.06,1.6,523809.99999999994,-12.44
15,2016-08-11,1.86,1.69,1.96,1.56,509010.0,10.06
16,2016-08-12,1.82,1.86,2.09,1.81,452750.0,-2.15
17,2016-08-13,1.86,1.82,1.92,1.81,149600.0,2.20
18,2016-08-14,1.92,1.86,1.99,1.86,287590.0,3.23
19,2016-08-15,1.86,1.92,2.0,1.85,316590.0,-3.12
20,2016-08-16,1.86,1.86,1.89,1.8,129740.00000000001,0.00
21,2016-08-17,1.74,1.86,1.88,1.71,250190.0,-6.45
22,2016-08-18,1.69,1.74,1.78,1.63,198680.0,-2.87
23,2016-08-19,1.75,1.69,1.8,1.61,321850.0,3.55
24,2016-08-20,1.74,1.75,1.76,1.69,109840.0,-0.57
25,2016-08-21,1.71,1.74,1.77,1.7,54630.0,-1.72
26,2016-08-22,1.66,1.71,1.74,1.62,271280.0,-2.92
27,2016-08-23,1.61,1.66,1.68,1.57,380030.0,-3.01
28,2016-08-24,1.47,1.61,1.79,1.42,407440.0,-8.70
29,2016-08-25,1.38,1.47,1.47,1.26,958550.0,-6.12
30,2016-08-26,1.43,1.38,1.46,1.32,599750.0,3.62
31,2016-08-27,1.36,1.43,1.46,1.34,266980.0,-4.90
32,2016-08-28,1.36,1.36,1.36,1.3,442970.0,0.00
33,2016-08-29,1.24,1.36,1.36,1.24,535720.0,-8.82
34,2016-08-30,1.24,1.24,1.31,1.15,1200000.0,0.00
35,2016-08-31,1.19,1.24,1.27,1.16,547990.0,-4.03
36,2016-09-01,1.48,1.19,1.49,1.17,1270000.0,24.37
37,2016-09-02,1.4,1.48,1.48,1.37,458770.0,-5.41
38,2016-09-03,1.36,1.4,1.41,1.32,148460.0,-2.86
39,2016-09-04,1.44,1.36,1.45,1.3,286350.0,5.88
40,2016-09-05,1.46,1.44,1.55,1.44,206500.0,1.39
41,2016-09-06,1.48,1.46,1.5,1.44,221340.0,1.37
42,2016-09-07,1.48,1.48,1.49,1.45,281170.0,0.00
43,2016-09-08,1.47,1.48,1.54,1.46,126150.0,-0.68
44,2016-09-09,1.41,1.47,1.47,1.38,216290.0,-4.08
45,2016-09-10,1.42,1.41,1.45,1.4,148240.0,0.71
46,2016-09-11,1.34,1.42,1.43,1.33,695960.0,-5.63
47,2016-09-12,1.33,1.34,1.35,1.31,207860.0,-0.75
48,2016-09-13,1.29,1.33,1.33,1.29,250440.0,-3.01
49,2016-09-14,1.3,1.29,1.32,1.26,240600.0,0.78
