SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2019-12-20,2.1538,2.0441,2.2001,2.0441,1170000.0,5.34
2,2019-12-21,2.1471,2.1542,2.1561,2.1361,318890.0,-0.31
3,2019-12-22,2.2763,2.1468,2.2763,2.1368,1100000.0,6.02
4,2019-12-23,2.1909,2.2763,2.3004,2.171,498530.0,-3.75
5,2019-12-24,2.1605,2.1909,2.1989,2.1379,158820.0,-1.39
6,2019-12-25,2.1398,2.16,2.1656,2.1383,149990.0,-0.96
7,2019-12-26,2.1397,2.1398,2.194,2.1388,211670.0,-0.00
8,2019-12-27,2.1503,2.1397,2.1689,2.1394,263890.0,0.50
9,2019-12-28,2.1793,2.1503,2.1881,2.1502,172590.0,1.35
10,2019-12-29,2.2099,2.18,2.2433,2.17,180380.0,1.40
11,2019-12-30,2.1596,2.2098,2.21,2.1501,214910.0,-2.28
12,2019-12-31,2.1458,2.1596,2.1862,2.1412,168420.0,-0.64
13,2020-01-01,2.1429,2.1458,2.1639,2.1421,94240.0,-0.14
14,2020-01-02,2.1423,2.1431,2.1525,2.1412,383100.0,-0.03
15,2020-01-03,2.2039,2.1417,2.2309,2.1408,541110.0,2.88
16,2020-01-04,2.1681,2.2065,2.2073,2.1554,348370.0,-1.62
17,2020-01-05,2.138,2.1685,2.2005,2.13,529420.0,-1.39
18,2020-01-06,2.1847,2.1386,2.1908,2.1335,555770.0,2.18
19,2020-01-07,2.1619,2.1848,2.2397,2.1333,1770000.0,-1.04
20,2020-01-08,2.1742,2.1593,2.2055,2.1343,1780000.0,0.57
21,2020-01-09,2.1594,2.1742,2.1769,2.1352,1060000.0,-0.68
22,2020-01-10,2.2295,2.1595,2.2399,2.1327,1580000.0,3.25
23,2020-01-11,2.1465,2.2321,2.2321,2.1341,538060.0,-3.72
24,2020-01-12,2.1811,2.1465,2.1986,2.1363,292470.0,1.61
25,2020-01-13,2.1498,2.1819,2.1862,2.1397,298420.0,-1.44
26,2020-01-14,2.1762,2.1499,2.22,2.1461,1400000.0,1.23
27,2020-01-15,2.3656,2.1676,2.3659,2.153,1660000.0,8.70
28,2020-01-16,2.3981,2.3656,2.3998,2.2886,643810.0,1.37
29,2020-01-17,2.3855,2.3985,2.4783,2.3717,578070.0,-0.53
30,2020-01-18,2.3769,2.3856,2.4094,2.3336,285230.0,-0.36
31,2020-01-19,2.2838,2.3769,2.4362,2.242,732560.0,-3.92
32,2020-01-20,2.2668,2.2856,2.2917,2.2039,456020.0,-0.74
33,2020-01-21,2.3464,2.2649,2.3519,2.2624,300950.0,3.51
34,2020-01-22,2.3222,2.3464,2.3599,2.2897,369120.0,-1.03
35,2020-01-23,2.2339,2.3235,2.3239,2.1791,492680.0,-3.80
36,2020-01-24,2.2632,2.2339,2.2861,2.1906,426300.0,1.31
37,2020-01-25,2.2145,2.2631,2.2631,2.2073,181350.0,-2.15
38,2020-01-26,2.2868,2.2124,2.2876,2.201,355090.0,3.26
39,2020-01-27,2.3722,2.2868,2.4012,2.2868,515500.0,3.73
40,2020-01-28,2.4417,2.3724,2.4441,2.3416,448580.0,2.93
41,2020-01-29,2.3495,2.4417,2.4489,2.3444,911930.0,-3.78
42,2020-01-30,2.4052,2.349,2.4228,2.3183,888260.0,2.37
43,2020-01-31,2.3683,2.4077,2.4087,2.3237,1080000.0,-1.53
44,2020-02-01,2.3483,2.3678,2.3898,2.3275,541920.0,-0.84
45,2020-02-02,2.3184,2.3476,2.3696,2.3,494350.0,-1.27
46,2020-02-03,2.3011,2.3181,2.3779,2.2639,678310.0,-0.75
47,2020-02-04,2.2469,2.3011,2.3178,2.2101,531570.0,-2.36
48,2020-02-05,2.3424,2.2457,2.385,2.2372,415350.0,4.25
49,2020-02-06,2.4077,2.3419,2.42,2.3214,982330.0,2.79
50,2020-02-07,2.3823,2.4077,2.4496,2.3583,611550.0,-1.05
51,2020-02-08,2.3834,2.3825,2.407,2.3409,316420.0,0.05
52,2020-02-09,2.406,2.3822,2.4291,2.3738,119080.0,0.95
53,2020-02-10,2.4918,2.4064,2.5413,2.3267,680440.0,3.57
54,2020-02-11,2.5576,2.4909,2.5653,2.4201,224490.0,2.64
55,2020-02-12,2.5729,2.5544,2.6122,2.5308,137670.0,0.60
56,2020-02-13,2.5228,2.5729,2.6088,2.4812,454760.0,-1.95
57,2020-02-14,2.5653,2.5234,2.5777,2.4904,47110.0,1.68
58,2020-02-15,2.5211,2.5653,2.5775,2.4659,405460.0,-1.72
59,2020-02-16,2.9588,2.5218,2.965,2.5112,1220000.0,17.36
60,2020-02-17,2.7317,2.9586,2.9586,2.513,1130000.0,-7.68
61,2020-02-18,2.8451,2.7317,2.8659,2.6875,195190.0,4.15
62,2020-02-19,2.6628,2.8403,2.8509,2.6391,140900.0,-6.41
63,2020-02-20,2.6222,2.6578,2.6698,2.5751,148950.0,-1.52
64,2020-02-21,2.6893,2.6227,2.718,2.6162,74330.0,2.56
65,2020-02-22,2.673,2.6893,2.6893,2.6484,69680.0,-0.61
66,2020-02-23,2.7537,2.673,2.7597,2.67,61460.0,3.02
67,2020-02-24,2.6314,2.7516,2.7676,2.5382,59970.0,-4.44
68,2020-02-25,2.46,2.6326,2.6349,2.4438,96140.0,-6.51
69,2020-02-26,2.2842,2.46,2.481,2.1719,282880.0,-7.15
70,2020-02-27,2.4464,2.2824,2.4695,2.2193,81980.0,7.10
71,2020-02-28,2.6186,2.4507,2.6414,2.4431,229220.0,7.04
72,2020-02-29,2.5779,2.6192,2.6846,2.5767,257790.00000000003,-1.55
73,2020-03-01,2.5577,2.5743,2.6527,2.5246,79470.0,-0.78
74,2020-03-02,2.6872,2.5563,2.7053,2.5467,86670.0,5.06
75,2020-03-03,2.6427,2.688,2.7117,2.611,39580.0,-1.66
76,2020-03-04,2.6408,2.6427,2.6896,2.6097,34080.0,-0.07
77,2020-03-05,2.7246,2.6408,2.7831,2.6408,88610.0,3.17
78,2020-03-06,2.7989,2.7237,2.8083,2.7099,43640.0,2.73
79,2020-03-07,2.6828,2.798,2.8042,2.6557,26000.0,-4.15
80,2020-03-08,2.4276,2.6814,2.6814,2.4163,201330.0,-9.51
81,2020-03-09,2.4088,2.4279,2.4323,2.3743,353660.0,-0.77
82,2020-03-10,2.4463,2.4085,2.4945,2.3935,108690.0,1.56
83,2020-03-11,2.3974,2.4463,2.4796,2.2611,84160.0,-2.00
84,2020-03-12,2.076,2.4002,2.4071,1.9762,1870000.0,-13.41
85,2020-03-13,2.0516,2.046,2.3304,1.8937,1490000.0,-1.18
86,2020-03-14,2.03,2.055,2.0756,1.9843,407100.0,-1.05
87,2020-03-15,2.0899,2.03,2.2755,2.0072,359640.0,2.95
88,2020-03-16,2.0147,2.0892,2.0892,1.9954,653210.0,-3.60
89,2020-03-17,2.1071,2.026,2.1495,1.9996,260980.00000000003,4.59
90,2020-03-18,2.1157,2.1002,2.1371,2.0211,122510.0,0.41
91,2020-03-19,2.4248,2.1211,2.5079,2.0867,228800.0,14.61
92,2020-03-20,2.3866,2.4248,2.7,2.1507,368890.0,-1.58
93,2020-03-21,2.3816,2.3802,2.4648,2.2523,215070.0,-0.21
94,2020-03-22,2.2299,2.3815,2.4723,2.2096,162230.0,-6.37
95,2020-03-23,2.4439,2.229,2.4984,2.1834,153230.0,9.60
96,2020-03-24,2.4872,2.449,2.5782,2.4118,65430.00000000001,1.77
97,2020-03-25,2.4621,2.487,2.555,2.3927,98810.0,-1.01
98,2020-03-26,2.514,2.4621,2.5295,2.4228,37850.0,2.11
99,2020-03-27,2.3488,2.5124,2.5225,2.3273,162810.0,-6.57
100,2020-03-28,2.3112,2.3488,2.3488,2.223,127130.0,-1.60
101,2020-03-29,2.1845,2.3114,2.3188,2.1802,72730.0,-5.48
102,2020-03-30,2.3922,2.1845,2.4539,2.1835,99600.0,9.51
103,2020-03-31,2.3985,2.3928,2.4465,2.3872,58260.0,0.26
104,2020-04-01,2.4381,2.4004,2.4536,2.2922,65570.0,1.65
105,2020-04-02,2.4855,2.4381,2.6263,2.4216,112310.0,1.94
106,2020-04-03,2.4827,2.4826,2.5718,2.4256,65160.0,-0.11
107,2020-04-04,2.5385,2.4827,2.5747,2.4535,49440.0,2.25
108,2020-04-05,2.5104,2.5385,2.5552,2.4757,21000.0,-1.11
109,2020-04-06,2.7818,2.5104,2.7825,2.5104,40260.0,10.81
110,2020-04-07,2.6707,2.7818,2.8252,2.619,39290.0,-3.99
111,2020-04-08,2.7428,2.6705,2.7722,2.6539,27670.0,2.70
112,2020-04-09,2.7158,2.7443,2.7489,2.6575,32850.0,-0.98
113,2020-04-10,2.5231,2.7163,2.7197,2.4734,48630.0,-7.10
114,2020-04-11,2.5351,2.5191,2.5627,2.4845,23760.0,0.48
115,2020-04-12,2.5516,2.5333,2.6578,2.4945,47360.0,0.65
116,2020-04-13,2.5752,2.5407,2.5843,2.4352,88850.0,0.92
117,2020-04-14,2.6154,2.5752,2.6758,2.5589,40940.0,1.56
118,2020-04-15,2.5007,2.6154,2.6493,2.4935,35080.0,-4.39
119,2020-04-16,2.7146,2.4997,2.7354,2.4392,48110.0,8.55
120,2020-04-17,2.6938,2.7145,2.7398,2.6598,34330.0,-0.77
121,2020-04-18,2.8,2.6931,2.8187,2.6931,37810.0,3.94
122,2020-04-19,2.7348,2.8,2.8019,2.7012,36070.0,-2.33
123,2020-04-20,2.5826,2.7367,2.7899,2.5548,56790.0,-5.57
124,2020-04-21,2.58,2.5826,2.6347,2.5574,82050.0,-0.10
125,2020-04-22,2.7103,2.5807,2.7254,2.5678,41320.0,5.05
126,2020-04-23,2.7814,2.7125,2.86,2.6663,80270.0,2.62
127,2020-04-24,2.7891,2.782,2.8287,2.7606,44100.0,0.28
128,2020-04-25,2.8275,2.7891,2.8769,2.769,53770.0,1.38
129,2020-04-26,2.8542,2.8275,2.8789,2.8061,32659.999999999996,0.94
130,2020-04-27,2.884,2.8545,2.886,2.8,42250.0,1.04
131,2020-04-28,2.879,2.884,2.8983,2.8449,44130.0,-0.17
132,2020-04-29,3.1357,2.8754,3.1938,2.8728,159910.0,8.92
133,2020-04-30,3.087,3.1357,3.349,3.0168,92950.0,-1.55
134,2020-05-01,3.1727,3.087,3.2322,3.0857,35070.0,2.78
135,2020-05-02,3.2003,3.1731,3.2125,3.149,25650.0,0.87
136,2020-05-03,3.1529,3.2016,3.2643,3.0913,39140.0,-1.48
