SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-12-07,2.73,3.01,3.05,2.73,10640.0,-9.30
2,2018-12-11,2.86,2.9,3.0,2.85,3510.0,-1.52
3,2018-12-10,2.9,3.19,3.19,2.58,10570.0,-9.06
4,2018-12-08,2.96,2.73,3.14,2.73,5300.0,8.42
5,2018-12-15,2.99,3.0,3.0,2.94,1330.0,-0.40
6,2018-12-14,3.0,3.07,3.1,2.94,5490.0,-2.34
7,2018-12-12,3.0,2.86,3.1,2.86,1950.0,5.01
8,2018-12-06,3.01,3.25,3.29,3.01,6050.0,-7.38
9,2018-12-13,3.07,3.0,3.1,2.9,2280.0,2.43
10,2018-12-16,3.1,2.99,3.1,2.99,2430.0,3.68
11,2018-11-26,3.13,3.15,3.78,3.1,15600.0,-0.63
12,2018-11-25,3.15,3.7,3.7,2.79,18070.0,-14.86
13,2018-12-09,3.19,2.96,3.2,2.95,1810.0,7.77
14,2018-11-27,3.21,3.13,3.56,3.12,4450.0,2.56
15,2018-12-03,3.22,3.38,3.38,3.22,6770.0,-4.73
16,2018-12-05,3.25,3.26,3.4,3.24,3900.0,-0.31
17,2018-12-04,3.26,3.22,3.35,3.22,2960.0,1.24
18,2018-12-18,3.31,3.39,3.51,3.08,10990.0,-2.39
19,2018-11-30,3.33,3.36,3.54,3.23,5500.0,-0.89
20,2018-11-29,3.36,3.48,3.65,3.35,5660.0,-3.45
21,2018-12-02,3.38,3.51,3.51,3.22,3610.0,-3.70
22,2018-12-17,3.39,3.1,3.39,3.05,4650.0,9.39
23,2018-12-19,3.4,3.31,3.8,3.17,26780.0,2.75
24,2018-11-28,3.48,3.21,3.72,3.1,9030.0,8.41
25,2019-01-29,3.51,3.69,3.69,3.48,2400.0,-4.95
26,2019-01-13,3.51,3.7,3.71,3.51,3020.0,-5.11
27,2018-12-01,3.51,3.33,3.52,3.2,3150.0,5.41
28,2019-01-31,3.52,3.57,3.65,3.52,1200.0,-1.37
29,2019-02-01,3.56,3.52,3.64,3.52,1290.0,1.25
30,2019-01-30,3.57,3.51,3.57,3.5,830.0,1.54
31,2019-02-02,3.63,3.56,3.78,3.55,1260.0,1.99
32,2019-02-03,3.68,3.63,4.05,3.59,1590.0,1.35
33,2019-01-26,3.68,3.75,3.75,3.68,2960.0,-2.03
34,2019-01-11,3.68,3.7,3.71,3.68,2290.0,-0.65
35,2019-01-28,3.69,3.73,3.73,3.35,7910.0,-1.02
36,2018-12-22,3.69,3.7,3.75,3.68,4810.0,-0.19
37,2019-01-15,3.7,3.7,4.2,3.62,13440.0,0.00
38,2019-01-14,3.7,3.51,3.7,3.51,3260.0,5.38
39,2019-01-12,3.7,3.68,3.71,3.65,3820.0,0.65
40,2019-01-10,3.7,3.86,3.89,3.7,3570.0,-4.15
41,2018-12-21,3.7,3.82,4.38,3.69,11290.0,-3.22
42,2018-11-24,3.7,3.79,4.1,3.69,5240.0,-2.37
43,2019-01-06,3.72,3.82,3.9,3.68,1560.0,-2.51
44,2019-01-27,3.73,3.68,3.89,3.65,3410.0,1.52
45,2019-01-24,3.74,3.81,3.83,3.73,2150.0,-1.76
46,2018-12-23,3.74,3.69,4.2,3.69,5830.0,1.27
47,2019-01-25,3.75,3.74,3.78,3.68,3330.0,0.24
48,2018-12-31,3.75,3.79,3.99,3.68,4690.0,-0.98
49,2019-01-08,3.76,3.81,3.83,3.7,5040.0,-1.13
50,2019-01-17,3.77,3.79,3.93,3.53,7500.0,-0.40
51,2019-01-16,3.79,3.7,3.99,3.64,1680.0,2.32
52,2018-12-30,3.79,3.81,3.97,3.68,6030.0,-0.55
53,2018-11-23,3.79,3.82,4.12,3.32,5030.0,-0.79
54,2018-11-20,3.79,4.13,4.2,3.3,9000.0,-8.23
55,2020-03-12,3.8,5.59,5.81,3.53,42660.0,-32.00
56,2019-03-28,3.8,3.94,3.94,3.79,68150.0,-3.55
57,2019-02-13,3.8,3.88,4.0,3.78,6460.0,-1.96
58,2019-02-11,3.8,3.8,4.02,3.8,2000.0,0.00
59,2019-02-10,3.8,3.98,4.04,3.78,2710.0,-4.43
60,2019-01-20,3.8,4.03,4.19,3.69,4290.0,-5.68
61,2019-01-04,3.8,3.9,3.9,3.68,4310.0,-2.64
62,2019-02-04,3.81,3.68,4.0,3.67,2210.0,3.53
63,2019-01-23,3.81,4.0,4.04,3.81,6410.0,-4.75
64,2019-01-07,3.81,3.72,3.83,3.72,1270.0,2.23
65,2019-01-02,3.81,3.84,3.91,3.8,4059.9999999999995,-0.78
66,2018-12-29,3.81,3.98,4.1,3.8,3200.0,-4.27
67,2019-03-26,3.82,3.88,3.91,3.8,14980.0,-1.60
68,2019-03-12,3.82,3.93,4.0,3.79,46090.0,-2.62
69,2019-01-05,3.82,3.8,3.9,3.71,2750.0,0.47
70,2018-12-20,3.82,3.4,4.77,3.4,31360.0,12.38
71,2018-11-22,3.82,4.55,4.55,3.72,2470.0,-16.04
72,2019-03-13,3.83,3.82,3.97,3.81,16079.999999999998,0.21
73,2019-02-07,3.83,3.83,3.87,3.83,470.0,0.00
74,2019-02-06,3.83,3.93,4.05,3.79,2590.0,-2.47
75,2019-01-01,3.84,3.75,3.87,3.74,4380.0,2.35
76,2019-03-16,3.85,3.9,3.99,3.85,28400.0,-1.38
77,2019-01-18,3.85,3.77,4.03,3.73,2880.0,2.20
78,2019-01-09,3.86,3.76,3.89,3.76,2200.0,2.55
79,2019-03-25,3.88,3.89,3.91,3.82,9610.0,-0.39
80,2019-02-12,3.88,3.8,4.0,3.8,1590.0,1.97
81,2019-03-24,3.89,3.9,3.97,3.89,12410.0,-0.26
82,2019-03-23,3.9,3.97,3.98,3.9,7310.0,-1.64
83,2019-03-15,3.9,3.95,3.99,3.87,7410.0,-1.19
84,2019-01-03,3.9,3.81,3.9,3.74,4180.0,2.55
85,2019-03-04,3.91,3.96,3.96,3.81,9230.0,-1.29
86,2019-03-09,3.92,3.94,3.97,3.8,60160.0,-0.63
87,2019-03-07,3.92,4.08,4.18,3.88,53960.0,-4.07
88,2018-12-27,3.92,4.38,4.38,3.68,9760.0,-10.52
89,2019-03-21,3.93,3.94,3.98,3.87,26880.0,-0.41
90,2019-03-11,3.93,4.0,4.0,3.81,30330.0,-1.85
91,2019-02-05,3.93,3.81,3.93,3.81,200.0,3.10
