SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-12-25,0.35831,0.41046000000000005,0.41046000000000005,0.34989000000000003,252000000.0,-13.04
2,2020-12-26,0.48338000000000003,0.35882,0.48338000000000003,0.33211,540350000.0,34.91
3,2020-12-27,0.3966,0.4848,0.4848,0.39459,362440000.0,-17.95
4,2020-12-28,0.38048000000000004,0.39678,0.4294,0.38027,243540000.0,-4.06
5,2020-12-29,0.37395,0.38084,0.38084,0.34113000000000004,158320000.0,-1.72
6,2020-12-30,0.37493000000000004,0.37579,0.38613000000000003,0.35641,141840000.0,0.26
7,2020-12-31,0.34996,0.37465,0.37465,0.34805,77720000.0,-6.66
8,2021-01-01,0.362,0.35046,0.37084,0.34874,106540000.0,3.44
9,2021-01-02,0.32754,0.36189,0.36189,0.31626,84830000.0,-9.52
10,2021-01-03,0.29795,0.326,0.32991,0.29795,153370000.0,-9.03
11,2021-01-04,0.30785,0.29894,0.33013000000000003,0.2969,141660000.0,3.32
12,2021-01-05,0.33841,0.30906999999999996,0.34495,0.29104,139040000.0,9.93
13,2021-01-06,0.36963,0.34014,0.37482,0.32488,218380000.0,9.23
14,2021-01-07,0.34633,0.372,0.38706999999999997,0.34633,196780000.0,-6.30
15,2021-01-08,0.32903000000000004,0.34793,0.34793,0.32311,142110000.0,-5.00
16,2021-01-09,0.34849,0.32857,0.35925,0.32276,115580000.0,5.91
17,2021-01-10,0.32602,0.35111,0.37513,0.31312,125860000.0,-6.45
18,2021-01-11,0.29053,0.32688,0.32688,0.24156,138090000.0,-10.89
19,2021-01-12,0.27762,0.2916,0.30545,0.27666999999999997,71620000.0,-4.44
20,2021-01-13,0.32547,0.27724,0.33182,0.27291,107420000.0,17.24
21,2021-01-14,0.33419,0.32405,0.35375,0.32405,110360000.0,2.68
22,2021-01-15,0.33860999999999997,0.33428,0.38093,0.3265,178460000.0,1.32
23,2021-01-16,0.46807,0.33760999999999997,0.46807,0.33760999999999997,279080000.0,38.23
24,2021-01-17,0.52084,0.46088,0.553,0.42182,306720000.0,11.27
25,2021-01-18,0.61832,0.52561,0.64225,0.52561,323390000.0,18.72
26,2021-01-19,0.54084,0.61769,0.61769,0.53355,197890000.0,-12.53
27,2021-01-20,0.52203,0.5374899999999999,0.57099,0.4931,138100000.0,-3.48
28,2021-01-21,0.43617,0.5236,0.54825,0.43617,135240000.0,-16.45
29,2021-01-22,0.51054,0.43618999999999997,0.544,0.42085,184500000.0,17.05
30,2021-01-23,0.58522,0.51167,0.58522,0.51167,158710000.0,14.63
31,2021-01-24,0.55399,0.58716,0.58716,0.53267,125390000.0,-5.34
32,2021-01-25,0.5289,0.5556300000000001,0.5785399999999999,0.5289,94350000.0,-4.53
33,2021-01-26,0.53688,0.52888,0.53688,0.49554,82800000.0,1.51
34,2021-01-27,0.48586999999999997,0.537,0.537,0.4828,84710000.0,-9.50
35,2021-01-28,0.55665,0.48401000000000005,0.57098,0.48401000000000005,136140000.0,14.57
36,2021-01-29,0.55302,0.55569,0.60351,0.53582,206870000.0,-0.65
37,2021-01-30,0.63605,0.55316,0.65393,0.55316,170690000.0,15.01
38,2021-01-31,0.7957,0.6360399999999999,0.7957,0.62841,281660000.0,25.10
39,2021-02-01,0.7842899999999999,0.79023,0.83363,0.7719,180130000.0,-1.43
40,2021-02-02,0.7529899999999999,0.7843,0.80287,0.74066,109630000.0,-3.99
41,2021-02-03,0.82462,0.75584,0.82462,0.73724,112350000.0,9.51
42,2021-02-04,0.81472,0.82836,0.85674,0.7843100000000001,118410000.0,-1.20
43,2021-02-05,0.94947,0.81612,0.96721,0.81612,157620000.0,16.54
44,2021-02-06,0.86585,0.94875,0.94875,0.8572299999999999,94920000.0,-8.81
45,2021-02-07,0.9167299999999999,0.8656,0.93578,0.82084,111330000.0,5.88
46,2021-02-08,0.96709,0.91743,1.0232299999999999,0.91743,113390000.0,5.49
47,2021-02-09,1.0542,0.97131,1.0542,0.96049,74680000.0,9.01
48,2021-02-10,1.2684799999999998,1.05619,1.2684799999999998,1.05619,169820000.0,20.33
49,2021-02-11,2.02346,1.26791,2.02346,1.23942,366790000.0,59.52
50,2021-02-12,2.23787,2.04262,2.82937,1.90168,369580000.0,10.60
51,2021-02-13,2.3386299999999998,2.26927,2.55484,2.26927,102200000.0,4.50
52,2021-02-14,2.1589,2.3451,2.38613,2.01467,103110000.0,-7.69
53,2021-02-15,2.1467099999999997,2.18425,2.4172,1.76869,129210000.00000001,-0.56
54,2021-02-16,2.06498,2.13611,2.1988,2.05761,59450000.0,-3.81
55,2021-02-17,2.1833400000000003,2.07,2.1833400000000003,1.93785,70040000.0,5.73
56,2021-02-18,2.29175,2.18566,2.29183,2.1349400000000003,68740000.0,4.97
57,2021-02-19,2.16052,2.29697,2.29697,2.13033,48300000.0,-5.73
58,2021-02-20,2.29822,2.16879,2.50965,2.12163,110850000.0,6.37
59,2021-02-21,2.3016900000000002,2.28931,2.32611,2.21673,50640000.0,0.15
60,2021-02-22,2.0219099999999997,2.31,2.31,1.93501,99730000.0,-12.16
61,2021-02-23,1.7067700000000001,2.02161,2.02161,1.51262,120340000.0,-15.59
62,2021-02-24,1.8953400000000002,1.70757,2.01763,1.688,69000000.0,11.05
63,2021-02-25,1.7092900000000002,1.8943400000000001,1.993,1.7092900000000002,51260000.0,-9.82
64,2021-02-26,1.73206,1.7197900000000002,1.81591,1.57585,57250000.0,1.33
65,2021-02-27,1.683,1.73432,1.75515,1.683,31580000.0,-2.83
66,2021-02-28,1.58578,1.67482,1.67482,1.47644,37860000.0,-5.78
67,2021-03-01,1.9259400000000002,1.59755,1.9259400000000002,1.59755,46750000.0,21.45
68,2021-03-02,1.82922,1.9273099999999999,1.94,1.7488400000000002,49130000.0,-5.02
69,2021-03-03,1.9539099999999998,1.82728,2.0298,1.8238900000000002,54400000.0,6.82
70,2021-03-04,1.855,1.9445599999999998,2.02572,1.83453,37250000.0,-5.06
71,2021-03-05,1.83614,1.855,1.8629799999999999,1.7560099999999998,30070000.0,-1.02
72,2021-03-06,1.7948400000000002,1.8284099999999999,1.8446900000000002,1.7762799999999999,17100000.0,-2.25
73,2021-03-07,1.88,1.7979599999999998,1.922,1.7979599999999998,26380000.0,4.74
74,2021-03-08,1.9021299999999999,1.8783900000000002,1.9021299999999999,1.82162,31930000.0,1.18
75,2021-03-09,2.1169700000000002,1.9078400000000002,2.16761,1.9078400000000002,64370000.00000001,11.29
76,2021-03-10,2.03249,2.1194,2.1194,2.0015,50110000.0,-3.99
77,2021-03-11,1.91075,2.03508,2.08304,1.9085900000000002,47750000.0,-5.99
78,2021-03-12,1.73144,1.91261,1.91261,1.6885700000000001,54710000.0,-9.38
79,2021-03-13,1.7943200000000001,1.7360200000000001,1.85232,1.6924,48690000.0,3.63
80,2021-03-14,1.73638,1.79355,1.81715,1.7312299999999998,26720000.0,-3.23
81,2021-03-15,1.71597,1.73045,1.85136,1.71597,36480000.0,-1.18
82,2021-03-16,1.7107599999999998,1.71111,1.71111,1.65287,36580000.0,-0.30
83,2021-03-17,1.71868,1.71196,1.72583,1.65625,24880000.0,0.46
84,2021-03-18,1.69135,1.7247599999999998,1.78767,1.68946,30410000.0,-1.59
85,2021-03-19,1.69262,1.69386,1.74143,1.6763099999999997,26740000.0,0.08
86,2021-03-20,1.72543,1.691,1.8321900000000002,1.691,46820000.0,1.94
87,2021-03-21,1.7017799999999998,1.7140400000000002,1.74252,1.6867400000000001,34280000.0,-1.37
88,2021-03-22,1.54245,1.70007,1.7005,1.52988,40470000.0,-9.36
89,2021-03-23,1.50072,1.55059,1.58184,1.50072,30660000.0,-2.71
90,2021-03-24,1.40449,1.49928,1.57043,1.40449,37300000.0,-6.41
91,2021-03-25,1.3375299999999999,1.38949,1.4118600000000001,1.3375299999999999,32930000.0,-4.77
92,2021-03-26,1.55444,1.34111,1.55444,1.34111,32580000.0,16.22
93,2021-03-27,1.46884,1.5563,1.55754,1.46468,26860000.0,-5.51
94,2021-03-28,1.81132,1.47661,1.81132,1.46336,87110000.0,23.32
95,2021-03-29,1.77174,1.8138299999999998,1.8138299999999998,1.74118,60110000.0,-2.19
96,2021-03-30,1.759,1.77542,1.84339,1.75616,57780000.0,-0.72
97,2021-03-31,1.7202099999999998,1.76158,1.76158,1.67231,42050000.0,-2.21
98,2021-04-01,1.772,1.7284599999999999,1.84228,1.7057099999999998,53970000.0,3.01
99,2021-04-02,1.8841700000000001,1.77315,1.9049200000000002,1.7421099999999998,66010000.00000001,6.33
100,2021-04-03,1.68019,1.88785,1.92365,1.68019,53150000.0,-10.83
101,2021-04-04,1.75942,1.6695099999999998,1.76089,1.6695099999999998,30690000.0,4.72
102,2021-04-05,1.82765,1.7629099999999998,1.84,1.7135200000000002,47300000.0,3.88
103,2021-04-06,1.75947,1.83,1.8408799999999998,1.75947,43420000.0,-3.73
104,2021-04-07,1.65147,1.7659799999999999,1.7659799999999999,1.5957,44050000.0,-6.14
105,2021-04-08,1.7507599999999999,1.6609,1.7507599999999999,1.6609,25260000.0,6.01
106,2021-04-09,1.7367,1.75489,1.80847,1.7367,24060000.0,-0.80
107,2021-04-10,1.8938099999999998,1.7398,1.8938099999999998,1.7315599999999998,53920000.0,9.05
108,2021-04-11,1.9057,1.89993,1.9057,1.8100900000000002,33660000.0,0.63
109,2021-04-12,2.01496,1.91979,2.12426,1.90157,99090000.0,5.73
110,2021-04-13,1.92081,2.02116,2.05187,1.9198099999999998,53730000.0,-4.67
111,2021-04-14,2.02588,1.9260099999999998,2.09545,1.90717,72990000.0,5.47
112,2021-04-15,2.09626,2.03493,2.13877,1.99177,48030000.0,3.47
113,2021-04-16,1.9919799999999999,2.10792,2.10792,1.9772599999999998,42630000.0,-4.97
114,2021-04-17,1.93101,1.99452,2.0855599999999996,1.93101,34450000.0,-3.06
115,2021-04-18,1.70462,1.93095,1.93095,1.5463200000000001,80500000.0,-11.72
116,2021-04-19,1.55673,1.7029,1.74341,1.55673,42480000.0,-8.68
117,2021-04-20,1.58768,1.56271,1.60523,1.48699,41040000.0,1.99
118,2021-04-21,1.53151,1.59171,1.65002,1.53151,43850000.0,-3.54
119,2021-04-22,1.41039,1.5251700000000001,1.62477,1.41039,47240000.0,-7.91
120,2021-04-23,1.39662,1.40477,1.40477,1.21823,63100000.0,-0.98
121,2021-04-24,1.25518,1.3943,1.3943,1.25518,21120000.0,-10.13
122,2021-04-25,1.2591,1.25845,1.34,1.2248,17040000.0,0.31
123,2021-04-26,1.4606,1.2647,1.4735,1.2647,28460000.0,16.00
124,2021-04-27,1.5605,1.4602,1.5605,1.4602,25820000.0,6.84
125,2021-04-28,1.5345,1.5577,1.614,1.5026,29750000.0,-1.67
126,2021-04-29,1.4974,1.5336,1.5578,1.4683,25840000.0,-2.42
127,2021-04-30,1.5585,1.497,1.5758,1.4918,28160000.0,4.08
128,2021-05-01,1.6736,1.5549,1.6816,1.5533,49820000.0,7.39
129,2021-05-02,1.6115,1.676,1.676,1.5699,28310000.0,-3.71
130,2021-05-03,1.5885,1.6113,1.6677,1.5873,28510000.0,-1.43
131,2021-05-04,1.495,1.5899,1.5899,1.4728,37350000.0,-5.89
132,2021-05-05,1.5348,1.4857,1.5389,1.4857,26290000.0,2.66
133,2021-05-06,1.605,1.5381,1.6437,1.5219,58920000.0,4.57
134,2021-05-07,1.5997,1.6077,1.6727,1.5333,59690000.0,-0.33
135,2021-05-08,1.5849,1.5971,1.6425,1.5849,30880000.0,-0.93
136,2021-05-09,1.5366,1.5871,1.5877,1.4953,28830000.0,-3.05
137,2021-05-10,1.3815,1.5362,1.5637,1.3595,47470000.0,-10.09
138,2021-05-11,1.46,1.3788,1.46,1.3364,29940000.0,5.68
139,2021-05-12,1.2701,1.463,1.5349,1.2701,48510000.0,-13.01
140,2021-05-13,1.31,1.2856,1.3653,1.2582,40460000.0,3.14
141,2021-05-14,1.364,1.3144,1.38,1.3144,25880000.0,4.12
142,2021-05-15,1.3149,1.3651,1.4749,1.3149,56580000.0,-3.60
143,2021-05-16,1.2993,1.3173,1.4081,1.2372,34620000.0,-1.19
