SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-05-13,300.61,256.0,336.01,256.0,817670.0,17.51
2,2021-05-14,304.01,300.78,333.54,300.75,462210.0,1.13
3,2021-05-15,245.95,304.09,304.24,245.95,540020.0,-19.10
4,2021-05-16,225.02,247.07,261.67,210.5,507330.0,-8.51
5,2021-05-17,195.84,225.29,225.29,191.82,520740.0,-12.97
6,2021-05-18,163.81,195.99,203.14,163.81,690510.0,-16.36
7,2021-05-19,122.8,163.2,173.21,104.12,1270000.0,-25.04
8,2021-05-20,165.03,124.81,200.22,112.3,3770000.0,34.39
9,2021-05-21,145.82,164.35,173.95,127.98,2029999.9999999998,-11.64
10,2021-05-22,145.69,145.55,154.05,128.61,1210000.0,-0.09
11,2021-05-23,143.92,145.77,160.43,129.89,1460000.0,-1.21
12,2021-05-24,147.67,143.84,153.23,136.38,1260000.0,2.61
13,2021-05-25,133.88,146.15,146.15,129.88,1030000.0,-9.34
14,2021-05-26,142.85,134.16,151.22,134.16,1080000.0,6.70
15,2021-05-27,132.12,142.5,142.5,130.7,684980.0,-7.51
16,2021-05-28,115.7,131.36,131.36,113.0,832500.0,-12.43
17,2021-05-29,110.67,115.65,117.56,107.91,500340.0,-4.35
18,2021-05-30,111.31,110.77,116.9,105.54,455960.0,0.58
19,2021-05-31,114.65,111.29,114.65,106.12,497140.0,3.00
20,2021-06-01,107.59,113.93,115.85,106.9,418680.0,-6.16
21,2021-06-02,107.36,107.66,110.2,105.01,806100.0,-0.21
22,2021-06-03,124.46,107.97,128.43,106.02,1670000.0,15.93
23,2021-06-04,108.72,124.5,124.5,108.5,1330000.0,-12.65
24,2021-06-05,104.71,109.69,113.34,104.23,755220.0,-3.69
25,2021-06-06,104.49,104.12,106.29,103.6,511990.0,-0.21
26,2021-06-07,92.0,104.5,106.18,92.0,819320.0,-11.95
27,2021-06-08,81.4,91.13,92.24,79.58,1080000.0,-11.52
28,2021-06-09,81.51,81.1,84.65,77.8,1230000.0,0.14
29,2021-06-10,66.46,82.04,82.59,66.46,2100000.0,-18.46
30,2021-06-11,58.2,66.5,69.2,58.2,2120000.0,-12.43
31,2021-06-12,60.71,58.5,63.62,54.61,2180000.0,4.31
32,2021-06-13,64.44,60.88,64.44,58.16,2040000.0,6.14
33,2021-06-14,66.81,64.82,69.39,62.9,1590000.0,3.68
34,2021-06-15,60.4,66.7,67.7,60.01,1800000.0,-9.59
35,2021-06-16,55.36,60.39,60.39,55.13,1320000.0,-8.34
36,2021-06-17,54.1,55.3,58.53,52.37,1390000.0,-2.28
37,2021-06-18,48.2,54.1,54.77,48.2,1310000.0,-10.91
38,2021-06-19,48.72,48.21,54.22,47.53,1740000.0,1.08
39,2021-06-20,47.0,48.7,49.54,45.5,1460000.0,-3.53
40,2021-06-21,36.87,47.14,47.14,36.87,2440000.0,-21.55
41,2021-06-22,34.41,36.89,38.9,33.79,2320000.0,-6.67
42,2021-06-23,37.75,34.4,39.73,34.4,2190000.0,9.71
43,2021-06-24,34.62,37.56,37.91,34.55,2210000.0,-8.29
44,2021-06-25,31.18,34.6,35.67,31.18,2240000.0,-9.94
45,2021-06-26,30.29,31.13,32.83,28.9,2340000.0,-2.85
46,2021-06-27,42.89,30.34,42.89,29.83,4770000.0,41.60
47,2021-06-28,50.89,42.76,50.89,40.94,5770000.0,18.65
48,2021-06-29,53.95,51.25,57.3,48.24,5290000.0,6.01
49,2021-06-30,49.75,54.11,54.11,44.67,6250000.0,-7.78
