SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-06-14,0.5202,0.587,0.6101,0.4795,8570000.0,-11.38
2,2017-06-15,0.3467,0.5202,0.5447,0.2912,7700000.0,-33.35
3,2017-06-16,0.4082,0.3467,0.599,0.3053,5060000.0,17.74
4,2017-06-17,0.428,0.4082,0.4512,0.4,1560000.0,4.85
5,2017-06-18,0.4056,0.428,0.4502,0.385,1930000.0,-5.23
6,2017-06-19,0.4254,0.4056,0.435,0.395,2080000.0,4.88
7,2017-06-20,0.4405,0.4254,0.4472,0.411,3560000.0,3.55
8,2017-06-21,0.425,0.4405,0.4624,0.415,3800000.0,-3.52
9,2017-06-22,0.4373,0.425,0.4499,0.4114,1190000.0,2.89
10,2017-06-23,0.4828,0.4373,0.4828,0.433,2240000.0,10.40
11,2017-06-24,0.5053,0.4828,0.6289,0.4767,9720000.0,4.66
12,2017-06-25,0.4653,0.5053,0.5214,0.4401,3870000.0,-7.92
13,2017-06-26,0.408,0.4653,0.4659,0.3401,7790000.0,-12.31
14,2017-06-27,0.394,0.408,0.42,0.3483,3560000.0,-3.43
15,2017-06-28,0.373,0.394,0.4,0.3511,3710000.0,-5.33
16,2017-06-29,0.411,0.373,0.4599,0.3619,4280000.0,10.19
17,2017-06-30,0.398,0.411,0.449,0.393,2770000.0,-3.16
18,2017-07-01,0.3811,0.398,0.4129,0.3701,1840000.0,-4.25
19,2017-07-02,0.3769,0.3811,0.39,0.36,2490000.0,-1.10
20,2017-07-03,0.376,0.3769,0.385,0.35,4070000.0000000005,-0.24
21,2017-07-04,0.3938,0.376,0.4098,0.3702,3170000.0,4.73
22,2017-07-05,0.381,0.3938,0.3987,0.3681,2490000.0,-3.25
23,2017-07-06,0.3529,0.381,0.3851,0.3033,12170000.0,-7.38
24,2017-07-07,0.2822,0.3529,0.3565,0.27,13110000.0,-20.03
25,2017-07-08,0.3003,0.2822,0.3202,0.2751,5630000.0,6.41
26,2017-07-09,0.3,0.3003,0.3125,0.2829,3320000.0,-0.10
27,2017-07-10,0.21,0.3,0.3041,0.1837,24510000.0,-30.00
28,2017-07-11,0.1869,0.21,0.2342,0.1837,16399999.999999998,-11.00
29,2017-07-12,0.2288,0.1869,0.2395,0.1806,12160000.0,22.42
30,2017-07-13,0.2129,0.2288,0.239,0.1875,8910000.0,-6.95
31,2017-07-14,0.1751,0.2129,0.2131,0.1602,8430000.0,-17.75
32,2017-07-15,0.1582,0.1751,0.1763,0.1427,15890000.0,-9.65
33,2017-07-16,0.178,0.1582,0.188,0.155,12010000.0,12.52
34,2017-07-17,0.264,0.178,0.28,0.1767,34680000.0,48.31
35,2017-07-18,0.268,0.264,0.3123,0.246,25530000.0,1.52
36,2017-07-19,0.2314,0.268,0.2849,0.23,16190000.000000002,-13.66
37,2017-07-20,0.2937,0.2314,0.3043,0.2302,21060000.0,26.92
38,2017-07-21,0.2595,0.2937,0.3078,0.2452,14240000.0,-11.64
39,2017-07-22,0.2716,0.2595,0.2785,0.2536,8050000.000000001,4.66
40,2017-07-23,0.2649,0.2716,0.28,0.2551,6520000.0,-2.47
41,2017-07-24,0.2674,0.2649,0.273,0.2361,9480000.0,0.94
42,2017-07-25,0.25,0.2674,0.2688,0.2365,6390000.0,-6.51
43,2017-07-26,0.2744,0.25,0.2845,0.2409,8460000.0,9.76
44,2017-07-27,0.273,0.2744,0.285,0.2711,6500000.0,-0.51
45,2017-07-28,0.2651,0.273,0.2765,0.262,3260000.0,-2.89
46,2017-07-29,0.2767,0.2651,0.278,0.243,4790000.0,4.38
47,2017-07-30,0.2547,0.2767,0.278,0.2502,6270000.0,-7.95
48,2017-07-31,0.254,0.2547,0.26,0.244,3370000.0,-0.27
49,2017-08-01,0.291,0.254,0.294,0.2493,9370000.0,14.57
50,2017-08-02,0.286,0.291,0.2939,0.2715,6460000.0,-1.72
51,2017-08-03,0.3319,0.286,0.3392,0.285,16719999.999999998,16.05
52,2017-08-04,0.3937,0.3319,0.4217,0.3315,30690000.0,18.62
53,2017-08-05,0.408,0.3937,0.4316,0.3601,14930000.0,3.63
54,2017-08-06,0.4299,0.408,0.44,0.395,8039999.999999999,5.37
55,2017-08-07,0.474,0.4299,0.49,0.411,18020000.0,10.26
56,2017-08-08,0.5481,0.474,0.5517,0.4555,26960000.0,15.63
