SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-04-23,2.055,2.071,2.071,1.772,23060000.0,1.03
2,2021-04-24,1.983,2.055,2.099,1.983,12980000.0,-3.50
3,2021-04-25,2.197,1.983,2.263,1.983,12570000.0,10.79
4,2021-04-26,2.49,2.197,2.49,2.197,9500000.0,13.34
5,2021-04-27,2.446,2.49,2.565,2.446,8800000.0,-1.77
6,2021-04-28,2.407,2.418,2.515,2.356,11470000.0,-1.59
7,2021-04-29,2.363,2.407,2.425,2.363,6190000.0,-1.83
8,2021-04-30,2.38,2.363,2.382,2.349,6410000.0,0.72
9,2021-05-01,2.349,2.38,2.38,2.316,5150000.0,-1.30
10,2021-05-02,2.265,2.349,2.366,2.265,6960000.0,-3.58
11,2021-05-03,2.41,2.265,2.432,2.265,12910000.0,6.40
12,2021-05-04,2.378,2.41,2.445,2.264,14070000.0,-1.33
13,2021-05-05,2.408,2.271,2.408,2.271,9390000.0,1.26
14,2021-05-06,2.263,2.408,2.408,2.233,8680000.0,-6.02
15,2021-05-07,2.144,2.253,2.253,2.144,8100000.0,-5.26
16,2021-05-08,2.2,2.144,2.238,2.144,5780000.0,2.61
17,2021-05-09,2.138,2.186,2.186,2.07,7290000.0,-2.82
18,2021-05-10,2.034,2.138,2.143,2.034,9020000.0,-4.86
19,2021-05-11,2.249,2.035,2.249,2.035,10350000.0,10.57
20,2021-05-12,2.069,2.248,2.262,2.069,7870000.0,-8.00
21,2021-05-13,2.006,2.069,2.076,1.98,12070000.0,-3.04
22,2021-05-14,2.401,2.007,2.609,2.007,27290000.0,19.69
23,2021-05-15,2.286,2.399,2.399,2.286,12860000.0,-4.79
24,2021-05-16,2.181,2.286,2.356,2.148,8350000.0,-4.59
25,2021-05-17,2.069,2.181,2.181,2.03,16129999.999999998,-5.14
26,2021-05-18,2.082,2.069,2.162,2.055,8600000.0,0.63
27,2021-05-19,1.521,2.082,2.082,1.521,27120000.0,-26.95
28,2021-05-20,1.673,1.521,1.768,1.521,20880000.0,9.99
29,2021-05-21,1.462,1.673,1.694,1.446,15670000.0,-12.61
30,2021-05-22,1.38,1.462,1.471,1.38,15490000.0,-5.61
31,2021-05-23,1.143,1.38,1.401,1.033,23700000.0,-17.17
32,2021-05-24,1.483,1.143,1.483,1.104,16950000.0,29.75
33,2021-05-25,1.464,1.483,1.525,1.361,18970000.0,-1.28
34,2021-05-26,1.577,1.465,1.618,1.465,11750000.0,7.72
35,2021-05-27,1.511,1.577,1.577,1.494,8990000.0,-4.19
36,2021-05-28,1.343,1.511,1.511,1.343,13560000.0,-11.12
37,2021-05-29,1.294,1.343,1.416,1.27,11660000.0,-3.65
38,2021-05-30,1.335,1.293,1.345,1.246,9190000.0,3.17
39,2021-05-31,1.399,1.331,1.399,1.288,6970000.0,4.79
40,2021-06-01,1.35,1.397,1.397,1.331,7310000.0,-3.50
41,2021-06-02,1.385,1.35,1.397,1.319,6030000.0,2.59
42,2021-06-03,1.393,1.385,1.395,1.357,6500000.0,0.58
43,2021-06-04,1.303,1.397,1.397,1.265,7460000.0,-6.46
44,2021-06-05,1.241,1.303,1.326,1.241,6900000.0,-4.76
45,2021-06-06,1.237,1.241,1.268,1.23,5340000.0,-0.32
46,2021-06-07,1.091,1.233,1.253,1.091,6970000.0,-11.80
47,2021-06-08,1.026,1.091,1.091,0.978,13080000.0,-5.96
48,2021-06-09,1.145,1.025,1.145,1.001,11630000.0,11.60
49,2021-06-10,1.032,1.154,1.154,1.016,12740000.0,-9.87
50,2021-06-11,0.975,1.032,1.041,0.962,10550000.0,-5.52
51,2021-06-12,0.942,0.974,0.974,0.921,7240000.0,-3.38
52,2021-06-13,1.005,0.942,1.005,0.927,7710000.0,6.69
53,2021-06-14,1.057,1.005,1.075,0.999,6910000.0,5.17
54,2021-06-15,1.255,1.057,1.255,1.057,12310000.0,18.73
55,2021-06-16,1.139,1.255,1.255,1.129,13390000.0,-9.24
56,2021-06-17,1.102,1.139,1.163,1.099,8039999.999999999,-3.25
57,2021-06-18,1.051,1.102,1.102,0.999,8600000.0,-4.63
58,2021-06-19,0.996,1.045,1.045,0.996,7210000.0,-5.23
59,2021-06-20,0.965,0.996,1.005,0.887,10240000.0,-3.11
60,2021-06-21,0.787,0.965,0.965,0.787,12840000.0,-18.45
61,2021-06-22,0.783,0.787,0.851,0.743,17790000.0,-0.51
62,2021-06-23,0.901,0.783,0.901,0.783,12590000.0,15.07
63,2021-06-24,1.1,0.9,1.182,0.9,28650000.0,22.09
64,2021-06-25,0.93,1.1,1.101,0.93,13660000.0,-15.45
65,2021-06-26,0.931,0.93,0.95,0.896,9700000.0,0.11
66,2021-06-27,0.991,0.936,0.991,0.929,6760000.0,6.44
67,2021-06-28,1.002,0.991,1.011,0.958,7700000.0,1.11
68,2021-06-29,1.029,1.003,1.063,1.003,10400000.0,2.69
69,2021-06-30,1.027,1.029,1.029,0.983,7930000.0,-0.19
70,2021-07-01,0.977,1.027,1.027,0.964,6940000.0,-4.87
71,2021-07-02,0.98,0.976,0.98,0.949,6270000.0,0.31
