SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-11-06,33.001,30.133,33.018,30.133,89640.0,9.55
2,2020-11-07,31.314,32.891,34.887,31.104,118740.0,-5.11
3,2020-11-08,32.895,31.314,33.22,31.124,47770.0,5.05
4,2020-11-09,33.015,32.967,34.079,32.518,70340.0,0.36
5,2020-11-10,35.192,33.015,35.681,32.74,93760.0,6.59
6,2020-11-11,35.607,35.25,36.567,35.25,130780.0,1.18
7,2020-11-12,38.153,35.607,38.153,35.422,101750.0,7.15
8,2020-11-13,38.565,38.155,38.816,37.648,64349.99999999999,1.08
9,2020-11-14,37.054,38.641,38.641,36.055,66850.0,-3.92
10,2020-11-15,35.411,36.954,37.609,34.352,74800.0,-4.43
11,2020-11-16,36.183,35.411,36.792,34.743,60080.0,2.18
12,2020-11-17,38.146,36.183,38.399,36.061,79200.0,5.43
13,2020-11-18,35.642,38.112,38.112,35.027,80930.0,-6.56
14,2020-11-19,35.233,35.642,36.473,34.718,69500.0,-1.15
15,2020-11-20,37.753,35.314,38.99,35.314,127680.0,7.15
16,2020-11-21,40.631,37.753,40.631,37.753,107440.0,7.62
17,2020-11-22,38.579,40.612,40.612,38.424,77080.0,-5.05
18,2020-11-23,40.371,38.781,40.7,38.413,60880.0,4.65
19,2020-11-24,48.411,40.415,52.033,40.415,354810.0,19.92
20,2020-11-25,42.178,48.268,48.334,42.178,139310.0,-12.88
21,2020-11-26,49.093,41.982,49.512,41.982,333500.0,16.39
22,2020-11-27,45.378,49.128,49.128,44.004,125290.0,-7.57
23,2020-11-28,45.23,45.341,46.18,43.544,82740.0,-0.33
24,2020-11-29,53.07,45.28,53.07,45.28,163530.0,17.33
25,2020-11-30,52.123,54.3,54.3,50.384,137050.0,-1.78
26,2020-12-01,54.166,52.123,55.495,51.683,124500.0,3.92
27,2020-12-02,61.876,53.748,63.729,53.748,220040.0,14.23
28,2020-12-03,59.14,61.815,62.074,59.0,167280.0,-4.42
29,2020-12-04,50.793,58.666,58.666,50.793,221910.0,-14.11
30,2020-12-05,55.805,50.709,55.852,50.709,124960.0,9.87
31,2020-12-06,52.361,55.75,55.75,52.33,67290.0,-6.17
32,2020-12-07,53.421,52.416,53.765,51.823,52200.0,2.02
33,2020-12-08,46.376,53.589,53.589,46.376,136680.0,-13.19
34,2020-12-09,48.95,46.293,50.135,45.963,139690.0,5.55
35,2020-12-10,47.051,49.272,49.272,46.832,76240.0,-3.88
36,2020-12-11,44.924,47.177,47.177,44.826,74120.0,-4.52
37,2020-12-12,48.21,45.005,48.526,45.005,55230.0,7.31
38,2020-12-13,50.766,48.178,52.042,47.835,75890.0,5.30
39,2020-12-14,50.414,50.833,51.139,49.2,59800.0,-0.69
40,2020-12-15,56.743,50.417,57.417,49.883,112500.0,12.55
41,2020-12-16,57.219,56.833,57.873,55.865,125970.0,0.84
42,2020-12-17,58.13,57.269,61.564,57.115,149390.0,1.59
43,2020-12-18,57.47,58.128,58.56,56.504,83780.0,-1.14
44,2020-12-19,55.928,57.47,58.34,55.796,68020.0,-2.68
45,2020-12-20,53.607,55.795,56.84,53.607,71870.0,-4.15
46,2020-12-21,49.473,53.607,54.033,49.473,94650.0,-7.71
47,2020-12-22,54.131,49.835,54.131,49.55,67960.0,9.42
48,2020-12-23,47.715,54.157,54.223,47.715,105430.0,-11.85
49,2020-12-24,52.304,47.596,52.618,46.651,88040.0,9.62
50,2020-12-25,50.066,52.386,52.386,48.983,58060.0,-4.28
51,2020-12-26,47.816,50.066,50.066,47.465,51620.0,-4.49
52,2020-12-27,50.19,47.716,50.19,47.65,95190.0,4.96
53,2020-12-28,58.402,50.227,58.402,50.227,142620.0,16.36
54,2020-12-29,61.644,58.257,61.644,54.569,202460.0,5.55
55,2020-12-30,62.041,62.487,63.113,60.426,140010.0,0.64
56,2020-12-31,72.095,61.948,72.095,60.567,266180.0,16.21
57,2021-01-01,69.592,71.858,71.858,68.155,150300.0,-3.47
58,2021-01-02,69.254,69.59,72.0,66.823,133930.0,-0.49
59,2021-01-03,72.569,69.346,72.569,67.807,157930.0,4.79
60,2021-01-04,68.552,72.917,72.917,65.232,290110.0,-5.54
61,2021-01-05,67.916,68.534,70.626,63.487,153440.0,-0.93
62,2021-01-06,75.54,68.069,75.54,67.16,176260.0,11.23
63,2021-01-07,68.947,75.941,75.941,68.947,221190.0,-8.73
64,2021-01-08,68.787,69.15,70.081,66.458,113290.0,-0.23
65,2021-01-09,68.879,68.787,69.38,66.43,79400.0,0.13
66,2021-01-10,71.07,69.482,74.366,66.56,167340.0,3.18
67,2021-01-11,64.329,71.256,71.256,59.13,185300.0,-9.49
68,2021-01-12,62.786,64.2,67.234,62.786,95020.0,-2.40
69,2021-01-13,76.964,62.786,76.964,62.753,269680.0,22.58
70,2021-01-14,88.7,77.0,88.7,77.0,216340.0,15.25
71,2021-01-15,83.707,88.972,88.972,79.154,179900.0,-5.63
72,2021-01-16,102.99,83.893,102.99,83.357,266950.0,23.04
73,2021-01-17,102.308,102.274,104.593,96.2,219350.0,-0.66
74,2021-01-18,109.092,102.564,117.0,102.564,298270.0,6.63
75,2021-01-19,101.677,109.683,110.05,99.477,122110.0,-6.80
76,2021-01-20,106.0,101.0,106.124,92.522,154860.0,4.25
77,2021-01-21,93.074,106.344,106.344,93.074,143600.0,-12.19
78,2021-01-22,104.233,92.792,104.968,90.876,141020.0,11.99
79,2021-01-23,107.682,104.433,112.0,104.205,99580.0,3.31
80,2021-01-24,103.937,107.663,110.947,102.443,85190.0,-3.48
81,2021-01-25,98.571,104.036,106.453,98.571,80880.0,-5.16
82,2021-01-26,101.94,98.82,101.94,95.754,74670.0,3.42
83,2021-01-27,95.825,101.999,101.999,93.31,63710.0,-6.00
84,2021-01-28,113.926,95.302,113.926,95.302,107440.0,18.89
85,2021-01-29,106.856,114.103,114.103,103.331,79400.0,-6.21
86,2021-01-30,100.794,106.892,106.892,100.781,54880.0,-5.67
87,2021-01-31,97.717,100.802,104.36,97.051,61870.0,-3.05
88,2021-02-01,100.96,97.421,100.96,96.491,74810.0,3.32
89,2021-02-02,104.965,100.644,105.441,98.612,101250.0,3.97
90,2021-02-03,119.124,105.092,119.686,105.092,167530.0,13.49
91,2021-02-04,115.937,119.588,119.588,114.83,149560.0,-2.68
92,2021-02-05,121.324,115.852,121.8,115.852,150020.0,4.65
93,2021-02-06,112.761,121.537,121.537,112.761,100670.0,-7.06
94,2021-02-07,115.389,112.512,115.389,105.816,106060.0,2.33
95,2021-02-08,132.947,115.888,133.133,113.961,154600.0,15.22
96,2021-02-09,130.704,133.496,138.131,126.852,115920.0,-1.69
97,2021-02-10,129.286,130.838,135.781,125.8,101490.0,-1.08
98,2021-02-11,142.012,129.468,146.221,127.933,124710.0,9.84
99,2021-02-12,154.283,142.343,159.275,139.797,91530.0,8.64
100,2021-02-13,161.517,155.231,165.511,155.231,125270.0,4.69
101,2021-02-14,157.417,162.196,162.196,148.87,87270.0,-2.54
102,2021-02-15,190.149,159.444,211.207,142.685,528780.0,20.79
103,2021-02-16,208.712,190.0,213.67,188.196,314870.0,9.76
104,2021-02-17,240.482,208.719,240.482,204.769,217740.0,15.22
105,2021-02-18,222.192,240.6,240.6,219.968,114580.0,-7.61
106,2021-02-19,223.981,223.808,237.265,212.604,177110.0,0.81
107,2021-02-20,222.768,224.684,239.711,222.768,203950.0,-0.54
108,2021-02-21,223.6,221.68,228.819,218.645,67540.0,0.37
109,2021-02-22,271.417,223.637,277.969,223.637,470950.0,21.39
110,2021-02-23,240.766,271.044,274.0,221.366,432840.0,-11.29
111,2021-02-24,242.984,240.421,264.318,235.274,181370.0,0.92
112,2021-02-25,222.777,243.088,251.864,222.777,123830.0,-8.32
113,2021-02-26,216.669,224.991,224.991,200.267,149960.0,-2.74
114,2021-02-27,229.6,216.36,233.377,216.36,87210.0,5.97
115,2021-02-28,212.414,230.691,230.691,200.73,137330.0,-7.49
116,2021-03-01,227.808,213.241,227.808,211.608,90630.0,7.25
117,2021-03-02,240.601,228.759,240.601,222.369,97180.0,5.62
118,2021-03-03,244.828,240.856,254.0,240.365,93060.0,1.76
119,2021-03-04,234.348,243.683,249.26,234.348,94910.0,-4.28
120,2021-03-05,227.705,234.346,234.346,215.419,91880.0,-2.83
121,2021-03-06,228.938,227.851,228.938,220.252,53920.0,0.54
122,2021-03-07,233.491,229.112,236.587,226.115,44610.0,1.99
123,2021-03-08,243.864,233.716,243.864,224.545,65040.00000000001,4.44
124,2021-03-09,288.372,244.779,290.0,239.173,143300.0,18.25
125,2021-03-10,302.958,289.535,310.978,274.732,184580.0,5.06
126,2021-03-11,329.529,304.574,342.624,279.768,124950.0,8.77
127,2021-03-12,314.295,331.569,333.178,304.277,94360.0,-4.62
128,2021-03-13,313.673,314.0,320.704,309.68,77960.0,-0.20
129,2021-03-14,300.67,313.647,315.981,300.67,59460.0,-4.15
130,2021-03-15,310.2,301.0,322.71,287.323,112370.0,3.17
131,2021-03-16,318.234,310.889,325.5,300.151,103240.0,2.59
132,2021-03-17,345.112,318.756,345.112,314.392,77040.0,8.45
133,2021-03-18,367.373,346.08,383.024,346.08,163680.0,6.45
134,2021-03-19,383.9,367.787,411.289,367.787,132440.0,4.50
135,2021-03-20,389.144,383.895,408.782,383.895,73890.0,1.37
136,2021-03-21,399.864,388.258,413.0,386.373,82410.0,2.75
137,2021-03-22,436.891,400.016,447.559,400.016,129539.99999999999,9.26
138,2021-03-23,422.469,438.248,451.514,418.0,101320.0,-3.30
139,2021-03-24,423.667,421.181,476.243,421.181,152140.0,0.28
140,2021-03-25,410.096,421.79,427.227,383.002,213280.0,-3.20
141,2021-03-26,454.412,410.953,454.412,410.953,101810.0,10.81
142,2021-03-27,468.281,454.849,500.809,450.283,173740.0,3.05
143,2021-03-28,510.905,471.295,516.853,471.295,115040.0,9.10
144,2021-03-29,547.589,511.448,566.14,511.448,164400.0,7.18
145,2021-03-30,539.795,547.312,549.012,524.68,86940.0,-1.42
146,2021-03-31,497.764,538.0,553.034,482.115,142700.0,-7.79
147,2021-04-01,463.011,496.254,496.254,454.507,198400.0,-6.98
148,2021-04-02,448.893,463.673,463.673,426.547,198130.0,-3.05
149,2021-04-03,439.601,449.063,492.161,430.0,185840.0,-2.07
150,2021-04-04,446.487,436.054,454.516,436.054,77850.0,1.57
151,2021-04-05,460.512,444.657,463.9,432.5,112830.0,3.14
152,2021-04-06,440.617,461.786,463.868,431.017,127090.0,-4.32
153,2021-04-07,427.079,441.683,466.572,409.796,165920.0,-3.07
154,2021-04-08,461.419,429.241,461.419,429.241,94270.0,8.04
155,2021-04-09,451.53,461.211,463.386,445.301,59210.0,-2.14
156,2021-04-10,448.4,451.902,454.109,443.952,55290.0,-0.69
157,2021-04-11,438.227,449.951,449.951,436.771,42880.0,-2.27
158,2021-04-12,422.112,439.905,439.905,416.555,87770.0,-3.68
159,2021-04-13,431.602,424.014,434.178,413.362,68150.0,2.25
160,2021-04-14,455.279,433.903,474.901,426.631,164600.0,5.49
161,2021-04-15,476.782,456.989,476.782,456.989,100050.0,4.72
162,2021-04-16,446.543,478.326,478.326,438.567,100640.0,-6.34
