SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2019-06-27,1.7718,1.8775,1.9412,1.7177,2640000.0,-5.63
2,2019-06-28,1.8282,1.7718,1.9033,1.7256,1260000.0,3.18
3,2019-06-29,1.9064,1.8282,1.9181,1.7988,1010000.0,4.28
4,2019-06-30,1.7616,1.9064,1.9188,1.7536,1030000.0,-7.60
5,2019-07-01,1.7483,1.7616,1.8047,1.746,714550.0,-0.75
6,2019-07-02,1.7262,1.7483,1.757,1.6658,2410000.0,-1.27
7,2019-07-03,1.7003,1.7262,1.7555,1.6656,763820.0,-1.50
8,2019-07-04,1.7873,1.7003,1.804,1.6996,1010000.0,5.12
9,2019-07-05,1.7647,1.7873,1.8048,1.6902,873960.0,-1.26
10,2019-07-06,1.7145,1.7647,1.7712,1.7129,336310.0,-2.85
11,2019-07-07,1.733,1.7145,1.751,1.6975,251600.0,1.08
12,2019-07-08,1.6196,1.733,1.749,1.6182,1100000.0,-6.54
13,2019-07-09,1.587,1.6196,1.6248,1.4851,2840000.0,-2.02
14,2019-07-10,1.5039,1.587,1.5909,1.4825,1820000.0,-5.23
15,2019-07-11,1.5094,1.5039,1.5675,1.4666,1930000.0,0.36
16,2019-07-12,1.4902,1.5094,1.5222,1.4209,1160000.0,-1.27
17,2019-07-13,1.4276,1.4902,1.4994,1.4211,391300.0,-4.20
18,2019-07-14,1.4121,1.4276,1.4398,1.3912,1340000.0,-1.09
19,2019-07-15,1.4516,1.4121,1.4659,1.3679,1640000.0,2.80
20,2019-07-16,1.3491,1.4515,1.461,1.3336,1680000.0,-7.06
21,2019-07-17,1.3445,1.3489,1.3797,1.2998,1830000.0,-0.34
22,2019-07-18,1.3302,1.3444,1.3453,1.2327,2029999.9999999998,-1.06
23,2019-07-19,1.2498,1.3302,1.3302,1.2106,6370000.0,-6.04
24,2019-07-20,1.2591,1.2498,1.384,1.2102,1330000.0,0.74
25,2019-07-21,1.2776,1.2591,1.3433,1.2307,622700.0,1.48
26,2019-07-22,1.3004,1.2776,1.3467,1.2732,1080000.0,1.78
27,2019-07-23,1.3067,1.3004,1.3379,1.2611,760960.0,0.48
28,2019-07-24,1.321,1.3067,1.3285,1.2773,684620.0,1.09
29,2019-07-25,1.2951,1.321,1.3269,1.2809,783350.0,-1.96
30,2019-07-26,1.2785,1.2951,1.3197,1.2611,1100000.0,-1.28
31,2019-07-27,1.2895,1.2785,1.2907,1.2609,908950.0,0.85
32,2019-07-28,1.2835,1.2895,1.2927,1.2549,342420.0,-0.46
33,2019-07-29,1.3489,1.2835,1.3533,1.2771,720160.0,5.09
34,2019-07-30,1.3339,1.3489,1.3636,1.2937,1310000.0,-1.11
35,2019-07-31,1.31,1.3339,1.338,1.2939,802120.0,-1.79
36,2019-08-01,1.3082,1.31,1.3155,1.2779,1540000.0,-0.13
37,2019-08-02,1.2871,1.3082,1.3157,1.271,1080000.0,-1.62
38,2019-08-03,1.3242,1.2871,1.3242,1.2825,752560.0,2.88
39,2019-08-04,1.3151,1.3242,1.3246,1.2715,1420000.0,-0.68
40,2019-08-05,1.3228,1.3151,1.3232,1.2895,1540000.0,0.58
41,2019-08-06,1.2501,1.3228,1.3444,1.2427,1350000.0,-5.49
42,2019-08-07,1.2681,1.2502,1.2689,1.2502,381640.0,1.43
43,2019-08-08,1.2536,1.2681,1.2709,1.2457,404770.0,-1.14
44,2019-08-09,1.2297,1.2536,1.2553,1.2166,1080000.0,-1.91
45,2019-08-10,1.2298,1.2297,1.2359,1.2124,454550.0,0.01
46,2019-08-11,1.3132,1.2298,1.3471,1.2267,1440000.0,6.78
47,2019-08-12,1.2639,1.3132,1.3132,1.2452,263510.0,-3.75
48,2019-08-13,1.2337,1.2639,1.2661,1.2307,156380.0,-2.39
49,2019-08-14,1.2534,1.2337,1.3066,1.2255,674820.0,1.60
50,2019-08-15,1.2265,1.2534,1.258,1.2157,413970.0,-2.14
51,2019-08-16,1.1693,1.2265,1.2274,1.1423,794510.0,-4.67
52,2019-08-17,1.2092,1.1693,1.265,1.1568,1850000.0,3.41
53,2019-08-18,1.3135,1.2092,1.3162,1.1976,1650000.0,8.63
54,2019-08-19,1.3254,1.3135,1.3261,1.2724,628500.0,0.90
55,2019-08-20,1.3137,1.3254,1.3451,1.2928,729890.0,-0.88
56,2019-08-21,1.2048,1.3137,1.3137,1.1813,1400000.0,-8.29
57,2019-08-22,1.219,1.2048,1.2213,1.1903,985810.0,1.18
58,2019-08-23,1.2082,1.219,1.2191,1.1853,391830.0,-0.88
59,2019-08-24,1.1699,1.2082,1.2082,1.1606,832260.0,-3.18
60,2019-08-25,1.1703,1.1699,1.1998,1.1678,460600.0,0.04
61,2019-08-26,1.1888,1.1703,1.2147,1.1603,1200000.0,1.57
62,2019-08-27,1.1912,1.1888,1.1969,1.1714,259410.00000000003,0.21
63,2019-08-28,1.1546,1.1912,1.1912,1.1517,722900.0,-3.07
64,2019-08-29,1.1392,1.1546,1.157,1.1344,899100.0,-1.34
65,2019-08-30,1.1394,1.1392,1.1447,1.1307,289620.0,0.02
66,2019-08-31,1.1383,1.1394,1.1424,1.1161,934760.0,-0.10
67,2019-09-01,1.1516,1.1383,1.1517,1.1122,503030.0,1.17
68,2019-09-02,1.1447,1.1516,1.1518,1.1106,537790.0,-0.60
69,2019-09-03,1.1283,1.1447,1.145,1.12,340780.0,-1.44
70,2019-09-04,1.1006,1.1283,1.1292,1.1006,461860.0,-2.45
71,2019-09-05,1.0731,1.1006,1.1105,1.0696,1250000.0,-2.50
72,2019-09-06,1.0594,1.0731,1.0731,1.0555,766700.0,-1.28
73,2019-09-07,1.0641,1.0594,1.0679,1.0587,149180.0,0.44
74,2019-09-08,1.0665,1.0642,1.0761,1.0626,239850.0,0.22
