SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2016-08-24,3.84,3.95,3.96,3.61,21860.0,-2.78
2,2016-08-25,3.81,3.84,3.88,3.75,21870.0,-0.78
3,2016-08-26,3.81,3.81,3.9,3.77,14350.0,0.00
4,2016-08-27,3.78,3.81,3.85,3.62,4910.0,-0.79
5,2016-08-28,3.72,3.78,3.78,3.62,8189.999999999999,-1.59
6,2016-08-29,3.77,3.72,3.84,3.7,3670.0,1.34
7,2016-08-30,3.81,3.77,3.85,3.74,1580.0,1.06
8,2016-08-31,3.74,3.81,3.85,3.74,1630.0,-1.84
9,2016-09-01,3.66,3.74,3.9,3.26,15470.0,-2.14
10,2016-09-02,3.84,3.66,4.35,3.65,11820.0,4.92
11,2016-09-03,3.88,3.84,3.99,3.8,7480.0,1.04
12,2016-09-04,4.02,3.88,4.08,3.85,4920.0,3.61
13,2016-09-05,3.96,4.02,4.07,3.94,1940.0,-1.49
14,2016-09-06,3.95,3.96,3.98,3.91,2770.0,-0.25
15,2016-09-07,3.96,3.95,4.03,3.91,2160.0,0.25
16,2016-09-08,4.01,3.96,4.03,3.95,350.0,1.26
17,2016-09-09,3.96,4.01,4.02,3.94,1700.0,-1.25
18,2016-09-10,3.96,3.96,4.0,3.95,80.0,0.00
19,2016-09-11,3.9,3.96,4.04,3.86,5010.0,-1.52
20,2016-09-12,3.88,3.9,3.96,3.77,3610.0,-0.51
21,2016-09-13,3.81,3.88,3.88,3.8,1450.0,-1.80
22,2016-09-14,3.85,3.81,3.85,3.8,210.0,1.05
23,2016-09-15,3.81,3.85,3.95,3.81,2620.0,-1.04
24,2016-09-16,3.81,3.81,3.89,3.8,1410.0,0.00
25,2016-09-17,3.82,3.81,3.88,3.81,910.0,0.26
26,2016-09-18,3.87,3.82,3.87,3.81,5450.0,1.31
27,2016-09-19,3.86,3.87,3.93,3.8,1900.0,-0.26
28,2016-09-20,4.0,3.86,4.0,3.76,11160.0,3.63
29,2016-09-21,3.82,4.0,6.72,3.61,9970.0,-4.50
30,2016-09-22,3.79,3.76,5.05,3.76,10630.0,-0.79
31,2016-09-23,3.83,3.79,4.2,3.77,3090.0,1.06
32,2016-09-24,3.87,3.83,4.06,3.83,1210.0,1.04
33,2016-09-25,3.8,3.87,3.87,3.8,1050.0,-1.81
34,2016-09-26,3.92,3.8,4.0,3.79,3540.0,3.16
35,2016-09-27,3.83,3.92,3.92,3.79,4210.0,-2.30
36,2016-09-28,3.81,3.83,3.9,3.79,1390.0,-0.52
37,2016-09-29,3.86,3.81,3.88,3.81,440.0,1.31
38,2016-09-30,3.81,3.86,3.87,3.8,4680.0,-1.30
39,2016-10-01,3.85,3.81,3.86,3.81,1660.0,1.05
40,2016-10-02,3.83,3.85,3.86,3.82,410.0,-0.52
41,2016-10-03,3.83,3.83,3.94,3.83,3390.0,0.00
42,2016-10-04,3.85,3.83,3.9,3.81,9820.0,0.52
43,2016-10-05,3.88,3.85,3.91,3.79,4820.0,0.78
44,2016-10-06,3.82,3.88,3.88,3.78,9510.0,-1.55
45,2016-10-07,3.82,3.82,3.87,3.8,900.0,0.00
46,2016-10-08,3.86,3.82,3.88,3.8,1940.0,1.05
47,2016-10-09,3.8,3.86,3.86,3.8,270.0,-1.55
48,2016-10-10,3.79,3.84,3.84,3.79,2180.0,-0.26
49,2016-10-11,3.83,3.79,3.84,3.75,2710.0,1.06
50,2016-10-12,3.8,3.83,3.83,3.79,2880.0,-0.78
51,2016-10-13,3.83,3.8,3.93,3.8,10010.0,0.79
52,2016-10-14,3.82,3.83,3.92,3.82,180.0,-0.26
53,2016-10-15,3.92,3.82,3.94,3.82,390.0,2.62
54,2016-10-16,3.88,3.92,3.94,3.86,90.0,-1.02
55,2016-10-17,3.82,3.88,3.94,3.82,1100.0,-1.55
56,2016-10-18,3.91,3.82,3.91,3.8,3060.0,2.36
57,2016-10-19,3.79,3.91,3.91,3.79,4950.0,-3.07
58,2016-10-20,3.8,3.79,3.81,3.78,1120.0,0.26
59,2016-10-21,3.79,3.8,3.81,3.75,2390.0,-0.26
60,2016-10-22,3.84,3.79,3.88,3.75,4550.0,1.32
61,2016-10-23,3.88,3.84,3.89,3.7,5440.0,1.04
62,2016-10-24,3.87,3.88,3.89,3.82,1940.0,-0.26
63,2016-10-25,3.85,3.87,3.88,3.8,5320.0,-0.52
64,2016-10-26,3.89,3.85,3.96,3.76,10510.0,1.04
65,2016-10-27,3.99,3.89,4.14,3.89,5380.0,2.57
66,2016-10-28,3.9,3.99,4.02,3.88,3170.0,-2.26
67,2016-10-29,4.06,3.9,4.24,3.9,5600.0,4.10
68,2016-10-30,3.93,4.06,4.25,3.93,3310.0,-3.20
69,2016-10-31,3.98,3.93,4.07,3.92,1160.0,1.27
70,2016-11-01,4.02,3.98,4.5,3.92,11580.0,1.01
71,2016-11-02,4.07,4.02,4.35,3.99,5860.0,1.24
72,2016-11-03,3.9,4.07,4.34,3.8,22550.0,-4.18
73,2016-11-04,3.88,3.9,3.98,3.77,10900.0,-0.51
74,2016-11-05,3.87,3.88,3.94,3.86,1160.0,-0.26
75,2016-11-06,3.91,3.87,3.93,3.85,240.0,1.03
76,2016-11-07,3.88,3.91,3.92,3.83,2280.0,-0.77
77,2016-11-08,3.91,3.88,3.91,3.84,2029.9999999999998,0.77
78,2016-11-09,3.98,3.91,3.99,3.77,8910.0,1.79
79,2016-11-10,3.8,3.98,3.98,3.79,1280.0,-4.52
80,2016-11-11,3.8,3.8,3.86,3.79,680.0,0.00
81,2016-11-12,3.75,3.8,3.85,3.72,9760.0,-1.32
82,2016-11-13,3.86,3.75,3.94,3.65,14410.0,2.93
83,2016-11-14,3.87,3.86,3.91,3.81,710.0,0.26
84,2016-11-15,3.92,3.87,3.96,3.84,4400.0,1.29
85,2016-11-16,3.92,3.92,4.06,3.86,10600.0,0.00
86,2016-11-17,3.9,3.92,3.96,3.81,10390.0,-0.51
87,2016-11-18,3.87,3.9,3.95,3.85,1700.0,-0.77
88,2016-11-19,3.92,3.87,3.99,3.85,1100.0,1.29
89,2016-11-20,3.89,3.92,3.99,3.86,710.0,-0.77
90,2016-11-21,3.93,3.89,3.93,3.87,560.0,1.03
91,2016-11-22,3.9,3.93,3.99,3.88,3700.0,-0.76
92,2016-11-23,3.86,3.9,3.97,3.86,1490.0,-1.03
