SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-01-16,1067.65,1123.99,1551.96,958.0,50.0,-5.01
2,2018-01-17,1082.0,1067.65,1138.5,791.33,20.0,1.34
3,2018-01-18,1374.15,1082.0,1500.0,1026.0,30.0,27.00
4,2018-01-19,1458.98,1374.15,1785.22,1330.75,30.0,6.17
5,2018-01-20,1707.09,1458.98,1731.09,1402.07,20.0,17.01
6,2018-01-21,1583.05,1707.09,1730.0,1496.7,30.0,-7.27
7,2018-01-22,1518.06,1583.05,1678.37,1430.0,20.0,-4.11
8,2018-01-23,1529.7,1518.06,1542.11,1424.1,10.0,0.77
9,2018-01-24,1555.62,1529.7,1555.62,1489.05,0.0,1.69
10,2018-01-25,1445.0,1555.62,1601.35,1428.76,10.0,-7.11
11,2018-01-26,1488.54,1445.0,1501.03,1417.91,10.0,3.01
12,2018-01-27,1400.01,1488.54,1488.54,1354.75,10.0,-5.95
13,2018-01-28,1533.62,1400.01,1599.93,1400.01,50.0,9.54
14,2018-01-29,1416.76,1533.62,1533.63,1416.76,0.0,-7.62
15,2018-01-30,1339.35,1416.76,1416.76,1286.85,10.0,-5.46
16,2018-01-31,1288.28,1339.35,1339.35,1230.21,0.0,-3.81
17,2018-02-01,1250.88,1288.28,1395.0,1250.88,10.0,-2.90
18,2018-02-02,1151.61,1250.88,1276.46,1074.27,90.0,-7.94
19,2018-02-03,1188.89,1151.61,1248.38,1070.35,0.0,3.24
20,2018-02-04,1047.74,1188.89,1193.77,1015.44,0.0,-11.87
21,2018-02-05,804.99,1047.74,1054.98,804.99,10.0,-23.17
22,2018-02-06,935.0,804.99,935.0,600.0,10.0,16.15
23,2018-02-07,924.31,935.0,1088.0,852.39,10.0,-1.14
24,2018-02-08,1034.34,924.31,1034.34,898.29,0.0,11.90
25,2018-02-09,1083.54,1034.34,1091.0,973.64,10.0,4.76
26,2018-02-10,0.0,1083.54,1105.53,0.0,0.0,-100.00
27,2018-02-11,1008.89,0.0,1044.21,0.0,0.0,0.00
28,2018-02-12,1049.53,1008.89,1049.53,992.85,0.0,4.03
29,2018-02-13,0.0,1049.53,1070.93,0.0,0.0,-100.00
30,2018-02-14,1090.63,0.0,1090.63,0.0,0.0,0.00
31,2018-02-15,1159.16,1090.63,1177.64,1090.63,0.0,6.28
32,2018-02-16,1147.46,1159.16,1159.16,1147.46,0.0,-1.01
33,2018-02-17,1129.37,1147.46,1194.67,1129.37,0.0,-1.58
34,2018-02-18,1090.27,1129.37,1138.77,1061.06,20.0,-3.46
35,2018-02-19,1120.01,1090.27,1142.24,1072.96,0.0,2.73
36,2018-02-20,1060.98,1120.01,1152.7,1060.98,0.0,-5.27
37,2018-02-21,997.02,1060.98,1063.3,950.7,10.0,-6.03
38,2018-02-22,929.73,997.02,1051.53,895.74,10.0,-6.75
39,2018-02-23,1005.27,929.73,1005.27,929.73,0.0,8.12
40,2018-02-24,941.2,1005.27,1019.0,941.19,0.0,-6.37
41,2018-02-25,989.41,941.2,989.41,941.2,0.0,5.12
42,2018-02-26,1025.91,989.41,1025.96,898.8,0.0,3.69
43,2018-02-27,1025.95,1025.91,1025.95,905.93,0.0,0.00
44,2018-02-28,1066.37,1025.95,1120.0,1022.67,10.0,3.94
45,2018-03-01,1026.84,1066.37,1066.37,1026.84,10.0,-3.71
46,2018-03-02,1045.55,1026.84,1045.55,1023.78,0.0,1.82
47,2018-03-03,1035.54,1045.55,1045.55,1003.08,0.0,-0.96
48,2018-03-04,921.04,1035.54,1035.54,921.04,0.0,-11.06
49,2018-03-05,1066.37,921.04,1066.37,921.04,0.0,15.78
50,2018-03-06,974.98,1066.37,1066.37,950.0,0.0,-8.57
51,2018-03-07,875.0,974.98,974.98,875.0,0.0,-10.25
52,2018-03-08,875.0,875.0,875.0,875.0,0.0,0.00
53,2018-03-09,822.87,875.0,875.0,695.67,0.0,-5.96
54,2018-03-10,818.81,822.87,854.68,818.81,0.0,-0.49
55,2018-03-11,821.46,818.81,821.46,794.8,0.0,0.32
56,2018-03-12,816.1,821.46,845.0,798.75,0.0,-0.65
57,2018-03-13,785.08,816.1,819.23,785.08,0.0,-3.80
58,2018-03-14,784.99,785.08,808.13,784.99,0.0,-0.01
59,2018-03-15,744.11,784.99,784.99,728.22,0.0,-5.21
60,2018-03-16,723.21,744.11,744.11,701.64,0.0,-2.81
61,2018-03-17,667.97,723.21,723.21,648.16,0.0,-7.64
62,2018-03-18,648.17,667.97,667.97,499.87,0.0,-2.96
63,2018-03-19,686.81,648.17,695.14,422.93,10.0,5.96
64,2018-03-20,690.0,686.81,690.0,571.37,0.0,0.46
65,2018-03-21,661.59,690.0,764.84,637.63,0.0,-4.12
66,2018-03-22,669.93,661.59,682.74,603.51,0.0,1.26
67,2018-03-23,679.52,669.93,680.2,645.16,0.0,1.43
68,2018-03-24,713.17,679.52,713.17,679.52,0.0,4.95
69,2018-03-25,1066.37,713.17,1066.37,713.17,0.0,49.53
70,2018-03-26,638.36,1066.37,1066.37,623.0,0.0,-40.14
71,2018-03-27,603.71,638.36,638.36,603.71,0.0,-5.43
72,2018-03-28,595.39,603.71,603.71,595.39,0.0,-1.38
73,2018-03-29,545.25,595.39,595.39,535.65,0.0,-8.42
74,2018-03-30,497.67,545.25,545.25,480.44,0.0,-8.73
75,2018-03-31,519.94,497.67,537.69,497.67,0.0,4.47
76,2018-04-01,487.24,519.94,519.94,487.24,0.0,-6.29
77,2018-04-02,500.05,487.24,502.11,484.47,0.0,2.63
78,2018-04-03,511.03,500.05,511.03,500.05,0.0,2.20
79,2018-04-04,509.28,511.03,521.27,509.28,0.0,-0.34
80,2018-04-05,485.0,509.28,509.28,479.28,0.0,-4.77
81,2018-04-06,500.45,485.0,1066.37,482.69,0.0,3.19
82,2018-04-07,517.3,500.45,517.3,500.45,0.0,3.37
83,2018-04-08,517.29,517.3,517.3,517.29,0.0,-0.00
84,2018-04-09,517.32,517.29,546.07,517.29,0.0,0.01
85,2018-04-10,543.73,517.32,560.55,517.32,10.0,5.11
86,2018-04-11,577.11,543.73,591.84,543.73,0.0,6.14
87,2018-04-12,642.39,577.11,642.39,577.11,0.0,11.31
