SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2015-01-30,0.303,0.311,0.35,0.303,1330.0,-2.57
2,2015-01-31,0.29,0.303,0.303,0.29,480.0,-4.33
3,2015-02-01,0.29,0.29,0.29,0.29,0.0,0.00
4,2015-02-02,0.303,0.29,0.303,0.287,350.0,4.59
5,2015-02-03,0.331,0.303,0.36,0.302,1470.0,9.31
6,2015-02-04,0.292,0.331,0.331,0.275,2120.0,-11.75
7,2015-02-05,0.275,0.292,0.368,0.273,2430.0,-5.72
8,2015-02-06,0.275,0.275,0.27699999999999997,0.27399999999999997,690.0,-0.29
9,2015-02-07,0.275,0.275,0.275,0.275,0.0,0.00
10,2015-02-08,0.275,0.275,0.275,0.275,0.0,0.00
11,2015-02-09,0.275,0.275,0.275,0.275,0.0,0.00
12,2015-02-10,0.275,0.275,0.275,0.275,0.0,0.00
13,2015-02-11,0.275,0.275,0.275,0.275,0.0,0.00
14,2015-02-12,0.275,0.275,0.275,0.275,0.0,0.00
15,2015-02-13,0.275,0.275,0.275,0.275,0.0,0.00
16,2015-02-14,0.275,0.275,0.275,0.275,0.0,0.00
17,2015-02-15,0.275,0.275,0.275,0.275,0.0,0.00
18,2015-02-16,0.275,0.275,0.275,0.275,0.0,0.00
19,2015-02-17,0.099,0.52,0.52,0.01,70.0,-63.96
20,2015-02-18,0.099,0.099,0.099,0.099,0.0,0.00
21,2015-02-19,0.26,0.099,0.35,0.08900000000000001,990.0,162.63
22,2015-02-20,0.25,0.26,0.26,0.25,640.0,-3.85
23,2015-02-21,0.25,0.25,0.25,0.25,0.0,0.00
24,2015-02-22,0.295,0.25,0.32,0.25,230.0,18.00
25,2015-02-23,0.35,0.295,0.35,0.295,880.0,18.64
26,2015-02-24,0.25,0.35,0.38,0.25,60.0,-28.57
27,2015-02-25,0.25,0.25,0.25,0.25,0.0,0.00
28,2015-02-26,0.25,0.25,0.38,0.25,0.0,0.00
29,2015-02-27,0.25,0.25,0.25,0.25,0.0,0.00
30,2015-02-28,0.35,0.25,0.55,0.25,230.0,40.00
31,2015-03-01,0.35,0.35,0.35,0.35,0.0,0.00
32,2015-03-02,0.54,0.35,0.54,0.35,10.0,54.26
33,2015-03-03,0.49700000000000005,0.54,0.54,0.35,0.0,-7.95
34,2015-03-04,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.0,0.00
35,2015-03-05,0.26,0.49700000000000005,0.49700000000000005,0.26,0.0,-47.69
36,2015-03-06,0.49700000000000005,0.26,0.49700000000000005,0.26,10.0,91.15
37,2015-03-07,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.0,0.00
38,2015-03-08,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.26,0.0,0.00
39,2015-03-09,0.25,0.49700000000000005,0.54,0.25,50.0,-49.70
40,2015-03-10,0.54,0.25,0.54,0.25,0.0,115.96
41,2015-03-11,0.261,0.54,0.84,0.261,130.0,-51.64
42,2015-03-12,0.261,0.261,0.261,0.261,0.0,0.00
43,2015-03-13,0.8,0.261,0.81,0.261,20.0,206.40
44,2015-03-14,0.8,0.8,0.8,0.6,130.0,0.00
45,2015-03-15,0.8,0.8,0.8,0.6,0.0,0.00
46,2015-03-16,0.4,0.8,0.8,0.4,80.0,-49.99
