SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-07-24,30.4264,29.5702,30.7605,29.145,3000000.0,2.94
2,2021-07-23,29.5582,28.9227,29.6959,27.9408,3000000.0,2.17
3,2021-07-22,28.9308,27.8973,29.4641,27.3719,3040000.0,3.71
4,2021-07-21,27.8955,25.8391,28.8684,25.2501,3340000.0,8.00
5,2021-07-20,25.8301,27.7011,28.1921,25.0453,3180000.0,-6.69
6,2021-07-19,27.6812,29.7234,29.8853,27.609,2620000.0,-6.87
7,2021-07-18,29.7233,29.5759,30.7402,29.0711,2860000.0,0.50
8,2021-07-17,29.5759,29.6732,30.3372,28.9811,2990000.0,-0.38
9,2021-07-16,29.6873,31.3147,31.8688,29.5723,3140000.0,-5.20
10,2021-07-15,31.3154,32.8375,33.2388,30.7612,2600000.0,-4.64
11,2021-07-14,32.8374,33.4732,33.5742,30.852,3030000.0,-1.91
12,2021-07-13,33.4762,33.7547,34.1518,32.4981,3120000.0,-0.91
13,2021-07-12,33.7839,34.1958,35.2222,32.8433,3040000.0,-1.20
14,2021-07-11,34.1958,34.0759,34.7269,33.42,2690000.0,0.35
15,2021-07-10,34.0759,34.6681,35.4253,33.3109,3020000.0,-1.71
16,2021-07-09,34.668,33.6777,35.1987,32.9216,3380000.0,2.94
17,2021-07-08,33.6777,36.9854,37.0025,33.343,3060000.0,-8.94
18,2021-07-07,36.9853,36.8776,38.4322,36.4971,2750000.0,0.29
19,2021-07-06,36.8782,35.9406,37.9546,35.8786,3210000.0,2.56
20,2021-07-05,35.957,37.5436,37.5436,35.1948,3430000.0,-4.23
21,2021-07-04,37.5437,36.9552,38.7348,36.4231,3060000.0,1.59
22,2021-07-03,36.9553,35.4702,37.5311,34.9818,3160000.0,4.14
23,2021-07-02,35.4867,34.1625,35.5083,33.4148,3340000.0,3.88
24,2021-07-01,34.1628,36.5546,36.6578,33.4287,3270000.0,-6.49
25,2021-06-30,36.5357,34.9945,37.768,33.4877,5030000.0,4.55
26,2021-06-29,34.9444,33.1601,36.8941,33.0211,4330000.0,5.48
27,2021-06-28,33.1285,31.9518,33.3405,30.5648,3790000.0,3.67
28,2021-06-27,31.9546,31.1498,32.3639,29.5834,3920000.0,2.58
29,2021-06-26,31.1498,31.358,32.6313,29.3224,3790000.0,-0.69
30,2021-06-25,31.3672,35.04,35.8945,30.689,3990000.0,-10.43
31,2021-06-24,35.0208,33.4925,35.4567,31.5657,3500000.0,4.52
32,2021-06-23,33.5062,30.0556,34.9897,28.6837,5230000.0,11.53
33,2021-06-22,30.0418,32.0605,34.3166,26.0028,7820000.0,-6.39
34,2021-06-21,32.0914,44.6737,44.9025,31.9199,5470000.0,-28.16
