SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-02-16,7.206,6.622999999999999,7.206,6.622999999999999,891080.0,8.80
2,2021-02-17,9.987,7.206,9.987,7.206,1950000.0,38.59
3,2021-02-18,13.235999999999999,9.987,13.235999999999999,9.987,2240000.0,32.53
4,2021-02-19,18.895,13.207,18.895,13.207,6340000.0,42.75
5,2021-02-20,14.645999999999999,18.895,18.895,14.645999999999999,4830000.0,-22.49
6,2021-02-21,16.637999999999998,14.645999999999999,17.985,14.645999999999999,970400.0,13.60
7,2021-02-22,13.985999999999999,16.637999999999998,16.637999999999998,13.985999999999999,182870.0,-15.94
8,2021-02-23,12.72,13.985999999999999,13.985999999999999,10.94,4170000.0,-9.05
9,2021-02-24,14.142000000000001,12.738,15.624,12.738,1750000.0,11.18
10,2021-02-25,11.689,14.145999999999999,14.145999999999999,11.689,1120000.0,-17.35
11,2021-02-26,11.279000000000002,11.689,11.689,11.279000000000002,1380000.0,-3.51
12,2021-02-27,10.648,11.279000000000002,11.494000000000002,10.648,747020.0,-5.59
13,2021-02-28,9.326,10.648,10.648,9.326,1280000.0,-12.42
14,2021-03-01,13.125,9.326,13.125,9.326,1620000.0,40.74
15,2021-03-02,12.025,13.125,13.125,12.025,813750.0,-8.38
16,2021-03-03,12.607000000000001,12.025,12.686,12.025,550820.0,4.84
17,2021-03-04,11.546,12.607000000000001,12.607000000000001,11.546,637780.0,-8.42
18,2021-03-05,11.103,11.546,11.546,11.103,592310.0,-3.84
19,2021-03-06,11.123,11.103,11.123,11.08,417950.0,0.18
20,2021-03-07,11.662,11.123,11.717,11.123,422590.0,4.85
21,2021-03-08,11.918,11.658,11.918,11.658,340540.0,2.20
22,2021-03-09,14.186,11.918,14.186,11.918,689070.0,19.03
23,2021-03-10,12.76,14.186,14.186,12.76,699350.0,-10.05
24,2021-03-11,12.332,12.76,12.76,12.290999999999999,572000.0,-3.35
25,2021-03-12,10.997,12.332,12.332,10.997,445960.0,-10.83
26,2021-03-13,11.384,10.994000000000002,11.384,10.994000000000002,352630.0,3.52
27,2021-03-14,10.966,11.385,11.385,10.966,309350.0,-3.67
28,2021-03-15,10.002,10.966,10.966,10.002,598290.0,-8.79
29,2021-03-16,9.975,9.998,10.095,9.975,423460.0,-0.27
30,2021-03-17,10.315,9.975,10.315,9.49,277840.0,3.41
31,2021-03-18,9.906,10.315,10.315,9.906,208170.0,-3.97
32,2021-03-19,9.838,9.906,9.906,9.838,105980.0,-0.69
33,2021-03-20,9.866,9.838,9.9,9.838,113660.0,0.28
34,2021-03-21,10.116,9.866,10.116,9.866,96460.0,2.53
35,2021-03-22,10.887,10.116,12.199000000000002,10.116,347130.0,7.62
36,2021-03-23,11.470999999999998,10.887,11.470999999999998,10.887,260290.00000000003,5.36
37,2021-03-24,12.020999999999999,11.470999999999998,12.37,11.470999999999998,285650.0,4.79
38,2021-03-25,11.915999999999999,12.020999999999999,12.54,11.423,250950.0,-0.87
39,2021-03-26,14.785,11.915999999999999,14.785,11.915999999999999,279310.0,24.08
40,2021-03-27,17.332,14.785,17.332,14.785,362680.0,17.23
41,2021-03-28,16.207,17.332,17.332,16.207,311360.0,-6.49
42,2021-03-29,17.224,16.207,17.224,16.207,203730.0,6.28
43,2021-03-30,18.983,17.224,18.983,17.224,265550.0,10.21
44,2021-03-31,18.061,18.983,18.983,18.061,232970.0,-4.86
45,2021-04-01,17.121,18.061,18.061,17.121,156660.0,-5.20
46,2021-04-02,17.09,17.121,17.121,17.09,144590.0,-0.18
47,2021-04-03,15.595,17.09,17.09,15.595,124510.0,-8.75
48,2021-04-04,16.771,15.595,16.771,15.595,111290.0,7.54
49,2021-04-05,16.929000000000002,16.771,16.929000000000002,15.929,123600.0,0.94
50,2021-04-06,18.037,16.929000000000002,18.037,16.929000000000002,71380.0,6.54
51,2021-04-07,17.171,18.037,18.037,17.171,95700.0,-4.80
52,2021-04-08,21.107,17.171,21.107,17.171,118820.0,22.92
53,2021-04-09,24.11,21.105,24.11,21.105,114750.0,14.23
54,2021-04-10,22.820999999999998,24.11,24.11,22.820999999999998,165320.0,-5.35
55,2021-04-11,26.171999999999997,22.820999999999998,26.171999999999997,22.820999999999998,84910.0,14.68
56,2021-04-12,26.218000000000004,26.171999999999997,26.627,26.171999999999997,142450.0,0.18
57,2021-04-13,24.166,26.221,26.221,24.166,88970.0,-7.83
58,2021-04-14,23.189,24.166,24.166,22.908,60230.0,-4.04
59,2021-04-15,23.506999999999998,23.189,23.506999999999998,23.189,55430.0,1.37
60,2021-04-16,22.505,23.506999999999998,23.506999999999998,22.505,39560.0,-4.26
61,2021-04-17,23.87,22.505,23.87,22.505,41800.0,6.07
62,2021-04-18,22.169,23.87,23.87,22.169,58250.0,-7.13
63,2021-04-19,22.849,22.169,24.125999999999998,22.169,59240.0,3.07
64,2021-04-20,27.502,22.828000000000003,27.502,22.828000000000003,101060.0,20.36
65,2021-04-21,26.118000000000002,27.502,27.928,26.118000000000002,116720.0,-5.03
66,2021-04-22,25.129,26.118000000000002,28.081999999999997,25.129,62090.0,-3.79
67,2021-04-23,26.958000000000002,25.129,26.958000000000002,25.129,72400.0,7.28
68,2021-04-24,28.254,26.958000000000002,28.254,26.958000000000002,57080.0,4.81
69,2021-04-25,30.155,28.254,30.351999999999997,28.254,79250.0,6.73
70,2021-04-26,33.555,30.155,33.803000000000004,30.155,68340.0,11.28
71,2021-04-27,35.775,33.555,35.775,33.555,55590.0,6.62
72,2021-04-28,36.189,35.775,36.189,35.775,47300.0,1.16
73,2021-04-29,42.68,36.189,42.68,36.189,81000.0,17.94
74,2021-04-30,40.874,42.68,42.68,40.353,42060.0,-4.23
75,2021-05-01,38.496,40.874,40.874,38.496,30170.0,-5.82
76,2021-05-02,40.918,38.496,40.918,38.496,46720.0,6.29
77,2021-05-03,40.871,40.918,41.063,40.871,38850.0,-0.11
78,2021-05-04,36.571999999999996,40.871,40.871,36.571999999999996,61050.0,-10.52
79,2021-05-05,39.013000000000005,36.619,39.486999999999995,36.619,31770.0,6.67
80,2021-05-06,36.692,39.013000000000005,39.013000000000005,36.495,23100.0,-5.95
81,2021-05-07,35.973,36.692,36.692,35.973,39260.0,-1.96
82,2021-05-08,36.983000000000004,35.973,36.983000000000004,35.973,52860.0,2.81
83,2021-05-09,38.295,36.983000000000004,38.295,36.763000000000005,46410.0,3.55
84,2021-05-10,35.963,38.295,38.295,35.963,99740.0,-6.09
85,2021-05-11,36.754,35.963,37.048,35.664,65840.0,2.20
86,2021-05-12,29.268,36.754,36.754,29.268,48560.0,-20.37
87,2021-05-13,29.526999999999997,29.268,32.06,29.268,97200.0,0.88
88,2021-05-14,31.709,29.526999999999997,31.709,29.526999999999997,45130.0,7.39
89,2021-05-15,28.642,31.686,31.976,28.642,34920.0,-9.67
90,2021-05-16,29.148000000000003,28.642,31.340999999999998,28.642,48950.0,1.77
91,2021-05-17,26.74,29.148000000000003,29.148000000000003,26.74,70070.0,-8.26
92,2021-05-18,26.999000000000002,26.74,26.999000000000002,26.74,45230.0,0.97
93,2021-05-19,15.642000000000001,26.999000000000002,26.999000000000002,15.642000000000001,228250.0,-42.06
94,2021-05-20,20.189,15.642000000000001,20.189,15.642000000000001,234110.0,29.07
95,2021-05-21,16.829,20.189,20.189,16.829,168370.0,-16.64
96,2021-05-22,15.125,16.838,16.838,15.125,100620.0,-10.13
97,2021-05-23,12.725999999999999,15.132,15.132,11.648,95090.0,-15.86
98,2021-05-24,17.781,12.727,17.781,12.727,120770.0,39.72
99,2021-05-25,17.692,17.785999999999998,17.785999999999998,17.171,86030.0,-0.50
100,2021-05-26,19.295,17.692,19.295,17.692,58620.0,9.06
101,2021-05-27,18.166,19.295,19.295,18.166,56380.0,-5.85
102,2021-05-28,15.922,18.166,18.166,15.922,48900.0,-12.35
103,2021-05-29,14.700999999999999,15.922,15.922,14.700999999999999,36000.0,-7.67
104,2021-05-30,15.870999999999999,14.700999999999999,15.870999999999999,14.700999999999999,35110.0,7.96
105,2021-05-31,17.951,15.870999999999999,17.951,15.659,38390.0,13.11
106,2021-06-01,17.851,17.95,17.95,17.505,34150.0,-0.56
107,2021-06-02,19.24,17.851,19.24,17.851,38050.0,7.78
108,2021-06-03,21.119,19.24,21.119,19.24,27940.0,9.77
109,2021-06-04,19.064,21.119,21.119,18.684,56690.0,-9.73
110,2021-06-05,18.952,19.064,19.064,18.952,36820.0,-0.59
111,2021-06-06,18.812,18.952,18.952,18.284000000000002,19170.0,-0.74
112,2021-06-07,16.999000000000002,18.812,18.812,16.999000000000002,23550.0,-9.64
113,2021-06-08,17.01,16.999000000000002,17.01,16.801,35890.0,0.06
114,2021-06-09,18.410999999999998,17.01,18.410999999999998,17.01,26230.0,8.24
115,2021-06-10,16.742,18.410999999999998,18.410999999999998,16.742,20910.0,-9.07
116,2021-06-11,15.937000000000001,16.742,16.742,15.937000000000001,13410.0,-4.81
117,2021-06-12,15.690999999999999,15.937000000000001,15.937000000000001,15.690999999999999,13350.0,-1.54
118,2021-06-13,16.845,15.690999999999999,16.845,15.690999999999999,24320.0,7.35
119,2021-06-14,17.326,16.845,17.326,16.734,15250.0,2.86
120,2021-06-15,17.195,17.326,17.326,17.195,16370.000000000002,-0.76
121,2021-06-16,15.998,17.195,17.195,15.998,16040.0,-6.96
122,2021-06-17,16.153,15.998,16.616,15.998,16180.0,0.97
123,2021-06-18,15.616,16.153,16.153,15.616,18780.0,-3.32
124,2021-06-19,15.408,15.616,15.74,15.408,15080.0,-1.33
125,2021-06-20,15.993,15.408,15.993,15.352,14210.0,3.80
126,2021-06-21,12.122,15.993,15.993,12.122,29360.0,-24.20
127,2021-06-22,11.98,12.122,12.122,11.623,61100.0,-1.17
128,2021-06-23,13.615,11.98,13.615,11.98,41390.0,13.65
129,2021-06-24,13.800999999999998,13.615,13.800999999999998,13.395,20150.0,1.37
130,2021-06-25,12.206,13.796,13.796,12.206,22040.0,-11.56
131,2021-06-26,12.245,12.210999999999999,12.245,11.833,19050.0,0.32
132,2021-06-27,13.002,12.245,13.002,12.151,11390.0,6.18
