SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-08-21,3.0780000000000003,2.909,3.0780000000000003,2.909,1070000.0,5.80
2,2020-08-22,4.4639999999999995,3.0780000000000003,4.4639999999999995,2.97,4019999.9999999995,45.05
3,2020-08-23,3.977,4.4510000000000005,4.4510000000000005,3.915,1560000.0,-10.90
4,2020-08-24,4.593999999999999,3.977,4.73,3.977,1560000.0,15.50
5,2020-08-25,5.55,4.595,5.55,4.595,3020000.0,20.81
6,2020-08-26,6.059,5.55,6.391,5.55,2110000.0,9.18
7,2020-08-27,5.652,6.059,6.57,5.652,2220000.0,-6.72
8,2020-08-28,6.17,5.652,6.206,5.652,1610000.0,9.16
9,2020-08-29,6.15,6.17,6.291,6.15,803570.0,-0.32
10,2020-08-30,5.89,6.15,6.15,5.89,830840.0,-4.22
11,2020-08-31,6.29,5.898,6.29,5.898,805930.0,6.78
12,2020-09-01,6.257000000000001,6.29,6.627000000000001,6.257000000000001,1020000.0,-0.53
13,2020-09-02,6.127000000000001,6.257000000000001,6.287000000000001,5.9270000000000005,988580.0,-2.07
14,2020-09-03,5.724,6.127000000000001,6.249,5.724,1230000.0,-6.58
15,2020-09-04,5.124,5.724,5.893,5.102,1660000.0,-10.49
16,2020-09-05,4.131,5.124,5.124,4.131,3050000.0,-19.38
17,2020-09-06,4.78,4.131,4.78,4.131,1380000.0,15.71
18,2020-09-07,4.585,4.78,4.78,4.05,1130000.0,-4.07
19,2020-09-08,4.271,4.585,4.585,4.167,731170.0,-6.86
20,2020-09-09,4.696000000000001,4.271,4.78,4.271,787230.0,9.96
21,2020-09-10,4.583,4.696000000000001,4.715,4.583,799200.0,-2.41
22,2020-09-11,4.655,4.583,4.655,4.425,567800.0,1.58
23,2020-09-12,5.157,4.655,5.157,4.51,622530.0,10.77
24,2020-09-13,5.315,5.157,5.439,5.122999999999999,786740.0,3.07
25,2020-09-14,5.3660000000000005,5.315,5.3660000000000005,5.315,820100.0,0.95
