SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-05-12,1.809e-05,3.034e-05,3.034e-05,1.809e-05,8574631000000.0,-40.53
2,2021-05-13,2.102e-05,1.801e-05,2.267e-05,1.787e-05,8423167000000.0,16.20
3,2021-05-14,1.839e-05,2.069e-05,2.069e-05,1.839e-05,3253111000000.0,-12.51
4,2021-05-15,1.551e-05,1.832e-05,1.832e-05,1.551e-05,3332505000000.0005,-15.66
5,2021-05-16,1.785e-05,1.552e-05,1.785e-05,1.352e-05,4134819999999.9995,15.09
6,2021-05-17,1.651e-05,1.769e-05,1.769e-05,1.509e-05,4336169999999.9995,-7.51
7,2021-05-18,1.561e-05,1.651e-05,1.76e-05,1.561e-05,2221437000000.0,-5.45
8,2021-05-19,9.07e-06,1.56e-05,1.565e-05,9.07e-06,7357750000000.0,-41.90
9,2021-05-20,9.68e-06,9.03e-06,1.14e-05,8.6e-06,5322199000000.0,6.73
10,2021-05-21,8.2e-06,9.61e-06,9.86e-06,7.48e-06,3336354000000.0,-15.29
11,2021-05-22,8.37e-06,8.14e-06,8.37e-06,6.97e-06,2641054000000.0,2.07
12,2021-05-23,8.08e-06,8.35e-06,9.3e-06,7.44e-06,3778332000000.0,-3.46
13,2021-05-24,1.063e-05,8.1e-06,1.131e-05,7.92e-06,4188441000000.0005,31.56
14,2021-05-25,9.33e-06,1.067e-05,1.067e-05,9.31e-06,2581331000000.0,-12.23
15,2021-05-26,9.5e-06,9.39e-06,1.01e-05,9.27e-06,1689399000000.0002,1.82
16,2021-05-27,8.76e-06,9.5e-06,9.5e-06,8.7e-06,1183082000000.0,-7.79
17,2021-05-28,7.9e-06,8.78e-06,8.78e-06,7.66e-06,1227630000000.0,-9.82
18,2021-05-29,7.89e-06,7.89e-06,8.09e-06,7.49e-06,745045000000.0,-0.13
19,2021-05-30,7.85e-06,7.89e-06,8.01e-06,7.57e-06,625358000000.0,-0.51
20,2021-05-31,9.28e-06,7.85e-06,9.33e-06,7.75e-06,1429157000000.0,18.22
21,2021-06-01,8.82e-06,9.18e-06,9.18e-06,8.51e-06,1373050000000.0,-4.96
22,2021-06-02,9.43e-06,8.83e-06,9.47e-06,8.75e-06,2338226000000.0,6.92
23,2021-06-03,9.8e-06,9.43e-06,9.94e-06,9.39e-06,1205381000000.0,3.92
24,2021-06-04,8.81e-06,9.81e-06,9.81e-06,8.74e-06,1154682000000.0,-10.10
25,2021-06-05,8.42e-06,8.81e-06,8.98e-06,8.39e-06,607343000000.0,-4.43
