SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-02-07,0.1224,0.136,0.1469,0.12,39600000.0,-10.33
2,2018-02-08,0.1301,0.1227,0.1388,0.1216,37180000.0,6.29
3,2018-02-09,0.142,0.1298,0.1479,0.1189,37420000.0,9.15
4,2018-02-10,0.1297,0.1418,0.1466,0.1249,23600000.0,-8.66
5,2018-02-11,0.1162,0.1297,0.1305,0.1068,20200000.0,-10.41
6,2018-02-12,0.116,0.1196,0.1251,0.1101,22130000.0,-0.17
7,2018-02-13,0.1149,0.1162,0.118,0.1128,17880000.0,-0.95
8,2018-02-14,0.1289,0.1149,0.1299,0.1136,21400000.0,12.18
9,2018-02-15,0.1415,0.129,0.162,0.1213,41910000.0,9.78
10,2018-02-16,0.1407,0.1409,0.1445,0.1315,24180000.0,-0.57
11,2018-02-17,0.1667,0.1405,0.1949,0.1383,38830000.0,18.48
12,2018-02-18,0.1666,0.1675,0.187,0.1504,35840000.0,-0.06
13,2018-02-19,0.1692,0.1669,0.178,0.1637,20950000.0,1.56
14,2018-02-20,0.1431,0.1691,0.1715,0.142,24590000.0,-15.43
15,2018-02-21,0.1278,0.143,0.148,0.1231,23370000.0,-10.69
16,2018-02-22,0.1295,0.1278,0.1441,0.1194,22570000.0,1.33
17,2018-02-23,0.1306,0.1295,0.136,0.1236,19130000.0,0.85
18,2018-02-24,0.1258,0.131,0.1368,0.1215,17950000.0,-3.68
19,2018-02-25,0.1136,0.1258,0.1292,0.1123,19700000.0,-9.70
20,2018-02-26,0.1247,0.1133,0.1325,0.1117,23840000.0,9.77
21,2018-02-27,0.1386,0.1246,0.1498,0.1205,26470000.0,11.15
22,2018-02-28,0.146,0.1385,0.149,0.1309,31910000.0,5.34
23,2018-03-01,0.215,0.1463,0.215,0.1454,67590000.0,47.26
24,2018-03-02,0.1942,0.2131,0.2139,0.1702,56380000.0,-9.67
25,2018-03-03,0.2291,0.1946,0.2348,0.1807,47620000.0,17.97
26,2018-03-04,0.2144,0.2295,0.2433,0.1978,49750000.0,-6.42
27,2018-03-05,0.2146,0.2147,0.2242,0.2021,35860000.0,0.09
28,2018-03-06,0.2033,0.2146,0.2189,0.1821,33640000.0,-5.27
29,2018-03-07,0.1677,0.204,0.2079,0.1522,31870000.0,-17.51
30,2018-03-08,0.136,0.1677,0.1773,0.1306,34270000.0,-18.90
31,2018-03-09,0.1676,0.1366,0.1756,0.119,45420000.0,23.24
32,2018-03-10,0.1632,0.1655,0.193,0.1555,76490000.0,-2.63
33,2018-03-11,0.1812,0.1624,0.1888,0.151,66000000.0,11.03
34,2018-03-12,0.1677,0.1816,0.1829,0.161,36090000.0,-7.45
35,2018-03-13,0.1629,0.1677,0.169,0.1555,18850000.0,-2.86
36,2018-03-14,0.1462,0.1627,0.1635,0.145,23170000.0,-10.25
37,2018-03-15,0.1459,0.1461,0.1494,0.1321,24330000.0,-0.21
38,2018-03-16,0.1457,0.1454,0.1529,0.1376,20130000.0,-0.14
39,2018-03-17,0.1421,0.1461,0.1499,0.1387,17010000.0,-2.47
40,2018-03-18,0.1386,0.142,0.1424,0.1191,23590000.0,-2.46
41,2018-03-19,0.1483,0.1387,0.1505,0.1357,23580000.0,7.00
42,2018-03-20,0.1546,0.1485,0.1629,0.1374,27280000.0,4.25
43,2018-03-21,0.1542,0.1545,0.166,0.1491,21540000.0,-0.26
44,2018-03-22,0.1486,0.1541,0.158,0.1402,19530000.0,-3.63
45,2018-03-23,0.1512,0.1485,0.1541,0.1384,21210000.0,1.75
46,2018-03-24,0.1436,0.151,0.156,0.1436,21270000.0,-5.03
47,2018-03-25,0.1437,0.1438,0.1492,0.1417,16160000.0,0.07
48,2018-03-26,0.1319,0.1435,0.1453,0.1253,20160000.0,-8.21
49,2018-03-27,0.1282,0.1317,0.1346,0.1251,14520000.0,-2.81
50,2018-03-28,0.1336,0.1279,0.1397,0.1264,21690000.0,4.21
51,2018-03-29,0.1184,0.1329,0.1353,0.1159,21380000.0,-11.38
52,2018-03-30,0.1159,0.1183,0.1227,0.1128,20840000.0,-2.11
53,2018-03-31,0.1162,0.1159,0.1233,0.1138,18350000.0,0.26
54,2018-04-01,0.1078,0.1164,0.1189,0.1049,17800000.0,-7.23
55,2018-04-02,0.1148,0.1075,0.1179,0.1057,22880000.0,6.49
56,2018-04-03,0.1186,0.1144,0.1219,0.1127,21450000.0,3.31
57,2018-04-04,0.1087,0.1186,0.1192,0.107,19440000.0,-8.35
58,2018-04-05,0.107,0.1086,0.112,0.1046,18640000.0,-1.56
59,2018-04-06,0.1003,0.1068,0.1098,0.0986,21610000.0,-6.26
60,2018-04-07,0.1037,0.1003,0.1084,0.1002,20810000.0,3.39
61,2018-04-08,0.1048,0.1037,0.1083,0.1028,18860000.0,1.06
62,2018-04-09,0.106,0.1048,0.1095,0.1,24670000.0,1.15
63,2018-04-10,0.1044,0.1057,0.109,0.101,22490000.0,-1.51
64,2018-04-11,0.1132,0.1044,0.1157,0.1044,34050000.0,8.43
65,2018-04-12,0.1257,0.1134,0.1265,0.1079,50700000.0,11.04
66,2018-04-13,0.1244,0.1256,0.137,0.1217,36290000.0,-1.03
67,2018-04-14,0.1211,0.1249,0.1285,0.1161,28780000.0,-2.65
68,2018-04-15,0.1251,0.1212,0.1273,0.1211,20760000.0,3.30
69,2018-04-16,0.1177,0.1252,0.1271,0.1117,26100000.0,-5.92
70,2018-04-17,0.1165,0.1176,0.1225,0.114,25090000.0,-1.02
71,2018-04-18,0.1239,0.1165,0.1255,0.1164,21240000.0,6.35
72,2018-04-19,0.1379,0.1243,0.1462,0.1234,34020000.0,11.30
73,2018-04-20,0.1446,0.1375,0.1465,0.1306,27700000.0,4.86
74,2018-04-21,0.1459,0.1447,0.1493,0.13,38430000.0,0.90
75,2018-04-22,0.1511,0.1459,0.1647,0.1414,34580000.0,3.56
76,2018-04-23,0.149,0.1509,0.1574,0.1453,23370000.0,-1.39
77,2018-04-24,0.1587,0.1485,0.1616,0.147,29960000.0,6.51
78,2018-04-25,0.1302,0.1588,0.1588,0.1253,35540000.0,-17.96
79,2018-04-26,0.1471,0.1303,0.1479,0.1261,18920000.0,12.98
80,2018-04-27,0.1325,0.1468,0.1471,0.1325,16340000.0,-9.93
81,2018-04-28,0.1436,0.1324,0.1469,0.1308,15660000.0,8.38
82,2018-04-29,0.148,0.1437,0.1545,0.141,20580000.0,3.06
83,2018-04-30,0.1426,0.1479,0.155,0.1406,14480000.0,-3.65
84,2018-05-01,0.1406,0.1425,0.1428,0.1332,12820000.0,-1.40
85,2018-05-02,0.1472,0.141,0.1496,0.1396,11490000.0,4.69
86,2018-05-03,0.1743,0.147,0.1839,0.1467,33940000.0,18.41
87,2018-05-04,0.1763,0.1763,0.1825,0.1689,16360000.0,1.15
88,2018-05-05,0.1685,0.1766,0.1797,0.1662,12080000.0,-4.42
89,2018-05-06,0.1654,0.1687,0.1689,0.1513,14760000.0,-1.84
90,2018-05-07,0.2111,0.1653,0.2149,0.1524,45530000.0,27.63
91,2018-05-08,0.1987,0.2108,0.2267,0.1874,31770000.0,-5.87
92,2018-05-09,0.2178,0.1986,0.2182,0.18,19930000.0,9.61
93,2018-05-10,0.2158,0.218,0.2346,0.2112,24990000.0,-0.92
94,2018-05-11,0.1788,0.2156,0.2158,0.1695,30440000.0,-17.15
