SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2018-02-02,3.08,3.3045,3.8948,2.6339,12200.0,-6.79
2,2018-02-03,3.3077,3.08,3.3532,2.71,5570.0,7.39
3,2018-02-04,2.8876,3.3077,4.0124,2.8876,3330.0,-12.70
4,2018-02-05,3.1669,2.8876,3.1669,2.5,2770.0,9.67
5,2018-02-06,2.5,3.1669,3.1669,2.0152,3280.0,-21.06
6,2018-02-07,2.5619,2.5,3.18,2.198,5250.0,2.48
7,2018-02-08,3.0574,2.5619,3.2971,2.5465,2080.0,19.34
8,2018-02-09,3.4314,3.0574,3.6869,2.9148,5900.0,12.23
9,2018-02-10,3.31,3.4314,3.6711,3.2808,4080.0,-3.54
10,2018-02-11,3.1266,3.31,3.31,3.0908,1340.0,-5.54
11,2018-02-12,3.698,3.1266,3.9763,3.1266,3460.0,18.28
12,2018-02-13,3.3334,3.698,3.698,2.458,29150.0,-9.86
13,2018-02-14,2.705,3.3334,3.3334,2.5,104420.0,-18.85
14,2018-02-15,2.6422,2.705,2.7187,2.6299,39190.0,-2.32
15,2018-02-16,2.63,2.6422,2.719,2.5237,14860.0,-0.46
16,2018-02-17,2.7355,2.63,2.749,2.5681,18770.0,4.01
17,2018-02-18,2.81,2.7355,2.815,2.6,13540.0,2.72
18,2018-02-19,3.31,2.81,3.8,2.6998,30130.0,17.79
19,2018-02-20,3.9567,3.31,4.6804,3.3,55540.0,19.54
20,2018-02-21,3.504,3.9567,4.0934,3.504,16640.0,-11.44
21,2018-02-22,3.9341,3.504,4.8408,3.05,19480.0,12.27
22,2018-02-23,4.6743,3.9341,4.812,3.479,15830.0,18.81
23,2018-02-24,5.0424,4.6743,5.0528,4.37,16320.0,7.87
24,2018-02-25,4.5648,5.0424,5.1,4.4147,11180.0,-9.47
25,2018-02-26,3.9231,4.5648,5.0,3.2,29760.0,-14.06
26,2018-02-27,4.3406,3.9231,4.4839,3.7082,22820.0,10.64
27,2018-02-28,4.22,4.3406,4.7068,4.0019,15450.0,-2.78
28,2018-03-01,4.2865,4.22,4.69,4.2,7540.0,1.58
29,2018-03-02,4.4379,4.2865,4.5911,4.2438,7220.0,3.53
30,2018-03-03,4.4644,4.4379,4.629,4.203,7150.0,0.60
31,2018-03-04,4.35,4.4644,4.6291,4.24,5130.0,-2.56
32,2018-03-05,4.1235,4.35,4.506,4.1235,7820.0,-5.21
33,2018-03-06,3.708,4.1235,4.1434,3.7054,15320.0,-10.08
34,2018-03-07,3.5092,3.708,3.8273,3.4,13590.0,-5.36
35,2018-03-08,3.1798,3.5092,3.9,2.9,6630.0,-9.39
36,2018-03-09,3.116,3.1798,3.1798,2.7769,9050.0,-2.01
37,2018-03-10,3.0,3.116,3.6246,3.0,11980.0,-3.72
38,2018-03-11,3.4208,3.0,3.4208,2.8846,1820.0,14.03
39,2018-03-12,3.4688,3.4208,3.8227,3.2481,4490.0,1.40
40,2018-03-13,3.247,3.4688,3.5523,3.228,1220.0,-6.39
41,2018-03-14,3.12,3.247,3.5198,3.0769,5300.0,-3.91
42,2018-03-15,3.2581,3.12,3.4999,2.8645,3700.0,4.43
43,2018-03-16,3.055,3.2581,3.2581,3.046,1210.0,-6.23
44,2018-03-17,2.8,3.055,3.0804,2.8,2800.0,-8.35
45,2018-03-18,2.7828,2.8,3.076,2.542,6860.0,-0.61
46,2018-03-19,3.2091,2.7828,3.3,2.624,7240.0,15.32
47,2018-03-20,3.48,3.2091,3.48,2.9004,1720.0,8.44
48,2018-03-21,3.472,3.48,3.5,2.9589,8510.0,-0.23
49,2018-03-22,3.0999,3.472,3.472,3.0694,2000.0,-10.72
50,2018-03-23,3.5385,3.0999,3.5385,3.01,4330.0,14.15
51,2018-03-24,3.8942,3.5385,3.8942,3.3272,3370.0,10.05
52,2018-03-25,4.032,3.8942,4.496,3.5536,3860.0,3.54
53,2018-03-26,3.9078,4.032,4.032,3.3,2560.0,-3.08
54,2018-03-27,3.3716,3.9078,3.9078,2.96,2410.0,-13.72
55,2018-03-28,3.2981,3.3716,3.4836,3.0203,4710.0,-2.18
56,2018-03-29,2.8398,3.2981,3.413,2.8398,7310.0,-13.90
57,2018-03-30,3.1276,2.8398,3.39,2.8,5620.0,10.13
58,2018-03-31,2.9,3.1276,3.1276,2.8115,6950.0,-7.28
59,2018-04-01,2.7788,2.9,3.358,2.557,16570.0,-4.18
60,2018-04-02,2.74,2.7788,2.9066,2.74,8220.0,-1.40
61,2018-04-03,2.999,2.74,2.999,2.7357,2020.0,9.45
62,2018-04-04,2.75,2.999,2.999,2.623,4500.0,-8.30
63,2018-04-05,2.7986,2.75,2.8198,2.542,13570.0,1.77
64,2018-04-06,2.7827,2.7986,2.7986,2.6267,1620.0,-0.57
65,2018-04-07,2.747,2.7827,2.783,2.6417,3470.0,-1.28
66,2018-04-08,2.693,2.747,2.9205,2.6417,4410.0,-1.97
67,2018-04-09,2.9218,2.693,2.9375,2.661,4080.0,8.50
68,2018-04-10,2.8063,2.9218,2.9218,2.6681,640.0,-3.95
69,2018-04-11,2.7787,2.8063,2.9577,2.71,5000.0,-0.98
70,2018-04-12,3.13,2.7787,3.13,2.726,9660.0,12.64
71,2018-04-13,3.0,3.13,3.288,3.0,7250.0,-4.15
72,2018-04-14,2.9593,3.0,3.034,2.8353,2620.0,-1.36
73,2018-04-15,3.15,2.9593,3.15,2.8232,7770.0,6.44
74,2018-04-16,3.2651,3.15,3.2651,2.8731,3080.0,3.65
75,2018-04-17,3.1434,3.2651,3.2651,3.0075,3420.0,-3.73
76,2018-04-18,3.133,3.0353,3.134,3.0079,4910.0,-0.33
77,2018-04-19,3.12,3.133,3.219,3.0269,12470.0,-0.41
78,2018-04-20,3.1186,3.12,3.2752,2.88,20750.0,-0.04
79,2018-04-21,3.0685,3.1186,3.253,3.0141,15060.0,-1.61
80,2018-04-22,3.2175,3.0685,3.219,3.0155,8630.0,4.86
81,2018-04-23,3.589,3.2175,3.66,3.1076,10190.0,11.55
82,2018-04-24,4.19,3.589,4.19,3.4,15920.0,16.75
83,2018-04-25,3.8,4.19,4.19,3.2366,13140.0,-9.31
84,2018-04-26,3.6,3.8,3.8,3.2711,1560.0,-5.26
85,2018-04-27,3.5645,3.6,3.832,3.5645,4200.0,-0.99
86,2018-04-28,3.6,3.5645,3.79,3.3566,5500.0,1.00
87,2018-04-29,3.94,3.6,4.199,3.6,16400.0,9.44
88,2018-04-30,3.6166,3.94,4.334,3.56,11260.0,-8.21
89,2018-05-01,3.5762,3.6166,3.9086,3.519,3120.0,-1.12
90,2018-05-02,3.845,3.5762,3.845,3.54,4890.0,7.52
