SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-11-06,2.569,2.1881,2.569,2.1881,29790000.0,17.23
2,2020-11-07,2.475,2.5742,2.9334,2.475,38130000.0,-3.66
3,2020-11-08,2.8724,2.4725,2.8724,2.4725,13010000.0,16.06
4,2020-11-09,2.68,2.8603,2.8603,2.6235,11030000.0,-6.70
5,2020-11-10,3.0751,2.6779,3.0751,2.6401,16790000.0,14.74
6,2020-11-11,2.9341,3.0851,3.1348,2.9341,12860000.0,-4.59
7,2020-11-12,2.9598,2.9332,3.078,2.8921,9930000.0,0.88
8,2020-11-13,3.8543,2.9598,3.8543,2.954,24140000.0,30.22
9,2020-11-14,3.8104,3.8461,3.8572,3.6101,22330000.0,-1.14
10,2020-11-15,3.8431,3.8127,4.1955,3.65,23580000.0,0.86
11,2020-11-16,3.565,3.8254,3.8533,3.5061,24090000.0,-7.24
12,2020-11-17,3.8082,3.5659,3.8082,3.5659,18160000.0,6.82
13,2020-11-18,3.4599,3.8149,3.8149,3.3328,15440000.0,-9.15
14,2020-11-19,3.7255,3.4625,3.825,3.2791,18700000.0,7.68
15,2020-11-20,3.8603,3.7417,3.998,3.7125,17020000.0,3.62
16,2020-11-21,3.8382,3.857,3.9228,3.6573,15600000.0,-0.57
17,2020-11-22,3.683,3.8524,3.8524,3.6198,11200000.0,-4.04
18,2020-11-23,4.1816,3.7036,4.2177,3.6382,15960000.0,13.54
19,2020-11-24,4.0693,4.1946,4.3533,4.0029,18390000.0,-2.69
20,2020-11-25,3.6716,4.063,4.063,3.6716,11370000.0,-9.77
21,2020-11-26,3.4284,3.6639,3.703,3.2067,17180000.0,-6.62
22,2020-11-27,3.3108,3.444,3.477,3.2537,8369999.999999999,-3.43
23,2020-11-28,3.4616,3.3101,3.4913,3.2922,5740000.0,4.55
24,2020-11-29,3.5508,3.461,3.5508,3.3952,4760000.0,2.58
25,2020-11-30,3.7794,3.5635,3.7794,3.5589,8220000.000000001,6.44
26,2020-12-01,3.5491,3.7765,3.925,3.5491,9910000.0,-6.09
27,2020-12-02,3.9435,3.5455,4.0561,3.5455,12010000.0,11.11
28,2020-12-03,3.8829,3.9426,3.9848,3.8388,6930000.0,-1.54
29,2020-12-04,3.517,3.8756,3.8756,3.517,4750000.0,-9.42
30,2020-12-05,3.6861,3.5169,3.6861,3.4967,3900000.0,4.81
31,2020-12-06,3.648,3.6829,3.7189,3.5294,3550000.0,-1.03
32,2020-12-07,3.7576,3.6542,3.8043,3.5799,5870000.0,3.00
33,2020-12-08,3.2979,3.761,3.761,3.2979,7190000.0,-12.23
