SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-10-12,0.259,0.284,0.284,0.201,6170.0,-8.80
2,2017-10-13,0.198,0.259,0.5,0.154,35900.0,-23.55
3,2017-10-14,0.244,0.198,0.403,0.193,155680.0,23.23
4,2017-10-15,0.207,0.244,0.244,0.207,660.0,-15.16
5,2017-10-16,0.211,0.207,0.277,0.207,3610.0,1.93
6,2017-10-17,0.224,0.211,0.25,0.209,104250.0,6.16
7,2017-10-18,0.278,0.224,0.436,0.176,139210.0,24.11
8,2017-10-19,0.251,0.278,0.365,0.234,82330.0,-9.71
9,2017-10-20,0.226,0.251,0.388,0.211,28430.0,-9.96
10,2017-10-21,0.229,0.226,0.24,0.213,42740.0,1.33
11,2017-10-22,0.214,0.229,0.229,0.211,16280.000000000002,-6.55
12,2017-10-23,0.237,0.214,0.342,0.152,3120000.0,10.75
13,2017-10-24,0.244,0.237,0.299,0.231,3350000.0,2.95
14,2017-10-25,0.226,0.244,0.269,0.209,2540000.0,-7.38
15,2017-10-26,0.217,0.226,0.255,0.209,1970000.0,-3.98
16,2017-10-27,0.204,0.217,0.237,0.195,1580000.0,-5.99
17,2017-10-28,0.193,0.204,0.23,0.193,398670.0,-5.39
18,2017-10-29,0.195,0.193,0.223,0.19,141700.0,1.04
19,2017-10-30,0.217,0.195,0.248,0.195,1190000.0,11.28
20,2017-10-31,0.212,0.217,0.236,0.207,1350000.0,-2.30
21,2017-11-01,0.184,0.212,0.227,0.17,1760000.0,-13.21
22,2017-11-02,0.178,0.184,0.224,0.16,5100000.0,-3.26
23,2017-11-03,0.152,0.178,0.2,0.13,2520000.0,-14.61
24,2017-11-04,0.205,0.152,0.23,0.14,1610000.0,34.87
25,2017-11-05,0.212,0.205,0.219,0.153,333950.0,3.41
26,2017-11-06,0.239,0.212,0.265,0.156,2340000.0,12.74
27,2017-11-07,0.247,0.239,0.253,0.2,1370000.0,3.35
28,2017-11-08,0.277,0.247,0.286,0.212,3000000.0,12.15
29,2017-11-09,0.266,0.277,0.287,0.236,1380000.0,-3.97
30,2017-11-10,0.237,0.266,0.288,0.216,1270000.0,-10.90
31,2017-11-11,0.227,0.237,0.288,0.216,1620000.0,-4.22
32,2017-11-12,0.206,0.227,0.284,0.198,5150000.0,-9.25
33,2017-11-13,0.218,0.206,0.24,0.169,1620000.0,5.83
34,2017-11-14,0.234,0.218,0.243,0.18,1540000.0,7.34
35,2017-11-15,0.261,0.234,0.264,0.206,1780000.0,11.54
36,2017-11-16,0.281,0.261,0.347,0.246,3590000.0,7.66
37,2017-11-17,0.255,0.281,0.317,0.238,2130000.0,-9.25
38,2017-11-18,0.264,0.255,0.301,0.244,980440.0,3.53
39,2017-11-19,0.246,0.264,0.299,0.239,964940.0,-6.82
40,2017-11-20,0.266,0.246,0.3,0.239,1030000.0,8.13
41,2017-11-21,0.266,0.266,0.294,0.24,1040000.0,0.00
42,2017-11-22,0.263,0.266,0.279,0.248,919140.0,-1.13
43,2017-11-23,0.246,0.263,0.288,0.242,2800000.0,-6.46
44,2017-11-24,0.258,0.246,0.28,0.223,1970000.0,4.88
45,2017-11-25,0.255,0.258,0.299,0.241,817760.0,-1.16
46,2017-11-26,0.244,0.255,0.292,0.24,377200.0,-4.31
47,2017-11-27,0.232,0.244,0.269,0.23,178800.0,-4.92
48,2017-11-28,0.271,0.232,0.294,0.232,428670.0,16.81
49,2017-11-29,0.231,0.271,0.297,0.215,398620.0,-14.76
50,2017-11-30,0.25,0.231,0.26,0.215,388100.0,8.23
51,2017-12-01,0.325,0.25,0.4,0.22,343830.0,30.00
52,2017-12-02,0.312,0.325,0.333,0.301,173240.0,-4.00
53,2017-12-03,0.445,0.312,0.487,0.312,541550.0,42.63
54,2017-12-04,0.517,0.445,0.63,0.372,609140.0,16.18
55,2017-12-05,0.795,0.517,0.839,0.425,930690.0,53.77
56,2017-12-06,0.567,0.795,0.88,0.529,436230.0,-28.68
57,2017-12-07,0.57,0.567,0.629,0.405,300750.0,0.53
58,2017-12-08,0.548,0.57,0.88,0.421,628460.0,-3.86
59,2017-12-09,0.546,0.548,0.699,0.485,332020.0,-0.36
60,2017-12-10,0.461,0.546,0.55,0.423,1170000.0,-15.57
61,2017-12-11,0.566,0.461,0.57,0.444,1090000.0,22.78
62,2017-12-12,0.572,0.566,0.593,0.527,788160.0,1.06
63,2017-12-13,0.536,0.572,0.572,0.485,1040000.0,-6.29
64,2017-12-14,0.66,0.536,0.75,0.492,1490000.0,23.13
65,2017-12-15,0.844,0.66,0.973,0.55,1660000.0,27.88
66,2017-12-16,0.903,0.844,0.944,0.741,503330.0,6.99
67,2017-12-17,1.28,0.903,1.3,0.836,741180.0,41.75
68,2017-12-18,1.7,1.28,5.0,1.13,2150000.0,32.81
69,2017-12-19,1.34,1.7,2.1,1.32,1830000.0,-21.18
70,2017-12-20,1.4,1.34,1.58,1.0,1340000.0,4.48
71,2017-12-21,1.52,1.4,1.59,1.33,473380.0,8.57
72,2017-12-22,1.29,1.52,1.57,0.93,483590.0,-15.13
73,2017-12-23,1.4,1.29,1.58,1.2,177580.0,8.53
74,2017-12-24,1.28,1.4,1.4,1.07,70860.0,-8.57
75,2017-12-25,1.35,1.28,1.38,1.07,249060.0,5.47
76,2017-12-26,1.41,1.35,1.49,1.2,477500.0,4.44
77,2017-12-27,1.99,1.41,2.99,1.4,1690000.0,41.13
78,2017-12-28,1.94,1.99,2.17,1.6,956080.0,-2.51
79,2017-12-29,2.31,1.94,2.89,1.81,1170000.0,19.07
80,2017-12-30,2.06,2.31,2.54,1.9,900670.0,-10.82
81,2017-12-31,2.29,2.06,2.55,1.92,568200.0,11.17
82,2018-01-01,2.44,2.29,2.48,2.16,326560.0,6.55
83,2018-01-02,2.63,2.44,2.7,2.27,698530.0,7.79
84,2018-01-03,3.72,2.63,4.0,2.57,879550.0,41.44
85,2018-01-04,3.91,3.72,4.23,3.0,791940.0,5.11
86,2018-01-05,3.67,3.91,4.85,3.09,829080.0,-6.14
87,2018-01-06,5.08,3.67,5.9,3.37,886060.0,38.42
88,2018-01-07,4.54,5.08,6.1,4.11,1500000.0,-10.63
89,2018-01-08,4.26,4.54,4.95,3.51,563660.0,-6.17
90,2018-01-09,4.8,4.26,5.0,4.1,189900.0,12.68
91,2018-01-10,6.6,4.8,7.3,4.0,924910.0,37.50
92,2018-01-11,6.47,6.6,7.9,4.8,1180000.0,-1.97
