SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2020-11-18,17775.51,17665.61,18432.26,17276.34,0.0,0.60
2,2020-11-19,17821.75,17797.65,18158.95,17371.03,0.0,0.26
3,2020-11-20,18666.23,17805.88,18786.88,17770.17,0.0,4.74
4,2020-11-21,18667.47,18662.75,18950.56,18388.46,0.0,0.01
5,2020-11-22,18388.82,18677.93,18740.87,17655.89,0.0,-1.49
6,2020-11-23,18384.79,18375.3,18728.7,18001.44,0.0,-0.02
7,2020-11-24,19141.63,18364.24,19409.54,18169.51,0.0,4.12
8,2020-11-25,18720.25,19131.6,19494.05,18506.3,0.0,-2.20
9,2020-11-26,17222.99,18688.74,18886.05,16403.05,0.0,-8.00
10,2020-11-27,17136.86,17240.79,17508.75,16510.24,0.0,-0.50
11,2020-11-28,17743.88,17157.45,17888.19,16917.22,0.0,3.54
12,2020-11-29,18206.88,17753.33,18343.73,17569.4,0.0,2.61
13,2020-11-30,19686.88,18223.46,19825.4,18223.46,0.0,8.13
14,2020-12-01,18831.17,19694.64,19973.06,18301.63,0.0,-4.35
15,2020-12-02,19228.4,18827.63,19336.56,18386.62,0.0,2.11
16,2020-12-03,19454.49,19221.0,19641.81,18923.37,0.0,1.18
17,2020-12-04,18661.31,19462.06,19540.93,18614.94,0.0,-4.08
18,2020-12-05,19159.0,18647.39,19178.17,18488.72,0.0,2.67
19,2020-12-06,19396.7,19159.0,19456.23,18896.77,0.0,1.24
20,2020-12-07,19198.5,19411.77,19452.33,18919.38,0.0,-1.02
21,2020-12-08,18339.44,19209.57,19321.87,18302.54,0.0,-4.47
22,2020-12-09,18570.9,18302.23,18640.09,17734.21,0.0,1.26
23,2020-12-10,18253.01,18570.9,18570.9,17928.78,0.0,-1.71
24,2020-12-11,18073.79,18263.01,18293.08,17626.94,0.0,-0.98
25,2020-12-12,18811.09,18037.0,18937.36,18037.0,0.0,4.08
26,2020-12-13,19198.31,18832.33,19421.58,18748.6,0.0,2.06
27,2020-12-14,19291.36,19189.03,19361.46,19038.43,0.0,0.48
28,2020-12-15,19472.56,19291.22,19605.06,19090.21,0.0,0.94
29,2020-12-16,21315.56,19468.77,21441.13,19338.88,0.0,9.46
30,2020-12-17,22805.66,21338.31,23614.46,21226.13,0.0,6.99
31,2020-12-18,23165.51,22784.87,23278.63,22400.36,0.0,1.58
32,2020-12-19,23846.25,23144.08,24119.63,22788.15,0.0,2.94
33,2020-12-20,23466.23,23813.38,24220.34,23104.64,0.0,-1.59
34,2020-12-21,22742.78,23438.74,24101.85,22054.67,0.0,-3.08
35,2020-12-22,23792.2,22716.95,23803.52,22349.72,0.0,4.61
36,2020-12-23,23216.78,23813.66,24076.04,22718.28,0.0,-2.42
37,2020-12-24,23769.89,23215.61,23804.99,22682.26,0.0,2.38
38,2020-12-25,24678.02,23786.83,24801.59,23457.21,0.0,3.82
39,2020-12-26,26387.28,24720.71,26684.01,24496.69,0.0,6.93
40,2020-12-27,26224.12,26394.24,28242.02,25829.46,0.0,-0.62
41,2020-12-28,27024.07,26316.76,27357.61,26137.67,0.0,3.05
42,2020-12-29,27310.11,27041.4,27311.47,25921.7,0.0,1.06
43,2020-12-30,28885.04,27316.21,28959.72,27316.21,0.0,5.77
44,2020-12-31,28918.45,28901.73,29276.72,27917.37,0.0,0.12
45,2021-01-01,29332.45,28951.94,29588.39,28721.63,0.0,1.43
46,2021-01-02,32117.8,29332.45,33177.29,29024.39,0.0,9.50
47,2021-01-03,32771.95,32117.8,34728.79,31983.97,0.0,2.04
48,2021-01-04,31974.44,32903.91,33552.5,28579.38,0.0,-2.43
49,2021-01-05,33946.39,32028.8,34484.48,29965.53,0.0,6.17
50,2021-01-06,36742.09,33980.98,36888.85,33446.49,0.0,8.24
51,2021-01-07,39266.61,36815.33,40255.84,34697.32,0.0,6.87
52,2021-01-08,40570.21,39343.97,41957.62,36544.79,0.0,3.32
53,2021-01-09,40150.6,40502.43,41346.71,38695.32,0.0,-1.03
54,2021-01-10,38277.84,40166.73,41405.21,35587.19,0.0,-4.66
55,2021-01-11,35512.09,38263.2,38263.2,30642.24,0.0,-7.23
56,2021-01-12,34065.16,35320.02,36630.04,32605.22,0.0,-4.07
57,2021-01-13,37199.25,33957.13,37615.91,32491.06,0.0,9.20
58,2021-01-14,39200.31,37324.36,40038.0,36738.41,0.0,5.38
59,2021-01-15,36818.85,39179.4,39726.19,34593.57,0.0,-6.08
60,2021-01-16,36120.94,36800.96,37985.95,35522.2,0.0,-1.90
61,2021-01-17,35860.52,36101.7,36858.41,33996.61,0.0,-0.72
62,2021-01-18,36664.22,35886.26,37524.4,34846.69,0.0,2.24
63,2021-01-19,36015.12,36772.06,37928.36,36015.12,0.0,-1.77
64,2021-01-20,35526.97,35834.53,36430.65,33424.66,0.0,-1.36
65,2021-01-21,30828.45,35577.47,35639.02,30235.79,0.0,-13.23
66,2021-01-22,33102.02,30837.96,33832.49,28997.97,0.0,7.37
67,2021-01-23,32103.4,33036.36,33517.59,31504.09,0.0,-3.02
68,2021-01-24,32338.5,32089.89,33101.22,31068.55,0.0,0.73
69,2021-01-25,32276.4,32344.1,34830.83,31966.4,0.0,-0.19
70,2021-01-26,32521.96,32115.32,32855.97,30903.46,0.0,0.76
71,2021-01-27,30432.27,32541.52,32541.52,29314.19,0.0,-6.43
72,2021-01-28,33303.87,30478.66,33739.03,29922.16,0.0,9.44
73,2021-01-29,34339.17,33321.09,38589.94,32012.8,0.0,3.11
74,2021-01-30,34351.18,34280.33,34919.69,32954.25,0.0,0.03
75,2021-01-31,33131.83,34358.05,34413.69,32280.64,0.0,-3.55
76,2021-02-01,33634.53,33111.55,34717.21,32367.31,0.0,1.52
77,2021-02-02,35601.21,33539.36,36059.84,33539.36,0.0,5.85
78,2021-02-03,37608.94,35621.0,37638.21,35534.26,0.0,5.64
79,2021-02-04,36956.76,37708.1,38720.48,36366.28,0.0,-1.73
80,2021-02-05,38261.29,36970.43,38354.43,36645.29,0.0,3.53
81,2021-02-06,39331.76,38259.37,40983.2,38217.43,0.0,2.80
82,2021-02-07,38916.34,39275.62,39704.13,37370.98,0.0,-1.06
83,2021-02-08,46668.22,38825.7,46668.22,38024.71,0.0,19.92
84,2021-02-09,46571.23,46519.02,48232.88,45128.67,0.0,-0.21
85,2021-02-10,44883.3,46592.92,47274.02,43782.84,0.0,-3.62
86,2021-02-11,47982.25,44869.9,48516.99,44066.49,0.0,6.90
87,2021-02-12,47448.98,48086.54,48858.75,45980.21,0.0,-1.11
88,2021-02-13,47127.71,47381.52,48135.84,46277.19,0.0,-0.68
89,2021-02-14,48655.16,47172.17,49674.78,47061.18,0.0,3.24
90,2021-02-15,47890.7,48645.43,48885.09,45718.86,0.0,-1.57
91,2021-02-16,49164.21,47799.04,50438.51,47090.01,0.0,2.66
92,2021-02-17,52144.35,49246.68,52543.35,49046.57,0.0,6.06
93,2021-02-18,51675.27,52149.56,52549.89,51022.44,0.0,-0.90
94,2021-02-19,55857.06,51627.97,56067.41,50815.13,0.0,8.09
95,2021-02-20,55883.67,55857.06,57436.78,54012.45,0.0,0.05
96,2021-02-21,57337.92,55790.06,58297.38,55393.57,0.0,2.60
97,2021-02-22,53992.44,57406.66,57406.66,48369.57,0.0,-5.83
98,2021-02-23,48802.54,53992.44,53992.44,45020.26,0.0,-9.61
99,2021-02-24,49644.81,48800.1,51339.15,46955.8,0.0,1.73
100,2021-02-25,46851.24,49639.84,51982.31,46785.38,0.0,-5.63
101,2021-02-26,46245.95,47067.83,48372.04,44104.15,0.0,-1.29
102,2021-02-27,46147.8,46248.26,48359.11,45076.68,0.0,-0.21
103,2021-02-28,45319.15,46159.89,46605.98,43257.02,0.0,-1.80
104,2021-03-01,49595.93,45371.71,49768.66,45171.48,0.0,9.44
105,2021-03-02,48374.46,49571.36,50170.43,47137.8,0.0,-2.46
106,2021-03-03,50555.84,48444.77,52565.65,48213.6,0.0,4.51
107,2021-03-04,48420.54,50453.86,51794.41,47582.11,0.0,-4.22
108,2021-03-05,49006.36,48303.53,49482.93,46428.9,0.0,1.21
109,2021-03-06,48939.91,48876.95,49251.97,47220.39,0.0,-0.14
110,2021-03-07,51203.99,48951.61,51520.06,48951.61,0.0,4.63
111,2021-03-08,52369.25,51075.98,52451.55,49420.04,0.0,2.28
112,2021-03-09,54950.55,52396.65,54950.55,52099.38,0.0,4.93
113,2021-03-10,56045.4,55011.0,57390.93,53211.82,0.0,1.99
114,2021-03-11,57839.79,56111.11,58277.97,54409.68,0.0,3.20
115,2021-03-12,57293.81,57973.91,58142.44,55273.48,0.0,-0.94
116,2021-03-13,61268.38,57326.65,61687.23,56225.41,0.0,6.94
117,2021-03-14,59014.17,61202.57,61684.14,59014.17,0.0,-3.68
118,2021-03-15,55789.62,59118.86,60523.61,55168.32,0.0,-5.46
119,2021-03-16,56771.72,55727.43,56771.72,53405.45,0.0,1.76
120,2021-03-17,58808.82,56868.6,58912.79,54109.85,0.0,3.59
121,2021-03-18,57648.41,58846.38,60120.27,57070.73,0.0,-1.97
122,2021-03-19,58165.7,57548.91,59521.12,56331.64,0.0,0.90
123,2021-03-20,58058.62,58140.62,60012.0,57854.25,0.0,-0.18
124,2021-03-21,57356.65,58123.18,58562.64,55597.55,0.0,-1.21
125,2021-03-22,54141.85,57422.5,58434.58,53840.15,0.0,-5.60
126,2021-03-23,54436.58,54171.18,55806.36,53156.21,0.0,0.54
127,2021-03-24,52485.56,54466.23,57131.43,51800.52,0.0,-3.58
128,2021-03-25,51416.45,52403.04,53075.9,50471.98,0.0,-2.04
129,2021-03-26,55008.25,51337.27,55008.25,51337.27,0.0,6.99
