SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2021-08-24,25.2903,25.9995,26.004,25.1883,1090000.0,-2.72
2,2021-08-23,25.997,26.0035,26.2687,25.5158,1330000.0,-0.04
3,2021-08-22,26.0085,24.9372,27.1006,24.8866,2870000.0,4.33
4,2021-08-21,24.93,24.4829,26.6754,24.0236,1880000.0,1.83
5,2021-08-20,24.4829,23.856,24.9573,23.5134,1430000.0,2.63
6,2021-08-19,23.856,23.412,23.9079,22.4664,1170000.0,1.90
7,2021-08-18,23.412,22.2009,24.608,21.401,2780000.0,5.46
8,2021-08-17,22.2009,23.4347,24.98,22.1549,2710000.0,-5.27
9,2021-08-16,23.4358,24.9311,24.978,23.2125,1530000.0,-6.00
10,2021-08-15,24.9311,26.0869,26.6026,24.1647,2690000.0,-4.43
11,2021-08-14,26.0869,20.7011,27.3088,20.3812,12590000.0,26.02
12,2021-08-13,20.7007,19.7925,24.8366,19.4501,3760000.0,4.59
13,2021-08-12,19.7925,18.6528,19.8194,17.7802,3950000.0,6.05
14,2021-08-11,18.6632,17.5872,19.5611,17.446,3220000.0,6.12
15,2021-08-10,17.5872,17.289,17.8182,16.9771,1540000.0,1.73
16,2021-08-09,17.289,16.2635,17.8568,15.909,1520000.0,6.31
17,2021-08-08,16.2635,17.3649,17.5267,16.1326,960870.0,-6.35
18,2021-08-07,17.3654,16.6513,17.3938,16.4484,1320000.0,4.29
19,2021-08-06,16.6513,16.389,16.7923,16.0158,1180000.0,1.63
20,2021-08-05,16.3836,16.2834,16.5572,15.6609,1110000.0,0.62
21,2021-08-04,16.2834,16.0567,16.3224,15.55,658270.0,1.41
22,2021-08-03,16.0563,16.0665,16.236,15.5135,1170000.0,-0.06
23,2021-08-02,16.0665,15.8316,16.1659,15.569,806280.0,1.48
24,2021-08-01,15.8328,16.5528,16.9297,15.6986,1180000.0,-4.35
25,2021-07-31,16.5528,16.2651,16.6845,15.9809,958990.0,1.77
26,2021-07-30,16.2651,15.7305,16.9349,15.556,2670000.0,3.40
27,2021-07-29,15.7305,15.6103,15.9394,15.2531,980260.0,0.77
28,2021-07-28,15.6103,15.0499,16.9568,14.7284,4030000.0000000005,3.56
29,2021-07-27,15.0743,15.0004,15.1272,14.3751,1250000.0,0.49
30,2021-07-26,15.0004,15.3986,16.329,14.8972,2410000.0,-2.46
31,2021-07-25,15.3793,15.2954,15.8171,15.2131,2120000.0,1.72
32,2021-07-24,15.1191,14.3383,16.0426,14.2291,2750000.0,5.45
33,2021-07-23,14.3383,14.1167,14.5683,13.8008,1180000.0,1.57
34,2021-07-22,14.1165,12.7229,14.7589,12.6508,4380000.0,10.96
35,2021-07-21,12.7219,11.8717,12.9139,11.7074,1060000.0,7.16
36,2021-07-20,11.8717,12.7989,12.9742,11.7111,1570000.0,-7.24
37,2021-07-19,12.7989,13.1716,13.6232,12.7931,1610000.0,-2.83
38,2021-07-18,13.1716,13.154,13.6652,12.8698,786130.0,0.13
39,2021-07-17,13.154,13.4689,13.4689,12.6884,978220.0,-2.34
40,2021-07-16,13.4689,13.0392,14.0697,12.7513,3070000.0,3.29
41,2021-07-15,13.0392,13.5796,14.2598,12.8157,1560000.0,-3.99
42,2021-07-14,13.5804,13.5232,13.9303,12.8908,1020000.0,0.42
43,2021-07-13,13.5232,13.954,14.0129,13.3815,574790.0,-3.09
44,2021-07-12,13.954,14.302,14.4494,13.6839,901440.0,-2.43
45,2021-07-11,14.3019,14.1752,14.4579,13.8722,1950000.0,0.89
46,2021-07-10,14.1752,15.0192,15.237,14.0101,2320000.0,-5.62
47,2021-07-09,15.0191,14.9283,15.1333,14.3367,1110000.0,0.61
48,2021-07-08,14.9283,16.525,16.5601,14.9016,1270000.0,-9.66
49,2021-07-07,16.525,16.194,17.3939,16.1252,1650000.0,2.05
50,2021-07-06,16.1923,15.9893,16.7687,15.9632,1140000.0,1.27
51,2021-07-05,15.9899,16.9146,17.1887,15.7557,1740000.0,-5.47
52,2021-07-04,16.9146,16.2978,17.857,16.2978,2540000.0,3.78
53,2021-07-03,16.2978,16.0781,16.4748,15.8105,667960.0,1.37
54,2021-07-02,16.0781,15.8436,16.2286,15.211,1420000.0,1.13
55,2021-07-01,15.8981,16.3257,16.3257,14.9863,2790000.0,-2.63
56,2021-06-30,16.3277,15.3515,17.6427,15.0591,6410000.0,6.36
57,2021-06-29,15.3515,14.1141,15.8542,14.0793,1860000.0,8.78
58,2021-06-28,14.1131,13.8707,14.2869,13.5549,1680000.0,1.75
59,2021-06-27,13.8707,13.5418,13.8707,13.1699,1320000.0,2.47
60,2021-06-26,13.5361,13.0116,13.8693,12.8546,3210000.0,4.03
61,2021-06-25,13.0116,13.5292,14.3292,12.549,6650000.0,-3.83
62,2021-06-24,13.5292,13.091,13.5368,12.5199,3340000.0,3.34
63,2021-06-23,13.0917,12.4698,13.689,11.9808,4280000.0,4.99
64,2021-06-22,12.4698,13.9959,14.5758,11.5074,5780000.0,-10.90
65,2021-06-21,13.9959,17.7039,17.799,13.8305,3870000.0,-20.94
66,2021-06-20,17.7036,15.8708,18.3106,15.6711,5560000.0,11.55
67,2021-06-19,15.8708,16.3738,16.6338,15.5166,1610000.0,-3.07
68,2021-06-18,16.3738,18.3456,18.3501,15.7574,3310000.0,-10.75
69,2021-06-17,18.3456,16.9159,18.8915,16.8287,4510000.0,8.45
70,2021-06-16,16.9159,16.5888,17.445,16.1397,4230000.0,1.97
71,2021-06-15,16.5888,15.6766,16.8323,15.426,2690000.0,5.82
72,2021-06-14,15.6766,15.1785,16.1505,14.8669,3260000.0,3.28
73,2021-06-13,15.1785,14.6225,15.34,14.1242,2170000.0,3.94
74,2021-06-12,14.6026,14.0168,15.4541,13.2988,5030000.0,4.18
75,2021-06-11,14.0168,14.0167,15.225,13.675,3350000.0,0.13
76,2021-06-10,13.9981,14.5684,14.6071,13.7777,1760000.0,-3.91
77,2021-06-09,14.5678,14.4501,14.5864,13.4755,2820000.0,0.81
78,2021-06-08,14.4501,14.1915,14.5358,12.8763,4800000.0,1.82
79,2021-06-07,14.1915,16.3662,16.5608,14.0463,4210000.0,-13.29
80,2021-06-06,16.3667,14.1173,16.5181,13.9576,9320000.0,15.93
81,2021-06-05,14.1173,13.8745,15.4496,13.6796,4450000.0,1.75
82,2021-06-04,13.8745,15.3173,15.3174,13.1656,3120000.0,-9.42
83,2021-06-03,15.3173,14.7334,15.6512,14.2553,3940000.0,3.96
84,2021-06-02,14.7338,13.2121,15.4459,12.8461,5990000.0,11.52
85,2021-06-01,13.2121,13.9081,13.9081,12.7573,2620000.0,-5.00
86,2021-05-31,13.908,13.1554,13.908,12.1808,3330000.0,5.74
87,2021-05-30,13.1536,13.1132,13.4225,12.0776,3170000.0,0.31
88,2021-05-29,13.1132,14.0307,14.3305,12.3905,2700000.0,-6.56
89,2021-05-28,14.0332,16.4412,16.4594,13.4833,3810000.0,-14.65
90,2021-05-27,16.4411,17.3162,17.3974,15.5396,2940000.0,-5.06
91,2021-05-26,17.3168,16.152,17.3168,15.2323,7680000.0,8.08
92,2021-05-25,16.022,17.411,17.8379,13.8987,13120000.0,-7.98
93,2021-05-24,17.411,14.8335,17.4632,14.1682,7130000.0,17.29
94,2021-05-23,14.8447,17.9824,18.5283,12.0612,5520000.0,-17.45
95,2021-05-22,17.9825,20.4768,20.4821,17.4978,3740000.0,-12.18
96,2021-05-21,20.4768,24.1717,25.6035,17.9543,5240000.0,-15.29
97,2021-05-20,24.1717,18.4154,27.957,18.4154,10630000.0,31.26
98,2021-05-19,18.4154,27.6763,27.9704,15.1656,4220000.0,-33.46
99,2021-05-18,27.6763,27.0072,28.9652,26.8427,1130000.0,2.48
100,2021-05-17,27.0072,30.3862,30.4025,26.3492,1790000.0,-11.12
101,2021-05-16,30.3862,31.1699,33.272,28.7246,1520000.0,-2.51
102,2021-05-15,31.1699,33.2999,34.7435,30.9687,2670000.0,-6.40
103,2021-05-14,33.2996,31.826,33.8762,30.7194,1840000.0,4.63
104,2021-05-13,31.8259,31.1227,33.9931,29.4471,2690000.0,2.27
105,2021-05-12,31.1188,33.2406,38.4572,31.1184,7340000.0,-6.38
106,2021-05-11,33.2406,30.893,35.7009,29.4606,5480000.0,7.60
107,2021-05-10,30.893,31.6443,37.3987,30.4544,6930000.0,-2.37
