"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 30, 2018","0.15","0.17","0.17","0.14","530.47K","-7.95%"
"Jan 31, 2018","0.14","0.15","0.15","0.13","396.05K","-11.10%"
"Feb 01, 2018","0.11","0.14","0.14","0.11","987.26K","-17.46%"
"Feb 02, 2018","0.10","0.11","0.11","0.08","1.81M","-8.32%"
"Feb 03, 2018","0.11","0.10","0.12","0.09","1.20M","6.85%"
"Feb 04, 2018","0.09","0.11","0.12","0.09","1.04M","-18.16%"
"Feb 05, 2018","0.07","0.09","0.09","0.06","756.00K","-24.39%"
"Feb 06, 2018","0.09","0.07","0.09","0.05","819.46K","26.28%"
"Feb 07, 2018","0.08","0.09","0.09","0.07","890.85K","-10.06%"
"Feb 08, 2018","0.09","0.08","0.09","0.08","211.47K","15.81%"
"Feb 09, 2018","0.10","0.09","0.10","0.09","746.80K","5.99%"
"Feb 10, 2018","0.08","0.10","0.10","0.08","684.67K","-13.93%"
"Feb 11, 2018","0.08","0.08","0.08","0.08","292.77K","0.00%"
"Feb 12, 2018","0.09","0.08","0.09","0.08","225.65K","0.00%"
"Feb 13, 2018","0.08","0.09","0.09","0.08","589.31K","-7.40%"
"Feb 14, 2018","0.10","0.08","0.11","0.08","1.37M","26.47%"
"Feb 15, 2018","0.10","0.10","0.10","0.09","784.38K","0.00%"
"Feb 16, 2018","0.12","0.10","0.12","0.09","625.95K","16.37%"
"Feb 17, 2018","0.14","0.12","0.14","0.12","1.07M","15.17%"
"Feb 18, 2018","0.12","0.14","0.14","0.11","888.98K","-14.57%"
"Feb 19, 2018","0.13","0.12","0.13","0.12","695.27K","10.59%"
"Feb 20, 2018","0.11","0.13","0.13","0.11","529.89K","-12.54%"
"Feb 21, 2018","0.11","0.11","0.12","0.10","478.58K","0.00%"
"Feb 22, 2018","0.10","0.11","0.11","0.09","279.45K","-10.21%"
"Feb 23, 2018","0.11","0.10","0.12","0.09","465.84K","13.75%"
"Feb 24, 2018","0.10","0.11","0.12","0.10","436.38K","-8.09%"
"Feb 25, 2018","0.10","0.10","0.10","0.09","280.87K","0.00%"
"Feb 26, 2018","0.10","0.10","0.10","0.09","293.14K","0.00%"
"Feb 27, 2018","0.11","0.10","0.11","0.10","599.12K","7.29%"
"Feb 28, 2018","0.10","0.11","0.11","0.10","210.82K","-8.29%"
"Mar 01, 2018","0.10","0.10","0.11","0.09","255.02K","0.00%"
"Mar 02, 2018","0.09","0.10","0.10","0.09","331.74K","-5.97%"
"Mar 03, 2018","0.09","0.09","0.09","0.09","347.11K","0.00%"
"Mar 04, 2018","0.09","0.09","0.09","0.09","566.72K","0.00%"
"Mar 05, 2018","0.09","0.09","0.09","0.09","446.45K","0.00%"
"Mar 06, 2018","0.07","0.09","0.09","0.07","589.84K","-13.95%"
"Mar 07, 2018","0.07","0.07","0.08","0.06","868.03K","-10.00%"
"Mar 08, 2018","0.06","0.07","0.07","0.06","638.68K","-10.21%"
"Mar 09, 2018","0.06","0.06","0.06","0.05","367.04K","0.00%"
"Mar 10, 2018","0.06","0.06","0.07","0.05","316.36K","0.00%"
"Mar 11, 2018","0.06","0.06","0.06","0.05","144.08K","0.00%"
"Mar 12, 2018","0.06","0.06","0.07","0.06","185.57K","0.00%"
"Mar 13, 2018","0.06","0.06","0.06","0.06","161.22K","0.00%"
"Mar 14, 2018","0.05","0.06","0.06","0.05","564.04K","-10.78%"
"Mar 15, 2018","0.05","0.05","0.05","0.05","366.09K","0.00%"
"Mar 16, 2018","0.05","0.05","0.06","0.05","388.43K","0.00%"
"Mar 17, 2018","0.05","0.05","0.06","0.05","293.97K","-14.71%"
"Mar 18, 2018","0.04","0.05","0.05","0.03","688.59K","0.00%"
"Mar 19, 2018","0.05","0.04","0.05","0.04","554.03K","0.00%"
"Mar 20, 2018","0.05","0.05","0.05","0.04","827.13K","0.00%"
"Mar 21, 2018","0.05","0.05","0.06","0.05","586.57K","0.00%"
"Mar 22, 2018","0.05","0.05","0.06","0.05","385.11K","0.00%"
"Mar 23, 2018","0.05","0.05","0.05","0.05","216.15K","0.00%"
"Mar 24, 2018","0.05","0.05","0.06","0.05","648.72K","0.00%"
"Mar 25, 2018","0.06","0.05","0.06","0.05","455.74K","0.00%"
"Mar 26, 2018","0.05","0.06","0.06","0.05","419.71K","-9.25%"
"Mar 27, 2018","0.05","0.05","0.06","0.05","541.26K","0.00%"
"Mar 28, 2018","0.05","0.05","0.06","0.05","286.41K","0.00%"
"Mar 29, 2018","0.05","0.05","0.06","0.05","580.21K","-15.58%"
"Mar 30, 2018","0.05","0.05","0.05","0.04","1.02M","0.00%"
"Mar 31, 2018","0.04","0.05","0.05","0.04","273.36K","0.00%"
"Apr 01, 2018","0.04","0.04","0.05","0.04","468.80K","0.00%"
"Apr 02, 2018","0.04","0.04","0.04","0.04","235.91K","0.00%"
"Apr 03, 2018","0.04","0.04","0.05","0.04","530.28K","0.00%"
"Apr 04, 2018","0.04","0.04","0.05","0.04","326.54K","0.00%"
"Apr 05, 2018","0.04","0.04","0.04","0.04","352.09K","0.00%"
"Apr 06, 2018","0.04","0.04","0.04","0.04","353.56K","0.00%"
"Apr 07, 2018","0.04","0.04","0.04","0.04","253.54K","0.00%"
"Apr 08, 2018","0.04","0.04","0.04","0.04","180.03K","0.00%"
"Apr 09, 2018","0.04","0.04","0.05","0.04","292.50K","0.00%"
"Apr 10, 2018","0.04","0.04","0.04","0.04","317.56K","0.00%"
"Apr 11, 2018","0.04","0.04","0.04","0.04","567.24K","0.00%"
"Apr 12, 2018","0.05","0.04","0.05","0.04","895.62K","0.00%"
"Apr 13, 2018","0.06","0.05","0.06","0.05","1.77M","14.23%"
"Apr 14, 2018","0.05","0.06","0.06","0.05","1.40M","0.00%"
"Apr 15, 2018","0.06","0.05","0.06","0.05","378.84K","0.00%"
"Apr 16, 2018","0.05","0.06","0.06","0.05","598.50K","0.00%"
"Apr 17, 2018","0.06","0.05","0.07","0.05","516.51K","0.00%"
"Apr 18, 2018","0.07","0.06","0.07","0.06","916.78K","13.08%"
"Apr 19, 2018","0.07","0.07","0.07","0.07","1.48M","0.00%"
"Apr 20, 2018","0.07","0.07","0.08","0.04","3.80M","0.00%"
"Apr 21, 2018","0.07","0.07","0.07","0.06","3.32M","-7.99%"
"Apr 22, 2018","0.07","0.07","0.08","0.07","4.01M","10.78%"
"Apr 23, 2018","0.08","0.07","0.08","0.07","3.21M","0.00%"
"Apr 24, 2018","0.08","0.08","0.09","0.07","4.20M","8.66%"
"Apr 25, 2018","0.07","0.08","0.08","0.07","2.79M","-17.36%"
"Apr 26, 2018","0.07","0.07","0.08","0.06","1.29M","0.00%"
"Apr 27, 2018","0.07","0.07","0.08","0.07","1.25M","0.00%"
"Apr 28, 2018","0.08","0.07","0.08","0.07","3.38M","9.62%"
"Apr 29, 2018","0.08","0.08","0.09","0.08","2.28M","0.00%"
"Apr 30, 2018","0.08","0.08","0.09","0.08","2.91M","0.00%"
"May 01, 2018","0.09","0.08","0.10","0.08","4.78M","11.64%"
"May 02, 2018","0.09","0.09","0.10","0.09","2.90M","0.00%"
"May 03, 2018","0.09","0.09","0.10","0.09","2.90M","0.00%"
"May 04, 2018","0.10","0.09","0.10","0.09","2.79M","0.00%"
"May 05, 2018","0.09","0.10","0.10","0.09","1.76M","0.00%"
"May 06, 2018","0.09","0.09","0.09","0.08","2.13M","-7.49%"
"May 07, 2018","0.08","0.09","0.09","0.08","1.50M","0.00%"
"May 08, 2018","0.08","0.08","0.08","0.08","613.56K","0.00%"
"May 09, 2018","0.07","0.08","0.08","0.07","1.07M","-6.48%"
"May 10, 2018","0.07","0.07","0.08","0.07","2.82M","0.00%"
"May 11, 2018","0.06","0.07","0.07","0.00","2.75M","-13.41%"
"May 12, 2018","0.06","0.06","0.06","0.05","2.19M","0.00%"
"May 13, 2018","0.07","0.06","0.07","0.06","1.51M","8.17%"
"May 14, 2018","0.07","0.07","0.07","0.06","1.82M","0.00%"
"May 15, 2018","0.06","0.07","0.07","0.06","1.26M","0.00%"
"May 16, 2018","0.06","0.06","0.06","0.06","1.85M","0.00%"
