"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2019","0.6102","0.5983","0.6148","0.5860","4.75M","1.95%"
"Jul 26, 2019","0.6503","0.6103","0.7111","0.5940","8.95M","6.57%"
"Jul 27, 2019","0.5788","0.6501","0.6673","0.5728","9.09M","-10.99%"
"Jul 28, 2019","0.5759","0.5788","0.5992","0.5584","11.05M","-0.50%"
"Jul 29, 2019","0.5710","0.5770","0.5934","0.5546","11.03M","-0.85%"
"Jul 30, 2019","0.5667","0.5708","0.5893","0.5566","11.21M","-0.75%"
"Jul 31, 2019","0.5668","0.5668","0.5777","0.5589","11.26M","0.02%"
"Aug 01, 2019","0.5602","0.5668","0.5694","0.5093","12.10M","-1.16%"
"Aug 02, 2019","0.8094","0.5618","0.8824","0.5536","27.46M","44.48%"
"Aug 03, 2019","0.7438","0.8094","0.8568","0.7391","12.22M","-8.10%"
"Aug 04, 2019","0.7019","0.7438","0.7611","0.6963","9.37M","-5.63%"
"Aug 05, 2019","0.7910","0.7019","0.8026","0.6628","9.67M","12.69%"
"Aug 06, 2019","0.7027","0.7910","0.8013","0.6908","9.26M","-11.16%"
"Aug 07, 2019","0.6910","0.7028","0.7259","0.6815","9.38M","-1.67%"
"Aug 08, 2019","0.7278","0.6910","0.7740","0.6584","9.70M","5.33%"
"Aug 09, 2019","0.7933","0.7273","0.8333","0.7162","5.78M","9.00%"
"Aug 10, 2019","0.8104","0.7933","0.8611","0.7613","3.42M","2.16%"
"Aug 11, 2019","0.8258","0.8107","0.8765","0.8104","2.11M","1.90%"
"Aug 12, 2019","0.8039","0.8258","0.8420","0.7701","1.61M","-2.65%"
"Aug 13, 2019","0.8102","0.8040","0.8433","0.7842","1.07M","0.78%"
"Aug 14, 2019","0.7187","0.8102","0.8484","0.7121","1.82M","-11.29%"
"Aug 15, 2019","0.7084","0.7185","0.7746","0.6451","2.10M","-1.43%"
"Aug 16, 2019","0.6773","0.7084","0.7288","0.6764","1.51M","-4.39%"
"Aug 17, 2019","0.6841","0.6773","0.7148","0.6709","859.88K","1.00%"
"Aug 18, 2019","0.6776","0.6841","0.6953","0.6649","1.27M","-0.95%"
"Aug 19, 2019","0.6549","0.6776","0.6779","0.6496","1.24M","-3.35%"
"Aug 20, 2019","0.6259","0.6549","0.6674","0.6033","1.47M","-4.43%"
"Aug 21, 2019","0.5680","0.6259","0.6273","0.5601","1.58M","-9.25%"
"Aug 22, 2019","0.5730","0.5679","0.5911","0.5327","1.49M","0.88%"
"Aug 23, 2019","0.5748","0.5730","0.5890","0.5475","1.55M","0.31%"
"Aug 24, 2019","0.5782","0.5747","0.5787","0.5432","1.22M","0.59%"
"Aug 25, 2019","0.5387","0.5784","0.5809","0.5304","1.06M","-6.83%"
"Aug 26, 2019","0.5207","0.5387","0.5592","0.5206","1.36M","-3.34%"
"Aug 27, 2019","0.5231","0.5206","0.5538","0.5096","1.38M","0.46%"
"Aug 28, 2019","0.4392","0.5231","0.5350","0.4306","1.57M","-16.04%"
"Aug 29, 2019","0.3998","0.4375","0.4462","0.3935","1.80M","-8.97%"
"Aug 30, 2019","0.4168","0.3999","0.4253","0.3974","1.53M","4.25%"
"Aug 31, 2019","0.4083","0.4168","0.4322","0.3924","1.28M","-2.04%"
"Sep 01, 2019","0.3891","0.4083","0.4180","0.3793","1.33M","-4.70%"
"Sep 02, 2019","0.3935","0.3891","0.3940","0.3726","1.62M","1.13%"
"Sep 03, 2019","0.3684","0.3935","0.4047","0.3657","1.23M","-6.38%"
"Sep 04, 2019","0.3466","0.3681","0.3819","0.3433","1.40M","-5.92%"
"Sep 05, 2019","0.3894","0.3465","0.3944","0.3381","1.64M","12.35%"
"Sep 06, 2019","0.3458","0.3872","0.4185","0.3416","1.94M","-11.20%"
"Sep 07, 2019","0.3689","0.3458","0.3872","0.3391","1.60M","6.68%"
"Sep 08, 2019","0.3853","0.3688","0.3854","0.3512","1.37M","4.45%"
"Sep 09, 2019","0.3686","0.3853","0.3892","0.3533","1.65M","-4.33%"
"Sep 10, 2019","0.3650","0.3685","0.3941","0.3577","1.40M","-0.98%"
"Sep 11, 2019","0.3487","0.3650","0.3924","0.3422","1.50M","-4.47%"
"Sep 12, 2019","0.3191","0.3487","0.3503","0.3097","1.53M","-8.49%"
"Sep 13, 2019","0.3181","0.3190","0.3674","0.3024","1.38M","-0.31%"
"Sep 14, 2019","0.3205","0.3181","0.3415","0.3019","1.28M","0.75%"
"Sep 15, 2019","0.3279","0.3206","0.3409","0.3063","1.49M","2.31%"
"Sep 16, 2019","0.3219","0.3280","0.3397","0.3141","1.19M","-1.83%"
"Sep 17, 2019","0.3193","0.3218","0.3389","0.3099","1.25M","-0.81%"
"Sep 18, 2019","0.3404","0.3193","0.3598","0.3164","1.58M","6.61%"
"Sep 19, 2019","0.3218","0.3404","0.3426","0.3085","1.39M","-5.46%"
"Sep 20, 2019","0.3208","0.3217","0.3295","0.3158","1.06M","-0.31%"
"Sep 21, 2019","0.3155","0.3206","0.3252","0.3142","883.52K","-1.65%"
"Sep 22, 2019","0.3000","0.3155","0.3220","0.2965","1.28M","-4.91%"
"Sep 23, 2019","0.2675","0.3000","0.3009","0.2673","1.44M","-10.83%"
"Sep 24, 2019","0.1923","0.2671","0.2948","0.1702","1.78M","-28.11%"
"Sep 25, 2019","0.2043","0.1918","0.2397","0.1899","2.29M","6.24%"
"Sep 26, 2019","0.1896","0.2042","0.2068","0.1674","2.40M","-7.20%"
"Sep 27, 2019","0.1892","0.1896","0.1973","0.1776","2.00M","-0.21%"
"Sep 28, 2019","0.2038","0.1892","0.2078","0.1867","1.72M","7.72%"
"Sep 29, 2019","0.2248","0.2038","0.2423","0.1980","2.32M","10.30%"
"Sep 30, 2019","0.2499","0.2247","0.2671","0.2136","2.16M","11.17%"
"Oct 01, 2019","0.2324","0.2498","0.2703","0.2275","1.96M","-7.00%"
"Oct 02, 2019","0.2325","0.2319","0.2404","0.2184","1.64M","0.04%"
"Oct 03, 2019","0.2303","0.2325","0.2403","0.2223","1.42M","-0.95%"
"Oct 04, 2019","0.2279","0.2303","0.2357","0.2224","1.34M","-1.04%"
"Oct 05, 2019","0.2246","0.2279","0.2324","0.2210","390.20K","-1.45%"
"Oct 06, 2019","0.2122","0.2246","0.2255","0.2122","17.95K","-5.52%"
"Oct 07, 2019","0.2181","0.2122","0.2236","0.2060","1.08M","2.78%"
"Oct 08, 2019","0.2268","0.2181","0.2332","0.2112","1.35M","3.99%"
"Oct 09, 2019","0.2389","0.2264","0.2437","0.2195","1.86M","5.34%"
"Oct 10, 2019","0.2540","0.2388","0.2683","0.2296","1.95M","6.32%"
"Oct 11, 2019","0.2528","0.2538","0.2749","0.2519","1.78M","-0.47%"
"Oct 12, 2019","0.2576","0.2527","0.2624","0.2384","1.64M","1.90%"
"Oct 13, 2019","0.2509","0.2574","0.2677","0.2416","1.78M","-2.60%"
"Oct 14, 2019","0.2672","0.2509","0.2673","0.2470","1.74M","6.50%"
"Oct 15, 2019","0.2480","0.2672","0.2733","0.2450","1.39M","-7.19%"
"Oct 16, 2019","0.2284","0.2479","0.2504","0.2234","1.30M","-7.90%"
"Oct 17, 2019","0.2367","0.2284","0.2397","0.2276","1.33M","3.63%"
"Oct 18, 2019","0.2255","0.2367","0.2554","0.2139","1.38M","-4.73%"
"Oct 19, 2019","0.2237","0.2256","0.2293","0.2211","1.24M","-0.80%"
"Oct 20, 2019","0.2242","0.2237","0.2263","0.2103","1.28M","0.22%"
"Oct 21, 2019","0.2267","0.2242","0.2317","0.2206","1.31M","1.12%"
"Oct 22, 2019","0.2187","0.2266","0.2304","0.2181","1.28M","-3.53%"
"Oct 23, 2019","0.2002","0.2187","0.2187","0.1961","1.17M","-8.46%"
"Oct 24, 2019","0.2012","0.2002","0.2062","0.1987","1.03M","0.50%"
"Oct 25, 2019","0.2129","0.2011","0.2195","0.1963","1.37M","5.82%"
"Oct 26, 2019","0.2155","0.2129","0.2501","0.2100","2.15M","1.22%"
"Oct 27, 2019","0.2177","0.2154","0.2497","0.2080","1.68M","1.02%"
"Oct 28, 2019","0.2303","0.2177","0.2397","0.2177","2.27M","5.79%"
"Oct 29, 2019","0.2263","0.2304","0.2347","0.2218","1.63M","-1.74%"
"Oct 30, 2019","0.2109","0.2263","0.2266","0.2074","1.53M","-6.81%"
"Oct 31, 2019","0.2224","0.2110","0.2230","0.2076","1.55M","5.45%"
"Nov 01, 2019","0.2606","0.2223","0.2735","0.2152","1.90M","17.18%"
"Nov 02, 2019","0.2583","0.2606","0.2822","0.2498","2.23M","-0.88%"
"Nov 03, 2019","0.2635","0.2586","0.2706","0.2309","1.92M","2.01%"
"Nov 04, 2019","0.2568","0.2637","0.2713","0.2523","1.82M","-2.54%"
"Nov 05, 2019","0.2835","0.2568","0.2972","0.2469","2.05M","10.40%"
"Nov 06, 2019","0.2841","0.2836","0.3452","0.2500","1.99M","0.21%"
"Nov 07, 2019","0.2707","0.2841","0.2845","0.2650","1.42M","-4.72%"
"Nov 08, 2019","0.2555","0.2707","0.2810","0.2462","1.69M","-5.62%"
"Nov 09, 2019","0.2621","0.2555","0.2624","0.2519","1.24M","2.58%"
"Nov 10, 2019","0.2681","0.2621","0.2735","0.2554","1.36M","2.29%"
"Nov 11, 2019","0.2824","0.2680","0.2898","0.2566","1.68M","5.33%"
"Nov 12, 2019","0.2728","0.2824","0.2870","0.2655","1.48M","-3.40%"
"Nov 13, 2019","0.2869","0.2729","0.3177","0.2671","1.42M","5.17%"
"Nov 14, 2019","0.2766","0.2869","0.2961","0.2710","1.42M","-3.59%"
"Nov 15, 2019","0.2647","0.2772","0.2852","0.2612","1.19M","-4.30%"
"Nov 16, 2019","0.2722","0.2647","0.2725","0.2605","1.15M","2.83%"
"Nov 17, 2019","0.2668","0.2721","0.2784","0.2611","1.21M","-1.98%"
"Nov 18, 2019","0.2487","0.2668","0.2696","0.2452","1.23M","-6.78%"
"Nov 19, 2019","0.2440","0.2487","0.2517","0.2307","1.41M","-1.89%"
"Nov 20, 2019","0.2524","0.2440","0.2545","0.2365","2.06M","3.44%"
"Nov 21, 2019","0.2467","0.2533","0.2636","0.2308","2.75M","-2.26%"
"Nov 22, 2019","0.2175","0.2471","0.2551","0.2043","2.93M","-11.84%"
"Nov 23, 2019","0.2267","0.2175","0.2287","0.2070","2.76M","4.23%"
"Nov 24, 2019","0.2015","0.2267","0.2475","0.2010","2.93M","-11.12%"
"Nov 25, 2019","0.2026","0.2015","0.2128","0.1847","3.14M","0.55%"
"Nov 26, 2019","0.2173","0.2026","0.2461","0.2019","4.01M","7.26%"
"Nov 27, 2019","0.2243","0.2173","0.2356","0.2085","2.52M","3.22%"
"Nov 28, 2019","0.2859","0.2243","0.3128","0.2196","3.63M","27.46%"
"Nov 29, 2019","0.2749","0.2858","0.3210","0.2707","2.14M","-3.85%"
"Nov 30, 2019","0.2653","0.2749","0.2915","0.2430","2.60M","-3.49%"
"Dec 01, 2019","0.2641","0.2653","0.2711","0.2334","2.85M","-0.45%"
"Dec 02, 2019","0.2737","0.2647","0.2884","0.2424","3.79M","3.63%"
"Dec 03, 2019","0.2879","0.2737","0.2961","0.2717","2.87M","5.19%"
"Dec 04, 2019","0.2677","0.2878","0.2944","0.2657","3.08M","-7.02%"
"Dec 05, 2019","0.2644","0.2677","0.2772","0.2544","2.63M","-1.23%"
"Dec 06, 2019","0.2677","0.2644","0.2763","0.2176","5.40M","1.25%"
"Dec 07, 2019","0.2750","0.2677","0.2772","0.2485","9.02M","2.73%"
"Dec 08, 2019","0.2924","0.2750","0.3165","0.2490","17.71M","6.33%"
"Dec 09, 2019","0.2957","0.2924","0.3360","0.2894","12.58M","1.13%"
"Dec 10, 2019","0.2752","0.2957","0.3101","0.2656","14.03M","-6.93%"
"Dec 11, 2019","0.2866","0.2757","0.2940","0.2747","8.44M","4.14%"
"Dec 12, 2019","0.2767","0.2867","0.2894","0.2681","12.66M","-3.45%"
"Dec 13, 2019","0.2721","0.2767","0.2856","0.2633","12.67M","-1.66%"
"Dec 14, 2019","0.2523","0.2721","0.2853","0.2511","8.91M","-7.28%"
"Dec 15, 2019","0.2664","0.2523","0.2794","0.2507","10.74M","5.59%"
"Dec 16, 2019","0.2464","0.2664","0.2776","0.2424","6.98M","-7.51%"
"Dec 17, 2019","0.2252","0.2464","0.2502","0.2230","3.19M","-8.60%"
"Dec 18, 2019","0.2476","0.2254","0.2640","0.2205","2.50M","9.95%"
"Dec 19, 2019","0.2294","0.2476","0.2534","0.2273","1.59M","-7.35%"
"Dec 20, 2019","0.2388","0.2294","0.2654","0.2212","3.40M","4.10%"
"Dec 21, 2019","0.2396","0.2400","0.2680","0.2300","2.38M","0.34%"
"Dec 22, 2019","0.2473","0.2396","0.2537","0.2376","4.63M","3.21%"
"Dec 23, 2019","0.2403","0.2473","0.2522","0.2360","2.53M","-2.83%"
"Dec 24, 2019","0.2308","0.2403","0.2409","0.2307","2.08M","-3.95%"
"Dec 25, 2019","0.2271","0.2308","0.2404","0.2247","1.59M","-1.60%"
"Dec 26, 2019","0.2394","0.2271","0.2498","0.2262","1.73M","5.42%"
"Dec 27, 2019","0.2304","0.2394","0.2410","0.2212","1.67M","-3.76%"
"Dec 28, 2019","0.2328","0.2304","0.2368","0.2282","1.46M","1.04%"
"Dec 29, 2019","0.2314","0.2328","0.2548","0.2279","1.71M","-0.60%"
"Dec 30, 2019","0.2249","0.2314","0.2359","0.2229","953.42K","-2.81%"
"Dec 31, 2019","0.2169","0.2251","0.2293","0.2162","1.33M","-3.56%"
"Jan 01, 2020","0.2198","0.2169","0.2269","0.2159","1.33M","1.34%"
"Jan 02, 2020","0.2138","0.2198","0.2327","0.2109","809.68K","-2.73%"
"Jan 03, 2020","0.2273","0.2138","0.2296","0.2138","2.58M","6.31%"
"Jan 04, 2020","0.2347","0.2273","0.2533","0.2251","1.75M","3.26%"
"Jan 05, 2020","0.2292","0.2348","0.2380","0.2283","1.76M","-2.34%"
"Jan 06, 2020","0.2418","0.2292","0.2478","0.2288","2.44M","5.50%"
"Jan 07, 2020","0.2307","0.2418","0.2430","0.2284","2.51M","-4.59%"
"Jan 08, 2020","0.2284","0.2305","0.2355","0.2237","1.76M","-1.00%"
"Jan 09, 2020","0.2220","0.2284","0.2331","0.2211","1.10M","-2.80%"
"Jan 10, 2020","0.2263","0.2220","0.2324","0.2199","1.04M","1.94%"
"Jan 11, 2020","0.2263","0.2261","0.2322","0.2200","1.23M","0.00%"
"Jan 12, 2020","0.2279","0.2260","0.2308","0.2249","1.34M","0.71%"
