"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2021","24.8001","22.3979","25.8978","22.0230","27.74M","11.71%"
"Jul 23, 2021","42.5999","24.9587","48.4640","24.2970","47.00M","71.77%"
"Jul 24, 2021","44.6661","42.3589","47.5652","38.4593","48.37M","4.85%"
"Jul 25, 2021","43.8368","42.9522","43.9611","38.8051","18.21M","-1.86%"
"Jul 26, 2021","40.9036","43.5624","45.3610","35.0425","20.83M","-6.69%"
"Jul 27, 2021","47.0722","40.8718","53.3735","36.2195","36.74M","15.08%"
"Jul 28, 2021","45.6270","46.8069","50.4348","44.5233","15.68M","-3.07%"
"Jul 29, 2021","44.3301","45.5847","46.8448","41.6336","12.43M","-2.84%"
"Jul 30, 2021","43.2713","44.1759","45.2711","41.4086","10.03M","-2.39%"
"Jul 31, 2021","42.4886","43.3109","45.6544","41.8692","8.28M","-1.81%"
"Aug 01, 2021","37.7532","42.7204","42.8208","37.4256","6.64M","-11.15%"
"Aug 02, 2021","40.2683","38.0784","42.7667","37.9800","8.77M","6.66%"
"Aug 03, 2021","38.4281","40.1981","40.2370","37.6612","4.37M","-4.57%"
"Aug 04, 2021","43.7793","38.4052","45.9396","37.8238","12.65M","13.93%"
"Aug 05, 2021","42.5522","43.6978","44.9632","41.0612","5.90M","-2.80%"
"Aug 06, 2021","42.5619","42.5800","43.9998","41.4628","4.14M","0.02%"
"Aug 07, 2021","41.2951","42.6244","43.5878","40.2280","4.56M","-2.98%"
"Aug 08, 2021","42.2440","41.2537","47.2586","40.1052","7.77M","2.30%"
"Aug 09, 2021","43.5562","42.0745","45.0500","40.6894","5.28M","3.11%"
"Aug 10, 2021","63.9779","43.6975","64.6025","43.2908","16.06M","46.89%"
"Aug 11, 2021","66.5134","63.8774","77.1493","63.4412","18.36M","3.96%"
"Aug 12, 2021","65.9429","66.2608","73.8275","63.3714","12.27M","-0.86%"
"Aug 13, 2021","70.5130","65.9463","73.7225","65.9463","5.88M","6.93%"
"Aug 14, 2021","67.6815","70.5301","70.6098","65.1234","4.11M","-4.02%"
"Aug 15, 2021","67.8758","67.7366","67.9618","63.3750","2.92M","0.29%"
"Aug 16, 2021","66.3136","67.6434","70.7480","65.8428","3.48M","-2.30%"
"Aug 17, 2021","71.8706","66.3289","81.9687","65.2590","11.95M","8.38%"
"Aug 18, 2021","69.3545","72.5028","74.7390","65.6808","6.73M","-3.50%"
"Aug 19, 2021","71.9481","69.3867","73.0300","67.3059","3.66M","3.74%"
"Aug 20, 2021","73.6396","71.8944","74.1903","71.4820","2.88M","2.35%"
"Aug 21, 2021","76.8243","73.7001","83.3909","73.7001","5.47M","4.32%"
"Aug 22, 2021","77.1244","76.8847","79.4832","73.0726","2.46M","0.39%"
"Aug 23, 2021","77.3631","77.1200","78.7330","75.2789","2.21M","0.31%"
"Aug 24, 2021","75.0122","77.3601","77.5097","74.6951","1.74M","-3.04%"
