"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 09, 2017","1.99","1.99","2.20","1.90","283.35K","0.00%"
"Nov 10, 2017","1.71","1.99","2.02","1.60","483.23K","-14.07%"
"Nov 11, 2017","1.66","1.71","1.93","1.58","256.71K","-2.92%"
"Nov 12, 2017","1.49","1.66","1.70","1.34","456.48K","-10.24%"
"Nov 13, 2017","1.68","1.49","1.74","1.49","166.01K","12.75%"
"Nov 14, 2017","1.59","1.68","1.74","1.53","173.13K","-5.36%"
"Nov 15, 2017","1.55","1.59","1.68","1.49","291.61K","-2.52%"
"Nov 16, 2017","1.56","1.55","1.67","1.51","193.73K","0.65%"
"Nov 17, 2017","1.50","1.56","1.58","1.49","419.40K","-3.85%"
"Nov 18, 2017","1.67","1.50","1.67","1.49","168.62K","11.33%"
"Nov 19, 2017","1.60","1.67","1.69","1.58","172.57K","-4.19%"
"Nov 20, 2017","1.64","1.60","1.65","1.56","158.70K","2.50%"
"Nov 21, 2017","1.59","1.64","1.64","1.54","404.20K","-3.05%"
"Nov 22, 2017","1.62","1.59","1.62","1.56","179.15K","1.89%"
"Nov 23, 2017","1.57","1.62","1.62","1.54","178.86K","-3.09%"
"Nov 24, 2017","1.73","1.57","1.82","1.54","631.81K","10.19%"
"Nov 25, 2017","1.87","1.73","1.96","1.68","462.64K","8.09%"
"Nov 26, 2017","1.84","1.87","1.91","1.76","192.60K","-1.60%"
"Nov 27, 2017","1.95","1.84","1.95","1.74","472.12K","5.98%"
"Nov 28, 2017","1.92","1.95","1.95","1.80","357.69K","-1.54%"
"Nov 29, 2017","1.76","1.92","2.05","1.55","901.09K","-8.33%"
"Nov 30, 2017","1.95","1.76","2.04","1.71","736.32K","10.80%"
"Dec 01, 2017","2.05","1.95","2.14","1.88","308.39K","5.13%"
"Dec 02, 2017","2.08","2.05","2.12","1.98","240.59K","1.46%"
"Dec 03, 2017","2.26","2.08","2.40","2.04","341.64K","8.65%"
"Dec 04, 2017","2.55","2.26","2.59","2.26","369.61K","12.83%"
"Dec 05, 2017","2.61","2.55","2.75","2.50","418.31K","2.35%"
"Dec 06, 2017","2.51","2.61","2.80","2.33","369.57K","-3.83%"
"Dec 07, 2017","2.66","2.51","2.84","2.40","520.77K","5.98%"
"Dec 08, 2017","2.79","2.66","2.80","2.21","641.80K","4.89%"
"Dec 09, 2017","2.65","2.79","2.81","2.18","470.09K","-5.02%"
"Dec 10, 2017","2.46","2.65","2.66","2.13","548.97K","-7.17%"
"Dec 11, 2017","2.69","2.46","2.78","2.45","378.45K","9.35%"
"Dec 12, 2017","2.55","2.69","2.74","2.45","534.10K","-5.20%"
"Dec 13, 2017","2.72","2.55","2.74","2.27","669.43K","6.67%"
"Dec 14, 2017","3.15","2.72","3.15","2.63","871.68K","15.81%"
"Dec 15, 2017","4.12","3.15","4.40","2.99","896.22K","30.79%"
"Dec 16, 2017","4.64","4.12","4.72","3.82","767.29K","12.62%"
"Dec 17, 2017","6.00","4.64","6.70","4.60","1.52M","29.31%"
"Dec 18, 2017","6.00","6.00","6.10","4.75","1.41M","0.00%"
"Dec 19, 2017","5.70","6.00","6.46","5.27","1.74M","-5.00%"
"Dec 20, 2017","5.15","5.70","5.70","4.68","1.38M","-9.65%"
"Dec 21, 2017","5.16","5.15","5.69","4.42","984.45K","0.19%"
"Dec 22, 2017","4.29","5.16","5.20","3.25","1.57M","-16.86%"
"Dec 23, 2017","4.40","4.29","5.00","4.17","945.70K","2.56%"
"Dec 24, 2017","5.18","4.40","5.20","3.80","1.03M","17.73%"
"Dec 25, 2017","6.46","5.18","6.88","5.03","1.44M","24.71%"
"Dec 26, 2017","9.25","6.46","10.79","6.35","2.97M","43.19%"
"Dec 27, 2017","10.07","9.25","11.30","8.26","2.73M","8.86%"
"Dec 28, 2017","9.25","10.07","10.25","7.80","2.52M","-8.14%"
"Dec 29, 2017","8.71","9.25","9.80","8.39","1.37M","-5.84%"
"Dec 30, 2017","7.59","8.71","8.71","6.93","1.61M","-12.86%"
"Dec 31, 2017","8.53","7.59","8.80","7.52","1.26M","12.38%"
"Jan 01, 2018","8.45","8.53","8.70","7.80","642.51K","-0.94%"
"Jan 02, 2018","8.72","8.45","9.11","8.09","1.23M","3.20%"
"Jan 03, 2018","9.30","8.72","9.47","8.27","926.41K","6.65%"
"Jan 04, 2018","9.14","9.30","9.46","8.56","918.41K","-1.72%"
"Jan 05, 2018","14.88","9.14","16.82","8.97","2.60M","62.80%"
"Jan 06, 2018","22.60","14.89","23.60","14.70","2.66M","51.88%"
"Jan 07, 2018","18.59","22.60","22.66","18.05","1.38M","-17.74%"
"Jan 08, 2018","18.00","18.59","19.30","14.00","2.00M","-3.17%"
"Jan 09, 2018","17.40","18.00","20.61","16.43","1.26M","-3.33%"
"Jan 10, 2018","17.48","17.40","17.56","14.60","1.13M","0.46%"
"Jan 11, 2018","21.33","17.50","23.00","13.90","3.54M","22.04%"
"Jan 12, 2018","22.05","20.72","24.64","19.28","2.92M","3.38%"
