"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2021","0.9995","0.9997","0.9998","0.9994","883.99M","-0.02%"
"Aug 23, 2021","0.9997","0.9993","0.9998","0.9992","1.06B","0.05%"
"Aug 22, 2021","0.9992","0.9993","0.9994","0.9992","641.50M","-0.02%"
"Aug 21, 2021","0.9994","0.9997","0.9998","0.9991","849.49M","-0.03%"
"Aug 20, 2021","0.9997","1.0000","1.0001","0.9997","1.09B","-0.03%"
"Aug 19, 2021","1.0000","0.9998","1.0002","0.9997","1.14B","0.03%"
"Aug 18, 2021","0.9997","1.0000","1.0001","0.9996","1.10B","-0.03%"
"Aug 17, 2021","1.0000","0.9997","1.0001","0.9996","1.21B","0.03%"
"Aug 16, 2021","0.9997","0.9992","0.9999","0.9992","1.10B","0.04%"
"Aug 15, 2021","0.9993","0.9993","0.9995","0.9991","661.56M","0.00%"
"Aug 14, 2021","0.9993","0.9996","0.9996","0.9991","817.07M","-0.02%"
"Aug 13, 2021","0.9995","0.9996","0.9998","0.9995","673.87M","-0.01%"
"Aug 12, 2021","0.9996","0.9995","0.9998","0.9994","865.33M","0.00%"
"Aug 11, 2021","0.9996","0.9996","0.9999","0.9994","964.10M","0.00%"
"Aug 10, 2021","0.9996","0.9997","0.9998","0.9994","747.69M","-0.01%"
"Aug 09, 2021","0.9997","0.9994","0.9999","0.9993","846.80M","0.04%"
"Aug 08, 2021","0.9993","0.9992","0.9996","0.9990","934.20M","0.01%"
"Aug 07, 2021","0.9992","0.9995","0.9996","0.9992","1.07B","-0.03%"
"Aug 06, 2021","0.9995","0.9996","1.0000","0.9995","941.76M","-0.01%"
"Aug 05, 2021","0.9996","1.0000","1.0003","0.9995","1.03B","-0.04%"
"Aug 04, 2021","1.0000","1.0000","1.0002","0.9999","581.87M","0.00%"
"Aug 03, 2021","1.0000","0.9998","1.0001","0.9997","630.27M","0.03%"
"Aug 02, 2021","0.9997","0.9997","1.0000","0.9997","584.91M","0.01%"
"Aug 01, 2021","0.9996","0.9993","0.9998","0.9992","706.19M","0.03%"
"Jul 31, 2021","0.9993","0.9995","0.9997","0.9992","726.60M","-0.02%"
"Jul 30, 2021","0.9995","0.9998","0.9998","0.9994","847.37M","-0.03%"
"Jul 29, 2021","0.9998","0.9999","0.9999","0.9996","615.62M","-0.01%"
"Jul 28, 2021","0.9999","0.9997","1.0000","0.9995","995.07M","0.01%"
"Jul 27, 2021","0.9998","0.9997","1.0000","0.9995","1.24B","0.00%"
"Jul 26, 2021","0.9998","0.9995","1.0005","0.9993","2.08B","0.04%"
"Jul 25, 2021","0.9994","0.9994","0.9996","0.9994","667.21M","-0.02%"
"Jul 24, 2021","0.9996","0.9999","0.9999","0.9996","631.86M","-0.03%"
"Jul 23, 2021","0.9999","1.0000","1.0001","0.9998","686.93M","-0.01%"
"Jul 22, 2021","1.0000","1.0000","1.0001","0.9999","697.10M","0.00%"
"Jul 21, 2021","1.0000","0.9999","1.0002","0.9998","797.24M","0.01%"
"Jul 20, 2021","0.9999","1.0001","1.0002","0.9998","507.24M","-0.02%"
"Jul 19, 2021","1.0001","0.9999","1.0006","0.9999","622.72M","0.02%"
"Jul 18, 2021","0.9999","0.9998","1.0000","0.9998","290.31M","0.00%"
"Jul 17, 2021","0.9999","0.9998","1.0000","0.9998","333.09M","0.00%"
"Jul 16, 2021","0.9999","1.0001","1.0002","0.9998","533.93M","-0.02%"
"Jul 15, 2021","1.0001","1.0000","1.0004","0.9998","739.78M","0.02%"
"Jul 14, 2021","0.9999","1.0000","1.0002","0.9999","555.73M","-0.01%"
"Jul 13, 2021","1.0000","1.0000","1.0002","0.9997","681.14M","0.01%"
"Jul 12, 2021","0.9999","1.0000","1.0001","0.9999","587.79M","-0.01%"
