"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 2019","0.001205","0.001248","0.001260","0.001142","29.32B","-3.44%"
"Jun 28, 2019","0.001230","0.001205","0.001245","0.001197","17.35B","2.05%"
"Jun 29, 2019","0.001321","0.001230","0.001347","0.001176","27.69B","7.39%"
"Jun 30, 2019","0.001329","0.001321","0.001428","0.001289","39.12B","0.63%"
"Jul 01, 2019","0.001432","0.001329","0.001553","0.001329","55.99B","7.76%"
"Jul 02, 2019","0.001348","0.001433","0.001475","0.001281","31.66B","-5.91%"
"Jul 03, 2019","0.001308","0.001348","0.001358","0.001284","18.44B","-2.92%"
"Jul 04, 2019","0.001284","0.001308","0.001361","0.001242","24.58B","-1.86%"
"Jul 05, 2019","0.001291","0.001284","0.001317","0.001265","14.42B","0.54%"
"Jul 06, 2019","0.001318","0.001291","0.001352","0.001290","14.82B","2.08%"
"Jul 07, 2019","0.001446","0.001318","0.001474","0.001301","28.84B","9.70%"
"Jul 08, 2019","0.001333","0.001446","0.001477","0.001317","25.84B","-7.79%"
"Jul 09, 2019","0.001291","0.001333","0.001348","0.001257","18.26B","-3.12%"
"Jul 10, 2019","0.001209","0.001291","0.001293","0.001155","20.49B","-6.37%"
"Jul 11, 2019","0.001078","0.001209","0.001236","0.001065","15.85B","-10.89%"
"Jul 12, 2019","0.001185","0.001077","0.001193","0.001070","15.04B","9.94%"
"Jul 13, 2019","0.001148","0.001185","0.001202","0.001094","9.99B","-3.08%"
"Jul 14, 2019","0.001009","0.001149","0.001165","0.000996","13.45B","-12.14%"
"Jul 15, 2019","0.001025","0.001009","0.001055","0.000924","22.28B","1.65%"
"Jul 16, 2019","0.000824","0.001025","0.001049","0.000822","19.46B","-19.66%"
"Jul 17, 2019","0.000883","0.000824","0.000921","0.000784","26.92B","7.16%"
"Jul 18, 2019","0.000947","0.000883","0.000968","0.000842","20.82B","7.23%"
"Jul 19, 2019","0.000992","0.000947","0.000993","0.000927","14.76B","4.80%"
"Jul 20, 2019","0.001028","0.000992","0.001076","0.000979","14.71B","3.61%"
"Jul 21, 2019","0.001009","0.001028","0.001047","0.000972","10.06B","-1.79%"
"Jul 22, 2019","0.000952","0.001009","0.001036","0.000947","12.45B","-5.65%"
"Jul 23, 2019","0.000862","0.000952","0.000962","0.000825","26.60B","-9.51%"
"Jul 24, 2019","0.000858","0.000862","0.000896","0.000826","12.52B","-0.44%"
"Jul 25, 2019","0.000849","0.000858","0.000887","0.000841","8.19B","-1.11%"
"Jul 26, 2019","0.000853","0.000849","0.000865","0.000829","5.07B","0.47%"
