"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 03, 2017","327.40","399.00","435.00","302.10","187.93K","-17.94%"
"Aug 04, 2017","220.61","327.40","354.00","220.50","355.74K","-32.62%"
"Aug 05, 2017","210.00","220.61","277.45","194.66","330.68K","-4.81%"
"Aug 06, 2017","217.75","210.00","222.99","190.10","292.11K","3.69%"
"Aug 07, 2017","320.00","217.75","370.00","215.00","934.70K","46.96%"
"Aug 08, 2017","342.23","320.00","387.20","307.50","588.84K","6.95%"
"Aug 09, 2017","301.00","342.23","348.00","287.00","285.68K","-12.05%"
"Aug 10, 2017","273.11","301.00","312.00","265.00","254.20K","-9.27%"
"Aug 11, 2017","325.54","273.11","351.47","270.01","331.84K","19.20%"
"Aug 12, 2017","315.09","325.54","345.25","308.00","116.08K","-3.21%"
"Aug 13, 2017","296.26","315.09","318.99","292.14","128.37K","-5.98%"
"Aug 14, 2017","299.30","296.26","331.00","290.45","147.90K","1.03%"
"Aug 15, 2017","297.01","299.30","307.35","290.00","88.22K","-0.77%"
"Aug 16, 2017","299.99","297.01","311.00","282.00","87.79K","1.00%"
"Aug 17, 2017","444.00","299.99","451.62","291.10","417.33K","48.00%"
"Aug 18, 2017","686.28","444.00","774.98","437.10","1.53M","54.57%"
"Aug 19, 2017","746.58","686.28","972.00","602.02","1.15M","8.79%"
"Aug 20, 2017","716.40","746.58","851.79","677.00","569.66K","-4.04%"
"Aug 21, 2017","606.04","716.40","749.90","558.16","531.56K","-15.40%"
"Aug 22, 2017","686.12","606.04","736.00","565.89","465.91K","13.21%"
"Aug 23, 2017","674.00","686.12","711.77","651.00","141.91K","-1.77%"
"Aug 24, 2017","618.80","674.00","704.37","601.00","175.61K","-8.19%"
"Aug 25, 2017","632.20","618.80","664.00","614.39","115.76K","2.17%"
"Aug 26, 2017","622.00","632.20","638.99","611.10","72.56K","-1.61%"
"Aug 27, 2017","615.00","622.00","653.04","581.23","148.57K","-1.13%"
"Aug 28, 2017","590.70","615.00","628.28","574.25","68.92K","-3.95%"
"Aug 29, 2017","544.12","590.70","597.51","523.06","187.76K","-7.89%"
"Aug 30, 2017","579.61","544.12","618.00","528.97","203.26K","6.52%"
"Aug 31, 2017","593.32","579.61","609.93","567.00","102.62K","2.37%"
"Sep 01, 2017","628.01","593.32","656.99","586.00","147.26K","5.85%"
"Sep 02, 2017","572.00","628.01","646.53","561.60","139.45K","-8.92%"
"Sep 03, 2017","610.71","572.00","623.31","555.24","100.02K","6.77%"
"Sep 04, 2017","518.98","610.71","612.43","497.14","176.36K","-15.02%"
"Sep 05, 2017","545.00","518.98","559.98","470.10","154.41K","5.01%"
"Sep 06, 2017","644.51","545.00","657.70","532.08","211.90K","18.26%"
"Sep 07, 2017","665.94","644.51","719.00","599.35","225.71K","3.33%"
"Sep 08, 2017","604.00","665.94","698.25","571.31","218.66K","-9.30%"
"Sep 09, 2017","586.99","604.00","610.47","565.53","77.30K","-2.82%"
"Sep 10, 2017","557.80","586.99","587.24","523.30","98.51K","-4.97%"
"Sep 11, 2017","555.00","557.80","589.00","550.00","56.98K","-0.50%"
"Sep 12, 2017","538.98","555.00","578.43","528.80","63.25K","-2.89%"
"Sep 13, 2017","505.96","538.98","538.98","470.50","148.49K","-6.13%"
"Sep 14, 2017","386.77","505.96","517.42","385.50","234.95K","-23.56%"
"Sep 15, 2017","429.77","386.77","455.28","300.01","539.90K","11.12%"
"Sep 16, 2017","443.29","429.77","470.77","409.71","181.60K","3.15%"
"Sep 17, 2017","438.34","443.29","451.00","407.06","72.78K","-1.12%"
"Sep 18, 2017","487.65","438.34","494.70","438.34","148.20K","11.25%"
"Sep 19, 2017","531.49","487.65","549.00","454.22","195.67K","8.99%"
"Sep 20, 2017","477.90","531.49","531.49","472.70","211.70K","-10.08%"
"Sep 21, 2017","415.80","477.90","484.90","412.00","140.49K","-12.99%"
"Sep 22, 2017","409.50","415.80","435.39","392.25","142.25K","-1.52%"
"Sep 23, 2017","429.92","409.50","436.42","403.01","69.10K","4.99%"
"Sep 24, 2017","421.00","429.92","435.99","415.00","81.82K","-2.07%"
"Sep 25, 2017","451.30","421.00","458.35","420.20","125.27K","7.20%"
"Sep 26, 2017","450.00","451.30","466.21","448.99","71.71K","-0.29%"
"Sep 27, 2017","463.00","450.00","470.00","435.96","169.93K","2.89%"
"Sep 28, 2017","458.00","463.00","484.90","439.18","167.89K","-1.08%"
"Sep 29, 2017","441.67","458.00","459.96","430.33","103.61K","-3.57%"
"Sep 30, 2017","437.43","441.67","455.89","433.40","139.51K","-0.96%"
"Oct 01, 2017","417.80","437.43","441.10","416.50","144.27K","-4.49%"
"Oct 02, 2017","420.00","417.80","432.45","409.98","174.48K","0.53%"
"Oct 03, 2017","401.01","420.00","421.49","393.02","88.70K","-4.52%"
"Oct 04, 2017","355.85","401.01","404.04","350.69","323.82K","-11.26%"
"Oct 05, 2017","354.49","355.85","368.30","343.53","285.93K","-0.38%"
"Oct 06, 2017","363.62","354.49","374.98","352.42","125.64K","2.58%"
"Oct 07, 2017","360.00","363.62","372.00","354.63","78.38K","-1.00%"
"Oct 08, 2017","343.67","360.00","365.00","334.04","155.38K","-4.54%"
"Oct 09, 2017","312.30","343.67","343.99","280.10","326.15K","-9.13%"
"Oct 10, 2017","317.29","312.30","350.00","300.54","294.34K","1.60%"
"Oct 11, 2017","313.52","317.29","320.82","304.13","165.11K","-1.19%"
"Oct 12, 2017","310.00","313.52","331.49","305.26","240.95K","-1.12%"
"Oct 13, 2017","320.57","310.00","324.99","286.11","291.38K","3.41%"
"Oct 14, 2017","322.10","320.57","328.30","314.46","149.08K","0.48%"
"Oct 15, 2017","314.66","322.10","323.81","306.17","68.19K","-2.31%"
"Oct 16, 2017","314.24","314.66","318.30","309.11","60.00K","-0.13%"
"Oct 17, 2017","368.53","314.24","397.70","307.50","681.27K","17.28%"
"Oct 18, 2017","338.60","368.53","374.98","303.44","332.82K","-8.12%"
"Oct 19, 2017","329.53","338.60","339.99","323.51","132.04K","-2.68%"
"Oct 20, 2017","325.00","329.53","334.00","320.00","108.18K","-1.37%"
"Oct 21, 2017","322.47","325.00","334.00","312.00","62.57K","-0.78%"
"Oct 22, 2017","325.13","322.47","358.90","317.59","244.68K","0.82%"
"Oct 23, 2017","312.47","325.13","330.35","297.11","167.42K","-3.89%"
"Oct 24, 2017","322.32","312.47","339.00","303.02","197.24K","3.15%"
"Oct 25, 2017","328.93","322.32","331.81","314.03","77.94K","2.05%"
"Oct 26, 2017","335.98","328.93","351.00","324.39","191.12K","2.14%"
