"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2018","71.97","107.67","110.42","70.41","413.76K","-33.16%"
"Nov 20, 2018","55.92","71.97","74.13","51.17","552.35K","-22.30%"
"Nov 21, 2018","54.40","55.92","59.62","51.87","263.68K","-2.72%"
"Nov 22, 2018","43.02","54.40","55.49","42.67","230.57K","-20.92%"
"Nov 23, 2018","56.87","43.38","63.58","37.59","672.78K","32.19%"
"Nov 24, 2018","59.78","55.40","71.82","52.64","757.29K","5.11%"
"Nov 25, 2018","92.59","59.78","99.91","56.68","1.24M","54.90%"
"Nov 26, 2018","119.52","92.59","135.30","89.79","1.62M","29.08%"
"Nov 27, 2018","98.75","119.52","129.01","86.83","899.21K","-17.38%"
"Nov 28, 2018","100.27","98.75","111.34","83.74","958.06K","1.54%"
"Nov 29, 2018","98.93","100.28","102.47","91.63","469.39K","-1.34%"
"Nov 30, 2018","95.52","98.94","107.00","92.97","520.84K","-3.45%"
"Dec 01, 2018","93.56","95.52","96.97","88.12","348.68K","-2.05%"
"Dec 02, 2018","100.36","93.79","104.04","92.34","516.55K","7.27%"
"Dec 03, 2018","94.92","100.36","100.84","91.53","404.85K","-5.42%"
"Dec 04, 2018","90.17","94.80","95.19","89.67","240.81K","-5.00%"
"Dec 05, 2018","86.64","90.17","93.80","84.97","292.89K","-3.92%"
"Dec 06, 2018","103.47","86.64","110.19","86.58","655.77K","19.43%"
"Dec 07, 2018","103.35","103.45","115.46","94.10","704.15K","-0.11%"
"Dec 08, 2018","97.43","103.39","103.92","96.49","259.80K","-5.73%"
"Dec 09, 2018","96.11","97.18","99.28","91.46","268.40K","-1.36%"
"Dec 10, 2018","94.13","96.10","100.73","93.72","203.49K","-2.06%"
"Dec 11, 2018","90.35","94.14","94.29","86.37","212.25K","-4.02%"
"Dec 12, 2018","88.19","89.07","95.78","87.32","167.78K","-2.39%"
"Dec 13, 2018","78.26","88.13","88.38","76.92","236.58K","-11.25%"
"Dec 14, 2018","70.12","78.24","81.62","69.17","312.03K","-10.41%"
"Dec 15, 2018","67.82","70.12","73.76","64.15","301.75K","-3.27%"
"Dec 16, 2018","77.27","67.82","79.86","67.37","449.11K","13.94%"
"Dec 17, 2018","81.35","77.27","81.81","74.70","445.05K","5.28%"
"Dec 18, 2018","83.63","81.35","84.84","76.71","440.55K","2.80%"
"Dec 19, 2018","84.93","83.63","96.34","81.65","725.47K","1.55%"
"Dec 20, 2018","110.07","84.92","123.05","83.57","1.36M","29.61%"
"Dec 21, 2018","107.20","110.09","129.11","101.50","1.34M","-2.61%"
"Dec 22, 2018","107.82","107.18","113.10","101.09","583.80K","0.58%"
"Dec 23, 2018","105.83","107.82","112.74","103.14","480.94K","-1.84%"
"Dec 24, 2018","101.47","105.84","110.84","100.07","529.39K","-4.12%"
"Dec 25, 2018","92.20","101.49","101.49","88.16","501.87K","-9.13%"
"Dec 26, 2018","93.18","92.15","97.72","89.57","386.76K","1.05%"
"Dec 27, 2018","83.43","93.17","96.58","82.44","314.21K","-10.46%"
"Dec 28, 2018","91.73","83.64","92.79","81.02","395.96K","9.95%"
"Dec 29, 2018","86.69","91.73","92.31","86.35","266.27K","-5.50%"
"Dec 30, 2018","87.21","86.69","88.43","85.61","174.45K","0.61%"
"Dec 31, 2018","84.03","87.24","87.24","83.58","152.90K","-3.64%"
"Jan 01, 2019","90.67","84.10","94.33","83.66","320.60K","7.90%"
"Jan 02, 2019","92.97","90.88","94.18","88.73","271.39K","2.53%"
"Jan 03, 2019","87.40","92.97","94.09","85.65","244.82K","-5.99%"
"Jan 04, 2019","86.31","87.40","88.82","84.38","220.52K","-1.25%"
"Jan 05, 2019","87.17","86.25","90.48","85.38","187.67K","1.00%"
"Jan 06, 2019","88.44","87.16","89.77","85.70","170.93K","1.47%"
"Jan 07, 2019","87.72","88.42","88.42","86.61","120.12K","-0.82%"
"Jan 08, 2019","86.24","87.77","88.16","85.69","138.96K","-1.69%"
"Jan 09, 2019","85.77","86.25","86.61","85.45","106.84K","-0.54%"
"Jan 10, 2019","74.41","85.77","88.33","73.59","276.92K","-13.24%"
"Jan 11, 2019","73.50","74.40","75.25","72.38","192.51K","-1.23%"
"Jan 12, 2019","81.21","73.50","83.92","73.50","499.46K","10.50%"
"Jan 13, 2019","76.35","81.20","86.35","73.45","458.95K","-5.99%"
"Jan 14, 2019","79.02","76.35","80.91","75.01","279.80K","3.49%"
"Jan 15, 2019","76.02","79.02","80.66","75.01","208.23K","-3.79%"
"Jan 16, 2019","76.91","76.02","78.57","75.58","187.22K","1.17%"
"Jan 17, 2019","76.83","76.91","77.66","75.20","161.00K","-0.10%"
"Jan 18, 2019","74.97","76.83","77.55","74.38","159.19K","-2.43%"
"Jan 19, 2019","76.32","74.97","77.19","74.97","152.95K","1.80%"
"Jan 20, 2019","74.25","77.12","77.14","73.28","141.44K","-2.71%"
"Jan 21, 2019","74.26","74.25","76.42","73.85","143.93K","0.01%"
"Jan 22, 2019","75.34","74.22","76.28","72.09","169.06K","1.46%"
"Jan 23, 2019","75.00","75.34","76.89","74.46","157.88K","-0.45%"
"Jan 24, 2019","74.06","75.06","76.00","73.62","126.64K","-1.26%"
"Jan 25, 2019","74.15","74.03","76.74","73.42","148.86K","0.12%"
"Jan 26, 2019","73.43","74.15","76.31","73.29","128.91K","-0.96%"
"Jan 27, 2019","71.42","73.43","74.85","70.81","143.34K","-2.73%"
"Jan 28, 2019","64.50","71.42","71.46","62.12","242.10K","-9.70%"
"Jan 29, 2019","63.06","64.50","65.52","61.36","199.00K","-2.23%"
"Jan 30, 2019","65.94","63.06","67.75","62.52","205.46K","4.57%"
"Jan 31, 2019","63.47","65.94","67.08","62.65","168.99K","-3.75%"
"Feb 01, 2019","64.06","63.47","64.98","63.02","164.85K","0.94%"
"Feb 02, 2019","65.58","63.97","65.88","63.70","168.87K","2.38%"
"Feb 03, 2019","63.83","65.58","65.73","63.35","152.66K","-2.68%"
"Feb 04, 2019","63.08","63.85","64.23","62.94","143.53K","-1.18%"
"Feb 05, 2019","61.00","63.09","63.22","60.80","166.24K","-3.30%"
"Feb 06, 2019","62.81","61.01","69.56","57.60","416.40K","2.97%"
"Feb 07, 2019","62.50","62.81","65.98","61.06","256.75K","-0.48%"
"Feb 08, 2019","67.12","62.51","69.24","61.59","287.93K","7.38%"
"Feb 09, 2019","65.82","67.12","67.46","65.15","181.95K","-1.94%"
"Feb 10, 2019","66.59","65.81","66.59","63.47","170.71K","1.18%"
"Feb 11, 2019","65.05","66.60","66.89","64.82","165.86K","-2.31%"
"Feb 12, 2019","65.49","65.05","66.78","64.19","189.81K","0.67%"
"Feb 13, 2019","64.34","65.49","65.92","64.03","163.53K","-1.76%"
"Feb 14, 2019","62.34","64.38","64.55","62.34","156.79K","-3.11%"
"Feb 15, 2019","62.25","62.34","63.34","61.61","142.19K","-0.14%"
"Feb 16, 2019","62.13","62.24","62.97","61.79","134.14K","-0.20%"
"Feb 17, 2019","62.87","62.13","63.56","61.72","191.06K","1.20%"
"Feb 18, 2019","67.58","62.81","70.11","62.76","337.37K","7.49%"
"Feb 19, 2019","66.59","67.58","70.78","66.59","287.23K","-1.46%"
"Feb 20, 2019","67.10","66.59","67.64","64.80","211.35K","0.76%"
"Feb 21, 2019","65.19","67.10","67.56","64.62","182.20K","-2.84%"
"Feb 22, 2019","65.39","65.19","65.99","64.68","183.86K","0.30%"
"Feb 23, 2019","68.55","65.39","68.55","64.86","230.00K","4.83%"
"Feb 24, 2019","60.59","68.60","69.59","60.12","337.16K","-11.60%"
"Feb 25, 2019","67.63","60.59","71.75","60.50","453.81K","11.61%"
"Feb 26, 2019","73.82","67.63","75.14","67.60","4.17M","9.16%"
"Feb 27, 2019","67.45","73.82","73.93","65.67","1.71M","-8.64%"
"Feb 28, 2019","66.36","67.46","69.44","65.91","886.02K","-1.61%"
"Mar 01, 2019","66.41","66.36","67.96","66.01","476.57K","0.07%"
"Mar 02, 2019","66.23","66.41","66.93","65.52","322.82K","-0.27%"
"Mar 03, 2019","64.85","66.23","66.52","64.56","407.83K","-2.09%"
"Mar 04, 2019","62.71","64.83","64.91","62.07","504.83K","-3.30%"
"Mar 05, 2019","66.32","62.71","67.11","62.66","826.96K","5.76%"
"Mar 06, 2019","66.22","66.32","66.88","65.55","437.55K","-0.14%"
"Mar 07, 2019","66.19","66.22","66.63","65.71","371.76K","-0.05%"
"Mar 08, 2019","64.90","66.19","69.56","64.60","747.87K","-1.95%"
"Mar 09, 2019","66.41","64.90","68.26","64.84","489.95K","2.33%"
"Mar 10, 2019","66.33","66.41","68.27","65.66","338.87K","-0.12%"
"Mar 11, 2019","64.78","66.33","66.62","64.54","462.79K","-2.35%"
"Mar 12, 2019","65.41","64.78","65.68","63.74","357.82K","0.98%"
"Mar 13, 2019","64.28","65.41","65.63","63.98","363.23K","-1.72%"
"Mar 14, 2019","65.74","64.28","67.18","64.27","513.55K","2.26%"
"Mar 15, 2019","67.05","65.74","68.01","65.26","503.16K","2.00%"
"Mar 16, 2019","68.19","67.05","71.61","67.00","1.72M","1.70%"
"Mar 17, 2019","67.71","68.19","68.58","66.58","656.01K","-0.70%"
"Mar 18, 2019","66.58","67.72","69.90","65.70","1.06M","-1.67%"
"Mar 19, 2019","66.22","66.58","66.80","65.41","599.49K","-0.54%"
"Mar 20, 2019","66.24","66.22","66.39","65.32","680.65K","0.04%"
"Mar 21, 2019","65.20","66.25","68.18","63.75","1.01M","-1.57%"
"Mar 22, 2019","66.15","65.20","66.85","64.96","524.27K","1.46%"
"Mar 23, 2019","66.87","66.16","67.75","65.79","777.01K","1.08%"
"Mar 24, 2019","65.66","66.87","66.92","65.54","563.54K","-1.81%"
"Mar 25, 2019","64.16","65.66","65.69","63.28","733.99K","-2.29%"
"Mar 26, 2019","64.01","64.15","64.94","62.92","631.50K","-0.23%"
"Mar 27, 2019","65.24","64.01","65.34","63.89","553.58K","1.93%"
"Mar 28, 2019","63.89","65.24","65.25","63.83","544.72K","-2.07%"
"Mar 29, 2019","64.36","63.89","64.95","63.73","680.05K","0.73%"
"Mar 30, 2019","64.97","64.36","66.61","64.36","758.99K","0.95%"
"Mar 31, 2019","64.88","64.97","65.07","64.17","447.54K","-0.13%"
"Apr 01, 2019","65.86","64.88","66.57","64.47","814.70K","1.51%"
"Apr 02, 2019","78.70","65.86","80.75","65.85","3.98M","19.49%"
"Apr 03, 2019","82.83","78.70","95.37","78.46","9.73M","5.25%"
"Apr 04, 2019","82.65","82.83","92.64","80.29","996.50K","-0.22%"
"Apr 05, 2019","83.81","82.65","85.72","82.22","611.87K","1.41%"
"Apr 06, 2019","84.30","83.82","89.39","82.14","643.64K","0.59%"
"Apr 07, 2019","85.90","84.31","87.44","83.29","609.91K","1.90%"
"Apr 08, 2019","82.44","85.90","87.78","79.91","648.90K","-4.03%"
"Apr 09, 2019","78.04","82.44","82.45","76.57","547.74K","-5.33%"
"Apr 10, 2019","79.76","78.03","81.50","77.26","381.65K","2.20%"
"Apr 11, 2019","71.47","79.73","84.08","68.32","625.23K","-10.39%"
"Apr 12, 2019","70.92","71.46","74.63","68.49","535.31K","-0.77%"
"Apr 13, 2019","69.49","70.94","71.56","69.02","439.19K","-2.02%"
"Apr 14, 2019","70.90","69.49","70.96","68.77","388.15K","2.03%"
"Apr 15, 2019","59.04","70.92","74.17","58.61","1.05M","-16.73%"
"Apr 16, 2019","56.83","59.04","61.45","53.81","812.61K","-3.74%"
"Apr 17, 2019","55.05","56.80","56.87","54.34","523.30K","-3.14%"
"Apr 18, 2019","59.15","55.04","62.16","54.52","755.40K","7.46%"
"Apr 19, 2019","59.02","59.15","60.62","57.59","423.84K","-0.23%"
"Apr 20, 2019","58.41","59.02","59.27","58.18","432.19K","-1.02%"
"Apr 21, 2019","56.29","58.41","58.52","54.87","463.53K","-3.63%"
"Apr 22, 2019","57.48","56.33","59.27","55.16","333.55K","2.11%"
"Apr 23, 2019","55.89","57.48","58.48","55.86","398.45K","-2.77%"
"Apr 24, 2019","54.13","55.89","56.07","50.25","460.20K","-3.14%"
"Apr 25, 2019","52.25","54.13","55.89","51.50","432.54K","-3.47%"
"Apr 26, 2019","54.65","52.25","56.63","51.94","453.18K","4.58%"
"Apr 27, 2019","55.20","54.69","55.86","53.69","364.30K","1.01%"
"Apr 28, 2019","54.79","55.16","56.06","54.43","381.29K","-0.73%"
"Apr 29, 2019","53.26","54.79","54.94","52.71","429.65K","-2.79%"
"Apr 30, 2019","54.38","53.26","54.59","52.88","365.40K","2.11%"
"May 01, 2019","53.90","54.38","55.22","53.60","375.94K","-0.89%"
"May 02, 2019","53.52","53.82","54.27","52.96","414.07K","-0.70%"
"May 03, 2019","54.12","53.52","54.92","52.84","328.80K","1.11%"
"May 04, 2019","53.71","54.12","54.99","52.80","348.82K","-0.75%"
"May 05, 2019","53.73","53.71","54.76","53.25","304.10K","0.03%"
"May 06, 2019","52.79","53.73","53.74","51.82","309.42K","-1.75%"
"May 07, 2019","52.90","52.86","53.96","52.62","303.77K","0.21%"
"May 08, 2019","59.28","52.90","59.39","52.46","458.61K","12.06%"
"May 09, 2019","56.89","59.30","59.31","55.80","361.33K","-4.04%"
"May 10, 2019","57.71","56.89","58.72","55.69","316.27K","1.45%"
"May 11, 2019","60.54","57.71","63.22","57.13","462.15K","4.90%"
"May 12, 2019","57.91","60.52","64.37","56.21","379.24K","-4.35%"
"May 13, 2019","60.22","57.91","61.59","57.23","349.53K","3.99%"
"May 14, 2019","60.19","60.19","63.86","58.55","368.48K","-0.05%"
"May 15, 2019","72.03","60.16","74.36","59.93","543.97K","19.67%"
"May 16, 2019","64.66","71.91","75.20","63.44","1.33M","-10.23%"
"May 17, 2019","60.59","64.66","65.45","55.91","1.00M","-6.29%"
"May 18, 2019","59.67","60.59","61.19","59.07","481.13K","-1.52%"
"May 19, 2019","65.16","59.67","66.58","59.51","843.78K","9.19%"
"May 20, 2019","63.00","65.16","65.16","60.33","627.72K","-3.32%"
"May 21, 2019","105.73","63.01","139.08","61.52","2.49M","67.84%"
"May 22, 2019","105.05","105.76","118.34","97.58","1.47M","-0.65%"
"May 23, 2019","101.65","105.53","105.53","95.32","1.02M","-3.24%"
"May 24, 2019","98.71","101.61","101.66","96.12","993.23K","-2.89%"
"May 25, 2019","91.96","98.71","99.22","87.63","907.12K","-6.84%"
"May 26, 2019","105.38","91.97","113.86","87.47","1.26M","14.60%"
"May 27, 2019","115.44","105.38","122.14","103.61","1.42M","9.54%"
"May 28, 2019","121.71","115.44","126.30","114.25","1.06M","5.44%"
"May 29, 2019","204.83","121.72","206.59","114.27","37.40M","68.29%"
"May 30, 2019","182.52","204.84","250.77","173.77","3.26M","-10.89%"
"May 31, 2019","195.13","182.52","199.76","175.84","1.51M","6.91%"
"Jun 01, 2019","188.71","195.12","195.45","185.47","831.43K","-3.29%"
"Jun 02, 2019","190.85","188.71","192.74","183.78","716.99K","1.14%"
"Jun 03, 2019","218.60","190.85","236.24","190.77","2.18M","14.54%"
"Jun 04, 2019","228.73","218.57","233.04","204.95","1.67M","4.63%"
