"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2017","0.710000","0.590000","0.740000","0.590000","17.22M","20.34%"
"Jan 01, 2018","0.702200","0.710000","0.715000","0.632000","17.95M","-1.10%"
"Jan 02, 2018","0.762000","0.702200","0.800000","0.675000","10.97M","8.52%"
"Jan 03, 2018","1.080000","0.978180","1.090000","0.888210","20.23M","41.73%"
"Jan 04, 2018","1.104300","1.100000","1.350000","1.050000","19.60M","2.25%"
"Jan 05, 2018","0.994903","1.180000","1.300000","0.907010","18.53M","-9.91%"
"Jan 06, 2018","1.035795","1.009900","1.082999","0.922900","9.12M","4.11%"
"Jan 07, 2018","1.006000","1.020000","1.053430","0.980000","4.81M","-2.88%"
"Jan 08, 2018","0.900000","1.013000","1.013000","0.752000","10.97M","-10.54%"
"Jan 09, 2018","0.810000","0.900000","0.929000","0.772900","7.89M","-10.00%"
"Jan 10, 2018","0.776500","0.810000","0.829042","0.655933","12.11M","-4.14%"
"Jan 11, 2018","0.678000","0.782876","0.782876","0.523000","17.30M","-12.69%"
"Jan 12, 2018","0.890001","0.679000","0.922121","0.631002","13.17M","31.27%"
"Jan 13, 2018","0.879000","0.898261","0.957850","0.832900","9.33M","-1.24%"
"Jan 14, 2018","0.799989","0.879000","0.879000","0.729000","9.25M","-8.99%"
"Jan 15, 2018","0.771000","0.799989","0.866629","0.767270","6.27M","-3.62%"
"Jan 16, 2018","0.601240","0.772400","0.786244","0.450000","31.97M","-22.02%"
"Jan 17, 2018","0.624200","0.600000","0.683705","0.435300","36.73M","3.82%"
"Jan 18, 2018","0.650000","0.626000","0.698600","0.582000","17.86M","4.13%"
"Jan 19, 2018","0.645800","0.650000","0.691450","0.590000","14.52M","-0.65%"
"Jan 20, 2018","0.704857","0.647933","0.720000","0.640000","7.22M","9.14%"
"Jan 21, 2018","0.616456","0.704857","0.704857","0.580000","10.41M","-12.54%"
"Jan 22, 2018","0.567480","0.616456","0.640000","0.515000","10.80M","-7.94%"
"Jan 23, 2018","0.559800","0.567850","0.589670","0.516647","8.77M","-1.35%"
"Jan 24, 2018","0.629001","0.561948","0.649000","0.537000","8.79M","12.36%"
"Jan 25, 2018","0.642000","0.628000","0.684000","0.620000","7.76M","2.07%"
"Jan 26, 2018","0.626794","0.642000","0.655000","0.561100","18.15M","-2.37%"
"Jan 27, 2018","0.621320","0.626794","0.642000","0.595000","5.54M","-0.87%"
"Jan 28, 2018","0.642267","0.621320","0.667275","0.613098","6.47M","3.37%"
"Jan 29, 2018","0.602000","0.642267","0.646478","0.588000","5.84M","-6.27%"
"Jan 30, 2018","0.510000","0.591002","0.603000","0.500000","11.15M","-15.28%"
"Jan 31, 2018","0.507194","0.513567","0.517000","0.463001","8.36M","-0.55%"
"Feb 01, 2018","0.421712","0.508976","0.521698","0.389000","13.42M","-16.85%"
"Feb 02, 2018","0.400000","0.421712","0.421712","0.295801","41.52M","-5.15%"
"Feb 03, 2018","0.464000","0.404676","0.518541","0.345286","21.04M","16.00%"
"Feb 04, 2018","0.382002","0.458000","0.485000","0.364001","50.16M","-17.67%"
"Feb 05, 2018","0.317000","0.382001","0.396215","0.291541","37.06M","-17.02%"
"Feb 06, 2018","0.359000","0.317000","0.369196","0.262000","53.75M","13.25%"
"Feb 07, 2018","0.331000","0.359000","0.380000","0.320000","30.36M","-7.80%"
"Feb 08, 2018","0.345000","0.331000","0.360970","0.323459","20.62M","4.23%"
"Feb 09, 2018","0.376500","0.345000","0.384950","0.320011","16.90M","9.13%"
"Feb 10, 2018","0.381000","0.378990","0.438400","0.358000","47.74M","1.20%"
"Feb 11, 2018","0.356066","0.383626","0.383820","0.347338","16.19M","-6.54%"
"Feb 12, 2018","0.378675","0.356066","0.390009","0.356040","9.08M","6.35%"
"Feb 13, 2018","0.364899","0.378932","0.381149","0.351453","6.71M","-3.64%"
"Feb 14, 2018","0.395507","0.364899","0.397520","0.359301","14.75M","8.39%"
"Feb 15, 2018","0.391873","0.394802","0.405745","0.372696","11.27M","-0.92%"
"Feb 16, 2018","0.395991","0.391873","0.398875","0.374075","8.14M","1.05%"
"Feb 17, 2018","0.417151","0.395991","0.420599","0.391253","12.43M","5.34%"
"Feb 18, 2018","0.368394","0.417151","0.417151","0.366168","14.85M","-11.69%"
"Feb 19, 2018","0.379084","0.367938","0.390858","0.367572","12.32M","2.90%"
"Feb 20, 2018","0.349170","0.379084","0.389500","0.347220","17.32M","-7.89%"
"Feb 21, 2018","0.334378","0.348267","0.355876","0.326480","16.72M","-4.24%"
"Feb 22, 2018","0.313682","0.334378","0.353337","0.307246","13.54M","-6.19%"
"Feb 23, 2018","0.326010","0.313677","0.336075","0.305394","12.20M","3.93%"
