"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2018","0.49","0.51","0.52","0.37","21.74K","-4.10%"
"Feb 03, 2018","0.51","0.49","0.54","0.47","12.69K","3.48%"
"Feb 04, 2018","0.44","0.51","0.52","0.42","19.42K","-14.26%"
"Feb 05, 2018","0.40","0.44","0.46","0.32","17.42K","-8.82%"
"Feb 06, 2018","0.42","0.40","0.45","0.28","42.93K","6.22%"
"Feb 07, 2018","0.38","0.42","0.46","0.36","16.00K","-10.36%"
"Feb 08, 2018","0.42","0.38","0.43","0.38","2.66K","10.90%"
"Feb 09, 2018","0.44","0.42","0.46","0.39","22.35K","5.49%"
"Feb 10, 2018","0.41","0.44","0.47","0.40","36.73K","-6.97%"
"Feb 11, 2018","0.42","0.41","0.43","0.38","9.05K","1.92%"
"Feb 12, 2018","0.49","0.42","0.53","0.40","16.75K","17.96%"
"Feb 13, 2018","0.57","0.49","0.62","0.45","27.11K","15.31%"
"Feb 14, 2018","0.57","0.57","0.58","0.52","14.68K","0.00%"
"Feb 15, 2018","0.56","0.57","0.58","0.53","15.25K","0.00%"
"Feb 16, 2018","0.67","0.56","0.68","0.56","10.58K","18.92%"
"Feb 17, 2018","0.68","0.67","0.69","0.59","15.93K","1.22%"
"Feb 18, 2018","0.70","0.68","0.80","0.58","18.89K","3.69%"
"Feb 19, 2018","0.78","0.70","0.87","0.69","61.63K","10.76%"
"Feb 20, 2018","0.75","0.78","0.82","0.73","21.03K","-3.83%"
"Feb 21, 2018","0.62","0.75","0.75","0.62","6.59K","-17.70%"
"Feb 22, 2018","0.62","0.62","0.70","0.56","3.89K","0.00%"
"Feb 23, 2018","0.67","0.62","0.68","0.58","2.08K","8.34%"
"Feb 24, 2018","0.65","0.67","0.72","0.59","14.51K","-3.32%"
"Feb 25, 2018","0.68","0.65","0.69","0.60","18.02K","4.68%"
"Feb 26, 2018","0.69","0.68","0.71","0.61","16.69K","2.04%"
"Feb 27, 2018","0.72","0.69","0.78","0.66","6.13K","4.21%"
"Feb 28, 2018","0.66","0.72","0.77","0.66","10.24K","-8.49%"
"Mar 01, 2018","0.68","0.66","0.68","0.65","9.27K","3.10%"
"Mar 02, 2018","0.65","0.68","0.71","0.62","3.58K","-5.41%"
"Mar 03, 2018","0.65","0.65","0.67","0.62","10.75K","0.87%"
"Mar 04, 2018","0.59","0.65","0.66","0.59","9.71K","-9.19%"
"Mar 05, 2018","0.57","0.59","0.63","0.57","10.06K","-2.69%"
"Mar 06, 2018","0.57","0.57","0.60","0.54","12.69K","0.00%"
"Mar 07, 2018","0.52","0.57","0.60","0.44","26.49K","-8.17%"
"Mar 08, 2018","0.53","0.52","0.53","0.47","8.18K","0.00%"
"Mar 09, 2018","0.45","0.53","0.53","0.44","3.68K","-15.23%"
"Mar 10, 2018","0.47","0.45","0.52","0.45","6.63K","4.58%"
"Mar 11, 2018","0.51","0.47","0.51","0.45","8.38K","9.43%"
"Mar 12, 2018","0.49","0.51","0.55","0.49","26.24K","-3.87%"
"Mar 13, 2018","0.56","0.49","0.56","0.49","6.60K","13.72%"
"Mar 14, 2018","0.45","0.56","0.57","0.43","10.03K","-19.44%"
"Mar 15, 2018","0.42","0.45","0.45","0.40","5.90K","-7.77%"
"Mar 16, 2018","0.42","0.42","0.44","0.40","8.55K","0.00%"
"Mar 17, 2018","0.41","0.42","0.42","0.38","2.26K","0.00%"
"Mar 18, 2018","0.39","0.41","0.41","0.28","16.03K","-5.14%"
"Mar 19, 2018","0.37","0.39","0.39","0.34","4.99K","-4.27%"
"Mar 20, 2018","0.39","0.37","0.39","0.36","5.96K","3.93%"
"Mar 21, 2018","0.44","0.39","0.44","0.35","4.65K","13.93%"
"Mar 22, 2018","0.43","0.44","0.50","0.38","26.75K","-3.61%"
"Mar 23, 2018","0.40","0.43","0.44","0.38","11.23K","-6.37%"
"Mar 24, 2018","0.42","0.40","0.43","0.39","5.58K","5.30%"
"Mar 25, 2018","0.41","0.42","0.42","0.38","11.43K","-2.54%"
"Mar 26, 2018","0.37","0.41","0.41","0.35","32.47K","-10.45%"
"Mar 27, 2018","0.35","0.37","0.37","0.35","6.47K","-5.52%"
"Mar 28, 2018","0.35","0.35","0.38","0.33","10.10K","2.04%"
"Mar 29, 2018","0.29","0.35","0.36","0.29","17.22K","-18.99%"
"Mar 30, 2018","0.28","0.29","0.31","0.28","16.14K","-3.34%"
"Mar 31, 2018","0.29","0.28","0.31","0.27","4.50K","5.98%"
"Apr 01, 2018","0.28","0.29","0.30","0.26","12.97K","-5.71%"
