"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2019","4.5473","4.0217","4.6744","4.0139","1.52M","13.02%"
"May 16, 2019","4.2728","4.5473","4.7858","4.0073","1.87M","-6.04%"
"May 17, 2019","4.4733","4.2728","4.7942","3.9808","1.57M","4.69%"
"May 18, 2019","4.6999","4.4733","4.9659","4.3411","516.11K","5.07%"
"May 19, 2019","4.8683","4.6999","5.1632","4.6529","1.08M","3.58%"
"May 20, 2019","4.6664","4.8694","4.8694","4.4533","952.76K","-4.15%"
"May 21, 2019","4.7393","4.6682","4.7991","4.4943","735.27K","1.56%"
"May 22, 2019","4.3078","4.7393","4.8087","4.3078","972.24K","-9.11%"
"May 23, 2019","4.3360","4.3078","4.3580","4.1208","798.08K","0.65%"
"May 24, 2019","4.4584","4.3360","4.7616","4.2669","1.31M","2.82%"
"May 25, 2019","4.3866","4.4584","4.5948","4.3049","945.19K","-1.61%"
"May 26, 2019","4.4868","4.3866","4.5436","4.2685","1.32M","2.28%"
"May 27, 2019","4.6593","4.4870","4.6877","4.4778","2.83M","3.84%"
"May 28, 2019","4.7828","4.6594","4.8722","4.4849","1.14M","2.65%"
"May 29, 2019","4.6945","4.7828","4.8625","4.5046","794.52K","-1.85%"
"May 30, 2019","5.8823","4.6937","6.5758","4.6838","1.10M","25.30%"
"May 31, 2019","5.7951","5.9165","5.9553","5.2238","902.34K","-1.48%"
"Jun 01, 2019","5.7690","5.7889","6.3197","5.6271","1.10M","-0.45%"
"Jun 02, 2019","6.3899","5.7715","6.4050","5.5919","715.45K","10.76%"
"Jun 03, 2019","6.5201","6.3899","7.2342","5.9938","973.26K","2.04%"
"Jun 04, 2019","5.9283","6.5193","6.8442","5.7894","873.78K","-9.08%"
"Jun 05, 2019","6.1447","5.9297","6.2576","5.6343","497.24K","3.65%"
"Jun 06, 2019","5.9882","6.1447","6.1447","5.6394","385.45K","-2.55%"
"Jun 07, 2019","6.2931","5.9828","6.5500","5.8879","389.44K","5.09%"
"Jun 08, 2019","6.0912","6.2931","6.3115","5.9446","253.62K","-3.21%"
"Jun 09, 2019","5.8402","6.0912","6.1789","5.6958","305.88K","-4.12%"
"Jun 10, 2019","6.0840","5.8343","6.0840","5.7408","308.16K","4.17%"
"Jun 11, 2019","5.9400","6.0836","6.1348","5.7720","385.76K","-2.37%"
"Jun 12, 2019","6.1152","5.9400","6.2560","5.8548","374.90K","2.95%"
"Jun 13, 2019","6.2687","6.1152","6.5008","6.0282","361.63K","2.51%"
"Jun 14, 2019","6.2377","6.2683","6.2764","5.8843","432.37K","-0.50%"
"Jun 15, 2019","6.1625","6.2377","6.2656","6.1093","481.44K","-1.20%"
"Jun 16, 2019","6.7156","6.1647","6.7357","6.1351","551.00K","8.97%"
"Jun 17, 2019","7.0019","6.7156","7.0901","6.4600","351.88K","4.26%"
"Jun 18, 2019","6.5869","7.0019","7.0244","6.4767","521.79K","-5.93%"
"Jun 19, 2019","6.6257","6.5869","6.8013","6.5542","298.87K","0.59%"
"Jun 20, 2019","6.5020","6.6259","6.6292","6.2993","359.69K","-1.87%"
"Jun 21, 2019","6.5207","6.5020","6.5834","6.3425","553.55K","0.29%"
"Jun 22, 2019","6.7743","6.5210","6.8971","6.4594","974.48K","3.89%"
"Jun 23, 2019","6.8314","6.7642","7.1856","6.7202","500.28K","0.84%"
"Jun 24, 2019","6.6664","6.8314","6.8343","6.5542","391.47K","-2.42%"
"Jun 25, 2019","6.5665","6.6676","6.7377","6.4799","674.79K","-1.50%"
"Jun 26, 2019","6.3381","6.5665","6.8327","6.1588","1.64M","-3.48%"
"Jun 27, 2019","5.5461","6.3357","6.4042","5.3541","2.00M","-12.50%"
"Jun 28, 2019","5.9242","5.5461","5.9655","5.4739","1.52M","6.82%"
"Jun 29, 2019","6.0757","5.9242","6.1674","5.6457","750.81K","2.56%"
"Jun 30, 2019","5.4353","6.0635","6.1045","5.4284","750.26K","-10.54%"
"Jul 01, 2019","5.4787","5.4352","5.7115","5.1576","918.76K","0.80%"
"Jul 02, 2019","5.3315","5.4792","5.6558","5.1295","969.34K","-2.69%"
"Jul 03, 2019","5.5715","5.3315","5.6246","5.3062","868.43K","4.50%"
"Jul 04, 2019","5.4769","5.5802","5.7476","5.4692","666.66K","-1.70%"
"Jul 05, 2019","5.3961","5.4769","5.4976","5.3368","531.80K","-1.48%"
"Jul 06, 2019","5.2987","5.4510","5.4837","5.2402","878.15K","-1.80%"
"Jul 07, 2019","5.3860","5.2987","5.4146","5.2032","634.66K","1.65%"
"Jul 08, 2019","5.1769","5.3860","5.4195","5.1080","722.41K","-3.88%"
"Jul 09, 2019","4.9846","5.1769","5.1865","4.8771","845.36K","-3.71%"
"Jul 10, 2019","4.4845","4.9846","4.9899","4.1990","2.19M","-10.03%"
"Jul 11, 2019","4.3560","4.4854","4.6446","4.0520","2.20M","-2.87%"
"Jul 12, 2019","4.5191","4.3560","4.6045","4.2692","994.23K","3.74%"
"Jul 13, 2019","4.2727","4.5191","4.5191","4.1520","1.05M","-5.45%"
"Jul 14, 2019","3.8234","4.2727","4.2788","3.7937","2.11M","-10.52%"
"Jul 15, 2019","4.1535","3.8247","4.4563","3.5659","2.42M","8.63%"
"Jul 16, 2019","3.6522","4.1535","4.2235","3.5499","2.97M","-12.07%"
"Jul 17, 2019","3.8145","3.6522","4.0281","3.5686","2.49M","4.44%"
"Jul 18, 2019","4.0845","3.8145","4.1715","3.6824","1.85M","7.08%"
"Jul 19, 2019","3.9266","4.0845","4.1623","3.8021","1.11M","-3.87%"
"Jul 20, 2019","4.0473","3.9261","4.1786","3.9172","1.13M","3.07%"
"Jul 21, 2019","4.2210","4.0473","4.3172","3.9768","1.03M","4.29%"
"Jul 22, 2019","3.9886","4.2210","4.3351","3.9015","1.41M","-5.51%"
"Jul 23, 2019","3.7178","3.9886","3.9897","3.6874","1.09M","-6.79%"
"Jul 24, 2019","3.9006","3.7178","4.0740","3.6034","2.39M","4.92%"
"Jul 25, 2019","3.8013","3.9007","4.0290","3.7912","1.24M","-2.55%"
"Jul 26, 2019","3.8870","3.8013","3.9108","3.6903","769.54K","2.26%"
"Jul 27, 2019","3.6182","3.8880","5.1000","3.5553","1.31M","-6.92%"
"Jul 28, 2019","3.6157","3.6210","3.6725","3.4966","1.53M","-0.07%"
"Jul 29, 2019","3.5951","3.6152","3.6864","3.5297","843.36K","-0.57%"
"Jul 30, 2019","3.5975","3.5951","3.6495","3.5086","642.37K","0.07%"
"Jul 31, 2019","3.6500","3.5975","3.7484","3.5767","1.40M","1.46%"
"Aug 01, 2019","3.5390","3.6546","3.6552","3.4574","558.91K","-3.04%"
"Aug 02, 2019","3.6485","3.5390","3.9097","3.5064","722.82K","3.10%"
"Aug 03, 2019","3.6882","3.6485","3.7654","3.6281","608.41K","1.09%"
"Aug 04, 2019","3.5967","3.6882","3.7557","3.5201","435.84K","-2.48%"
"Aug 05, 2019","3.7738","3.5967","3.8699","3.5967","1.04M","4.92%"
"Aug 06, 2019","3.5652","3.7738","3.7799","3.5220","1.07M","-5.53%"
"Aug 07, 2019","3.4943","3.5652","3.6885","3.4715","1.12M","-1.99%"
"Aug 08, 2019","3.2762","3.4943","3.5027","3.1440","1.09M","-6.24%"
"Aug 09, 2019","3.1456","3.2760","3.3162","3.0761","1.70M","-3.99%"
"Aug 10, 2019","3.3458","3.1456","3.3793","3.1388","2.49M","6.37%"
"Aug 11, 2019","3.5434","3.3458","3.5458","3.2900","2.54M","5.91%"
"Aug 12, 2019","3.3377","3.5420","3.6489","3.3331","1.24M","-5.80%"
"Aug 13, 2019","3.2564","3.3374","3.3471","3.1496","2.31M","-2.44%"
"Aug 14, 2019","2.8499","3.2564","3.2959","2.8483","3.95M","-12.48%"
"Aug 15, 2019","2.8940","2.8499","2.9883","2.7038","2.59M","1.55%"
"Aug 16, 2019","2.8855","2.8940","3.0138","2.8108","752.46K","-0.29%"
"Aug 17, 2019","2.9089","2.8855","2.9089","2.8320","440.24K","0.81%"
"Aug 18, 2019","2.9719","2.9089","2.9831","2.8545","640.94K","2.16%"
"Aug 19, 2019","2.8938","2.9719","2.9739","2.7773","463.19K","-2.63%"
"Aug 20, 2019","2.8679","2.8946","2.9242","2.7575","510.62K","-0.90%"
"Aug 21, 2019","2.6654","2.8680","2.8700","2.5919","828.59K","-7.06%"
"Aug 22, 2019","2.7103","2.6654","2.7421","2.5758","675.01K","1.68%"
"Aug 23, 2019","2.7140","2.7103","2.7632","2.6499","660.20K","0.14%"
"Aug 24, 2019","2.6917","2.7133","2.7263","2.6043","512.45K","-0.82%"
"Aug 25, 2019","2.6221","2.6917","2.7327","2.6104","487.25K","-2.58%"
"Aug 26, 2019","2.6209","2.6221","2.6964","2.5896","596.40K","-0.05%"
"Aug 27, 2019","2.5677","2.6209","2.6377","2.5031","459.60K","-2.03%"
"Aug 28, 2019","2.3235","2.5673","2.6721","2.3178","724.41K","-9.51%"
"Aug 29, 2019","2.1589","2.3235","2.8346","2.1531","806.59K","-7.09%"
"Aug 30, 2019","2.1564","2.1586","2.2223","2.0892","543.79K","-0.12%"
"Aug 31, 2019","2.0140","2.1559","2.1612","1.9822","1.32M","-6.60%"
"Sep 01, 2019","2.1258","2.0140","2.2303","2.0044","1.96M","5.55%"
"Sep 02, 2019","2.1212","2.1254","2.1732","2.0643","2.22M","-0.22%"
"Sep 03, 2019","2.1484","2.1208","2.2198","2.1205","3.57M","1.28%"
"Sep 04, 2019","2.0376","2.1487","2.1496","2.0234","2.92M","-5.15%"
"Sep 05, 2019","1.9490","2.0375","2.0376","1.9012","2.33M","-4.35%"
"Sep 06, 2019","2.0291","1.9490","2.2354","1.9473","3.06M","4.11%"
"Sep 07, 2019","2.1644","2.0298","2.2768","2.0293","4.11M","6.67%"
"Sep 08, 2019","2.7229","2.1634","2.7313","2.1509","3.91M","25.81%"
"Sep 09, 2019","2.7364","2.7212","2.9535","2.4352","5.56M","0.50%"
"Sep 10, 2019","2.5855","2.7358","2.9412","2.5109","3.81M","-5.52%"
"Sep 11, 2019","2.5737","2.5855","2.7028","2.4041","2.99M","-0.46%"
"Sep 12, 2019","3.0672","2.5734","3.1984","2.4997","2.00M","19.17%"
"Sep 13, 2019","3.1705","3.0672","3.2784","2.9928","2.79M","3.37%"
"Sep 14, 2019","3.1063","3.1798","3.2378","2.9896","3.72M","-2.03%"
"Sep 15, 2019","3.4346","3.1035","3.5307","3.1035","2.95M","10.57%"
"Sep 16, 2019","3.3329","3.4360","3.5592","3.1472","4.04M","-2.96%"
"Sep 17, 2019","3.2871","3.3330","3.4360","3.1895","3.32M","-1.37%"
"Sep 18, 2019","3.3058","3.2818","3.3841","3.2404","3.57M","0.57%"
"Sep 19, 2019","3.1277","3.3058","3.3058","2.9264","4.28M","-5.39%"
"Sep 20, 2019","3.1840","3.1305","3.2518","3.0527","2.47M","1.80%"
"Sep 21, 2019","3.0705","3.1835","3.2874","3.0250","2.85M","-3.57%"
"Sep 22, 2019","2.9109","3.0706","3.0774","2.7811","3.16M","-5.20%"
"Sep 23, 2019","2.5686","2.9057","2.9135","2.5686","2.92M","-11.76%"
"Sep 24, 2019","2.2227","2.5626","2.6459","1.9207","9.69M","-13.46%"
"Sep 25, 2019","2.2847","2.2157","2.4272","2.1599","8.08M","2.79%"
"Sep 26, 2019","2.2178","2.2861","2.3451","2.0483","5.00M","-2.93%"
"Sep 27, 2019","2.3118","2.2170","2.3267","1.9802","3.15M","4.24%"
"Sep 28, 2019","2.2124","2.3088","2.3266","2.0674","2.64M","-4.30%"
"Sep 29, 2019","2.1188","2.2133","2.2251","2.0673","3.60M","-4.23%"
"Sep 30, 2019","2.3560","2.1232","2.3566","2.0260","4.40M","11.19%"
"Oct 01, 2019","2.5332","2.5434","2.6307","2.4827","3.23M","7.52%"
"Oct 02, 2019","2.6034","2.5332","2.6203","2.4182","3.43M","2.77%"
"Oct 03, 2019","2.5828","2.6029","2.6645","2.4899","3.15M","-0.79%"
"Oct 04, 2019","2.5668","2.5826","2.6144","2.4586","3.60M","-0.62%"
"Oct 05, 2019","2.7652","2.5668","2.7689","2.5398","3.01M","7.73%"
"Oct 06, 2019","2.6411","2.7652","2.7853","2.5738","3.48M","-4.49%"
"Oct 07, 2019","2.8923","2.6413","2.9512","2.5462","4.94M","9.51%"
"Oct 08, 2019","2.8980","2.8894","3.0585","2.8142","2.94M","0.20%"
"Oct 09, 2019","2.8937","2.8972","3.0101","2.8182","4.55M","-0.15%"
"Oct 10, 2019","2.8922","2.9035","2.9905","2.7248","3.41M","-0.05%"
"Oct 11, 2019","2.8073","2.8914","2.9153","2.7220","3.40M","-2.94%"
"Oct 12, 2019","2.8253","2.8092","2.8532","2.7687","2.33M","0.64%"
"Oct 13, 2019","2.8676","2.8253","2.9095","2.7103","1.88M","1.50%"
"Oct 14, 2019","3.0868","2.8672","3.1168","2.8658","2.44M","7.65%"
"Oct 15, 2019","2.9332","3.0868","3.1562","2.8929","3.25M","-4.98%"
"Oct 16, 2019","2.8380","2.9322","2.9483","2.6846","2.92M","-3.24%"
"Oct 17, 2019","2.9108","2.8380","2.9434","2.7375","1.83M","2.56%"
"Oct 18, 2019","2.7425","2.9108","2.9175","2.6937","3.23M","-5.78%"
"Oct 19, 2019","2.7423","2.7425","2.7921","2.6963","1.98M","-0.01%"
"Oct 20, 2019","2.8878","2.7423","2.9298","2.6838","1.76M","5.31%"
"Oct 21, 2019","2.9817","2.8712","2.9967","2.8352","2.18M","3.25%"
"Oct 22, 2019","2.8698","2.9838","3.0088","2.8488","2.72M","-3.75%"
"Oct 23, 2019","2.6799","2.8692","2.8952","2.5555","4.95M","-6.62%"
"Oct 24, 2019","2.8184","2.6842","2.8469","2.6383","2.82M","5.17%"
"Oct 25, 2019","3.0496","2.8184","3.1229","2.7692","7.79M","8.21%"
"Oct 26, 2019","3.0824","3.0496","3.2598","2.9808","11.35M","1.07%"
"Oct 27, 2019","3.1961","3.0819","3.2949","2.9625","5.35M","3.69%"
"Oct 28, 2019","3.1056","3.1961","3.3318","3.0715","5.15M","-2.83%"
"Oct 29, 2019","3.1521","3.1065","3.1935","3.0562","3.59M","1.50%"
"Oct 30, 2019","3.0103","3.1521","3.1923","2.9512","3.06M","-4.50%"
"Oct 31, 2019","3.2677","3.0096","3.2911","3.0091","1.81M","8.55%"
"Nov 01, 2019","3.2537","3.2677","3.2920","3.1652","725.20K","-0.43%"
"Nov 02, 2019","3.4120","3.2537","3.4648","3.2537","668.99K","4.87%"
"Nov 03, 2019","3.3780","3.4120","3.4421","3.2892","561.44K","-1.00%"
"Nov 04, 2019","3.6139","3.3780","3.6434","3.3283","1.50M","6.98%"
"Nov 05, 2019","3.7511","3.6139","3.8016","3.5365","2.25M","3.80%"
"Nov 06, 2019","3.8403","3.7511","3.8870","3.7053","1.08M","2.38%"
"Nov 07, 2019","3.8657","3.8403","3.8735","3.6442","910.30K","0.66%"
"Nov 08, 2019","3.8041","3.8657","4.0053","3.6553","1.16M","-1.59%"
"Nov 09, 2019","3.9633","3.8084","3.9753","3.8007","466.72K","4.18%"
"Nov 10, 2019","4.1988","3.9633","4.2723","3.8894","1.23M","5.94%"
"Nov 11, 2019","4.3499","4.1988","4.3744","4.0594","980.02K","3.60%"
"Nov 12, 2019","4.2132","4.3499","4.3499","4.0209","919.44K","-3.14%"
"Nov 13, 2019","3.9935","4.2132","4.2350","3.9601","450.64K","-5.21%"
"Nov 14, 2019","4.0087","3.9935","4.0087","3.7767","599.32K","0.38%"
"Nov 15, 2019","3.9134","4.0069","4.1412","3.8067","1.22M","-2.38%"
"Nov 16, 2019","3.9647","3.9134","3.9647","3.8498","362.88K","1.31%"
"Nov 17, 2019","3.8922","3.9625","3.9716","3.8143","457.75K","-1.83%"
"Nov 18, 2019","3.6073","3.8922","3.8922","3.5115","1.16M","-7.32%"
"Nov 19, 2019","3.4924","3.6073","3.6136","3.3416","808.66K","-3.19%"
"Nov 20, 2019","3.3252","3.4924","3.5895","3.3008","0.02K","-4.78%"
"Nov 21, 2019","3.1941","3.3252","3.4184","3.1178","1.22M","-3.95%"
"Nov 22, 2019","2.9339","3.1942","3.2947","2.6355","2.48M","-8.14%"
"Nov 23, 2019","3.2199","2.9339","3.2312","2.8597","898.12K","9.75%"
"Nov 24, 2019","3.0694","3.2199","3.2685","2.9882","1.52M","-4.67%"
"Nov 25, 2019","3.3966","3.0955","3.4919","2.9907","2.24M","10.66%"
"Nov 26, 2019","3.4893","3.3892","3.6648","3.3777","943.02K","2.73%"
"Nov 27, 2019","3.5679","3.4893","3.7629","3.2822","1.54M","2.25%"
"Nov 28, 2019","3.6742","3.5679","3.7558","3.4871","1.28M","2.98%"
"Nov 29, 2019","4.0125","3.6740","4.1001","3.6698","2.82M","9.21%"
"Nov 30, 2019","3.9209","4.0125","4.0895","3.8190","1.81M","-2.28%"
"Dec 01, 2019","3.8054","3.9209","3.9320","3.5858","2.51M","-2.95%"
"Dec 02, 2019","3.6736","3.8054","3.9000","3.5960","2.26M","-3.46%"
"Dec 03, 2019","3.6303","3.6736","3.8175","3.6270","1.41M","-1.18%"
"Dec 04, 2019","3.5534","3.6303","3.7870","3.4237","3.28M","-2.12%"
"Dec 05, 2019","3.4847","3.5532","3.6169","3.4534","1.93M","-1.93%"
"Dec 06, 2019","3.6551","3.4847","3.6928","3.4625","2.02M","4.89%"
"Dec 07, 2019","3.7601","3.6551","3.8668","3.6406","1.21M","2.87%"
"Dec 08, 2019","3.9167","3.7594","3.9848","3.6926","1.35M","4.16%"
"Dec 09, 2019","3.6665","3.9167","3.9391","3.6481","1.82M","-6.39%"
"Dec 10, 2019","3.5829","3.6665","3.7406","3.5166","1.65M","-2.28%"
"Dec 11, 2019","3.8214","3.5829","3.8609","3.5769","1.62M","6.66%"
"Dec 12, 2019","4.0923","3.8214","4.1749","3.7550","2.24M","7.09%"
"Dec 13, 2019","3.9845","4.0923","4.2280","3.9815","2.15M","-2.63%"
"Dec 14, 2019","4.2580","3.9845","4.3119","3.9770","1.60M","6.86%"
"Dec 15, 2019","4.5323","4.2580","4.7054","4.1657","1.34M","6.44%"
"Dec 16, 2019","4.0537","4.5323","4.6677","4.0177","3.38M","-10.56%"
"Dec 17, 2019","3.5865","4.0539","4.1337","3.5851","9.22M","-11.52%"
"Dec 18, 2019","4.2659","3.5984","4.5243","3.5857","8.15M","18.94%"
"Dec 19, 2019","4.2699","4.2652","4.3528","4.0770","3.30M","0.09%"
"Dec 20, 2019","4.3023","4.2699","4.3767","4.1321","2.75M","0.76%"
"Dec 21, 2019","4.0496","4.3023","4.3270","4.0301","1.15M","-5.87%"
"Dec 22, 2019","4.1696","4.0496","4.2089","4.0460","1.75M","2.96%"
"Dec 23, 2019","4.3035","4.1696","4.3531","4.1467","3.30M","3.21%"
"Dec 24, 2019","4.3849","4.3035","4.4084","4.2524","3.27M","1.89%"
"Dec 25, 2019","4.2531","4.3849","4.3871","4.1593","2.24M","-3.01%"
"Dec 26, 2019","4.5563","4.2531","4.6335","4.2531","3.32M","7.13%"
"Dec 27, 2019","4.5065","4.5561","4.7827","4.4527","2.75M","-1.09%"
"Dec 28, 2019","4.3964","4.5065","4.7138","4.3957","2.70M","-2.44%"
"Dec 29, 2019","4.2458","4.3964","4.4546","4.2220","2.75M","-3.42%"
"Dec 30, 2019","4.1627","4.2458","4.3962","4.1176","2.72M","-1.96%"
"Dec 31, 2019","4.2213","4.1630","4.3144","4.0993","2.18M","1.41%"
"Jan 01, 2020","4.3811","4.2213","4.4782","4.2119","1.64M","3.78%"
"Jan 02, 2020","4.0955","4.3790","4.3915","4.0762","3.15M","-6.52%"
"Jan 03, 2020","4.2409","4.0955","4.3486","3.9998","4.19M","3.55%"
"Jan 04, 2020","4.2551","4.2422","4.3783","4.2253","1.71M","0.34%"
"Jan 05, 2020","4.2070","4.2551","4.3663","4.1854","3.55M","-1.13%"
"Jan 06, 2020","4.1037","4.2070","4.2379","4.0138","4.36M","-2.46%"
"Jan 07, 2020","4.0812","4.1060","4.2485","4.0600","5.48M","-0.55%"
"Jan 08, 2020","3.9899","4.0812","4.1766","3.9600","6.32M","-2.24%"
"Jan 09, 2020","4.2399","3.9899","4.2473","3.9527","3.55M","6.27%"
"Jan 10, 2020","4.2744","4.2384","4.4299","4.1841","6.68M","0.81%"
"Jan 11, 2020","4.2681","4.2725","4.4303","4.2642","5.42M","-0.15%"
"Jan 12, 2020","4.2525","4.2686","4.3358","4.2197","4.01M","-0.37%"
"Jan 13, 2020","4.2423","4.2528","4.3154","4.1110","2.85M","-0.24%"
"Jan 14, 2020","4.5353","4.2423","4.6549","4.2158","13.27M","6.91%"
"Jan 15, 2020","4.5740","4.5338","4.9526","4.4095","13.42M","0.85%"
"Jan 16, 2020","5.0879","4.5740","5.3971","4.1942","9.64M","11.23%"
"Jan 17, 2020","5.0077","5.0873","5.3156","4.7343","12.60M","-1.58%"
"Jan 18, 2020","4.6209","5.0082","5.0279","4.6086","8.56M","-7.72%"
"Jan 19, 2020","4.5190","4.6209","4.7720","4.3802","9.43M","-2.20%"
"Jan 20, 2020","4.5026","4.5178","4.6628","4.4096","5.18M","-0.36%"
"Jan 21, 2020","4.6422","4.5026","4.7391","4.4609","4.23M","3.10%"
"Jan 22, 2020","4.6563","4.6422","4.6982","4.5620","4.16M","0.30%"
"Jan 23, 2020","4.4555","4.6527","4.6894","4.3818","4.77M","-4.31%"
"Jan 24, 2020","4.4808","4.4555","4.5307","4.3467","6.07M","0.57%"
"Jan 25, 2020","4.3866","4.4808","4.5133","4.3587","3.24M","-2.10%"
"Jan 26, 2020","4.4785","4.3868","4.5011","4.3666","2.76M","2.10%"
"Jan 27, 2020","4.5157","4.4785","4.6685","4.4044","7.68M","0.83%"
"Jan 28, 2020","4.5870","4.5126","4.6075","4.4750","7.29M","1.58%"
"Jan 29, 2020","4.4042","4.5858","4.5936","4.3622","5.83M","-3.99%"
"Jan 30, 2020","4.4118","4.4037","4.4820","4.3006","8.05M","0.17%"
"Jan 31, 2020","4.3913","4.4123","4.6167","4.2994","6.78M","-0.46%"
"Feb 01, 2020","4.3858","4.3913","4.4455","4.2987","4.08M","-0.13%"
"Feb 02, 2020","4.4037","4.3859","4.4738","4.2474","5.42M","0.41%"
"Feb 03, 2020","4.2662","4.4018","4.4894","4.2497","5.73M","-3.12%"
"Feb 04, 2020","4.2144","4.2662","4.2716","4.0106","4.48M","-1.21%"
"Feb 05, 2020","4.3242","4.2147","4.3481","4.1507","8.83M","2.60%"
"Feb 06, 2020","4.5872","4.3242","4.5983","4.2634","6.65M","6.08%"
"Feb 07, 2020","4.8220","4.5872","4.9327","4.5256","5.79M","5.12%"
"Feb 08, 2020","4.6270","4.8217","4.8260","4.5020","5.90M","-4.05%"
"Feb 09, 2020","4.7529","4.6268","4.7852","4.6156","5.61M","2.72%"
