"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2019","0.0176","0.0179","0.0180","0.0173","-","-1.56%"
"Jan 12, 2019","0.0172","0.0176","0.0178","0.0170","-","-2.04%"
"Jan 13, 2019","0.0164","0.0172","0.0172","0.0160","-","-4.49%"
"Jan 14, 2019","0.0159","0.0164","0.0164","0.0155","-","-3.60%"
"Jan 15, 2019","0.0153","0.0159","0.0165","0.0153","-","-3.41%"
"Jan 16, 2019","0.0150","0.0153","0.0154","0.0147","-","-1.99%"
"Jan 17, 2019","0.0152","0.0150","0.0157","0.0149","-","1.05%"
"Jan 18, 2019","0.0146","0.0152","0.0152","0.0146","-","-3.66%"
"Jan 19, 2019","0.0147","0.0146","0.0151","0.0146","-","0.61%"
"Jan 20, 2019","0.0142","0.0147","0.0150","0.0138","-","-3.08%"
"Jan 21, 2019","0.0137","0.0142","0.0143","0.0133","-","-3.99%"
"Jan 22, 2019","0.0134","0.0137","0.0138","0.0130","-","-2.07%"
"Jan 23, 2019","0.0134","0.0134","0.0136","0.0131","-","0.00%"
"Jan 24, 2019","0.0129","0.0134","0.0134","0.0128","-","-3.33%"
"Jan 25, 2019","0.0134","0.0129","0.0148","0.0129","-","3.22%"
"Jan 26, 2019","0.0137","0.0134","0.0146","0.0132","-","2.34%"
"Jan 27, 2019","0.0136","0.0137","0.0142","0.0135","-","-0.67%"
"Jan 28, 2019","0.0123","0.0136","0.0137","0.0121","-","-9.75%"
"Jan 29, 2019","0.0127","0.0123","0.0131","0.0123","-","3.99%"
"Jan 30, 2019","0.0130","0.0127","0.0135","0.0126","-","2.09%"
"Jan 31, 2019","0.0128","0.0130","0.0134","0.0126","-","-1.95%"
"Feb 01, 2019","0.0125","0.0128","0.0128","0.0121","-","-2.36%"
"Feb 02, 2019","0.0125","0.0125","0.0130","0.0123","-","0.00%"
"Feb 03, 2019","0.0126","0.0125","0.0127","0.0124","-","1.46%"
"Feb 04, 2019","0.0124","0.0126","0.0127","0.0123","-","-2.06%"
"Feb 05, 2019","0.0124","0.0124","0.0128","0.0123","-","0.52%"
"Feb 06, 2019","0.0122","0.0124","0.0126","0.0121","-","-1.96%"
"Feb 07, 2019","0.0121","0.0122","0.0124","0.0120","-","-0.60%"
"Feb 08, 2019","0.0128","0.0121","0.0133","0.0121","-","5.19%"
"Feb 09, 2019","0.0127","0.0128","0.0129","0.0125","-","0.00%"
"Feb 10, 2019","0.0125","0.0127","0.0129","0.0123","-","-2.04%"
"Feb 11, 2019","0.0125","0.0125","0.0127","0.0123","-","0.51%"
"Feb 12, 2019","0.0124","0.0125","0.0126","0.0123","-","-1.34%"
"Feb 13, 2019","0.0122","0.0124","0.0125","0.0122","-","-1.11%"
"Feb 14, 2019","0.0123","0.0122","0.0126","0.0122","-","0.00%"
"Feb 15, 2019","0.0123","0.0123","0.0125","0.0123","-","0.62%"
"Feb 16, 2019","0.0123","0.0123","0.0124","0.0123","-","0.00%"
"Feb 17, 2019","0.0122","0.0123","0.0124","0.0121","-","-1.09%"
"Feb 18, 2019","0.0128","0.0122","0.0128","0.0122","-","4.49%"
"Feb 19, 2019","0.0129","0.0128","0.0133","0.0127","-","1.28%"
"Feb 20, 2019","0.0130","0.0129","0.0132","0.0129","-","0.00%"
"Feb 21, 2019","0.0128","0.0130","0.0131","0.0126","-","-1.56%"
"Feb 22, 2019","0.0129","0.0128","0.0130","0.0127","-","0.93%"
"Feb 23, 2019","0.0128","0.0129","0.0129","0.0126","-","-0.71%"
"Feb 24, 2019","0.0124","0.0128","0.0130","0.0124","-","-2.88%"
"Feb 25, 2019","0.0127","0.0124","0.0127","0.0123","-","2.63%"
