"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2018","1.01958","0.99621","1.29664","0.99050","368.62K","2.35%"
"Feb 03, 2018","1.00034","1.01958","1.08245","0.99804","152.94K","-1.89%"
"Feb 04, 2018","0.99858","1.00034","1.02892","0.99811","71.96K","-0.18%"
"Feb 05, 2018","1.01675","0.99858","1.01803","0.98401","64.74K","1.82%"
"Feb 06, 2018","1.02029","1.01667","1.21300","0.98740","325.18K","0.35%"
"Feb 07, 2018","0.99794","1.02029","1.04393","0.99794","225.20K","-2.19%"
"Feb 08, 2018","1.00360","0.99794","1.01942","0.99794","47.23K","0.57%"
"Feb 09, 2018","0.99870","1.00360","1.01843","0.99720","54.06K","-0.49%"
"Feb 10, 2018","1.01369","0.99870","1.01559","0.99500","123.32K","1.50%"
"Feb 11, 2018","1.00099","1.01369","1.01499","0.91355","36.77K","-1.25%"
"Feb 12, 2018","1.00497","1.00099","1.00497","0.99999","20.67K","0.40%"
"Feb 13, 2018","1.00789","1.00497","1.00806","0.99610","7.45K","0.29%"
"Feb 14, 2018","0.99501","1.00789","1.00789","0.99501","13.71K","-1.28%"
"Feb 15, 2018","1.00201","0.99501","1.00297","0.99401","12.23K","0.70%"
"Feb 16, 2018","0.99401","1.00201","1.00460","0.99352","40.51K","-0.80%"
"Feb 17, 2018","0.99893","0.99401","1.00161","0.99215","11.42K","0.49%"
"Feb 18, 2018","0.99102","0.99893","1.00091","0.98903","29.99K","-0.79%"
"Feb 19, 2018","0.99430","0.99102","1.00151","0.99102","1.92K","0.33%"
"Feb 20, 2018","1.00111","0.99430","1.01098","0.99430","17.69K","0.68%"
"Feb 21, 2018","1.00004","1.00111","1.00769","0.99715","6.27K","-0.11%"
"Feb 22, 2018","0.99691","1.00004","1.00300","0.99301","61.71K","-0.31%"
"Feb 23, 2018","1.00461","0.99691","1.00461","0.99301","3.58K","0.77%"
"Feb 24, 2018","0.99303","1.00461","1.00461","0.99303","19.25K","-1.15%"
