"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2017","0.003213","0.002803","0.003398","0.002655","4.37M","14.63%"
"Jun 04, 2017","0.003770","0.003213","0.003770","0.002544","5.96M","17.34%"
"Jun 05, 2017","0.003718","0.003770","0.003825","0.002923","4.82M","-1.38%"
"Jun 06, 2017","0.003617","0.003718","0.003718","0.003152","2.11M","-2.72%"
"Jun 07, 2017","0.003250","0.003617","0.003950","0.003132","1.37M","-10.15%"
"Jun 08, 2017","0.003431","0.003250","0.003511","0.003055","1.54M","5.57%"
"Jun 09, 2017","0.003426","0.003431","0.003752","0.003290","3.43M","-0.15%"
"Jun 10, 2017","0.003278","0.003426","0.003591","0.003130","2.24M","-4.32%"
"Jun 11, 2017","0.003454","0.003278","0.003563","0.003195","2.44M","5.37%"
"Jun 12, 2017","0.002990","0.003454","0.003479","0.002464","2.42M","-13.43%"
"Jun 13, 2017","0.003187","0.002990","0.003408","0.002800","2.29M","6.59%"
"Jun 14, 2017","0.002824","0.003187","0.003384","0.002604","3.64M","-11.39%"
"Jun 15, 2017","0.002936","0.002824","0.003083","0.002300","4.35M","3.97%"
"Jun 16, 2017","0.003058","0.002936","0.003200","0.002634","7.40M","4.16%"
"Jun 17, 2017","0.003246","0.003058","0.003355","0.002930","5.56M","6.15%"
"Jun 18, 2017","0.002994","0.003246","0.003294","0.002867","6.07M","-7.76%"
"Jun 19, 2017","0.003168","0.002994","0.003316","0.002928","5.95M","5.81%"
"Jun 20, 2017","0.003104","0.003168","0.003235","0.003035","4.15M","-2.02%"
"Jun 21, 2017","0.002963","0.003104","0.003235","0.002822","4.09M","-4.54%"
"Jun 22, 2017","0.002987","0.002963","0.003179","0.002849","9.05M","0.81%"
"Jun 23, 2017","0.003074","0.002987","0.003220","0.002918","3.57M","2.91%"
"Jun 24, 2017","0.002900","0.003074","0.003187","0.002689","3.96M","-5.66%"
"Jun 25, 2017","0.002573","0.002900","0.003265","0.002254","2.35M","-11.28%"
"Jun 26, 2017","0.002516","0.002573","0.002886","0.002197","1.62M","-2.22%"
"Jun 27, 2017","0.002534","0.002516","0.002652","0.002065","2.96M","0.72%"
"Jun 28, 2017","0.002800","0.002534","0.002832","0.002395","4.49M","10.50%"
"Jun 29, 2017","0.002534","0.002800","0.002820","0.002418","7.95M","-9.50%"
"Jun 30, 2017","0.002555","0.002534","0.002795","0.002431","9.93M","0.83%"
"Jul 01, 2017","0.002239","0.002555","0.002560","0.002071","10.45M","-12.37%"
"Jul 02, 2017","0.002460","0.002239","0.002545","0.002130","8.13M","9.87%"
"Jul 03, 2017","0.002502","0.002460","0.002552","0.002165","8.89M","1.71%"
"Jul 04, 2017","0.002525","0.002502","0.002682","0.002435","13.04M","0.92%"
"Jul 05, 2017","0.002650","0.002525","0.002720","0.002369","11.65M","4.95%"
"Jul 06, 2017","0.002688","0.002650","0.002764","0.002567","13.18M","1.43%"
"Jul 07, 2017","0.002382","0.002688","0.002688","0.002359","8.29M","-11.38%"
"Jul 08, 2017","0.002351","0.002382","0.002487","0.002166","5.23M","-1.30%"
"Jul 09, 2017","0.002284","0.002351","0.002459","0.002264","6.93M","-2.85%"
"Jul 10, 2017","0.002180","0.002284","0.002333","0.002169","5.87M","-4.55%"
"Jul 11, 2017","0.002180","0.002180","0.002180","0.002180","-","0.00%"
"Jul 12, 2017","0.001848","0.002197","0.002197","0.001740","8.91M","-15.23%"
"Jul 13, 2017","0.001783","0.001848","0.002051","0.001719","10.59M","-3.52%"
"Jul 14, 2017","0.001661","0.001783","0.001836","0.001545","14.95M","-6.84%"
"Jul 15, 2017","0.001466","0.001661","0.001661","0.001446","10.31M","-11.74%"
"Jul 16, 2017","0.001305","0.001466","0.001580","0.001251","19.14M","-10.98%"
"Jul 17, 2017","0.001563","0.001305","0.001564","0.001293","9.72M","19.77%"
"Jul 18, 2017","0.001802","0.001563","0.002133","0.001430","4.21M","15.29%"
"Jul 19, 2017","0.001637","0.001802","0.002006","0.001589","3.01M","-9.16%"
"Jul 20, 2017","0.001872","0.001637","0.001996","0.001628","5.19M","14.36%"
"Jul 21, 2017","0.001949","0.001872","0.001969","0.001854","1.32M","4.11%"
"Jul 22, 2017","0.002093","0.001949","0.002112","0.001949","1.05M","7.39%"
"Jul 23, 2017","0.002007","0.002093","0.002225","0.001965","2.39M","-4.11%"
"Jul 24, 2017","0.002025","0.002007","0.002048","0.001949","2.80M","0.90%"
"Jul 25, 2017","0.001759","0.002025","0.002037","0.001681","7.03M","-13.14%"
"Jul 26, 2017","0.001783","0.001759","0.001868","0.001650","1.32M","1.36%"
"Jul 27, 2017","0.001842","0.001783","0.001941","0.001744","6.80M","3.31%"
"Jul 28, 2017","0.001767","0.001842","0.001852","0.001672","6.63M","-4.07%"
"Jul 29, 2017","0.001744","0.001767","0.001845","0.001599","5.30M","-1.30%"
"Jul 30, 2017","0.001686","0.001744","0.001778","0.001680","4.32M","-3.33%"
"Jul 31, 2017","0.001674","0.001686","0.001819","0.001592","5.94M","-0.71%"
"Aug 01, 2017","0.001781","0.001674","0.001853","0.001607","7.04M","6.39%"
"Aug 02, 2017","0.001846","0.001781","0.002108","0.001676","7.60M","3.65%"
"Aug 03, 2017","0.001763","0.001846","0.001901","0.001500","5.88M","-4.50%"
