"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 02, 2017","2.9100","1.1400","3.3000","0.9406","5.34M","155.26%"
"Jul 03, 2017","4.0200","2.9100","5.4800","2.4100","6.58M","38.14%"
"Jul 04, 2017","3.1200","4.0200","4.2000","2.5500","7.56M","-22.39%"
"Jul 05, 2017","2.8300","3.1200","3.3100","2.6000","3.91M","-9.29%"
"Jul 06, 2017","3.2500","2.8300","3.5300","2.8200","4.59M","14.84%"
"Jul 07, 2017","2.6600","3.2500","3.3200","2.6000","4.03M","-18.15%"
"Jul 08, 2017","2.4000","2.6600","2.7600","2.0100","5.98M","-9.77%"
"Jul 09, 2017","2.2100","2.4000","2.5500","2.1200","3.71M","-7.92%"
"Jul 10, 2017","1.6000","2.2100","2.2800","1.2300","7.10M","-27.60%"
"Jul 11, 2017","1.5000","1.6000","1.7800","1.3600","9.77M","-6.25%"
"Jul 12, 2017","1.9900","1.5000","2.0500","1.4000","5.79M","32.67%"
"Jul 13, 2017","1.6400","1.9900","1.9900","1.6000","3.17M","-17.59%"
"Jul 14, 2017","1.5200","1.6400","1.7000","1.4500","3.53M","-7.32%"
"Jul 15, 2017","1.3000","1.5200","1.5300","1.2900","5.00M","-14.47%"
"Jul 16, 2017","1.2400","1.3000","1.3300","1.1300","4.72M","-4.62%"
"Jul 17, 2017","1.5600","1.2400","1.5800","1.2200","5.85M","25.81%"
"Jul 18, 2017","1.6500","1.5600","1.7300","1.4600","4.93M","5.77%"
"Jul 19, 2017","1.4900","1.6500","1.7700","1.4500","4.43M","-9.70%"
"Jul 20, 2017","1.7200","1.4900","1.7500","1.4900","3.23M","15.44%"
"Jul 21, 2017","1.8000","1.7200","2.0000","1.6700","3.92M","4.65%"
"Jul 22, 2017","2.0300","1.8000","2.1000","1.7700","3.39M","12.78%"
"Jul 23, 2017","1.9300","2.0300","2.1400","1.8000","4.26M","-4.93%"
"Jul 24, 2017","1.8800","1.9300","1.9900","1.8000","2.75M","-2.59%"
"Jul 25, 2017","1.6500","1.8800","1.9000","1.5500","3.73M","-12.23%"
"Jul 26, 2017","1.7000","1.6500","1.7100","1.4800","3.61M","3.03%"
"Jul 27, 2017","1.9200","1.7000","1.9800","1.6900","3.35M","12.94%"
"Jul 28, 2017","1.8100","1.9200","1.9900","1.8000","3.12M","-5.73%"
"Jul 29, 2017","1.8300","1.8100","1.8700","1.6000","3.46M","1.10%"
"Jul 30, 2017","1.7800","1.8300","1.8500","1.6700","1.73M","-2.73%"
"Jul 31, 2017","1.7000","1.7800","1.7800","1.6300","2.44M","-4.49%"
"Aug 01, 2017","1.7800","1.7000","1.8100","1.6500","3.61M","4.71%"
"Aug 02, 2017","1.7400","1.7800","1.8000","1.6700","2.43M","-2.25%"
"Aug 03, 2017","1.7800","1.7400","1.7800","1.7000","1.47M","2.30%"
"Aug 04, 2017","1.7600","1.7800","1.8400","1.7400","2.29M","-1.12%"
"Aug 05, 2017","1.8500","1.7600","2.0000","1.7300","4.47M","5.11%"
"Aug 06, 2017","1.7500","1.8500","1.8500","1.7000","3.16M","-5.41%"
