"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 14, 2020","0.01","0.01","0.02","0.01","962.91M","0.00%"
"Jul 15, 2020","0.02","0.01","0.02","0.01","989.00M","0.00%"
"Jul 16, 2020","0.02","0.02","0.02","0.02","1.01B","0.00%"
"Jul 17, 2020","0.01","0.02","0.02","0.01","879.52M","0.00%"
"Jul 18, 2020","0.02","0.01","0.02","0.01","626.69M","0.00%"
"Jul 19, 2020","0.01","0.02","0.02","0.01","850.05M","0.00%"
"Jul 20, 2020","0.01","0.01","0.01","0.01","779.31M","0.00%"
"Jul 21, 2020","0.02","0.01","0.02","0.01","1.70B","0.00%"
"Jul 22, 2020","0.02","0.02","0.02","0.02","889.11M","0.00%"
"Jul 23, 2020","0.02","0.02","0.02","0.02","540.91M","0.00%"
"Jul 24, 2020","0.02","0.02","0.02","0.02","373.79M","0.00%"
"Jul 25, 2020","0.02","0.02","0.02","0.02","765.38M","0.00%"
"Jul 26, 2020","0.02","0.02","0.02","0.02","1.90B","0.00%"
"Jul 27, 2020","0.03","0.02","0.03","0.02","3.09B","0.00%"
"Jul 28, 2020","0.03","0.03","0.03","0.02","1.11B","0.00%"
"Jul 29, 2020","0.03","0.03","0.03","0.03","798.94M","0.00%"
"Jul 30, 2020","0.02","0.03","0.03","0.02","1.47B","0.00%"
"Jul 31, 2020","0.02","0.02","0.02","0.02","804.34M","0.00%"
"Aug 01, 2020","0.02","0.02","0.02","0.02","2.03B","0.00%"
"Aug 02, 2020","0.02","0.02","0.02","0.02","879.59M","0.00%"
"Aug 03, 2020","0.02","0.02","0.02","0.02","486.10M","0.00%"
"Aug 04, 2020","0.02","0.02","0.02","0.02","331.72M","0.00%"
"Aug 05, 2020","0.02","0.02","0.02","0.02","393.35M","0.00%"
"Aug 06, 2020","0.02","0.02","0.02","0.02","361.94M","0.00%"
"Aug 07, 2020","0.02","0.02","0.02","0.02","1.21B","0.00%"
"Aug 08, 2020","0.02","0.02","0.02","0.02","497.98M","0.00%"
"Aug 09, 2020","0.02","0.02","0.02","0.02","359.77M","0.00%"
"Aug 10, 2020","0.02","0.02","0.02","0.02","767.87M","0.00%"
"Aug 11, 2020","0.02","0.02","0.02","0.02","459.85M","0.00%"
"Aug 12, 2020","0.02","0.02","0.02","0.02","442.59M","0.00%"
"Aug 13, 2020","0.02","0.02","0.02","0.02","309.86M","0.00%"
"Aug 14, 2020","0.02","0.02","0.02","0.02","366.71M","0.00%"
