"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 28, 2016","1.6800","1.6000","2.1100","1.3600","890.28K","5.00%"
"Jul 29, 2016","1.6400","1.6800","1.7900","1.5200","696.56K","-2.38%"
"Jul 30, 2016","1.5700","1.6400","1.7000","1.5500","290.62K","-4.27%"
"Jul 31, 2016","1.7900","1.5700","1.9200","1.4100","777.39K","14.01%"
"Aug 01, 2016","2.2900","1.7900","2.2900","1.7000","1.41M","27.93%"
"Aug 02, 2016","2.6000","2.2900","3.6400","2.0700","3.31M","13.54%"
"Aug 03, 2016","2.5600","2.6000","3.2000","2.1800","694.25K","-1.54%"
"Aug 04, 2016","2.2800","2.5600","2.7700","2.1000","325.47K","-10.94%"
"Aug 05, 2016","2.5600","2.2800","2.6500","2.2800","206.96K","12.28%"
"Aug 06, 2016","2.6700","2.5600","2.8800","2.5000","241.59K","4.30%"
"Aug 07, 2016","2.1000","2.6700","2.7600","2.0700","356.91K","-21.35%"
"Aug 08, 2016","2.1300","2.1000","2.4000","1.9500","315.60K","1.43%"
"Aug 09, 2016","1.9300","2.1300","2.3000","1.7200","362.85K","-9.39%"
"Aug 10, 2016","1.6900","1.9300","2.0600","1.6000","523.81K","-12.44%"
"Aug 11, 2016","1.8600","1.6900","1.9600","1.5600","509.01K","10.06%"
"Aug 12, 2016","1.8200","1.8600","2.0900","1.8100","452.75K","-2.15%"
"Aug 13, 2016","1.8600","1.8200","1.9200","1.8100","149.60K","2.20%"
"Aug 14, 2016","1.9200","1.8600","1.9900","1.8600","287.59K","3.23%"
"Aug 15, 2016","1.8600","1.9200","2.0000","1.8500","316.59K","-3.12%"
"Aug 16, 2016","1.8600","1.8600","1.8900","1.8000","129.74K","0.00%"
"Aug 17, 2016","1.7400","1.8600","1.8800","1.7100","250.19K","-6.45%"
"Aug 18, 2016","1.6900","1.7400","1.7800","1.6300","198.68K","-2.87%"
"Aug 19, 2016","1.7500","1.6900","1.8000","1.6100","321.85K","3.55%"
"Aug 20, 2016","1.7400","1.7500","1.7600","1.6900","109.84K","-0.57%"
"Aug 21, 2016","1.7100","1.7400","1.7700","1.7000","54.63K","-1.72%"
"Aug 22, 2016","1.6600","1.7100","1.7400","1.6200","271.28K","-2.92%"
"Aug 23, 2016","1.6100","1.6600","1.6800","1.5700","380.03K","-3.01%"
"Aug 24, 2016","1.4700","1.6100","1.7900","1.4200","407.44K","-8.70%"
"Aug 25, 2016","1.3800","1.4700","1.4700","1.2600","958.55K","-6.12%"
"Aug 26, 2016","1.4300","1.3800","1.4600","1.3200","599.75K","3.62%"
"Aug 27, 2016","1.3600","1.4300","1.4600","1.3400","266.98K","-4.90%"
"Aug 28, 2016","1.3600","1.3600","1.3600","1.3000","442.97K","0.00%"
"Aug 29, 2016","1.2400","1.3600","1.3600","1.2400","535.72K","-8.82%"
"Aug 30, 2016","1.2400","1.2400","1.3100","1.1500","1.20M","0.00%"
"Aug 31, 2016","1.1900","1.2400","1.2700","1.1600","547.99K","-4.03%"
"Sep 01, 2016","1.4800","1.1900","1.4900","1.1700","1.27M","24.37%"
"Sep 02, 2016","1.4000","1.4800","1.4800","1.3700","458.77K","-5.41%"
"Sep 03, 2016","1.3600","1.4000","1.4100","1.3200","148.46K","-2.86%"
"Sep 04, 2016","1.4400","1.3600","1.4500","1.3000","286.35K","5.88%"
