"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20, 2019","2.1538","2.0441","2.2001","2.0441","1.17M","5.34%"
"Dec 21, 2019","2.1471","2.1542","2.1561","2.1361","318.89K","-0.31%"
"Dec 22, 2019","2.2763","2.1468","2.2763","2.1368","1.10M","6.02%"
"Dec 23, 2019","2.1909","2.2763","2.3004","2.1710","498.53K","-3.75%"
"Dec 24, 2019","2.1605","2.1909","2.1989","2.1379","158.82K","-1.39%"
"Dec 25, 2019","2.1398","2.1600","2.1656","2.1383","149.99K","-0.96%"
"Dec 26, 2019","2.1397","2.1398","2.1940","2.1388","211.67K","-0.00%"
"Dec 27, 2019","2.1503","2.1397","2.1689","2.1394","263.89K","0.50%"
"Dec 28, 2019","2.1793","2.1503","2.1881","2.1502","172.59K","1.35%"
"Dec 29, 2019","2.2099","2.1800","2.2433","2.1700","180.38K","1.40%"
"Dec 30, 2019","2.1596","2.2098","2.2100","2.1501","214.91K","-2.28%"
"Dec 31, 2019","2.1458","2.1596","2.1862","2.1412","168.42K","-0.64%"
"Jan 01, 2020","2.1429","2.1458","2.1639","2.1421","94.24K","-0.14%"
"Jan 02, 2020","2.1423","2.1431","2.1525","2.1412","383.10K","-0.03%"
"Jan 03, 2020","2.2039","2.1417","2.2309","2.1408","541.11K","2.88%"
"Jan 04, 2020","2.1681","2.2065","2.2073","2.1554","348.37K","-1.62%"
"Jan 05, 2020","2.1380","2.1685","2.2005","2.1300","529.42K","-1.39%"
"Jan 06, 2020","2.1847","2.1386","2.1908","2.1335","555.77K","2.18%"
"Jan 07, 2020","2.1619","2.1848","2.2397","2.1333","1.77M","-1.04%"
"Jan 08, 2020","2.1742","2.1593","2.2055","2.1343","1.78M","0.57%"
"Jan 09, 2020","2.1594","2.1742","2.1769","2.1352","1.06M","-0.68%"
"Jan 10, 2020","2.2295","2.1595","2.2399","2.1327","1.58M","3.25%"
"Jan 11, 2020","2.1465","2.2321","2.2321","2.1341","538.06K","-3.72%"
"Jan 12, 2020","2.1811","2.1465","2.1986","2.1363","292.47K","1.61%"
"Jan 13, 2020","2.1498","2.1819","2.1862","2.1397","298.42K","-1.44%"
"Jan 14, 2020","2.1762","2.1499","2.2200","2.1461","1.40M","1.23%"
"Jan 15, 2020","2.3656","2.1676","2.3659","2.1530","1.66M","8.70%"
"Jan 16, 2020","2.3981","2.3656","2.3998","2.2886","643.81K","1.37%"
"Jan 17, 2020","2.3855","2.3985","2.4783","2.3717","578.07K","-0.53%"
"Jan 18, 2020","2.3769","2.3856","2.4094","2.3336","285.23K","-0.36%"
"Jan 19, 2020","2.2838","2.3769","2.4362","2.2420","732.56K","-3.92%"
"Jan 20, 2020","2.2668","2.2856","2.2917","2.2039","456.02K","-0.74%"
"Jan 21, 2020","2.3464","2.2649","2.3519","2.2624","300.95K","3.51%"
"Jan 22, 2020","2.3222","2.3464","2.3599","2.2897","369.12K","-1.03%"
"Jan 23, 2020","2.2339","2.3235","2.3239","2.1791","492.68K","-3.80%"
"Jan 24, 2020","2.2632","2.2339","2.2861","2.1906","426.30K","1.31%"
"Jan 25, 2020","2.2145","2.2631","2.2631","2.2073","181.35K","-2.15%"
"Jan 26, 2020","2.2868","2.2124","2.2876","2.2010","355.09K","3.26%"
"Jan 27, 2020","2.3722","2.2868","2.4012","2.2868","515.50K","3.73%"
"Jan 28, 2020","2.4417","2.3724","2.4441","2.3416","448.58K","2.93%"
"Jan 29, 2020","2.3495","2.4417","2.4489","2.3444","911.93K","-3.78%"
"Jan 30, 2020","2.4052","2.3490","2.4228","2.3183","888.26K","2.37%"
"Jan 31, 2020","2.3683","2.4077","2.4087","2.3237","1.08M","-1.53%"
"Feb 01, 2020","2.3483","2.3678","2.3898","2.3275","541.92K","-0.84%"
"Feb 02, 2020","2.3184","2.3476","2.3696","2.3000","494.35K","-1.27%"
"Feb 03, 2020","2.3011","2.3181","2.3779","2.2639","678.31K","-0.75%"
"Feb 04, 2020","2.2469","2.3011","2.3178","2.2101","531.57K","-2.36%"
"Feb 05, 2020","2.3424","2.2457","2.3850","2.2372","415.35K","4.25%"
"Feb 06, 2020","2.4077","2.3419","2.4200","2.3214","982.33K","2.79%"
"Feb 07, 2020","2.3823","2.4077","2.4496","2.3583","611.55K","-1.05%"
"Feb 08, 2020","2.3834","2.3825","2.4070","2.3409","316.42K","0.05%"
"Feb 09, 2020","2.4060","2.3822","2.4291","2.3738","119.08K","0.95%"
"Feb 10, 2020","2.4918","2.4064","2.5413","2.3267","680.44K","3.57%"
"Feb 11, 2020","2.5576","2.4909","2.5653","2.4201","224.49K","2.64%"
"Feb 12, 2020","2.5729","2.5544","2.6122","2.5308","137.67K","0.60%"
"Feb 13, 2020","2.5228","2.5729","2.6088","2.4812","454.76K","-1.95%"
"Feb 14, 2020","2.5653","2.5234","2.5777","2.4904","47.11K","1.68%"
"Feb 15, 2020","2.5211","2.5653","2.5775","2.4659","405.46K","-1.72%"
"Feb 16, 2020","2.9588","2.5218","2.9650","2.5112","1.22M","17.36%"
"Feb 17, 2020","2.7317","2.9586","2.9586","2.5130","1.13M","-7.68%"
