"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2018","2.73","3.01","3.05","2.73","10.64K","-9.30%"
"Dec 11, 2018","2.86","2.90","3.00","2.85","3.51K","-1.52%"
"Dec 10, 2018","2.90","3.19","3.19","2.58","10.57K","-9.06%"
"Dec 08, 2018","2.96","2.73","3.14","2.73","5.30K","8.42%"
"Dec 15, 2018","2.99","3.00","3.00","2.94","1.33K","-0.40%"
"Dec 14, 2018","3.00","3.07","3.10","2.94","5.49K","-2.34%"
"Dec 12, 2018","3.00","2.86","3.10","2.86","1.95K","5.01%"
"Dec 06, 2018","3.01","3.25","3.29","3.01","6.05K","-7.38%"
"Dec 13, 2018","3.07","3.00","3.10","2.90","2.28K","2.43%"
"Dec 16, 2018","3.10","2.99","3.10","2.99","2.43K","3.68%"
"Nov 26, 2018","3.13","3.15","3.78","3.10","15.60K","-0.63%"
"Nov 25, 2018","3.15","3.70","3.70","2.79","18.07K","-14.86%"
"Dec 09, 2018","3.19","2.96","3.20","2.95","1.81K","7.77%"
"Nov 27, 2018","3.21","3.13","3.56","3.12","4.45K","2.56%"
"Dec 03, 2018","3.22","3.38","3.38","3.22","6.77K","-4.73%"
"Dec 05, 2018","3.25","3.26","3.40","3.24","3.90K","-0.31%"
"Dec 04, 2018","3.26","3.22","3.35","3.22","2.96K","1.24%"
"Dec 18, 2018","3.31","3.39","3.51","3.08","10.99K","-2.39%"
"Nov 30, 2018","3.33","3.36","3.54","3.23","5.50K","-0.89%"
"Nov 29, 2018","3.36","3.48","3.65","3.35","5.66K","-3.45%"
"Dec 02, 2018","3.38","3.51","3.51","3.22","3.61K","-3.70%"
"Dec 17, 2018","3.39","3.10","3.39","3.05","4.65K","9.39%"
"Dec 19, 2018","3.40","3.31","3.80","3.17","26.78K","2.75%"
"Nov 28, 2018","3.48","3.21","3.72","3.10","9.03K","8.41%"
"Jan 29, 2019","3.51","3.69","3.69","3.48","2.40K","-4.95%"
"Jan 13, 2019","3.51","3.70","3.71","3.51","3.02K","-5.11%"
"Dec 01, 2018","3.51","3.33","3.52","3.20","3.15K","5.41%"
"Jan 31, 2019","3.52","3.57","3.65","3.52","1.20K","-1.37%"
"Feb 01, 2019","3.56","3.52","3.64","3.52","1.29K","1.25%"
"Jan 30, 2019","3.57","3.51","3.57","3.50","0.83K","1.54%"
"Feb 02, 2019","3.63","3.56","3.78","3.55","1.26K","1.99%"
"Feb 03, 2019","3.68","3.63","4.05","3.59","1.59K","1.35%"
"Jan 26, 2019","3.68","3.75","3.75","3.68","2.96K","-2.03%"
"Jan 11, 2019","3.68","3.70","3.71","3.68","2.29K","-0.65%"
"Jan 28, 2019","3.69","3.73","3.73","3.35","7.91K","-1.02%"
"Dec 22, 2018","3.69","3.70","3.75","3.68","4.81K","-0.19%"
"Jan 15, 2019","3.70","3.70","4.20","3.62","13.44K","0.00%"
"Jan 14, 2019","3.70","3.51","3.70","3.51","3.26K","5.38%"
"Jan 12, 2019","3.70","3.68","3.71","3.65","3.82K","0.65%"
"Jan 10, 2019","3.70","3.86","3.89","3.70","3.57K","-4.15%"
"Dec 21, 2018","3.70","3.82","4.38","3.69","11.29K","-3.22%"
"Nov 24, 2018","3.70","3.79","4.10","3.69","5.24K","-2.37%"
"Jan 06, 2019","3.72","3.82","3.90","3.68","1.56K","-2.51%"
"Jan 27, 2019","3.73","3.68","3.89","3.65","3.41K","1.52%"
"Jan 24, 2019","3.74","3.81","3.83","3.73","2.15K","-1.76%"
"Dec 23, 2018","3.74","3.69","4.20","3.69","5.83K","1.27%"
"Jan 25, 2019","3.75","3.74","3.78","3.68","3.33K","0.24%"
"Dec 31, 2018","3.75","3.79","3.99","3.68","4.69K","-0.98%"
"Jan 08, 2019","3.76","3.81","3.83","3.70","5.04K","-1.13%"
"Jan 17, 2019","3.77","3.79","3.93","3.53","7.50K","-0.40%"
"Jan 16, 2019","3.79","3.70","3.99","3.64","1.68K","2.32%"
"Dec 30, 2018","3.79","3.81","3.97","3.68","6.03K","-0.55%"
"Nov 23, 2018","3.79","3.82","4.12","3.32","5.03K","-0.79%"
"Nov 20, 2018","3.79","4.13","4.20","3.30","9.00K","-8.23%"
"Mar 12, 2020","3.80","5.59","5.81","3.53","42.66K","-32.00%"
"Mar 28, 2019","3.80","3.94","3.94","3.79","68.15K","-3.55%"
"Feb 13, 2019","3.80","3.88","4.00","3.78","6.46K","-1.96%"
"Feb 11, 2019","3.80","3.80","4.02","3.80","2.00K","0.00%"
"Feb 10, 2019","3.80","3.98","4.04","3.78","2.71K","-4.43%"
"Jan 20, 2019","3.80","4.03","4.19","3.69","4.29K","-5.68%"
"Jan 04, 2019","3.80","3.90","3.90","3.68","4.31K","-2.64%"
"Feb 04, 2019","3.81","3.68","4.00","3.67","2.21K","3.53%"
"Jan 23, 2019","3.81","4.00","4.04","3.81","6.41K","-4.75%"
"Jan 07, 2019","3.81","3.72","3.83","3.72","1.27K","2.23%"
"Jan 02, 2019","3.81","3.84","3.91","3.80","4.06K","-0.78%"
"Dec 29, 2018","3.81","3.98","4.10","3.80","3.20K","-4.27%"
"Mar 26, 2019","3.82","3.88","3.91","3.80","14.98K","-1.60%"
"Mar 12, 2019","3.82","3.93","4.00","3.79","46.09K","-2.62%"
"Jan 05, 2019","3.82","3.80","3.90","3.71","2.75K","0.47%"
"Dec 20, 2018","3.82","3.40","4.77","3.40","31.36K","12.38%"
"Nov 22, 2018","3.82","4.55","4.55","3.72","2.47K","-16.04%"
"Mar 13, 2019","3.83","3.82","3.97","3.81","16.08K","0.21%"
"Feb 07, 2019","3.83","3.83","3.87","3.83","0.47K","0.00%"
"Feb 06, 2019","3.83","3.93","4.05","3.79","2.59K","-2.47%"
"Jan 01, 2019","3.84","3.75","3.87","3.74","4.38K","2.35%"
"Mar 16, 2019","3.85","3.90","3.99","3.85","28.40K","-1.38%"
"Jan 18, 2019","3.85","3.77","4.03","3.73","2.88K","2.20%"
"Jan 09, 2019","3.86","3.76","3.89","3.76","2.20K","2.55%"
"Mar 25, 2019","3.88","3.89","3.91","3.82","9.61K","-0.39%"
"Feb 12, 2019","3.88","3.80","4.00","3.80","1.59K","1.97%"
"Mar 24, 2019","3.89","3.90","3.97","3.89","12.41K","-0.26%"
"Mar 23, 2019","3.90","3.97","3.98","3.90","7.31K","-1.64%"
"Mar 15, 2019","3.90","3.95","3.99","3.87","7.41K","-1.19%"
"Jan 03, 2019","3.90","3.81","3.90","3.74","4.18K","2.55%"
"Mar 04, 2019","3.91","3.96","3.96","3.81","9.23K","-1.29%"
"Mar 09, 2019","3.92","3.94","3.97","3.80","60.16K","-0.63%"
"Mar 07, 2019","3.92","4.08","4.18","3.88","53.96K","-4.07%"
"Dec 27, 2018","3.92","4.38","4.38","3.68","9.76K","-10.52%"
"Mar 21, 2019","3.93","3.94","3.98","3.87","26.88K","-0.41%"
"Mar 11, 2019","3.93","4.00","4.00","3.81","30.33K","-1.85%"
"Feb 05, 2019","3.93","3.81","3.93","3.81","0.20K","3.10%"
"Mar 27, 2019","3.94","3.82","3.94","3.82","17.77K","3.20%"
"Mar 20, 2019","3.94","3.98","3.98","3.91","16.89K","-0.93%"
"Mar 08, 2019","3.94","3.92","4.01","3.91","24.00K","0.69%"
"Mar 18, 2019","3.95","3.95","3.98","3.89","6.81K","0.18%"
"Mar 17, 2019","3.95","3.85","3.95","3.84","18.59K","2.65%"
"Mar 14, 2019","3.95","3.83","3.97","3.83","10.83K","3.03%"
"Mar 29, 2019","3.96","3.80","3.96","3.79","73.56K","4.21%"
"Mar 03, 2019","3.96","3.99","4.14","3.81","16.80K","-0.65%"
"Mar 30, 2019","3.97","3.96","3.97","3.80","32.21K","0.23%"
"Mar 22, 2019","3.97","3.93","3.98","3.89","11.08K","1.09%"
"Mar 19, 2019","3.98","3.95","3.98","3.91","7.22K","0.63%"
"Feb 24, 2019","3.98","4.13","4.19","3.98","15.36K","-3.75%"
"Feb 09, 2019","3.98","4.01","4.04","3.93","2.79K","-0.85%"
"Dec 28, 2018","3.98","3.92","3.99","3.70","4.60K","1.48%"
"Mar 02, 2019","3.99","4.07","4.07","3.91","21.55K","-2.01%"
"Feb 25, 2019","3.99","3.98","4.10","3.80","8.09K","0.38%"
"Feb 15, 2019","3.99","3.99","4.22","3.82","18.21K","0.18%"
"Feb 14, 2019","3.99","3.80","3.99","3.68","4.05K","4.89%"
"Mar 10, 2019","4.00","3.92","4.07","3.79","66.04K","2.09%"
"Jan 22, 2019","4.00","4.00","4.00","3.80","1.16K","0.00%"
"Jan 21, 2019","4.00","3.80","4.05","3.80","1.57K","5.16%"
