"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2021","300.61","256.00","336.01","256.00","817.67K","17.51%"
"May 14, 2021","304.01","300.78","333.54","300.75","462.21K","1.13%"
"May 15, 2021","245.95","304.09","304.24","245.95","540.02K","-19.10%"
"May 16, 2021","225.02","247.07","261.67","210.50","507.33K","-8.51%"
"May 17, 2021","195.84","225.29","225.29","191.82","520.74K","-12.97%"
"May 18, 2021","163.81","195.99","203.14","163.81","690.51K","-16.36%"
"May 19, 2021","122.80","163.20","173.21","104.12","1.27M","-25.04%"
"May 20, 2021","165.03","124.81","200.22","112.30","3.77M","34.39%"
"May 21, 2021","145.82","164.35","173.95","127.98","2.03M","-11.64%"
"May 22, 2021","145.69","145.55","154.05","128.61","1.21M","-0.09%"
"May 23, 2021","143.92","145.77","160.43","129.89","1.46M","-1.21%"
"May 24, 2021","147.67","143.84","153.23","136.38","1.26M","2.61%"
"May 25, 2021","133.88","146.15","146.15","129.88","1.03M","-9.34%"
"May 26, 2021","142.85","134.16","151.22","134.16","1.08M","6.70%"
"May 27, 2021","132.12","142.50","142.50","130.70","684.98K","-7.51%"
"May 28, 2021","115.70","131.36","131.36","113.00","832.50K","-12.43%"
"May 29, 2021","110.67","115.65","117.56","107.91","500.34K","-4.35%"
"May 30, 2021","111.31","110.77","116.90","105.54","455.96K","0.58%"
"May 31, 2021","114.65","111.29","114.65","106.12","497.14K","3.00%"
"Jun 01, 2021","107.59","113.93","115.85","106.90","418.68K","-6.16%"
"Jun 02, 2021","107.36","107.66","110.20","105.01","806.10K","-0.21%"
"Jun 03, 2021","124.46","107.97","128.43","106.02","1.67M","15.93%"
"Jun 04, 2021","108.72","124.50","124.50","108.50","1.33M","-12.65%"
"Jun 05, 2021","104.71","109.69","113.34","104.23","755.22K","-3.69%"
"Jun 06, 2021","104.49","104.12","106.29","103.60","511.99K","-0.21%"
"Jun 07, 2021","92.00","104.50","106.18","92.00","819.32K","-11.95%"
"Jun 08, 2021","81.40","91.13","92.24","79.58","1.08M","-11.52%"
"Jun 09, 2021","81.51","81.10","84.65","77.80","1.23M","0.14%"
"Jun 10, 2021","66.46","82.04","82.59","66.46","2.10M","-18.46%"
"Jun 11, 2021","58.20","66.50","69.20","58.20","2.12M","-12.43%"
"Jun 12, 2021","60.71","58.50","63.62","54.61","2.18M","4.31%"
"Jun 13, 2021","64.44","60.88","64.44","58.16","2.04M","6.14%"
"Jun 14, 2021","66.81","64.82","69.39","62.90","1.59M","3.68%"
"Jun 15, 2021","60.40","66.70","67.70","60.01","1.80M","-9.59%"
"Jun 16, 2021","55.36","60.39","60.39","55.13","1.32M","-8.34%"
"Jun 17, 2021","54.10","55.30","58.53","52.37","1.39M","-2.28%"
"Jun 18, 2021","48.20","54.10","54.77","48.20","1.31M","-10.91%"
"Jun 19, 2021","48.72","48.21","54.22","47.53","1.74M","1.08%"
"Jun 20, 2021","47.00","48.70","49.54","45.50","1.46M","-3.53%"
"Jun 21, 2021","36.87","47.14","47.14","36.87","2.44M","-21.55%"
"Jun 22, 2021","34.41","36.89","38.90","33.79","2.32M","-6.67%"
"Jun 23, 2021","37.75","34.40","39.73","34.40","2.19M","9.71%"
"Jun 24, 2021","34.62","37.56","37.91","34.55","2.21M","-8.29%"
"Jun 25, 2021","31.18","34.60","35.67","31.18","2.24M","-9.94%"
"Jun 26, 2021","30.29","31.13","32.83","28.90","2.34M","-2.85%"
"Jun 27, 2021","42.89","30.34","42.89","29.83","4.77M","41.60%"
"Jun 28, 2021","50.89","42.76","50.89","40.94","5.77M","18.65%"
"Jun 29, 2021","53.95","51.25","57.30","48.24","5.29M","6.01%"
"Jun 30, 2021","49.75","54.11","54.11","44.67","6.25M","-7.78%"
"Jul 01, 2021","45.65","49.76","49.76","45.16","3.38M","-8.24%"
"Jul 02, 2021","43.96","45.63","45.75","41.97","2.46M","-3.70%"
"Jul 03, 2021","48.96","43.89","49.21","43.66","2.19M","11.37%"
"Jul 04, 2021","46.79","49.79","50.09","46.79","2.12M","-4.43%"
"Jul 05, 2021","46.20","46.54","47.31","45.30","2.13M","-1.26%"
"Jul 06, 2021","45.95","46.33","47.93","45.66","2.01M","-0.54%"
"Jul 07, 2021","45.38","46.15","47.90","45.02","1.49M","-1.24%"
"Jul 08, 2021","40.05","45.37","45.50","39.78","1.72M","-11.75%"
"Jul 09, 2021","40.58","38.12","42.49","37.85","1.38M","1.32%"
"Jul 10, 2021","38.61","40.65","42.09","37.72","1.19M","-4.85%"
"Jul 11, 2021","39.66","38.61","41.41","37.80","1.07M","2.72%"
"Jul 12, 2021","37.23","39.78","40.84","36.00","1.04M","-6.13%"
"Jul 13, 2021","39.00","37.20","39.91","35.35","1.47M","4.75%"
"Jul 14, 2021","36.86","39.09","39.77","35.27","2.09M","-5.49%"
"Jul 15, 2021","35.92","36.86","38.35","35.33","1.36M","-2.55%"
"Jul 16, 2021","32.34","35.96","36.12","32.20","1.12M","-9.97%"
"Jul 17, 2021","32.24","32.32","33.48","31.16","999.03K","-0.31%"
"Jul 18, 2021","32.36","32.29","34.79","31.94","899.60K","0.37%"
"Jul 19, 2021","30.89","32.30","32.59","29.93","876.64K","-4.54%"
"Jul 20, 2021","28.56","30.92","31.52","27.08","1.38M","-7.54%"
"Jul 21, 2021","33.36","28.56","35.00","27.79","2.23M","16.81%"
"Jul 22, 2021","33.80","33.48","35.38","32.25","2.70M","1.32%"
"Jul 23, 2021","34.61","33.75","35.00","31.80","1.72M","2.40%"
"Jul 24, 2021","34.85","34.70","35.85","33.95","1.83M","0.69%"
"Jul 25, 2021","42.61","43.86","45.92","40.47","4.37M","22.27%"
"Jul 26, 2021","40.62","42.57","48.16","40.53","3.94M","-4.67%"
"Jul 27, 2021","40.94","40.60","41.68","37.59","3.22M","0.79%"
"Jul 28, 2021","40.74","41.03","43.82","39.32","2.43M","-0.49%"
"Jul 29, 2021","41.22","40.66","41.83","39.15","1.35M","1.18%"
"Jul 30, 2021","42.14","41.25","42.75","38.38","1.77M","2.23%"
"Jul 31, 2021","41.90","42.24","43.92","40.44","1.84M","-0.57%"
"Aug 01, 2021","40.89","41.96","44.47","40.62","1.88M","-2.41%"
"Aug 02, 2021","40.22","40.89","41.49","39.77","1.30M","-1.64%"
"Aug 03, 2021","38.52","40.18","40.66","37.61","1.39M","-4.23%"
"Aug 04, 2021","39.32","38.55","40.39","37.85","1.37M","2.08%"
"Aug 05, 2021","42.07","39.35","42.72","38.18","1.61M","6.99%"
"Aug 06, 2021","48.20","42.10","52.40","40.50","4.56M","14.57%"
"Aug 07, 2021","61.96","48.20","66.06","47.89","7.54M","28.55%"
"Aug 08, 2021","55.21","61.65","62.15","53.30","3.96M","-10.89%"
"Aug 09, 2021","64.41","55.27","68.54","52.81","5.81M","16.66%"
"Aug 10, 2021","71.56","64.29","76.27","61.45","6.03M","11.10%"
"Aug 11, 2021","67.39","71.51","76.89","65.69","4.62M","-5.83%"
"Aug 12, 2021","64.02","67.14","72.19","60.02","3.75M","-5.00%"
"Aug 13, 2021","68.18","64.14","68.64","62.98","2.33M","6.50%"
"Aug 14, 2021","64.18","68.26","68.26","62.17","2.36M","-5.87%"
"Aug 15, 2021","63.40","64.19","64.95","58.56","2.27M","-1.22%"
"Aug 16, 2021","61.12","63.49","67.82","60.40","3.04M","-3.60%"
"Aug 17, 2021","56.00","61.06","64.18","54.52","2.93M","-8.38%"
"Aug 18, 2021","58.42","55.91","61.50","54.17","2.65M","4.32%"
"Aug 19, 2021","67.05","58.66","68.99","57.85","4.65M","14.77%"
"Aug 20, 2021","67.88","67.13","70.82","65.73","2.83M","1.24%"
"Aug 21, 2021","64.58","67.93","69.35","64.04","1.85M","-4.86%"
"Aug 22, 2021","64.63","64.59","66.96","61.88","1.37M","0.08%"
"Aug 23, 2021","65.64","64.55","67.59","63.69","1.64M","1.56%"
"Aug 24, 2021","63.54","65.62","66.83","63.15","1.45M","-3.20%"
