"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2021","2.0550","2.0710","2.0710","1.7720","23.06M","1.03%"
"Apr 24, 2021","1.9830","2.0550","2.0990","1.9830","12.98M","-3.50%"
"Apr 25, 2021","2.1970","1.9830","2.2630","1.9830","12.57M","10.79%"
"Apr 26, 2021","2.4900","2.1970","2.4900","2.1970","9.50M","13.34%"
"Apr 27, 2021","2.4460","2.4900","2.5650","2.4460","8.80M","-1.77%"
"Apr 28, 2021","2.4070","2.4180","2.5150","2.3560","11.47M","-1.59%"
"Apr 29, 2021","2.3630","2.4070","2.4250","2.3630","6.19M","-1.83%"
"Apr 30, 2021","2.3800","2.3630","2.3820","2.3490","6.41M","0.72%"
"May 01, 2021","2.3490","2.3800","2.3800","2.3160","5.15M","-1.30%"
"May 02, 2021","2.2650","2.3490","2.3660","2.2650","6.96M","-3.58%"
"May 03, 2021","2.4100","2.2650","2.4320","2.2650","12.91M","6.40%"
"May 04, 2021","2.3780","2.4100","2.4450","2.2640","14.07M","-1.33%"
"May 05, 2021","2.4080","2.2710","2.4080","2.2710","9.39M","1.26%"
"May 06, 2021","2.2630","2.4080","2.4080","2.2330","8.68M","-6.02%"
"May 07, 2021","2.1440","2.2530","2.2530","2.1440","8.10M","-5.26%"
"May 08, 2021","2.2000","2.1440","2.2380","2.1440","5.78M","2.61%"
"May 09, 2021","2.1380","2.1860","2.1860","2.0700","7.29M","-2.82%"
"May 10, 2021","2.0340","2.1380","2.1430","2.0340","9.02M","-4.86%"
"May 11, 2021","2.2490","2.0350","2.2490","2.0350","10.35M","10.57%"
"May 12, 2021","2.0690","2.2480","2.2620","2.0690","7.87M","-8.00%"
"May 13, 2021","2.0060","2.0690","2.0760","1.9800","12.07M","-3.04%"
"May 14, 2021","2.4010","2.0070","2.6090","2.0070","27.29M","19.69%"
"May 15, 2021","2.2860","2.3990","2.3990","2.2860","12.86M","-4.79%"
"May 16, 2021","2.1810","2.2860","2.3560","2.1480","8.35M","-4.59%"
"May 17, 2021","2.0690","2.1810","2.1810","2.0300","16.13M","-5.14%"
"May 18, 2021","2.0820","2.0690","2.1620","2.0550","8.60M","0.63%"
"May 19, 2021","1.5210","2.0820","2.0820","1.5210","27.12M","-26.95%"
"May 20, 2021","1.6730","1.5210","1.7680","1.5210","20.88M","9.99%"
