"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2020","33.0010","30.1330","33.0180","30.1330","89.64K","9.55%"
"Nov 07, 2020","31.3140","32.8910","34.8870","31.1040","118.74K","-5.11%"
"Nov 08, 2020","32.8950","31.3140","33.2200","31.1240","47.77K","5.05%"
"Nov 09, 2020","33.0150","32.9670","34.0790","32.5180","70.34K","0.36%"
"Nov 10, 2020","35.1920","33.0150","35.6810","32.7400","93.76K","6.59%"
"Nov 11, 2020","35.6070","35.2500","36.5670","35.2500","130.78K","1.18%"
"Nov 12, 2020","38.1530","35.6070","38.1530","35.4220","101.75K","7.15%"
"Nov 13, 2020","38.5650","38.1550","38.8160","37.6480","64.35K","1.08%"
"Nov 14, 2020","37.0540","38.6410","38.6410","36.0550","66.85K","-3.92%"
"Nov 15, 2020","35.4110","36.9540","37.6090","34.3520","74.80K","-4.43%"
"Nov 16, 2020","36.1830","35.4110","36.7920","34.7430","60.08K","2.18%"
"Nov 17, 2020","38.1460","36.1830","38.3990","36.0610","79.20K","5.43%"
"Nov 18, 2020","35.6420","38.1120","38.1120","35.0270","80.93K","-6.56%"
"Nov 19, 2020","35.2330","35.6420","36.4730","34.7180","69.50K","-1.15%"
"Nov 20, 2020","37.7530","35.3140","38.9900","35.3140","127.68K","7.15%"
"Nov 21, 2020","40.6310","37.7530","40.6310","37.7530","107.44K","7.62%"
"Nov 22, 2020","38.5790","40.6120","40.6120","38.4240","77.08K","-5.05%"
"Nov 23, 2020","40.3710","38.7810","40.7000","38.4130","60.88K","4.65%"
"Nov 24, 2020","48.4110","40.4150","52.0330","40.4150","354.81K","19.92%"
"Nov 25, 2020","42.1780","48.2680","48.3340","42.1780","139.31K","-12.88%"
"Nov 26, 2020","49.0930","41.9820","49.5120","41.9820","333.50K","16.39%"
"Nov 27, 2020","45.3780","49.1280","49.1280","44.0040","125.29K","-7.57%"
"Nov 28, 2020","45.2300","45.3410","46.1800","43.5440","82.74K","-0.33%"
"Nov 29, 2020","53.0700","45.2800","53.0700","45.2800","163.53K","17.33%"
"Nov 30, 2020","52.1230","54.3000","54.3000","50.3840","137.05K","-1.78%"
"Dec 01, 2020","54.1660","52.1230","55.4950","51.6830","124.50K","3.92%"
"Dec 02, 2020","61.8760","53.7480","63.7290","53.7480","220.04K","14.23%"
"Dec 03, 2020","59.1400","61.8150","62.0740","59.0000","167.28K","-4.42%"
"Dec 04, 2020","50.7930","58.6660","58.6660","50.7930","221.91K","-14.11%"
"Dec 05, 2020","55.8050","50.7090","55.8520","50.7090","124.96K","9.87%"
"Dec 06, 2020","52.3610","55.7500","55.7500","52.3300","67.29K","-6.17%"
"Dec 07, 2020","53.4210","52.4160","53.7650","51.8230","52.20K","2.02%"
"Dec 08, 2020","46.3760","53.5890","53.5890","46.3760","136.68K","-13.19%"
"Dec 09, 2020","48.9500","46.2930","50.1350","45.9630","139.69K","5.55%"
"Dec 10, 2020","47.0510","49.2720","49.2720","46.8320","76.24K","-3.88%"
"Dec 11, 2020","44.9240","47.1770","47.1770","44.8260","74.12K","-4.52%"
