"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16, 2018","1,067.65","1,123.99","1,551.96","958.00","0.05K","-5.01%"
"Jan 17, 2018","1,082.00","1,067.65","1,138.50","791.33","0.02K","1.34%"
"Jan 18, 2018","1,374.15","1,082.00","1,500.00","1,026.00","0.03K","27.00%"
"Jan 19, 2018","1,458.98","1,374.15","1,785.22","1,330.75","0.03K","6.17%"
"Jan 20, 2018","1,707.09","1,458.98","1,731.09","1,402.07","0.02K","17.01%"
"Jan 21, 2018","1,583.05","1,707.09","1,730.00","1,496.70","0.03K","-7.27%"
"Jan 22, 2018","1,518.06","1,583.05","1,678.37","1,430.00","0.02K","-4.11%"
"Jan 23, 2018","1,529.70","1,518.06","1,542.11","1,424.10","0.01K","0.77%"
"Jan 24, 2018","1,555.62","1,529.70","1,555.62","1,489.05","0.00K","1.69%"
"Jan 25, 2018","1,445.00","1,555.62","1,601.35","1,428.76","0.01K","-7.11%"
"Jan 26, 2018","1,488.54","1,445.00","1,501.03","1,417.91","0.01K","3.01%"
"Jan 27, 2018","1,400.01","1,488.54","1,488.54","1,354.75","0.01K","-5.95%"
"Jan 28, 2018","1,533.62","1,400.01","1,599.93","1,400.01","0.05K","9.54%"
"Jan 29, 2018","1,416.76","1,533.62","1,533.63","1,416.76","0.00K","-7.62%"
"Jan 30, 2018","1,339.35","1,416.76","1,416.76","1,286.85","0.01K","-5.46%"
"Jan 31, 2018","1,288.28","1,339.35","1,339.35","1,230.21","0.00K","-3.81%"
"Feb 01, 2018","1,250.88","1,288.28","1,395.00","1,250.88","0.01K","-2.90%"
"Feb 02, 2018","1,151.61","1,250.88","1,276.46","1,074.27","0.09K","-7.94%"
"Feb 03, 2018","1,188.89","1,151.61","1,248.38","1,070.35","0.00K","3.24%"
"Feb 04, 2018","1,047.74","1,188.89","1,193.77","1,015.44","0.00K","-11.87%"
"Feb 05, 2018","804.99","1,047.74","1,054.98","804.99","0.01K","-23.17%"
"Feb 06, 2018","935.00","804.99","935.00","600.00","0.01K","16.15%"
"Feb 07, 2018","924.31","935.00","1,088.00","852.39","0.01K","-1.14%"
"Feb 08, 2018","1,034.34","924.31","1,034.34","898.29","0.00K","11.90%"
"Feb 09, 2018","1,083.54","1,034.34","1,091.00","973.64","0.01K","4.76%"
"Feb 10, 2018","0.00","1,083.54","1,105.53","0.00","-","-100.00%"
"Feb 11, 2018","1,008.89","0.00","1,044.21","0.00","0.00K","0.00%"
"Feb 12, 2018","1,049.53","1,008.89","1,049.53","992.85","0.00K","4.03%"
"Feb 13, 2018","0.00","1,049.53","1,070.93","0.00","-","-100.00%"
"Feb 14, 2018","1,090.63","0.00","1,090.63","0.00","0.00K","0.00%"
"Feb 15, 2018","1,159.16","1,090.63","1,177.64","1,090.63","0.00K","6.28%"
"Feb 16, 2018","1,147.46","1,159.16","1,159.16","1,147.46","0.00K","-1.01%"
"Feb 17, 2018","1,129.37","1,147.46","1,194.67","1,129.37","-","-1.58%"
"Feb 18, 2018","1,090.27","1,129.37","1,138.77","1,061.06","0.02K","-3.46%"
"Feb 19, 2018","1,120.01","1,090.27","1,142.24","1,072.96","0.00K","2.73%"
"Feb 20, 2018","1,060.98","1,120.01","1,152.70","1,060.98","-","-5.27%"
"Feb 21, 2018","997.02","1,060.98","1,063.30","950.70","0.01K","-6.03%"
"Feb 22, 2018","929.73","997.02","1,051.53","895.74","0.01K","-6.75%"
"Feb 23, 2018","1,005.27","929.73","1,005.27","929.73","-","8.12%"
"Feb 24, 2018","941.20","1,005.27","1,019.00","941.19","-","-6.37%"
"Feb 25, 2018","989.41","941.20","989.41","941.20","-","5.12%"
"Feb 26, 2018","1,025.91","989.41","1,025.96","898.80","-","3.69%"
"Feb 27, 2018","1,025.95","1,025.91","1,025.95","905.93","-","0.00%"
"Feb 28, 2018","1,066.37","1,025.95","1,120.00","1,022.67","0.01K","3.94%"
"Mar 01, 2018","1,026.84","1,066.37","1,066.37","1,026.84","0.01K","-3.71%"
"Mar 02, 2018","1,045.55","1,026.84","1,045.55","1,023.78","-","1.82%"
"Mar 03, 2018","1,035.54","1,045.55","1,045.55","1,003.08","0.00K","-0.96%"
"Mar 04, 2018","921.04","1,035.54","1,035.54","921.04","0.00K","-11.06%"
"Mar 05, 2018","1,066.37","921.04","1,066.37","921.04","-","15.78%"
"Mar 06, 2018","974.98","1,066.37","1,066.37","950.00","0.00K","-8.57%"
"Mar 07, 2018","875.00","974.98","974.98","875.00","0.00K","-10.25%"
