"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2021","30.4264","29.5702","30.7605","29.1450","3.00M","2.94%"
"Jul 23, 2021","29.5582","28.9227","29.6959","27.9408","3.00M","2.17%"
"Jul 22, 2021","28.9308","27.8973","29.4641","27.3719","3.04M","3.71%"
"Jul 21, 2021","27.8955","25.8391","28.8684","25.2501","3.34M","8.00%"
"Jul 20, 2021","25.8301","27.7011","28.1921","25.0453","3.18M","-6.69%"
"Jul 19, 2021","27.6812","29.7234","29.8853","27.6090","2.62M","-6.87%"
"Jul 18, 2021","29.7233","29.5759","30.7402","29.0711","2.86M","0.50%"
"Jul 17, 2021","29.5759","29.6732","30.3372","28.9811","2.99M","-0.38%"
"Jul 16, 2021","29.6873","31.3147","31.8688","29.5723","3.14M","-5.20%"
"Jul 15, 2021","31.3154","32.8375","33.2388","30.7612","2.60M","-4.64%"
"Jul 14, 2021","32.8374","33.4732","33.5742","30.8520","3.03M","-1.91%"
"Jul 13, 2021","33.4762","33.7547","34.1518","32.4981","3.12M","-0.91%"
"Jul 12, 2021","33.7839","34.1958","35.2222","32.8433","3.04M","-1.20%"
"Jul 11, 2021","34.1958","34.0759","34.7269","33.4200","2.69M","0.35%"
"Jul 10, 2021","34.0759","34.6681","35.4253","33.3109","3.02M","-1.71%"
"Jul 09, 2021","34.6680","33.6777","35.1987","32.9216","3.38M","2.94%"
"Jul 08, 2021","33.6777","36.9854","37.0025","33.3430","3.06M","-8.94%"
"Jul 07, 2021","36.9853","36.8776","38.4322","36.4971","2.75M","0.29%"
"Jul 06, 2021","36.8782","35.9406","37.9546","35.8786","3.21M","2.56%"
"Jul 05, 2021","35.9570","37.5436","37.5436","35.1948","3.43M","-4.23%"
"Jul 04, 2021","37.5437","36.9552","38.7348","36.4231","3.06M","1.59%"
"Jul 03, 2021","36.9553","35.4702","37.5311","34.9818","3.16M","4.14%"
"Jul 02, 2021","35.4867","34.1625","35.5083","33.4148","3.34M","3.88%"
"Jul 01, 2021","34.1628","36.5546","36.6578","33.4287","3.27M","-6.49%"
"Jun 30, 2021","36.5357","34.9945","37.7680","33.4877","5.03M","4.55%"
"Jun 29, 2021","34.9444","33.1601","36.8941","33.0211","4.33M","5.48%"
"Jun 28, 2021","33.1285","31.9518","33.3405","30.5648","3.79M","3.67%"
"Jun 27, 2021","31.9546","31.1498","32.3639","29.5834","3.92M","2.58%"
"Jun 26, 2021","31.1498","31.3580","32.6313","29.3224","3.79M","-0.69%"
"Jun 25, 2021","31.3672","35.0400","35.8945","30.6890","3.99M","-10.43%"
"Jun 24, 2021","35.0208","33.4925","35.4567","31.5657","3.50M","4.52%"
"Jun 23, 2021","33.5062","30.0556","34.9897","28.6837","5.23M","11.53%"
"Jun 22, 2021","30.0418","32.0605","34.3166","26.0028","7.82M","-6.39%"
"Jun 21, 2021","32.0914","44.6737","44.9025","31.9199","5.47M","-28.16%"
"Jun 20, 2021","44.6705","44.4619","45.1475","40.7905","3.22M","0.49%"
"Jun 19, 2021","44.4529","45.3610","46.5329","44.3374","2.81M","-2.00%"
"Jun 18, 2021","45.3609","48.6428","48.6563","44.1925","3.04M","-6.75%"
"Jun 17, 2021","48.6429","48.6798","50.6558","47.7214","3.10M","-0.02%"
"Jun 16, 2021","48.6541","50.1593","51.1646","47.5432","4.12M","-3.00%"
"Jun 15, 2021","50.1608","50.7634","51.9571","49.1622","3.82M","-1.19%"
"Jun 14, 2021","50.7634","49.2006","51.7376","48.4119","3.63M","3.00%"
"Jun 13, 2021","49.2836","46.2662","49.5372","44.6661","3.65M","6.52%"
"Jun 12, 2021","46.2660","47.5313","47.5313","43.9501","4.14M","-2.62%"
"Jun 11, 2021","47.5084","50.6780","51.0260","46.6879","3.17M","-6.22%"
"Jun 10, 2021","50.6577","51.3700","55.1509","49.7955","4.88M","-1.38%"
"Jun 09, 2021","51.3652","48.7943","51.3786","45.9553","8.65M","5.21%"
"Jun 08, 2021","48.8238","51.0706","51.9691","44.8343","8.44M","-4.40%"
"Jun 07, 2021","51.0706","56.6902","58.3325","50.7290","8.73M","-9.91%"
"Jun 06, 2021","56.6902","55.6056","57.6902","55.0768","9.18M","1.94%"
"Jun 05, 2021","55.6125","56.2671","60.6041","54.0550","10.44M","-1.16%"
"Jun 04, 2021","56.2672","61.3457","62.5358","53.3531","11.63M","-8.26%"
"Jun 03, 2021","61.3318","57.7649","62.6727","57.5169","9.92M","6.26%"
"Jun 02, 2021","57.7169","53.9330","60.2130","52.5563","9.78M","7.03%"
