"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2021","7.206","6.623","7.206","6.623","891.08K","8.80%"
"Feb 17, 2021","9.987","7.206","9.987","7.206","1.95M","38.59%"
"Feb 18, 2021","13.236","9.987","13.236","9.987","2.24M","32.53%"
"Feb 19, 2021","18.895","13.207","18.895","13.207","6.34M","42.75%"
"Feb 20, 2021","14.646","18.895","18.895","14.646","4.83M","-22.49%"
"Feb 21, 2021","16.638","14.646","17.985","14.646","970.40K","13.60%"
"Feb 22, 2021","13.986","16.638","16.638","13.986","182.87K","-15.94%"
"Feb 23, 2021","12.720","13.986","13.986","10.940","4.17M","-9.05%"
"Feb 24, 2021","14.142","12.738","15.624","12.738","1.75M","11.18%"
"Feb 25, 2021","11.689","14.146","14.146","11.689","1.12M","-17.35%"
"Feb 26, 2021","11.279","11.689","11.689","11.279","1.38M","-3.51%"
"Feb 27, 2021","10.648","11.279","11.494","10.648","747.02K","-5.59%"
"Feb 28, 2021","9.326","10.648","10.648","9.326","1.28M","-12.42%"
"Mar 01, 2021","13.125","9.326","13.125","9.326","1.62M","40.74%"
"Mar 02, 2021","12.025","13.125","13.125","12.025","813.75K","-8.38%"
"Mar 03, 2021","12.607","12.025","12.686","12.025","550.82K","4.84%"
"Mar 04, 2021","11.546","12.607","12.607","11.546","637.78K","-8.42%"
"Mar 05, 2021","11.103","11.546","11.546","11.103","592.31K","-3.84%"
"Mar 06, 2021","11.123","11.103","11.123","11.080","417.95K","0.18%"
"Mar 07, 2021","11.662","11.123","11.717","11.123","422.59K","4.85%"
"Mar 08, 2021","11.918","11.658","11.918","11.658","340.54K","2.20%"
"Mar 09, 2021","14.186","11.918","14.186","11.918","689.07K","19.03%"
"Mar 10, 2021","12.760","14.186","14.186","12.760","699.35K","-10.05%"
"Mar 11, 2021","12.332","12.760","12.760","12.291","572.00K","-3.35%"
"Mar 12, 2021","10.997","12.332","12.332","10.997","445.96K","-10.83%"
"Mar 13, 2021","11.384","10.994","11.384","10.994","352.63K","3.52%"
"Mar 14, 2021","10.966","11.385","11.385","10.966","309.35K","-3.67%"
"Mar 15, 2021","10.002","10.966","10.966","10.002","598.29K","-8.79%"
"Mar 16, 2021","9.975","9.998","10.095","9.975","423.46K","-0.27%"
"Mar 17, 2021","10.315","9.975","10.315","9.490","277.84K","3.41%"
"Mar 18, 2021","9.906","10.315","10.315","9.906","208.17K","-3.97%"
"Mar 19, 2021","9.838","9.906","9.906","9.838","105.98K","-0.69%"
"Mar 20, 2021","9.866","9.838","9.900","9.838","113.66K","0.28%"
"Mar 21, 2021","10.116","9.866","10.116","9.866","96.46K","2.53%"
"Mar 22, 2021","10.887","10.116","12.199","10.116","347.13K","7.62%"
"Mar 23, 2021","11.471","10.887","11.471","10.887","260.29K","5.36%"
"Mar 24, 2021","12.021","11.471","12.370","11.471","285.65K","4.79%"
"Mar 25, 2021","11.916","12.021","12.540","11.423","250.95K","-0.87%"
"Mar 26, 2021","14.785","11.916","14.785","11.916","279.31K","24.08%"
"Mar 27, 2021","17.332","14.785","17.332","14.785","362.68K","17.23%"
"Mar 28, 2021","16.207","17.332","17.332","16.207","311.36K","-6.49%"
"Mar 29, 2021","17.224","16.207","17.224","16.207","203.73K","6.28%"
"Mar 30, 2021","18.983","17.224","18.983","17.224","265.55K","10.21%"
"Mar 31, 2021","18.061","18.983","18.983","18.061","232.97K","-4.86%"
"Apr 01, 2021","17.121","18.061","18.061","17.121","156.66K","-5.20%"
"Apr 02, 2021","17.090","17.121","17.121","17.090","144.59K","-0.18%"
"Apr 03, 2021","15.595","17.090","17.090","15.595","124.51K","-8.75%"
"Apr 04, 2021","16.771","15.595","16.771","15.595","111.29K","7.54%"
"Apr 05, 2021","16.929","16.771","16.929","15.929","123.60K","0.94%"
"Apr 06, 2021","18.037","16.929","18.037","16.929","71.38K","6.54%"
"Apr 07, 2021","17.171","18.037","18.037","17.171","95.70K","-4.80%"
"Apr 08, 2021","21.107","17.171","21.107","17.171","118.82K","22.92%"
"Apr 09, 2021","24.110","21.105","24.110","21.105","114.75K","14.23%"
"Apr 10, 2021","22.821","24.110","24.110","22.821","165.32K","-5.35%"
"Apr 11, 2021","26.172","22.821","26.172","22.821","84.91K","14.68%"
"Apr 12, 2021","26.218","26.172","26.627","26.172","142.45K","0.18%"
"Apr 13, 2021","24.166","26.221","26.221","24.166","88.97K","-7.83%"
"Apr 14, 2021","23.189","24.166","24.166","22.908","60.23K","-4.04%"
"Apr 15, 2021","23.507","23.189","23.507","23.189","55.43K","1.37%"
"Apr 16, 2021","22.505","23.507","23.507","22.505","39.56K","-4.26%"
"Apr 17, 2021","23.870","22.505","23.870","22.505","41.80K","6.07%"
"Apr 18, 2021","22.169","23.870","23.870","22.169","58.25K","-7.13%"
"Apr 19, 2021","22.849","22.169","24.126","22.169","59.24K","3.07%"
"Apr 20, 2021","27.502","22.828","27.502","22.828","101.06K","20.36%"
"Apr 21, 2021","26.118","27.502","27.928","26.118","116.72K","-5.03%"
"Apr 22, 2021","25.129","26.118","28.082","25.129","62.09K","-3.79%"
"Apr 23, 2021","26.958","25.129","26.958","25.129","72.40K","7.28%"
"Apr 24, 2021","28.254","26.958","28.254","26.958","57.08K","4.81%"
"Apr 25, 2021","30.155","28.254","30.352","28.254","79.25K","6.73%"
"Apr 26, 2021","33.555","30.155","33.803","30.155","68.34K","11.28%"
