"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 2019","0.01939","0.01794","0.02163","0.01729","1.56B","8.10%"
"Jun 28, 2019","0.01920","0.01939","0.02115","0.01906","929.60M","-0.98%"
"Jun 29, 2019","0.02414","0.01920","0.02651","0.01920","1.79B","25.71%"
"Jun 30, 2019","0.02215","0.02414","0.02682","0.02201","1.52B","-8.24%"
"Jul 01, 2019","0.02238","0.02216","0.02310","0.02014","974.46M","1.05%"
"Jul 02, 2019","0.02000","0.02238","0.02260","0.01956","749.49M","-10.65%"
"Jul 03, 2019","0.01930","0.02000","0.02038","0.01864","770.70M","-3.50%"
"Jul 04, 2019","0.01799","0.01930","0.01930","0.01703","758.97M","-6.77%"
"Jul 05, 2019","0.01811","0.01799","0.01954","0.01761","583.77M","0.66%"
"Jul 06, 2019","0.01768","0.01811","0.01830","0.01750","294.16M","-2.37%"
"Jul 07, 2019","0.01759","0.01768","0.01840","0.01713","335.93M","-0.49%"
"Jul 08, 2019","0.01668","0.01759","0.01765","0.01656","451.21M","-5.22%"
"Jul 09, 2019","0.01619","0.01668","0.01709","0.01520","620.07M","-2.91%"
"Jul 10, 2019","0.01612","0.01619","0.01740","0.01490","769.61M","-0.45%"
"Jul 11, 2019","0.01443","0.01611","0.01687","0.01421","587.05M","-10.50%"
"Jul 12, 2019","0.01572","0.01443","0.01644","0.01411","535.38M","8.97%"
"Jul 13, 2019","0.01663","0.01572","0.01772","0.01524","760.03M","5.79%"
"Jul 14, 2019","0.01433","0.01663","0.01741","0.01426","595.52M","-13.83%"
"Jul 15, 2019","0.01383","0.01433","0.01436","0.01291","478.71M","-3.47%"
"Jul 16, 2019","0.01201","0.01383","0.01454","0.01185","539.19M","-13.21%"
"Jul 17, 2019","0.01318","0.01201","0.01394","0.01164","606.95M","9.75%"
"Jul 18, 2019","0.01360","0.01318","0.01418","0.01250","525.95M","3.23%"
"Jul 19, 2019","0.01337","0.01360","0.01386","0.01319","287.40M","-1.68%"
"Jul 20, 2019","0.01392","0.01337","0.01447","0.01325","170.58M","4.09%"
"Jul 21, 2019","0.01345","0.01390","0.01409","0.01314","100.13M","-3.38%"
"Jul 22, 2019","0.01272","0.01345","0.01358","0.01242","123.36M","-5.46%"
"Jul 23, 2019","0.01150","0.01272","0.01281","0.01147","178.76M","-9.52%"
"Jul 24, 2019","0.01201","0.01151","0.01244","0.01118","192.66M","4.40%"
"Jul 25, 2019","0.01218","0.01201","0.01265","0.01200","130.49M","1.40%"
"Jul 26, 2019","0.01275","0.01218","0.01297","0.01190","137.91M","4.72%"
"Jul 27, 2019","0.01202","0.01275","0.01327","0.01180","137.27M","-5.78%"
"Jul 28, 2019","0.01179","0.01202","0.01215","0.01127","98.08M","-1.88%"
"Jul 29, 2019","0.01142","0.01179","0.01196","0.01141","89.29M","-3.16%"
"Jul 30, 2019","0.01156","0.01142","0.01166","0.01107","76.11M","1.25%"
"Jul 31, 2019","0.01138","0.01156","0.01166","0.01121","147.89M","-1.60%"
"Aug 01, 2019","0.01067","0.01138","0.01154","0.01055","199.26M","-6.23%"
"Aug 02, 2019","0.01108","0.01067","0.01152","0.01054","190.21M","3.89%"
"Aug 03, 2019","0.01069","0.01108","0.01132","0.01066","178.26M","-3.52%"
"Aug 04, 2019","0.01022","0.01069","0.01096","0.01014","147.64M","-4.40%"
"Aug 05, 2019","0.01173","0.01022","0.01281","0.00951","838.44M","14.81%"
"Aug 06, 2019","0.01534","0.01173","0.01716","0.01169","1.85B","30.71%"
"Aug 07, 2019","0.01675","0.01534","0.02057","0.01532","2.12B","9.22%"
"Aug 08, 2019","0.01446","0.01676","0.01762","0.01424","1.01B","-13.65%"
"Aug 09, 2019","0.01219","0.01446","0.01461","0.01210","689.87M","-15.72%"
"Aug 10, 2019","0.01497","0.01219","0.01539","0.01217","942.59M","22.79%"
"Aug 11, 2019","0.01621","0.01497","0.01855","0.01411","1.33B","8.30%"
"Aug 12, 2019","0.01690","0.01610","0.01819","0.01585","951.88M","4.24%"
"Aug 13, 2019","0.01677","0.01690","0.01720","0.01502","735.34M","-0.77%"
"Aug 14, 2019","0.01478","0.01677","0.01732","0.01462","776.12M","-11.87%"
"Aug 15, 2019","0.01457","0.01478","0.01564","0.01444","403.25M","-1.43%"
"Aug 16, 2019","0.01332","0.01457","0.01472","0.01327","402.49M","-8.56%"
"Aug 17, 2019","0.01426","0.01332","0.01468","0.01332","341.13M","7.09%"
"Aug 18, 2019","0.01392","0.01426","0.01455","0.01373","280.83M","-2.39%"
"Aug 19, 2019","0.01552","0.01392","0.01588","0.01380","503.81M","11.45%"
"Aug 20, 2019","0.01568","0.01552","0.01590","0.01488","353.02M","1.07%"
"Aug 21, 2019","0.01545","0.01568","0.01595","0.01444","397.89M","-1.49%"
"Aug 22, 2019","0.01686","0.01545","0.01705","0.01473","548.84M","9.11%"
"Aug 23, 2019","0.01543","0.01686","0.01735","0.01509","428.20M","-8.48%"
"Aug 24, 2019","0.01483","0.01543","0.01549","0.01427","372.78M","-3.88%"
"Aug 25, 2019","0.01384","0.01483","0.01494","0.01371","198.91M","-6.63%"
"Aug 26, 2019","0.01398","0.01384","0.01458","0.01377","210.12M","0.95%"
"Aug 27, 2019","0.01432","0.01398","0.01489","0.01374","238.70M","2.44%"
"Aug 28, 2019","0.01304","0.01432","0.01456","0.01290","221.57M","-8.94%"
"Aug 29, 2019","0.01170","0.01304","0.01304","0.01160","217.59M","-10.22%"
"Aug 30, 2019","0.01215","0.01170","0.01237","0.01160","180.70M","3.76%"
"Aug 31, 2019","0.01186","0.01215","0.01237","0.01159","121.51M","-2.33%"
"Sep 01, 2019","0.01208","0.01186","0.01232","0.01149","150.72M","1.87%"
"Sep 02, 2019","0.01367","0.01208","0.01377","0.01198","297.48M","13.13%"
"Sep 03, 2019","0.01431","0.01367","0.01476","0.01293","304.99M","4.65%"
"Sep 04, 2019","0.01411","0.01431","0.01445","0.01380","185.17M","-1.41%"
"Sep 05, 2019","0.01487","0.01411","0.01510","0.01409","261.31M","5.45%"
"Sep 06, 2019","0.01363","0.01488","0.01488","0.01351","265.18M","-8.38%"
"Sep 07, 2019","0.01391","0.01363","0.01416","0.01352","130.79M","2.08%"
"Sep 08, 2019","0.01390","0.01391","0.01419","0.01363","102.96M","-0.10%"
"Sep 09, 2019","0.01416","0.01390","0.01450","0.01320","283.69M","1.91%"
"Sep 10, 2019","0.01361","0.01416","0.01439","0.01343","180.04M","-3.93%"
"Sep 11, 2019","0.01302","0.01360","0.01384","0.01290","183.89M","-4.29%"
"Sep 12, 2019","0.01300","0.01302","0.01319","0.01251","174.97M","-0.22%"
"Sep 13, 2019","0.01299","0.01301","0.01324","0.01275","138.27M","0.00%"
"Sep 14, 2019","0.01308","0.01299","0.01351","0.01291","142.35M","0.70%"
"Sep 15, 2019","0.01292","0.01309","0.01341","0.01289","150.33M","-1.28%"
"Sep 16, 2019","0.01291","0.01292","0.01316","0.01253","152.04M","-0.08%"
"Sep 17, 2019","0.01362","0.01291","0.01375","0.01256","187.98M","5.55%"
"Sep 18, 2019","0.01430","0.01362","0.01462","0.01341","386.05M","4.96%"
