"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2021","0.00001809","0.00003034","0.00003034","0.00001809","85,746.31B","-40.53%"
"May 13, 2021","0.00002102","0.00001801","0.00002267","0.00001787","84,231.67B","16.20%"
"May 14, 2021","0.00001839","0.00002069","0.00002069","0.00001839","32,531.11B","-12.51%"
"May 15, 2021","0.00001551","0.00001832","0.00001832","0.00001551","33,325.05B","-15.66%"
"May 16, 2021","0.00001785","0.00001552","0.00001785","0.00001352","41,348.20B","15.09%"
"May 17, 2021","0.00001651","0.00001769","0.00001769","0.00001509","43,361.70B","-7.51%"
"May 18, 2021","0.00001561","0.00001651","0.00001760","0.00001561","22,214.37B","-5.45%"
"May 19, 2021","0.00000907","0.00001560","0.00001565","0.00000907","73,577.50B","-41.90%"
"May 20, 2021","0.00000968","0.00000903","0.00001140","0.00000860","53,221.99B","6.73%"
"May 21, 2021","0.00000820","0.00000961","0.00000986","0.00000748","33,363.54B","-15.29%"
"May 22, 2021","0.00000837","0.00000814","0.00000837","0.00000697","26,410.54B","2.07%"
"May 23, 2021","0.00000808","0.00000835","0.00000930","0.00000744","37,783.32B","-3.46%"
"May 24, 2021","0.00001063","0.00000810","0.00001131","0.00000792","41,884.41B","31.56%"
"May 25, 2021","0.00000933","0.00001067","0.00001067","0.00000931","25,813.31B","-12.23%"
"May 26, 2021","0.00000950","0.00000939","0.00001010","0.00000927","16,893.99B","1.82%"
"May 27, 2021","0.00000876","0.00000950","0.00000950","0.00000870","11,830.82B","-7.79%"
"May 28, 2021","0.00000790","0.00000878","0.00000878","0.00000766","12,276.30B","-9.82%"
"May 29, 2021","0.00000789","0.00000789","0.00000809","0.00000749","7,450.45B","-0.13%"
"May 30, 2021","0.00000785","0.00000789","0.00000801","0.00000757","6,253.58B","-0.51%"
"May 31, 2021","0.00000928","0.00000785","0.00000933","0.00000775","14,291.57B","18.22%"
"Jun 01, 2021","0.00000882","0.00000918","0.00000918","0.00000851","13,730.50B","-4.96%"
"Jun 02, 2021","0.00000943","0.00000883","0.00000947","0.00000875","23,382.26B","6.92%"
"Jun 03, 2021","0.00000980","0.00000943","0.00000994","0.00000939","12,053.81B","3.92%"
"Jun 04, 2021","0.00000881","0.00000981","0.00000981","0.00000874","11,546.82B","-10.10%"
"Jun 05, 2021","0.00000842","0.00000881","0.00000898","0.00000839","6,073.43B","-4.43%"
"Jun 06, 2021","0.00000853","0.00000841","0.00000858","0.00000838","2,774.00B","1.31%"
"Jun 07, 2021","0.00000773","0.00000852","0.00000866","0.00000773","5,035.95B","-9.38%"
"Jun 08, 2021","0.00000718","0.00000772","0.00000772","0.00000676","13,524.05B","-7.12%"
"Jun 09, 2021","0.00000739","0.00000715","0.00000739","0.00000714","8,351.08B","2.92%"
"Jun 10, 2021","0.00000683","0.00000738","0.00000738","0.00000683","6,021.89B","-7.58%"
"Jun 11, 2021","0.00000619","0.00000683","0.00000683","0.00000619","6,296.73B","-9.37%"
"Jun 12, 2021","0.00000626","0.00000621","0.00000626","0.00000559","12,924.59B","1.13%"
"Jun 13, 2021","0.00000684","0.00000626","0.00000684","0.00000615","7,234.64B","9.27%"
"Jun 14, 2021","0.00000709","0.00000686","0.00000709","0.00000676","6,428.17B","3.65%"
"Jun 15, 2021","0.00000901","0.00000708","0.00000901","0.00000707","20,524.20B","27.08%"
"Jun 16, 2021","0.00000830","0.00000899","0.00000902","0.00000830","17,763.40B","-7.88%"
"Jun 17, 2021","0.00000795","0.00000831","0.00000834","0.00000781","9,155.92B","-4.22%"
"Jun 18, 2021","0.00000726","0.00000794","0.00000794","0.00000709","8,989.55B","-8.68%"
"Jun 19, 2021","0.00000761","0.00000725","0.00000828","0.00000725","14,922.26B","4.82%"
"Jun 20, 2021","0.00000777","0.00000761","0.00000780","0.00000744","9,391.54B","2.10%"
"Jun 21, 2021","0.00000622","0.00000777","0.00000777","0.00000622","12,784.61B","-19.95%"
"Jun 22, 2021","0.00000632","0.00000621","0.00000676","0.00000575","15,096.49B","1.61%"
"Jun 23, 2021","0.00000683","0.00000631","0.00000686","0.00000631","7,489.11B","8.07%"
"Jun 24, 2021","0.00000720","0.00000683","0.00000726","0.00000660","4,081.75B","5.42%"
"Jun 25, 2021","0.00000707","0.00000723","0.00000778","0.00000707","12,997.02B","-1.81%"
"Jun 26, 2021","0.00000748","0.00000707","0.00000748","0.00000698","5,407.87B","5.80%"
"Jun 27, 2021","0.00000786","0.00000748","0.00000786","0.00000737","3,144.19B","5.08%"
"Jun 28, 2021","0.00000806","0.00000785","0.00000811","0.00000780","5,428.12B","2.54%"
"Jun 29, 2021","0.00000888","0.00000808","0.00000920","0.00000808","12,567.45B","10.17%"
"Jun 30, 2021","0.00000881","0.00000886","0.00000911","0.00000830","8,613.12B","-0.79%"
"Jul 01, 2021","0.00000833","0.00000881","0.00000881","0.00000826","4,553.59B","-5.45%"
"Jul 02, 2021","0.00000836","0.00000833","0.00000838","0.00000815","2,682.10B","0.36%"
"Jul 03, 2021","0.00000871","0.00000836","0.00000874","0.00000835","2,472.80B","4.19%"
"Jul 04, 2021","0.00000872","0.00000880","0.00000880","0.00000869","2,414.59B","0.11%"
"Jul 05, 2021","0.00000833","0.00000872","0.00000872","0.00000828","2,918.10B","-4.47%"
"Jul 06, 2021","0.00000885","0.00000832","0.00000908","0.00000832","6,269.65B","6.24%"
"Jul 07, 2021","0.00000855","0.00000874","0.00000878","0.00000852","2,840.06B","-3.39%"
"Jul 08, 2021","0.00000803","0.00000855","0.00000856","0.00000780","4,606.45B","-6.08%"
"Jul 09, 2021","0.00000791","0.00000800","0.00000811","0.00000771","2,253.05B","-1.49%"
"Jul 10, 2021","0.00000767","0.00000792","0.00000809","0.00000753","1,745.52B","-3.03%"
"Jul 11, 2021","0.00000786","0.00000766","0.00000798","0.00000756","1,497.02B","2.48%"
"Jul 12, 2021","0.00000757","0.00000787","0.00000799","0.00000732","2,212.23B","-3.69%"
"Jul 13, 2021","0.00000711","0.00000756","0.00000758","0.00000705","2,061.79B","-6.08%"
"Jul 14, 2021","0.00000723","0.00000712","0.00000756","0.00000669","3,324.81B","1.69%"
"Jul 15, 2021","0.00000691","0.00000725","0.00000736","0.00000680","1,985.86B","-4.43%"
"Jul 16, 2021","0.00000663","0.00000691","0.00000700","0.00000655","1,751.50B","-4.05%"
"Jul 17, 2021","0.00000679","0.00000661","0.00000704","0.00000656","1,884.23B","2.41%"
"Jul 18, 2021","0.00000666","0.00000681","0.00000701","0.00000660","1,497.57B","-1.91%"
"Jul 19, 2021","0.00000618","0.00000666","0.00000668","0.00000608","2,175.26B","-7.21%"
"Jul 20, 2021","0.00000588","0.00000619","0.00000624","0.00000570","3,287.85B","-4.85%"
"Jul 21, 2021","0.00000654","0.00000589","0.00000696","0.00000577","3,688.88B","11.22%"
"Jul 22, 2021","0.00000647","0.00000654","0.00000665","0.00000635","1,910.05B","-1.07%"
"Jul 23, 2021","0.00000648","0.00000646","0.00000669","0.00000612","1,963.30B","0.15%"
"Jul 24, 2021","0.00000646","0.00000648","0.00000655","0.00000636","2,302.57B","-0.31%"
"Jul 25, 2021","0.00000637","0.00000644","0.00000645","0.00000616","1,524.28B","-1.39%"
"Jul 26, 2021","0.00000631","0.00000637","0.00000690","0.00000624","4,013.99B","-0.94%"
"Jul 27, 2021","0.00000631","0.00000631","0.00000641","0.00000604","2,201.19B","0.00%"
"Jul 28, 2021","0.00000618","0.00000631","0.00000635","0.00000614","1,796.95B","-2.06%"
"Jul 29, 2021","0.00000630","0.00000617","0.00000650","0.00000609","1,741.35B","1.94%"
"Jul 30, 2021","0.00000628","0.00000630","0.00000641","0.00000610","1,585.10B","-0.32%"
"Jul 31, 2021","0.00000624","0.00000628","0.00000631","0.00000619","1,250.92B","-0.64%"
"Aug 01, 2021","0.00000630","0.00000625","0.00000671","0.00000621","2,680.68B","0.96%"
"Aug 02, 2021","0.00000634","0.00000630","0.00000643","0.00000620","1,192.33B","0.63%"
"Aug 03, 2021","0.00000618","0.00000634","0.00000641","0.00000615","1,403.48B","-2.52%"
"Aug 04, 2021","0.00000623","0.00000618","0.00000633","0.00000611","1,670.19B","0.81%"
"Aug 05, 2021","0.00000622","0.00000623","0.00000625","0.00000610","1,523.38B","-0.16%"
"Aug 06, 2021","0.00000631","0.00000622","0.00000642","0.00000613","2,908.17B","1.45%"
"Aug 07, 2021","0.00000780","0.00000630","0.00000788","0.00000629","10,273.22B","23.61%"
"Aug 08, 2021","0.00000729","0.00000779","0.00000885","0.00000724","14,200.95B","-6.54%"
"Aug 09, 2021","0.00000763","0.00000729","0.00000788","0.00000710","5,346.51B","4.66%"
"Aug 10, 2021","0.00000758","0.00000762","0.00000794","0.00000731","2,983.76B","-0.66%"
"Aug 11, 2021","0.00000778","0.00000758","0.00000829","0.00000755","5,106.88B","2.64%"
"Aug 12, 2021","0.00000764","0.00000778","0.00000821","0.00000744","3,936.53B","-1.80%"
