"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 04, 2020","0.589","0.586","0.590","0.561","558.95K","0.55%"
"Jun 05, 2020","0.661","0.589","0.698","0.575","578.56K","12.27%"
"Jun 06, 2020","0.625","0.661","0.661","0.609","548.27K","-5.53%"
"Jun 07, 2020","0.608","0.625","0.626","0.591","426.42K","-2.62%"
"Jun 08, 2020","0.667","0.608","0.682","0.608","550.09K","9.63%"
"Jun 09, 2020","0.658","0.667","0.669","0.620","554.35K","-1.39%"
"Jun 10, 2020","0.644","0.658","0.670","0.636","535.15K","-2.07%"
"Jun 11, 2020","0.571","0.644","0.649","0.567","577.63K","-11.35%"
"Jun 12, 2020","0.591","0.571","0.604","0.566","533.67K","3.50%"
"Jun 13, 2020","0.612","0.591","0.612","0.583","533.41K","3.50%"
"Jun 14, 2020","0.586","0.612","0.618","0.576","570.22K","-4.23%"
"Jun 15, 2020","0.567","0.586","0.589","0.542","597.24K","-3.16%"
"Jun 16, 2020","0.587","0.567","0.589","0.566","577.70K","3.40%"
"Jun 17, 2020","0.580","0.587","0.592","0.562","564.00K","-1.18%"
"Jun 18, 2020","0.618","0.580","0.654","0.577","560.69K","6.61%"
"Jun 19, 2020","0.690","0.618","0.848","0.617","583.64K","11.63%"
"Jun 20, 2020","0.646","0.690","0.695","0.623","591.24K","-6.33%"
"Jun 21, 2020","0.665","0.646","0.754","0.636","544.92K","2.88%"
"Jun 22, 2020","0.730","0.665","0.752","0.643","555.21K","9.79%"
"Jun 23, 2020","0.707","0.733","0.767","0.697","534.96K","-3.15%"
"Jun 24, 2020","0.740","0.707","0.800","0.693","556.41K","4.64%"
"Jun 25, 2020","0.708","0.740","0.760","0.695","568.21K","-4.33%"
"Jun 26, 2020","0.749","0.708","0.757","0.679","533.69K","5.89%"
"Jun 27, 2020","0.710","0.749","0.749","0.671","566.29K","-5.26%"
"Jun 28, 2020","0.791","0.710","0.846","0.685","490.39K","11.46%"
"Jun 29, 2020","0.857","0.793","0.888","0.769","575.44K","8.26%"
"Jun 30, 2020","0.867","0.857","1.010","0.845","576.22K","1.14%"
"Jul 01, 2020","0.830","0.867","0.904","0.822","545.76K","-4.25%"
"Jul 02, 2020","0.776","0.830","0.835","0.742","528.90K","-6.52%"
"Jul 03, 2020","0.766","0.776","0.783","0.752","572.78K","-1.29%"
"Jul 04, 2020","0.781","0.766","0.829","0.760","598.48K","2.01%"
"Jul 05, 2020","0.690","0.781","0.786","0.628","518.55K","-11.70%"
"Jul 06, 2020","0.707","0.690","0.707","0.687","565.06K","2.57%"
